Date, Open, High, Low, Close, Volume
04/24/25, 614.00, 648.00, 614.00, 617.25, 1367
04/23/25, 615.00, 615.00, 613.00, 615.00, 270
04/22/25, 621.00, 621.00, 615.00, 615.00, 952
04/21/25, 625.00, 625.00, 620.25, 625.00, 323
04/17/25, 625.00, 625.00, 615.00, 625.00, 721
04/16/25, 625.00, 625.00, 620.00, 624.25, 532
04/11/25, 620.00, 630.00, 619.50, 620.00, 253
04/10/25, 620.00, 620.00, 618.00, 619.25, 3262
04/09/25, 603.00, 609.00, 600.00, 600.50, 1594
04/08/25, 600.00, 629.00, 600.00, 609.25, 2283
04/07/25, 593.00, 600.00, 575.25, 587.00, 3433
04/04/25, 610.00, 610.00, 590.25, 601.50, 2579
04/03/25, 620.00, 630.00, 610.00, 610.75, 563
04/02/25, 650.00, 650.00, 630.00, 649.25, 132
04/01/25, 615.25, 623.00, 615.25, 622.75, 1967
03/28/25, 622.00, 622.00, 615.00, 615.75, 536
03/27/25, 621.00, 622.00, 618.00, 622.00, 530
03/26/25, 621.50, 623.00, 621.50, 618.75, 64
03/25/25, 624.75, 624.75, 618.00, 618.75, 8133
03/24/25, 620.00, 624.00, 620.00, 621.75, 211
03/21/25, 624.00, 624.00, 620.00, 624.00, 106
03/20/25, 614.00, 620.00, 614.00, 620.00, 260
03/19/25, 613.00, 620.00, 613.00, 614.00, 675
03/18/25, 625.00, 625.00, 610.00, 611.25, 1676
03/17/25, 630.00, 630.00, 621.00, 624.25, 338
03/14/25, 625.00, 630.00, 622.00, 625.50, 724
03/12/25, 620.00, 625.00, 611.00, 620.00, 4593
03/11/25, 640.00, 640.00, 610.25, 619.75, 1969
03/10/25, 640.00, 640.00, 625.00, 625.50, 363
03/07/25, 645.00, 645.00, 611.00, 628.75, 1406
03/06/25, 650.00, 653.00, 640.50, 645.00, 760
03/05/25, 625.00, 689.75, 622.50, 642.00, 5142
03/04/25, 620.25, 620.25, 608.25, 610.25, 1204
03/03/25, 635.00, 635.00, 620.50, 623.00, 1424
02/28/25, 630.00, 635.00, 625.00, 629.50, 3126
02/27/25, 620.00, 635.00, 620.00, 622.00, 1126
02/25/25, 660.00, 660.00, 620.00, 624.00, 1484
02/24/25, 650.00, 650.00, 635.00, 640.50, 951
02/21/25, 653.00, 670.00, 650.00, 650.00, 1980
02/20/25, 679.50, 679.50, 652.00, 654.50, 885
02/19/25, 689.75, 689.75, 660.00, 671.50, 1455
02/18/25, 672.00, 690.00, 660.50, 687.50, 1754
02/17/25, 670.00, 683.75, 667.00, 671.00, 2164
02/14/25, 660.00, 670.00, 643.00, 664.75, 2756
02/13/25, 651.00, 663.75, 633.00, 662.75, 4045
02/11/25, 661.50, 661.50, 600.50, 652.25, 2066
02/10/25, 661.00, 663.75, 650.00, 661.50, 1061
02/07/25, 665.00, 665.00, 660.00, 660.25, 1779
02/06/25, 660.00, 668.00, 652.00, 655.75, 2910
02/05/25, 676.25, 680.00, 660.00, 665.00, 4320
02/03/25, 702.25, 706.00, 676.25, 683.75, 2433
01/31/25, 719.00, 719.00, 700.00, 707.00, 1253
01/30/25, 730.00, 730.00, 700.50, 718.25, 5975
01/29/25, 660.00, 749.75, 660.00, 698.00, 17250
01/28/25, 617.50, 665.00, 617.50, 658.50, 19577
01/27/25, 616.00, 620.75, 605.00, 610.00, 5276
01/24/25, 620.00, 620.75, 610.00, 613.50, 10598
01/23/25, 607.50, 620.75, 600.00, 619.75, 18901
01/22/25, 587.00, 615.00, 585.00, 607.50, 9483
01/21/25, 581.50, 590.00, 581.50, 590.00, 3652
01/20/25, 585.00, 599.00, 581.50, 584.00, 4708
01/17/25, 575.00, 589.00, 575.00, 582.00, 1118
01/16/25, 589.00, 589.00, 575.50, 577.25, 1117
01/15/25, 574.00, 590.00, 572.00, 578.25, 958
01/10/25, 590.00, 590.00, 570.00, 579.00, 4207
01/09/25, 599.00, 640.00, 570.00, 587.25, 24716
01/08/25, 560.00, 569.75, 560.00, 561.00, 1598
01/07/25, 550.00, 573.00, 542.00, 560.25, 3371
01/06/25, 550.00, 568.00, 532.00, 556.25, 5334
01/03/25, 570.00, 570.00, 531.00, 545.50, 16022
01/02/25, 565.00, 573.00, 565.00, 565.75, 14459
12/31/24, 574.75, 574.75, 565.25, 571.00, 2606
12/30/24, 581.25, 581.25, 570.00, 570.50, 13222
12/27/24, 577.50, 600.00, 577.50, 581.25, 1816
12/26/24, 574.00, 580.00, 560.25, 574.50, 5788
12/24/24, 566.50, 573.75, 556.25, 570.00, 5583
12/23/24, 585.00, 585.00, 567.00, 569.00, 3723
12/20/24, 535.00, 598.00, 526.25, 577.00, 16462
12/19/24, 544.00, 545.00, 536.75, 538.75, 5134
12/18/24, 525.50, 544.25, 524.75, 542.50, 4827
12/17/24, 534.00, 545.00, 525.25, 526.00, 5582
12/16/24, 517.50, 534.00, 517.50, 531.25, 4828
12/13/24, 517.00, 529.50, 515.00, 526.25, 4919
12/12/24, 522.00, 528.00, 516.25, 520.00, 725
12/11/24, 525.00, 529.00, 519.00, 519.00, 2936
12/10/24, 520.00, 529.00, 515.25, 522.50, 4587
12/09/24, 513.50, 520.00, 505.50, 519.75, 2702
12/06/24, 515.00, 515.00, 504.00, 514.00, 1932
12/05/24, 520.00, 530.00, 506.00, 515.00, 3268
12/04/24, 509.75, 529.50, 501.50, 515.00, 9895
12/03/24, 487.00, 500.00, 484.00, 495.75, 5054
12/02/24, 491.75, 492.00, 477.00, 481.00, 13846
11/29/24, 492.00, 499.00, 480.25, 491.25, 2990
11/28/24, 476.00, 490.00, 470.00, 481.50, 5162
11/27/24, 460.00, 475.00, 460.00, 472.00, 5006
11/26/24, 459.75, 470.00, 456.00, 460.50, 3815
11/25/24, 461.75, 463.75, 450.25, 454.50, 12618
11/22/24, 462.25, 468.50, 462.00, 464.00, 720
11/21/24, 464.00, 470.00, 461.75, 463.50, 5021
11/20/24, 466.00, 466.00, 460.25, 464.00, 193
11/19/24, 460.00, 466.00, 459.00, 461.00, 1321
11/18/24, 459.25, 466.00, 459.25, 460.00, 13614
11/14/24, 455.25, 459.00, 454.75, 458.75, 3140
11/13/24, 460.00, 460.00, 455.50, 456.75, 2526
11/12/24, 457.00, 457.25, 455.00, 457.00, 2380
11/11/24, 457.00, 457.00, 452.00, 457.00, 6014
11/08/24, 451.00, 457.25, 451.00, 455.75, 3784
11/07/24, 455.00, 455.00, 450.50, 451.00, 1591
11/06/24, 460.00, 460.00, 450.00, 450.50, 5101
11/05/24, 449.00, 460.00, 449.00, 451.25, 11957
11/04/24, 448.00, 450.00, 447.00, 449.00, 1329
11/01/24, 440.00, 455.00, 439.00, 452.50, 4018
10/30/24, 443.00, 449.75, 440.00, 441.50, 4054
10/29/24, 440.00, 443.00, 435.00, 443.00, 1607
10/28/24, 435.00, 442.00, 435.00, 440.00, 1163
10/25/24, 439.00, 439.00, 432.50, 435.00, 219
10/24/24, 432.25, 440.00, 432.00, 438.75, 576
10/23/24, 436.25, 437.00, 432.25, 435.75, 749
10/22/24, 440.00, 442.00, 436.00, 437.00, 605
10/21/24, 430.00, 444.00, 429.50, 440.00, 7543
10/18/24, 430.00, 437.00, 427.50, 430.00, 2096
10/16/24, 430.00, 430.00, 428.75, 430.00, 1552
10/15/24, 437.00, 437.00, 429.75, 430.00, 1372
10/14/24, 438.00, 438.00, 431.50, 433.50, 122
10/11/24, 438.50, 438.50, 435.00, 438.00, 1126
10/10/24, 438.50, 438.50, 430.00, 434.50, 792
10/09/24, 438.00, 438.50, 438.00, 438.00, 993
10/08/24, 435.00, 440.00, 430.50, 436.75, 793
10/07/24, 430.00, 435.00, 430.00, 431.25, 102
10/04/24, 433.75, 475.00, 426.50, 427.25, 2153
10/03/24, 433.75, 434.00, 421.00, 421.25, 243
10/02/24, 437.00, 437.00, 420.00, 427.75, 1963
10/01/24, 421.00, 431.75, 420.00, 420.50, 302
09/30/24, 432.50, 432.50, 420.00, 420.50, 1086
09/27/24, 427.75, 444.00, 411.00, 432.50, 1639
09/26/24, 420.00, 429.00, 410.00, 410.25, 1811
09/25/24, 410.00, 420.00, 406.50, 418.50, 2732
09/24/24, 405.00, 410.00, 405.00, 408.00, 664
09/23/24, 410.00, 410.00, 399.50, 406.50, 870
09/20/24, 407.00, 407.00, 399.75, 400.00, 3122
09/19/24, 407.00, 410.00, 403.25, 406.50, 654
09/18/24, 399.75, 405.00, 399.75, 400.50, 860
09/13/24, 395.00, 399.75, 395.00, 395.00, 3848
09/12/24, 394.75, 399.00, 393.50, 396.00, 223
09/11/24, 400.00, 400.00, 395.00, 395.50, 2739
09/10/24, 409.50, 409.75, 395.00, 400.00, 3791
09/09/24, 400.00, 409.50, 393.50, 400.00, 724
09/06/24, 410.00, 410.00, 398.00, 400.00, 4734
09/05/24, 400.00, 400.00, 398.00, 400.00, 1483
09/04/24, 390.00, 423.00, 390.00, 400.00, 6542
09/03/24, 395.00, 395.00, 390.00, 390.00, 1995
09/02/24, 399.75, 400.00, 390.00, 390.00, 2696
08/30/24, 398.00, 400.00, 398.00, 399.75, 3752
08/29/24, 400.00, 400.00, 396.25, 397.75, 376
08/28/24, 403.00, 403.00, 396.25, 398.00, 478
08/27/24, 401.50, 403.75, 395.00, 398.00, 171
08/26/24, 407.00, 409.75, 400.00, 400.00, 2316
08/23/24, 407.75, 409.50, 405.00, 406.00, 427
08/22/24, 409.75, 409.75, 408.00, 408.00, 528
08/21/24, 420.00, 420.00, 410.00, 410.00, 2137
08/20/24, 427.00, 427.00, 420.00, 420.00, 158
08/16/24, 419.75, 427.75, 417.25, 420.00, 558
08/15/24, 407.50, 414.00, 407.50, 414.00, 561
08/14/24, 405.25, 408.00, 405.00, 407.75, 366
08/13/24, 407.00, 407.75, 407.00, 400.00, 73
08/12/24, 407.00, 408.25, 407.00, 400.00, 70
08/09/24, 400.00, 405.00, 400.00, 400.00, 9
08/08/24, 408.75, 408.75, 400.00, 400.00, 8591
08/07/24, 408.75, 408.75, 408.75, 408.75, 50
08/06/24, 408.00, 410.00, 408.00, 408.75, 1048
08/05/24, 428.25, 428.25, 409.00, 410.00, 1033
08/02/24, 430.00, 435.00, 430.00, 433.50, 117
08/01/24, 437.75, 437.75, 430.00, 430.50, 610
07/31/24, 438.25, 438.25, 434.00, 436.00, 416
07/30/24, 438.00, 438.75, 438.00, 438.25, 181
07/29/24, 438.00, 439.00, 438.00, 438.75, 2230
07/26/24, 432.00, 439.00, 427.00, 438.00, 3725
07/25/24, 432.00, 432.00, 416.00, 425.50, 64
07/24/24, 414.50, 432.00, 414.50, 425.50, 1173
07/23/24, 412.00, 427.50, 412.00, 413.50, 153
07/22/24, 419.75, 419.75, 401.00, 409.25, 1019
07/19/24, 422.00, 422.00, 422.00, 422.25, 3
07/18/24, 421.00, 431.00, 420.00, 422.25, 885
07/17/24, 420.25, 435.00, 420.25, 422.25, 2
