Date, Open, High, Low, Close, Volume
04/24/25, 375.00, 380.00, 369.25, 370.00, 2471
04/23/25, 369.00, 384.00, 369.00, 369.25, 25
04/22/25, 370.00, 375.00, 368.00, 369.25, 384
04/21/25, 384.00, 384.00, 378.00, 375.00, 51
04/17/25, 375.00, 375.00, 375.00, 375.00, 523
04/16/25, 378.00, 378.00, 375.00, 376.00, 1130
04/11/25, 375.00, 375.00, 360.00, 375.00, 655
04/10/25, 384.00, 384.50, 365.00, 377.00, 2071
04/09/25, 366.00, 366.00, 360.00, 360.00, 2644
04/08/25, 365.00, 379.25, 365.00, 371.25, 1635
04/07/25, 384.00, 384.00, 350.00, 365.50, 12993
04/04/25, 390.00, 390.00, 355.00, 383.75, 1748
04/03/25, 399.00, 399.00, 390.00, 398.00, 198
04/02/25, 400.00, 400.00, 399.75, 388.25, 15
04/01/25, 379.00, 390.00, 379.00, 388.25, 663
03/28/25, 388.00, 388.00, 387.25, 386.75, 19
03/27/25, 388.00, 388.00, 386.75, 386.75, 85
03/26/25, 387.75, 388.00, 379.00, 386.75, 235
03/25/25, 388.00, 388.00, 374.00, 384.00, 1174
03/24/25, 385.25, 387.75, 378.00, 379.75, 270
03/21/25, 383.75, 385.00, 379.00, 382.75, 496
03/20/25, 372.00, 385.00, 372.00, 371.00, 53
03/19/25, 375.00, 375.00, 370.00, 371.00, 376
03/18/25, 383.25, 383.25, 374.00, 376.25, 1424
03/17/25, 379.75, 388.00, 377.00, 383.25, 60
03/14/25, 377.00, 390.00, 377.00, 383.25, 2209
03/12/25, 377.00, 377.00, 374.25, 376.75, 2876
03/11/25, 378.00, 379.75, 378.00, 378.00, 767
03/10/25, 382.50, 382.50, 380.00, 380.00, 1374
03/07/25, 383.00, 389.50, 382.00, 382.50, 1208
03/06/25, 385.00, 389.50, 380.00, 382.00, 712
03/05/25, 381.00, 389.50, 381.00, 388.00, 1498
03/04/25, 384.00, 393.75, 380.00, 380.75, 1878
03/03/25, 396.00, 396.00, 380.00, 383.25, 556
02/28/25, 397.75, 398.00, 391.00, 396.25, 349
02/27/25, 397.75, 397.75, 397.50, 397.75, 132
02/25/25, 393.75, 398.75, 389.00, 391.00, 3574
02/24/25, 399.00, 399.00, 393.25, 398.00, 1216
02/21/25, 403.50, 403.50, 398.00, 399.75, 1640
02/20/25, 403.50, 403.50, 398.25, 399.75, 4102
02/19/25, 414.75, 414.75, 400.00, 403.50, 1956
02/18/25, 418.50, 418.50, 400.25, 409.75, 6111
02/17/25, 440.00, 440.00, 380.00, 417.25, 43271
02/14/25, 442.25, 474.75, 442.25, 446.75, 2784
02/13/25, 458.75, 458.75, 443.00, 453.00, 155
02/11/25, 450.00, 454.00, 442.50, 447.25, 1493
02/10/25, 455.00, 468.00, 441.75, 468.00, 1763
02/07/25, 455.00, 470.00, 451.00, 468.00, 2629
02/06/25, 437.00, 475.00, 430.00, 459.50, 5961
02/05/25, 460.00, 460.00, 430.00, 437.50, 14587
02/03/25, 468.00, 485.00, 447.50, 470.00, 10154
01/31/25, 480.50, 489.00, 462.75, 485.00, 295
01/30/25, 495.00, 495.00, 478.00, 480.50, 1414
01/29/25, 498.75, 498.75, 475.00, 478.00, 1473
01/28/25, 460.50, 500.00, 460.50, 493.50, 3452
01/27/25, 480.00, 495.00, 462.50, 475.00, 7013
01/24/25, 467.00, 480.00, 467.00, 478.25, 6663
01/23/25, 458.50, 475.00, 437.25, 472.50, 15459
01/22/25, 435.25, 460.00, 435.00, 455.25, 16979
01/21/25, 445.00, 460.00, 435.00, 451.00, 23933
01/20/25, 450.00, 450.00, 440.00, 440.00, 8699
01/17/25, 444.00, 444.00, 430.00, 437.00, 3883
01/16/25, 439.00, 448.75, 435.00, 438.50, 12908
01/15/25, 400.00, 439.00, 400.00, 423.50, 48031
01/10/25, 373.00, 399.00, 373.00, 394.00, 8832
01/09/25, 374.00, 390.00, 363.75, 373.25, 11025
01/08/25, 365.00, 375.00, 356.00, 361.50, 9319
01/07/25, 364.75, 365.00, 350.00, 358.75, 7061
01/06/25, 368.00, 375.00, 350.00, 350.75, 7108
01/03/25, 371.00, 379.00, 355.00, 362.25, 4180
01/02/25, 394.00, 394.00, 367.00, 369.75, 4376
12/31/24, 395.00, 395.00, 380.00, 386.50, 2639
12/30/24, 384.00, 449.50, 384.00, 393.25, 755
12/27/24, 388.00, 395.00, 380.00, 386.00, 2276
12/26/24, 388.00, 388.00, 380.25, 381.00, 611
12/24/24, 390.00, 397.75, 380.00, 386.50, 1077
12/23/24, 377.00, 390.00, 377.00, 384.75, 6214
12/20/24, 399.50, 400.00, 378.00, 390.00, 4035
12/19/24, 342.50, 400.00, 342.50, 391.75, 26068
12/18/24, 340.00, 341.00, 328.00, 340.25, 3395
12/17/24, 338.50, 340.25, 324.75, 338.00, 26963
12/16/24, 327.00, 338.75, 327.00, 337.50, 855
12/13/24, 341.00, 341.00, 320.00, 327.25, 4299
12/12/24, 342.75, 342.75, 334.00, 339.50, 1495
12/11/24, 339.00, 340.00, 339.00, 340.00, 412
12/10/24, 340.00, 347.00, 333.75, 336.25, 957
12/09/24, 341.75, 341.75, 331.50, 337.25, 591
12/06/24, 336.00, 344.50, 331.50, 332.00, 1629
12/05/24, 344.50, 344.50, 337.50, 337.75, 558
12/04/24, 345.00, 349.00, 339.00, 340.00, 5029
12/03/24, 339.25, 346.25, 339.25, 343.00, 1391
12/02/24, 343.00, 346.00, 339.00, 340.00, 500
11/29/24, 345.75, 350.00, 338.75, 341.50, 1211
11/28/24, 354.00, 356.00, 342.25, 346.50, 2572
11/27/24, 358.75, 358.75, 336.25, 343.25, 2085
11/26/24, 335.00, 360.00, 335.00, 348.75, 1288
11/25/24, 339.00, 360.00, 330.25, 335.75, 3102
11/22/24, 307.50, 370.00, 307.50, 352.50, 25597
11/21/24, 315.00, 316.50, 296.25, 307.75, 18390
11/20/24, 300.00, 318.00, 299.00, 314.75, 5742
11/19/24, 281.00, 300.00, 269.00, 299.00, 29813
11/18/24, 250.25, 285.00, 250.25, 279.00, 36378
11/14/24, 235.00, 268.00, 235.00, 249.50, 19387
11/13/24, 226.00, 234.75, 226.00, 235.00, 75
11/12/24, 238.00, 238.00, 235.00, 235.00, 3257
11/11/24, 238.50, 239.00, 232.00, 238.25, 968
11/08/24, 238.50, 238.50, 238.50, 238.50, 213
11/07/24, 239.00, 239.00, 234.00, 239.00, 101
11/06/24, 240.00, 240.00, 234.00, 240.00, 964
11/05/24, 231.50, 240.00, 231.50, 235.25, 18
11/04/24, 235.25, 235.25, 235.25, 235.25, 100
11/01/24, 240.00, 243.00, 235.25, 243.00, 5113
