Date, Open, High, Low, Close, Volume
04/24/25, 45.90, 45.90, 45.90, 45.90, 38
04/23/25, 44.50, 44.50, 44.50, 45.90, 10
04/22/25, 45.90, 45.90, 44.40, 45.90, 161
04/21/25, 43.20, 50.00, 43.20, 45.90, 17698
04/17/25, 42.60, 45.50, 42.60, 45.40, 130
04/11/25, 40.20, 45.90, 40.20, 45.20, 862
04/09/25, 44.80, 44.80, 44.70, 42.70, 14
04/08/25, 42.50, 44.00, 42.50, 42.70, 177
04/07/25, 40.50, 46.00, 40.10, 43.00, 1013
04/04/25, 41.10, 44.40, 37.10, 38.50, 551
04/03/25, 44.30, 45.00, 44.30, 44.50, 152
04/02/25, 47.00, 47.00, 47.00, 44.30, 10
04/01/25, 44.30, 44.30, 44.30, 44.30, 644
03/27/25, 46.50, 46.50, 46.50, 44.30, 1
03/25/25, 47.00, 47.00, 44.00, 44.30, 2260
03/24/25, 46.00, 46.00, 46.00, 46.00, 100
03/21/25, 43.00, 46.50, 43.00, 46.90, 9
03/20/25, 44.90, 47.00, 44.90, 46.90, 400
03/19/25, 43.90, 44.20, 43.90, 44.00, 1018
03/18/25, 44.00, 44.00, 44.00, 44.00, 5
03/17/25, 41.00, 44.00, 41.00, 44.00, 76
03/14/25, 41.00, 41.10, 41.00, 44.00, 6
03/12/25, 41.00, 44.00, 41.00, 44.00, 5100
03/11/25, 43.00, 44.50, 43.00, 43.10, 3238
03/10/25, 42.00, 44.50, 42.00, 44.40, 429
03/07/25, 44.30, 44.30, 42.00, 44.20, 655
03/06/25, 44.50, 44.50, 44.00, 44.00, 251
03/05/25, 39.60, 43.50, 39.60, 43.30, 653
03/04/25, 43.00, 43.00, 43.00, 43.00, 105
03/03/25, 43.00, 43.00, 42.90, 43.00, 1887
02/28/25, 43.00, 43.10, 40.40, 43.00, 884
02/27/25, 43.50, 43.50, 43.30, 40.20, 10
02/25/25, 43.90, 43.90, 40.20, 40.20, 505
02/24/25, 40.00, 40.10, 40.00, 40.00, 1991
02/21/25, 42.20, 42.20, 38.70, 40.10, 5408
02/20/25, 42.20, 42.20, 42.20, 42.20, 3900
02/19/25, 46.10, 46.10, 42.20, 43.50, 32
02/18/25, 43.50, 43.50, 43.00, 43.50, 938
02/17/25, 43.00, 46.50, 43.00, 43.00, 55
02/14/25, 43.00, 43.00, 43.00, 43.00, 990
02/10/25, 43.80, 43.80, 43.50, 43.80, 1025
02/07/25, 40.20, 43.60, 40.20, 40.40, 190
02/06/25, 42.00, 42.00, 40.10, 40.20, 225
02/05/25, 43.90, 43.90, 41.90, 42.00, 10
02/03/25, 42.10, 42.10, 42.10, 42.00, 1
01/31/25, 42.00, 42.00, 41.80, 42.00, 212
01/30/25, 44.00, 44.00, 43.00, 43.00, 301
01/29/25, 43.50, 46.80, 42.10, 42.20, 5587
01/28/25, 41.30, 47.80, 41.30, 42.20, 1082
01/27/25, 43.50, 45.60, 43.50, 43.50, 23501
01/24/25, 43.70, 45.00, 43.70, 44.10, 2632
01/23/25, 43.80, 43.80, 43.80, 43.80, 100
01/21/25, 43.00, 43.30, 42.50, 43.10, 297
01/20/25, 44.00, 44.00, 42.40, 42.50, 587
01/17/25, 44.10, 44.10, 42.00, 42.10, 4405
01/16/25, 40.90, 45.20, 40.90, 43.80, 4585
01/15/25, 40.00, 40.90, 40.00, 40.30, 2922
01/10/25, 40.20, 40.20, 38.00, 38.30, 14831
