Date, Open, High, Low, Close, Volume
04/23/25, 4.10, 4.10, 4.10, 4.10, 1005
04/22/25, 4.20, 4.40, 4.10, 4.20, 2283
04/21/25, 4.30, 4.50, 4.10, 4.20, 45744
04/17/25, 4.30, 4.30, 4.20, 4.20, 4873
04/16/25, 4.50, 4.50, 4.40, 4.40, 1966
04/11/25, 4.50, 4.50, 4.30, 4.40, 3771
04/10/25, 4.40, 4.50, 4.40, 4.40, 12213
04/09/25, 4.10, 4.50, 4.00, 4.50, 53129
04/08/25, 4.00, 4.20, 4.00, 4.20, 5837
04/07/25, 4.00, 4.00, 3.90, 4.00, 2530
04/04/25, 4.10, 4.10, 3.90, 4.00, 10525
04/03/25, 4.20, 4.20, 4.10, 4.10, 2100
04/02/25, 4.10, 4.40, 4.10, 4.20, 40736
04/01/25, 4.20, 4.20, 4.00, 4.10, 2793
03/26/25, 4.00, 4.20, 3.90, 3.90, 32202
03/25/25, 4.20, 4.20, 3.90, 3.90, 34013
03/24/25, 4.00, 4.20, 3.90, 4.00, 53801
03/21/25, 4.20, 4.20, 3.90, 3.90, 9497
03/20/25, 4.10, 4.20, 4.00, 4.00, 8703
03/19/25, 4.20, 4.20, 4.00, 4.00, 13388
03/18/25, 4.20, 4.30, 4.00, 4.20, 63029
03/17/25, 4.40, 4.40, 4.10, 4.10, 19449
03/14/25, 4.40, 4.40, 4.10, 4.20, 11002
03/12/25, 4.10, 4.40, 4.10, 4.10, 5022
03/11/25, 4.40, 4.40, 4.00, 4.20, 121402
03/10/25, 4.50, 4.50, 4.40, 4.40, 8068
03/07/25, 4.70, 4.70, 4.70, 4.60, 14
03/06/25, 4.70, 4.70, 4.40, 4.60, 1342
03/05/25, 4.40, 4.60, 4.30, 4.40, 74657
03/04/25, 4.50, 4.60, 4.50, 4.50, 24217
03/03/25, 4.60, 4.60, 4.50, 4.50, 6001
02/28/25, 4.50, 4.60, 4.50, 4.60, 15442
02/27/25, 4.50, 4.50, 4.50, 4.50, 375
02/25/25, 4.50, 4.60, 4.50, 4.50, 101
02/24/25, 4.50, 4.60, 4.50, 4.60, 37758
02/21/25, 4.60, 4.60, 4.50, 4.50, 19655
02/20/25, 4.50, 4.60, 4.50, 4.60, 12604
02/19/25, 4.60, 4.60, 4.50, 4.60, 38078
02/18/25, 4.70, 4.70, 4.60, 4.70, 25
02/17/25, 4.70, 4.70, 4.70, 4.70, 109
02/14/25, 4.70, 4.70, 4.70, 4.70, 3760
02/13/25, 4.70, 4.70, 4.50, 4.70, 44925
02/11/25, 4.80, 4.80, 4.50, 4.50, 139338
02/10/25, 4.80, 4.80, 4.80, 4.80, 5
02/07/25, 4.70, 4.80, 4.70, 4.80, 2356
02/06/25, 4.80, 4.80, 4.60, 4.70, 8300
02/05/25, 4.90, 4.90, 4.70, 4.70, 23436
02/03/25, 4.90, 4.90, 4.90, 4.90, 1144
01/31/25, 4.90, 4.90, 4.90, 4.90, 27606
01/30/25, 4.90, 4.90, 4.80, 4.80, 19640
01/29/25, 4.80, 4.90, 4.80, 4.90, 12110
01/28/25, 4.90, 4.90, 4.80, 4.80, 10316
01/27/25, 4.80, 4.90, 4.80, 4.80, 23244
01/24/25, 4.80, 4.90, 4.80, 4.80, 14501
01/23/25, 4.80, 4.90, 4.70, 4.80, 20791
