Date, Open, High, Low, Close, Volume
04/24/25, 44.50, 44.90, 43.70, 43.70, 18263
04/23/25, 44.50, 44.80, 43.80, 44.00, 2813
04/22/25, 43.80, 45.00, 43.80, 44.20, 22117
04/21/25, 43.00, 44.90, 42.90, 43.80, 81693
04/17/25, 42.50, 43.00, 42.50, 43.00, 24492
04/16/25, 42.10, 43.40, 42.00, 42.70, 8726
04/11/25, 43.40, 43.40, 42.80, 43.00, 2504
04/10/25, 42.00, 44.00, 41.30, 43.70, 35352
04/09/25, 42.10, 42.10, 41.30, 41.30, 524
04/08/25, 39.50, 42.00, 39.50, 41.30, 11926
04/07/25, 42.00, 42.00, 39.00, 39.80, 181586
04/04/25, 43.00, 43.00, 41.80, 42.10, 39150
04/03/25, 43.80, 44.40, 42.90, 43.00, 119358
04/02/25, 44.40, 45.00, 44.30, 44.40, 48270
04/01/25, 42.90, 44.50, 42.90, 43.90, 4682
03/28/25, 44.50, 44.50, 42.70, 42.80, 28112
03/27/25, 44.50, 44.50, 44.00, 44.00, 5729
03/26/25, 44.50, 44.60, 44.00, 44.00, 528
03/25/25, 44.00, 44.50, 43.80, 44.00, 3810
03/24/25, 44.50, 44.60, 44.00, 44.00, 17862
03/21/25, 44.00, 44.60, 43.80, 44.40, 10447
03/20/25, 42.00, 44.40, 42.00, 44.00, 15979
03/19/25, 44.70, 44.80, 41.00, 42.60, 91648
03/18/25, 46.00, 46.00, 42.00, 42.40, 60025
03/17/25, 45.40, 45.40, 43.30, 43.50, 26667
03/14/25, 44.00, 46.50, 44.00, 44.70, 14151
03/12/25, 44.50, 44.50, 43.50, 44.40, 15929
03/11/25, 45.70, 46.50, 43.80, 44.90, 88657
03/10/25, 46.70, 46.70, 44.80, 45.70, 14853
03/07/25, 47.00, 47.00, 44.70, 45.10, 64668
03/06/25, 47.70, 47.70, 46.90, 47.00, 36397
03/05/25, 46.60, 47.80, 46.60, 47.60, 23274
03/04/25, 47.00, 47.00, 45.70, 45.90, 28713
03/03/25, 47.00, 47.90, 46.60, 46.70, 7218
02/28/25, 47.90, 48.00, 46.60, 47.00, 15470
02/27/25, 47.20, 47.80, 46.70, 47.00, 23770
02/25/25, 46.50, 47.80, 46.50, 46.90, 38077
02/24/25, 46.70, 47.00, 45.60, 46.10, 75466
02/21/25, 47.30, 47.90, 46.00, 46.40, 52040
02/20/25, 47.90, 47.90, 46.40, 47.30, 37485
02/19/25, 48.70, 48.70, 47.70, 48.00, 14334
02/18/25, 50.60, 50.80, 49.00, 49.30, 23157
02/17/25, 49.00, 50.90, 49.00, 50.20, 81858
02/14/25, 47.20, 49.00, 47.20, 48.30, 65763
02/13/25, 46.90, 47.70, 46.00, 47.50, 96215
02/11/25, 49.20, 49.20, 46.00, 47.10, 165896
02/10/25, 51.70, 51.90, 49.00, 49.60, 31635
02/07/25, 50.50, 51.70, 50.00, 50.70, 49196
02/06/25, 49.70, 51.00, 49.60, 50.50, 139054
02/05/25, 52.40, 53.00, 48.50, 49.80, 312912
02/03/25, 53.00, 53.50, 51.00, 52.30, 127023
01/31/25, 53.90, 54.10, 53.00, 53.70, 127374
01/30/25, 55.00, 55.50, 53.50, 54.10, 221619
01/29/25, 56.20, 56.60, 55.00, 55.30, 98406
01/28/25, 55.20, 56.70, 55.00, 55.60, 64718
01/27/25, 54.10, 57.50, 54.00, 55.80, 933110
01/24/25, 56.00, 57.00, 54.30, 55.00, 204736
01/23/25, 53.70, 56.00, 53.00, 55.10, 811562
01/22/25, 55.00, 55.00, 53.70, 53.90, 333780
01/21/25, 55.00, 55.50, 54.40, 54.90, 576942
01/20/25, 55.00, 55.80, 54.00, 55.10, 628376
01/17/25, 53.50, 54.50, 52.60, 54.10, 1696445
01/16/25, 53.00, 53.50, 52.90, 53.10, 180290
01/15/25, 52.50, 54.00, 52.50, 53.30, 158546
01/10/25, 52.00, 52.90, 51.10, 52.60, 127881
01/09/25, 54.00, 54.60, 51.70, 52.10, 460490
01/08/25, 52.00, 55.00, 52.00, 53.90, 1861092
01/07/25, 51.60, 52.70, 49.10, 52.20, 568943
01/06/25, 49.40, 53.10, 49.40, 51.80, 1182116
01/03/25, 50.00, 53.10, 47.00, 49.00, 1447898
01/02/25, 46.60, 50.20, 46.40, 49.70, 881181
12/31/24, 46.50, 47.50, 46.50, 46.60, 65498
12/30/24, 46.50, 47.50, 46.40, 46.80, 241883
12/27/24, 47.00, 47.40, 46.30, 46.60, 134880
12/26/24, 47.00, 47.50, 46.50, 46.90, 367899
12/24/24, 46.50, 47.50, 46.00, 46.20, 169280
12/23/24, 47.80, 47.80, 46.30, 46.50, 210025
12/20/24, 47.30, 47.90, 47.00, 47.60, 194051
12/19/24, 45.70, 48.00, 45.70, 47.30, 640423
12/18/24, 46.50, 47.00, 45.60, 46.30, 214895
12/17/24, 47.00, 47.00, 44.30, 46.00, 218792
12/16/24, 47.40, 48.00, 46.00, 46.20, 200985
12/13/24, 45.70, 47.80, 45.70, 47.60, 825107
12/12/24, 46.10, 46.50, 45.50, 45.70, 148249
12/11/24, 46.90, 47.30, 46.00, 46.20, 302576
12/10/24, 48.00, 48.40, 46.00, 46.60, 237525
12/09/24, 47.00, 48.90, 46.50, 48.00, 950152
12/06/24, 43.50, 47.00, 43.50, 46.30, 1350703
12/05/24, 42.50, 43.60, 41.90, 43.20, 935062
12/04/24, 41.50, 42.50, 41.40, 41.70, 222191
12/03/24, 42.70, 43.00, 41.30, 41.50, 248399
12/02/24, 41.10, 43.20, 41.10, 42.90, 906868
11/29/24, 38.00, 41.70, 37.50, 40.40, 3574501
11/28/24, 37.60, 39.00, 37.40, 37.50, 1346412
11/27/24, 37.10, 37.60, 37.00, 37.40, 55288
11/26/24, 36.30, 37.70, 36.30, 37.10, 12878
11/25/24, 37.20, 37.20, 36.40, 36.50, 202378
11/22/24, 36.80, 38.00, 36.80, 37.20, 68895
11/21/24, 38.00, 38.00, 36.50, 36.80, 73635
11/20/24, 38.60, 40.10, 38.50, 38.80, 210340
11/19/24, 39.30, 39.30, 38.10, 38.90, 71446
11/18/24, 39.50, 39.50, 38.90, 38.90, 152970
11/14/24, 39.30, 39.30, 38.40, 38.80, 63607
11/13/24, 37.90, 39.40, 37.50, 39.10, 1212515
11/12/24, 37.00, 38.00, 36.90, 37.50, 691941
11/11/24, 36.00, 36.40, 36.00, 36.10, 83127
11/08/24, 35.60, 36.70, 35.60, 36.00, 190378
11/07/24, 35.00, 35.50, 35.00, 35.40, 42208
11/06/24, 34.30, 35.00, 34.10, 34.50, 58351
11/05/24, 35.00, 35.40, 33.80, 34.40, 70464
11/04/24, 35.50, 35.60, 34.60, 34.60, 35426
11/01/24, 35.50, 35.50, 34.90, 35.10, 16538
10/30/24, 35.50, 35.80, 35.00, 35.50, 53401
10/29/24, 35.50, 36.20, 35.50, 35.60, 133113
10/28/24, 33.50, 36.50, 33.50, 35.20, 330819
10/25/24, 34.20, 34.30, 30.50, 33.60, 10851
10/24/24, 33.40, 34.30, 33.40, 33.50, 5777
10/23/24, 34.00, 34.40, 33.50, 34.40, 18186
10/22/24, 33.50, 34.60, 33.40, 33.50, 15827
10/21/24, 33.90, 34.60, 33.60, 33.90, 41740
10/18/24, 33.70, 34.40, 33.60, 34.00, 34205
10/16/24, 34.60, 34.80, 33.70, 34.00, 31090
10/15/24, 33.40, 35.30, 33.40, 34.60, 23851
10/14/24, 34.00, 35.40, 33.40, 34.40, 50711
10/11/24, 33.40, 34.00, 33.20, 33.50, 47059
10/10/24, 33.00, 33.50, 33.00, 33.20, 41036
10/09/24, 33.00, 33.40, 33.00, 33.00, 108143
10/08/24, 33.00, 33.00, 32.60, 33.00, 92562
10/07/24, 33.00, 33.10, 32.20, 33.00, 65931
10/04/24, 33.00, 33.30, 32.20, 33.10, 23252
10/03/24, 32.20, 33.50, 32.20, 32.90, 23867
10/02/24, 33.30, 33.30, 32.20, 32.40, 20706
10/01/24, 32.70, 33.30, 32.70, 33.00, 20219
09/30/24, 33.00, 33.20, 33.00, 33.00, 114351
09/27/24, 33.00, 33.00, 32.10, 32.50, 17873
09/26/24, 32.60, 33.80, 32.50, 32.50, 76839
09/25/24, 32.50, 33.20, 32.50, 32.90, 13884
09/24/24, 31.50, 33.20, 31.00, 32.50, 28818
09/23/24, 31.00, 31.90, 30.70, 31.00, 3255
09/20/24, 31.50, 31.50, 31.50, 31.50, 6430
09/19/24, 31.00, 31.50, 31.00, 31.40, 12555
09/18/24, 30.20, 30.90, 30.20, 30.50, 1728
09/13/24, 30.00, 30.00, 30.00, 30.00, 4450
09/12/24, 29.40, 30.20, 29.40, 29.80, 4191
09/11/24, 29.40, 30.20, 29.10, 29.70, 61646
09/10/24, 29.70, 30.10, 29.10, 29.20, 17069
09/09/24, 29.80, 29.90, 29.70, 29.70, 18898
09/06/24, 30.00, 30.40, 29.90, 29.90, 80710
09/05/24, 30.40, 30.40, 29.80, 30.00, 43593
09/04/24, 29.80, 30.40, 29.80, 30.10, 37323
09/03/24, 31.50, 31.50, 29.90, 29.90, 6652
09/02/24, 30.40, 30.40, 30.00, 30.00, 58382
08/30/24, 30.40, 30.60, 30.30, 30.50, 11076
08/29/24, 30.20, 32.40, 30.20, 30.40, 7836
08/28/24, 31.50, 31.90, 30.00, 30.10, 86205
08/27/24, 31.80, 31.80, 31.50, 31.60, 4562
08/26/24, 32.20, 32.20, 31.60, 32.00, 6079
08/23/24, 32.80, 32.80, 32.20, 32.20, 1302
08/22/24, 32.40, 32.80, 32.20, 32.50, 3229
08/21/24, 32.10, 32.50, 32.10, 32.30, 2987
08/20/24, 32.20, 32.80, 32.00, 32.50, 3573
08/16/24, 32.90, 32.90, 32.10, 32.10, 5584
08/15/24, 32.30, 33.30, 32.30, 32.60, 14086
08/14/24, 32.60, 33.40, 32.00, 32.40, 24752
08/12/24, 33.70, 33.70, 32.50, 32.50, 2002
08/09/24, 32.10, 32.70, 32.00, 32.50, 5997
08/08/24, 32.00, 32.70, 32.00, 32.00, 4921
08/07/24, 32.10, 32.70, 32.00, 32.00, 6730
08/06/24, 32.80, 32.80, 32.00, 32.00, 22500
08/05/24, 32.70, 32.80, 32.60, 32.60, 28682
08/02/24, 33.50, 33.50, 32.70, 33.20, 1700
08/01/24, 32.20, 33.50, 32.20, 33.00, 11987
07/31/24, 33.00, 33.00, 32.50, 32.50, 85457
07/30/24, 33.60, 34.40, 32.60, 33.00, 12974
07/29/24, 33.00, 34.20, 33.00, 33.80, 1075
07/26/24, 34.20, 34.90, 32.60, 34.30, 21108
07/25/24, 32.60, 34.20, 32.60, 33.80, 12002
07/24/24, 33.30, 34.40, 32.80, 33.60, 3011
07/23/24, 32.60, 33.30, 32.60, 33.30, 8026
07/22/24, 32.70, 33.40, 32.50, 32.70, 2892
07/19/24, 33.10, 33.70, 33.00, 33.00, 7052
07/18/24, 33.50, 33.70, 33.00, 33.30, 14362
07/17/24, 33.50, 33.50, 33.10, 33.50, 310
07/16/24, 33.10, 33.50, 33.00, 33.10, 8038
07/15/24, 34.00, 34.00, 33.00, 33.00, 2091
07/12/24, 34.00, 34.00, 32.90, 32.90, 3398
07/11/24, 34.30, 34.30, 33.00, 33.70, 10347
07/10/24, 33.00, 34.20, 32.90, 33.00, 1095560
07/09/24, 34.30, 34.30, 33.00, 33.20, 28060
07/08/24, 34.70, 34.70, 33.00, 33.00, 6795
07/05/24, 33.60, 34.60, 32.80, 34.00, 6823
07/04/24, 34.90, 34.90, 33.60, 33.60, 1751
07/03/24, 34.90, 34.90, 34.00, 34.40, 110
07/02/24, 34.00, 34.90, 33.10, 34.50, 65712
07/01/24, 35.20, 35.20, 34.00, 34.10, 22482
06/28/24, 35.00, 35.20, 35.00, 35.10, 12985
06/27/24, 35.20, 35.20, 35.00, 35.00, 12915
06/26/24, 35.20, 35.20, 35.00, 35.10, 17409
06/25/24, 35.10, 35.20, 35.00, 35.00, 17214
06/24/24, 35.30, 35.30, 35.00, 35.00, 22049
06/20/24, 35.10, 35.50, 35.10, 35.10, 2158
06/19/24, 35.00, 35.30, 35.00, 35.00, 26364
06/18/24, 35.10, 35.20, 35.00, 35.00, 75904
06/14/24, 35.00, 35.10, 34.70, 35.00, 35138
06/13/24, 34.70, 35.90, 34.70, 35.00, 9602
06/12/24, 36.00, 36.00, 34.60, 34.80, 18598
06/11/24, 35.00, 36.30, 34.60, 35.50, 537805
06/10/24, 35.20, 35.50, 34.60, 34.60, 12788
06/07/24, 35.00, 35.20, 34.90, 35.00, 27792
06/06/24, 34.90, 35.10, 34.70, 35.00, 11393
06/05/24, 34.00, 34.80, 34.00, 34.60, 143392
06/04/24, 33.50, 34.00, 33.50, 34.00, 126
06/03/24, 34.20, 34.20, 33.50, 33.50, 2705
05/31/24, 34.20, 34.20, 33.20, 33.50, 6570
05/30/24, 33.00, 34.20, 33.00, 34.00, 188696
05/29/24, 33.10, 33.40, 33.00, 33.20, 16368
05/28/24, 33.20, 33.90, 33.10, 33.40, 55683
05/27/24, 33.40, 34.00, 33.20, 33.70, 9330
05/22/24, 33.00, 33.50, 33.00, 33.40, 10861
05/21/24, 33.30, 33.50, 32.90, 33.10, 26185
05/20/24, 34.00, 34.00, 33.20, 33.30, 2313
05/17/24, 34.00, 34.00, 33.10, 33.30, 24671
05/16/24, 34.00, 34.30, 32.70, 33.40, 82886
05/15/24, 34.70, 34.70, 34.00, 34.00, 35188
05/14/24, 34.90, 34.90, 34.20, 34.20, 61446
05/13/24, 34.40, 34.70, 34.20, 34.50, 435923
05/10/24, 34.00, 34.70, 33.70, 34.20, 22911
05/09/24, 34.40, 34.50, 34.10, 34.30, 28461
05/08/24, 34.50, 34.50, 34.20, 34.20, 10260
05/07/24, 34.40, 34.50, 34.20, 34.20, 56254
05/06/24, 34.10, 34.90, 34.10, 34.20, 67392
05/03/24, 34.10, 34.90, 34.10, 34.40, 58339
05/02/24, 34.00, 35.00, 34.00, 34.50, 269143
04/30/24, 35.00, 35.40, 34.00, 35.00, 37647
04/29/24, 35.00, 35.50, 34.30, 34.50, 113377
04/26/24, 34.50, 35.00, 34.00, 34.50, 101583
04/25/24, 34.80, 34.80, 34.00, 34.50, 6543
04/24/24, 33.00, 34.80, 33.00, 34.50, 140161
04/22/24, 33.50, 33.50, 32.30, 32.80, 6975
04/19/24, 33.50, 33.50, 32.50, 33.00, 100054
04/18/24, 32.70, 33.50, 32.60, 32.70, 25718
04/17/24, 32.90, 33.50, 32.40, 33.00, 55701
04/16/24, 33.10, 33.20, 32.50, 32.70, 27483
04/15/24, 33.40, 33.90, 33.00, 33.30, 59182
04/10/24, 33.30, 34.00, 33.20, 33.40, 6607
04/09/24, 34.90, 34.90, 33.10, 33.40, 40089
