Date, Open, High, Low, Close, Volume
04/24/25, 14.40, 14.90, 14.30, 14.70, 1696466
04/23/25, 13.70, 14.40, 13.70, 14.10, 1668097
04/22/25, 13.70, 13.80, 13.50, 13.70, 222302
04/21/25, 13.50, 13.70, 13.20, 13.60, 525774
04/17/25, 13.40, 13.60, 13.30, 13.40, 205469
04/16/25, 13.30, 13.40, 13.10, 13.30, 396381
04/11/25, 13.30, 13.30, 13.00, 13.20, 290827
04/10/25, 13.40, 13.40, 13.20, 13.20, 261320
04/09/25, 13.10, 13.20, 12.90, 13.00, 488830
04/08/25, 13.00, 13.40, 12.90, 13.20, 541384
04/07/25, 12.90, 12.90, 12.10, 12.80, 919325
04/04/25, 13.40, 13.50, 12.80, 13.20, 1015519
04/03/25, 13.70, 13.80, 13.40, 13.40, 464274
04/02/25, 13.70, 13.90, 13.50, 13.80, 460809
04/01/25, 13.30, 14.10, 13.20, 13.40, 1734807
03/28/25, 13.30, 13.30, 13.10, 13.10, 5121243
03/27/25, 13.20, 13.30, 13.10, 13.20, 412829
03/26/25, 13.10, 13.10, 13.00, 13.00, 23592
03/25/25, 13.20, 13.20, 13.00, 13.00, 116071
03/24/25, 13.20, 13.30, 13.00, 13.00, 138432
03/21/25, 13.20, 13.30, 13.10, 13.30, 250346
03/20/25, 13.20, 13.20, 12.90, 13.10, 208105
03/19/25, 12.80, 13.10, 12.80, 13.00, 197463
03/18/25, 13.20, 13.20, 12.80, 12.90, 172656
03/17/25, 13.30, 13.30, 12.90, 13.00, 149863
03/14/25, 13.20, 13.50, 13.10, 13.30, 7807122
03/12/25, 13.00, 13.20, 13.00, 13.20, 164686
03/11/25, 13.10, 13.10, 12.90, 13.00, 1402800
03/10/25, 13.30, 13.30, 13.00, 13.10, 156274
03/07/25, 13.30, 13.30, 13.10, 13.20, 499585
03/06/25, 12.90, 13.30, 12.90, 13.20, 1249769
03/05/25, 12.50, 12.90, 12.50, 12.70, 1543758
03/04/25, 12.40, 12.60, 12.30, 12.40, 441060
03/03/25, 12.90, 12.90, 12.40, 12.50, 430351
02/28/25, 12.70, 12.90, 12.70, 12.70, 150887
02/27/25, 12.70, 12.90, 12.40, 12.80, 616548
02/25/25, 13.20, 13.20, 12.80, 13.00, 1547322
02/24/25, 13.30, 13.40, 12.90, 13.00, 879408
02/21/25, 13.50, 13.50, 13.30, 13.30, 831780
02/20/25, 13.40, 13.50, 13.20, 13.40, 2342035
02/19/25, 13.30, 13.40, 13.00, 13.30, 828606
02/18/25, 13.00, 13.40, 12.90, 13.30, 6240697
02/17/25, 12.90, 13.00, 12.60, 12.90, 2740148
02/14/25, 12.40, 12.90, 12.40, 12.80, 3219300
02/13/25, 12.20, 12.40, 12.10, 12.30, 399351
02/11/25, 12.30, 12.30, 12.00, 12.10, 981612
02/10/25, 12.50, 12.60, 12.20, 12.40, 221461
02/07/25, 12.20, 12.50, 12.10, 12.30, 2979934
02/06/25, 12.10, 12.40, 12.00, 12.30, 1069021
02/05/25, 12.30, 12.50, 12.10, 12.20, 5271785
02/03/25, 12.50, 12.90, 12.40, 12.40, 862070
01/31/25, 12.90, 12.90, 12.40, 12.50, 812280
01/30/25, 12.90, 13.00, 12.60, 12.70, 509463
01/29/25, 12.90, 13.00, 12.70, 12.80, 510163
01/28/25, 12.60, 13.00, 12.60, 12.90, 1550542
01/27/25, 12.50, 12.60, 12.30, 12.60, 825330
01/24/25, 12.60, 12.70, 12.40, 12.50, 1325353
01/23/25, 12.80, 12.90, 12.50, 12.60, 1336999
01/22/25, 12.80, 13.10, 12.70, 12.80, 2430003
01/21/25, 12.80, 12.90, 12.30, 12.60, 1487475
01/20/25, 12.40, 12.80, 12.30, 12.80, 4258296
01/17/25, 12.00, 12.30, 12.00, 12.30, 2652151
01/16/25, 12.10, 12.10, 11.90, 12.00, 1397994
01/15/25, 12.10, 12.30, 11.90, 12.00, 496066
