Date, Open, High, Low, Close, Volume
04/24/25, 77.60, 78.00, 77.60, 77.70, 8648
04/23/25, 79.00, 79.00, 78.50, 77.80, 15
04/22/25, 79.00, 79.00, 77.50, 77.80, 30197
04/21/25, 79.00, 79.00, 78.10, 79.00, 19653
04/17/25, 78.40, 79.40, 78.40, 79.00, 3171
04/16/25, 79.30, 79.30, 76.10, 77.20, 2846
04/11/25, 78.20, 79.40, 77.00, 79.00, 23624
04/10/25, 79.70, 84.00, 78.00, 79.10, 40649
04/09/25, 78.00, 78.00, 77.00, 77.00, 115574
04/08/25, 76.70, 78.50, 75.60, 78.00, 101549
04/07/25, 79.00, 79.80, 74.80, 77.00, 84391
04/04/25, 79.80, 79.80, 78.00, 78.90, 111695
04/03/25, 80.10, 80.10, 79.50, 80.00, 12740
04/02/25, 80.50, 81.00, 80.00, 80.10, 60688
04/01/25, 80.50, 80.50, 79.50, 80.00, 210821
03/28/25, 80.70, 80.70, 80.00, 80.10, 6420
03/27/25, 80.80, 80.80, 80.00, 80.70, 3123
03/26/25, 81.00, 81.00, 79.90, 80.00, 1701
03/25/25, 81.50, 81.50, 79.50, 80.00, 8674
03/24/25, 81.50, 81.80, 81.00, 81.20, 35825
03/21/25, 80.50, 81.40, 80.50, 81.20, 38966
03/20/25, 77.90, 81.00, 77.50, 80.50, 4102
03/19/25, 77.50, 77.90, 77.50, 77.50, 69858
03/18/25, 77.50, 78.00, 77.10, 77.50, 68341
03/17/25, 81.50, 81.50, 78.00, 78.20, 27457
03/14/25, 80.00, 80.90, 79.00, 79.10, 5478
03/12/25, 78.50, 80.50, 78.50, 80.00, 36470
03/11/25, 82.00, 82.00, 78.00, 78.70, 46785
03/10/25, 82.20, 82.20, 81.00, 81.00, 4092
03/07/25, 82.90, 83.00, 82.00, 82.00, 66989
03/06/25, 81.00, 83.00, 81.00, 81.50, 33500
03/05/25, 84.00, 84.00, 79.60, 81.90, 18542
03/04/25, 83.70, 83.70, 79.00, 79.40, 124917
03/03/25, 84.00, 84.00, 81.90, 84.00, 622100
02/28/25, 84.00, 84.50, 81.90, 82.20, 11502
02/27/25, 82.00, 84.00, 80.50, 84.00, 712076
02/25/25, 83.00, 83.00, 80.10, 80.50, 19441
02/24/25, 82.30, 84.00, 80.00, 82.90, 2227637
02/21/25, 82.30, 83.50, 82.30, 83.00, 37669
02/20/25, 83.20, 84.50, 83.00, 83.00, 54982
