Date, Open, High, Low, Close, Volume
04/24/25, 191.00, 191.00, 189.00, 191.00, 2444
04/23/25, 190.00, 191.25, 189.00, 190.75, 18072
04/22/25, 191.00, 191.25, 189.00, 190.00, 6106
04/21/25, 187.00, 193.00, 187.00, 190.25, 38797
04/17/25, 187.75, 188.00, 185.50, 186.50, 10111
04/16/25, 180.75, 188.00, 180.75, 186.50, 38252
04/11/25, 177.50, 181.00, 177.50, 180.75, 16677
04/10/25, 177.00, 182.00, 177.00, 181.50, 26926
04/09/25, 173.00, 174.00, 172.00, 172.25, 6019
04/08/25, 173.00, 178.75, 172.00, 175.25, 4242
04/07/25, 175.25, 175.25, 167.50, 170.00, 20136
04/04/25, 182.00, 182.00, 170.00, 178.25, 47085
04/03/25, 180.00, 183.00, 177.00, 182.00, 10554
04/02/25, 181.75, 184.75, 181.75, 184.50, 628
04/01/25, 180.50, 184.25, 180.50, 184.25, 1580
03/28/25, 183.00, 183.00, 180.50, 180.50, 85
03/27/25, 184.00, 184.00, 180.25, 180.50, 2934
03/26/25, 184.00, 184.00, 180.00, 180.25, 3003
03/25/25, 185.00, 185.00, 180.00, 180.50, 1973
03/24/25, 180.00, 186.00, 179.00, 180.50, 48003
03/21/25, 176.25, 180.00, 175.00, 180.00, 18015
03/20/25, 173.50, 176.00, 171.00, 175.25, 7316
03/19/25, 176.00, 176.00, 170.00, 173.00, 1692
03/18/25, 176.75, 176.75, 173.75, 173.75, 1526
03/17/25, 179.50, 179.50, 175.00, 176.25, 4164
03/14/25, 179.50, 180.00, 177.50, 179.50, 5277
03/12/25, 179.75, 179.75, 174.00, 177.50, 4827
03/11/25, 179.50, 179.50, 173.00, 173.50, 7558
03/10/25, 185.75, 185.75, 179.50, 179.75, 7410
03/07/25, 186.00, 186.00, 180.25, 184.50, 464
03/06/25, 185.00, 186.00, 182.00, 182.50, 6276
03/05/25, 184.00, 186.00, 182.00, 185.25, 19701
03/04/25, 187.50, 187.50, 180.00, 180.75, 29569
03/03/25, 194.00, 195.00, 189.00, 190.25, 10770
02/28/25, 195.00, 196.00, 193.00, 193.50, 16679
02/27/25, 196.00, 197.00, 194.00, 195.00, 14192
02/25/25, 195.00, 197.00, 192.75, 194.00, 9988
02/24/25, 197.75, 200.00, 194.00, 195.00, 12891
02/21/25, 200.00, 200.00, 198.00, 198.25, 11229
02/20/25, 204.50, 205.00, 197.50, 199.25, 20691
02/19/25, 208.00, 208.00, 199.75, 200.00, 35662
02/18/25, 209.00, 212.00, 203.00, 203.50, 45543
02/17/25, 197.75, 215.00, 197.50, 209.50, 112032
02/14/25, 187.75, 193.00, 182.00, 192.25, 4801
02/13/25, 192.00, 192.00, 180.50, 187.75, 28573
02/11/25, 189.50, 189.50, 180.00, 181.25, 11229
02/10/25, 193.00, 193.00, 187.25, 187.75, 3302
02/07/25, 193.75, 193.75, 189.75, 192.25, 10342
02/06/25, 190.00, 194.00, 186.50, 189.25, 20158
02/05/25, 201.00, 201.00, 190.00, 195.00, 35640
02/03/25, 200.50, 203.00, 196.00, 202.00, 6734
01/31/25, 199.75, 204.00, 197.00, 203.00, 36694
01/30/25, 198.75, 200.00, 195.50, 197.00, 5387
01/29/25, 195.25, 203.75, 195.25, 198.25, 34500
01/28/25, 199.00, 201.00, 198.75, 199.00, 7548
01/27/25, 197.75, 206.00, 195.25, 199.00, 21779
01/24/25, 197.00, 201.00, 194.00, 196.25, 35759
01/23/25, 183.00, 210.00, 183.00, 197.25, 156154
