Date, Open, High, Low, Close, Volume
04/24/25, 8.80, 8.80, 8.80, 8.80, 847
04/22/25, 8.80, 8.80, 8.80, 8.80, 26000
04/21/25, 8.90, 8.90, 8.80, 8.80, 40533
04/16/25, 9.00, 9.00, 9.00, 9.00, 120
04/11/25, 8.50, 9.00, 8.50, 8.50, 11247
04/10/25, 8.60, 8.70, 8.50, 8.50, 11788
04/09/25, 8.70, 8.70, 8.20, 8.20, 5023
04/08/25, 8.70, 8.70, 8.20, 8.70, 5019
04/07/25, 8.30, 8.70, 8.30, 8.30, 8200
04/04/25, 8.20, 8.90, 8.10, 8.80, 23921
04/03/25, 8.80, 8.80, 8.40, 8.80, 4285
04/02/25, 8.20, 8.80, 7.90, 8.80, 7210
04/01/25, 8.90, 8.90, 8.70, 8.90, 102
03/27/25, 8.80, 8.80, 8.80, 8.80, 5000
03/26/25, 8.70, 8.90, 8.70, 8.80, 1000
03/25/25, 8.80, 8.80, 8.70, 8.80, 35
03/24/25, 8.80, 8.80, 8.80, 8.80, 9600
03/21/25, 8.90, 9.00, 8.50, 8.80, 4719
03/20/25, 8.00, 8.50, 8.00, 8.30, 4150
03/19/25, 8.60, 8.60, 7.30, 8.30, 14873
03/18/25, 8.80, 8.80, 7.30, 7.90, 43765
03/17/25, 8.60, 8.90, 8.60, 8.60, 297
03/14/25, 8.70, 8.70, 8.40, 8.60, 12707
03/12/25, 8.60, 8.70, 8.60, 8.70, 816
03/11/25, 8.70, 8.70, 8.60, 8.60, 13059
03/06/25, 8.50, 8.50, 8.50, 8.80, 1
03/05/25, 9.00, 9.00, 8.80, 8.80, 255
03/04/25, 8.70, 8.80, 8.50, 8.80, 1542
03/03/25, 9.00, 9.00, 8.60, 8.80, 10030
02/28/25, 8.90, 9.00, 8.90, 9.00, 100010
02/27/25, 8.90, 8.90, 8.80, 8.90, 54685
02/25/25, 8.60, 8.90, 8.50, 8.50, 7865
02/24/25, 9.00, 9.00, 8.50, 8.80, 99890
02/21/25, 8.90, 9.20, 8.90, 8.90, 2354
02/20/25, 9.10, 9.20, 8.90, 9.00, 21525
02/19/25, 9.40, 9.40, 9.00, 9.20, 55133
02/18/25, 9.20, 9.30, 9.20, 9.30, 46744
02/17/25, 9.00, 9.30, 9.00, 9.20, 19067
02/14/25, 9.00, 9.20, 9.00, 9.00, 22672
02/13/25, 8.80, 9.00, 8.70, 9.00, 120411
02/11/25, 8.70, 9.30, 8.70, 8.90, 8726
02/10/25, 9.10, 9.40, 9.10, 9.10, 1840
02/07/25, 9.00, 9.10, 9.00, 9.10, 7124
02/06/25, 8.90, 8.90, 8.70, 8.90, 14680
02/05/25, 8.90, 8.90, 8.50, 8.60, 123900
02/03/25, 9.20, 9.20, 8.90, 8.90, 8963
01/31/25, 9.20, 9.20, 9.20, 9.20, 2832
01/30/25, 9.20, 9.40, 9.10, 9.30, 380555
01/29/25, 8.60, 9.50, 8.60, 9.30, 2132560
01/28/25, 8.50, 8.60, 8.40, 8.50, 450861
01/27/25, 8.50, 8.50, 8.30, 8.50, 20452
01/24/25, 8.50, 8.60, 8.50, 8.50, 1637
01/23/25, 8.70, 8.70, 8.30, 8.50, 401743
01/22/25, 8.70, 8.70, 8.60, 8.70, 70283
01/21/25, 8.60, 8.60, 8.20, 8.30, 47745
01/20/25, 8.60, 8.60, 8.60, 8.50, 10
01/17/25, 8.50, 8.60, 8.30, 8.50, 294281
01/16/25, 8.40, 8.50, 8.40, 8.40, 26568
01/15/25, 8.40, 8.90, 8.20, 8.70, 146040
01/10/25, 8.30, 8.80, 8.20, 8.30, 40949
01/09/25, 8.50, 8.50, 8.50, 8.50, 48254
01/08/25, 8.80, 8.80, 8.40, 8.50, 40195
01/07/25, 8.50, 8.90, 8.40, 8.50, 98466
01/06/25, 8.80, 8.80, 8.40, 8.50, 66471
01/03/25, 8.80, 8.80, 8.60, 8.70, 20503
01/02/25, 8.70, 9.00, 8.70, 8.70, 38563
12/31/24, 8.90, 8.90, 8.60, 8.70, 10025
12/30/24, 9.00, 9.00, 8.60, 8.60, 20442
12/27/24, 9.00, 9.00, 8.50, 8.70, 51776
12/26/24, 8.90, 9.00, 8.80, 8.90, 173334
12/24/24, 9.00, 9.00, 8.60, 8.90, 27364
12/23/24, 8.90, 9.00, 8.60, 8.90, 67954
12/20/24, 9.00, 9.00, 8.60, 8.90, 44589
12/19/24, 8.70, 9.00, 8.30, 8.40, 15884
12/18/24, 8.30, 9.00, 8.30, 8.70, 24827
12/17/24, 8.90, 8.90, 8.10, 8.30, 52120
12/16/24, 9.00, 9.10, 8.50, 8.80, 169385
12/13/24, 8.00, 9.50, 8.00, 9.10, 1836526
12/12/24, 7.50, 8.80, 7.40, 7.80, 1089669
12/11/24, 7.50, 7.60, 7.40, 7.50, 68536
12/10/24, 7.50, 7.50, 7.20, 7.50, 148539
12/09/24, 7.10, 7.50, 7.10, 7.40, 23506
12/06/24, 7.20, 7.20, 7.10, 7.10, 8940
12/05/24, 7.20, 7.30, 7.20, 7.30, 51805
12/04/24, 7.10, 7.20, 7.10, 7.20, 5805
12/03/24, 7.10, 7.30, 7.10, 7.10, 1020
12/02/24, 7.10, 7.30, 7.10, 7.30, 6220
11/29/24, 7.20, 7.20, 7.20, 7.20, 138210
11/28/24, 7.20, 7.30, 7.20, 7.20, 72006
11/27/24, 7.20, 7.20, 7.20, 7.20, 227001
11/26/24, 7.20, 7.30, 7.20, 7.30, 81
11/25/24, 7.10, 7.30, 7.10, 7.30, 62500
11/22/24, 7.00, 7.20, 7.00, 7.20, 7250
11/21/24, 7.20, 7.30, 7.00, 7.10, 825
11/20/24, 7.00, 7.30, 7.00, 7.20, 246768
11/19/24, 7.00, 7.00, 6.90, 7.00, 25402
11/18/24, 7.00, 7.00, 6.80, 7.00, 36885
11/14/24, 7.00, 7.00, 7.00, 7.00, 9000
11/13/24, 7.00, 7.00, 6.90, 6.90, 32111
11/12/24, 7.00, 7.00, 7.00, 7.00, 12000
11/11/24, 7.00, 7.00, 7.00, 7.00, 12757
11/08/24, 6.90, 6.90, 6.90, 6.90, 1170
11/07/24, 6.90, 7.00, 6.90, 7.00, 15510
11/06/24, 7.00, 7.00, 7.00, 7.00, 10000
11/05/24, 7.00, 7.00, 6.90, 7.00, 10055
11/04/24, 7.00, 7.00, 7.00, 7.00, 10000
11/01/24, 7.10, 7.10, 7.10, 7.10, 43
10/30/24, 6.90, 7.10, 6.90, 7.10, 15501
10/28/24, 6.90, 7.10, 6.90, 7.00, 2635
10/25/24, 7.00, 7.10, 7.00, 7.00, 206
10/24/24, 7.10, 7.10, 7.10, 7.00, 1
10/23/24, 7.10, 7.10, 7.10, 7.00, 70
10/22/24, 6.90, 7.00, 6.90, 7.00, 25500
10/21/24, 6.90, 7.10, 6.90, 7.00, 22328
10/18/24, 7.10, 7.10, 7.10, 7.10, 80116
10/16/24, 7.00, 7.00, 7.00, 7.00, 15
10/15/24, 7.00, 7.00, 7.00, 7.00, 1020
10/14/24, 7.10, 7.10, 7.00, 7.10, 115895
