Date, Open, High, Low, Close, Volume
04/24/25, 22.50, 22.70, 22.50, 22.70, 97528
04/23/25, 22.80, 22.80, 22.60, 22.60, 42781
04/22/25, 22.90, 22.90, 22.80, 22.90, 256
04/21/25, 23.00, 23.00, 22.60, 22.90, 60545
04/17/25, 23.00, 23.00, 22.40, 22.50, 18261
04/16/25, 23.00, 23.00, 22.90, 23.00, 63496
04/11/25, 23.40, 23.40, 23.00, 23.00, 1025
04/10/25, 23.10, 23.10, 22.60, 22.90, 380374
04/09/25, 23.70, 23.70, 22.50, 23.10, 1537
04/08/25, 22.20, 23.00, 22.20, 22.70, 44663
04/07/25, 22.70, 24.40, 22.10, 22.20, 66457
04/04/25, 22.50, 22.50, 22.40, 22.40, 10819
04/03/25, 22.40, 22.70, 22.40, 22.40, 10523
04/02/25, 23.40, 23.40, 22.40, 22.50, 112672
04/01/25, 23.30, 23.30, 22.50, 22.60, 337274
03/28/25, 23.30, 23.30, 23.00, 23.10, 57587
03/27/25, 23.30, 23.50, 23.10, 23.10, 47375
03/26/25, 23.60, 23.60, 23.20, 23.20, 1098
03/25/25, 23.40, 23.50, 23.20, 23.20, 46849
03/24/25, 23.50, 23.50, 23.40, 23.40, 46849
03/21/25, 23.50, 23.50, 23.30, 23.50, 2321
03/20/25, 23.20, 23.90, 23.20, 23.50, 41824
03/19/25, 24.00, 24.00, 23.20, 23.30, 122770
03/18/25, 23.20, 24.00, 23.20, 23.30, 38845
03/17/25, 24.00, 24.00, 23.20, 23.40, 190391
03/14/25, 24.30, 24.50, 23.60, 24.00, 367069
03/12/25, 23.50, 24.50, 23.50, 24.30, 1985
03/11/25, 23.90, 24.00, 23.50, 23.50, 8432
03/10/25, 23.90, 23.90, 23.50, 23.90, 2337
03/07/25, 23.70, 23.70, 23.60, 23.60, 19449
03/06/25, 24.00, 24.00, 23.70, 23.80, 24147
03/05/25, 23.80, 24.00, 23.80, 24.00, 46403
03/04/25, 24.10, 24.10, 23.70, 23.80, 13228
