Date, Open, High, Low, Close, Volume
04/23/25, 12.90, 13.00, 12.40, 12.50, 3085
04/22/25, 12.50, 13.20, 12.50, 12.90, 978
04/21/25, 12.90, 12.90, 12.90, 13.30, 71
04/16/25, 13.30, 13.30, 13.10, 13.30, 235
04/11/25, 13.10, 13.10, 12.30, 12.30, 499
04/10/25, 12.40, 12.50, 11.70, 11.90, 33598
04/09/25, 12.40, 13.80, 11.70, 11.90, 7006
04/08/25, 12.30, 12.40, 12.30, 12.40, 1540
04/07/25, 12.50, 12.50, 12.20, 12.20, 1130
04/04/25, 12.90, 12.90, 12.50, 12.60, 426
04/03/25, 13.00, 13.00, 13.00, 13.00, 2
04/02/25, 12.60, 13.40, 12.50, 13.00, 37401
04/01/25, 13.70, 13.70, 13.00, 13.00, 9540
03/28/25, 12.70, 13.90, 12.70, 13.00, 11014
03/26/25, 12.70, 12.70, 12.20, 12.20, 8122
03/25/25, 12.70, 12.70, 12.70, 12.10, 11
03/24/25, 12.80, 12.80, 12.10, 12.10, 20640
03/21/25, 12.80, 12.80, 12.80, 12.20, 17
03/20/25, 12.60, 13.00, 12.10, 12.20, 3333
03/19/25, 12.90, 12.90, 12.60, 12.60, 3487
03/18/25, 12.90, 13.00, 12.90, 12.90, 504
03/17/25, 12.80, 13.00, 12.80, 13.00, 3028
03/14/25, 12.90, 13.10, 12.80, 12.80, 507
03/12/25, 12.70, 13.00, 12.70, 13.00, 232
03/11/25, 12.70, 13.00, 12.60, 13.00, 21562
03/10/25, 13.00, 13.00, 12.60, 12.70, 3011
03/07/25, 12.80, 12.80, 12.70, 12.70, 1218
03/06/25, 13.10, 13.10, 12.80, 12.80, 7159
03/05/25, 12.90, 12.90, 12.90, 12.90, 501
03/04/25, 13.60, 13.60, 13.10, 13.10, 2210
03/03/25, 13.70, 13.90, 13.70, 13.70, 4275
02/28/25, 13.90, 14.20, 13.90, 14.00, 404
02/27/25, 14.30, 14.30, 13.60, 14.20, 2580
02/25/25, 14.30, 14.30, 13.50, 14.10, 13594
02/24/25, 14.60, 14.60, 14.40, 14.50, 38
02/21/25, 14.50, 14.50, 14.40, 14.50, 271
02/20/25, 14.70, 14.70, 14.50, 14.50, 27843
02/19/25, 14.40, 14.80, 14.40, 14.50, 5084
02/18/25, 14.50, 14.80, 14.50, 14.70, 3010
02/17/25, 14.80, 14.90, 14.30, 14.50, 1256
02/14/25, 14.30, 14.90, 14.30, 14.80, 2200
02/13/25, 14.50, 14.50, 14.10, 14.30, 148
02/11/25, 14.60, 14.60, 14.00, 14.40, 31065
02/10/25, 15.00, 15.30, 14.40, 14.40, 4350
02/07/25, 14.40, 15.00, 14.10, 14.60, 41960
02/06/25, 14.10, 14.50, 14.00, 14.20, 122954
02/05/25, 14.70, 14.70, 14.20, 14.50, 10986
02/03/25, 14.10, 14.70, 14.10, 14.70, 1250
01/31/25, 14.10, 14.70, 14.10, 14.30, 9079
01/30/25, 14.20, 14.70, 14.00, 14.30, 59846
01/29/25, 14.90, 15.00, 14.00, 14.00, 81268
01/28/25, 15.00, 15.50, 14.60, 14.80, 19923
01/27/25, 13.40, 14.90, 13.40, 14.50, 118971
01/24/25, 13.00, 13.50, 13.00, 13.40, 27183
01/23/25, 12.70, 13.10, 12.70, 13.00, 6985
01/22/25, 12.70, 12.90, 12.50, 12.70, 115000
01/21/25, 12.70, 12.90, 12.60, 12.60, 85630
01/20/25, 12.60, 12.90, 12.50, 12.70, 15773
01/17/25, 13.30, 13.30, 12.20, 12.20, 546932
01/16/25, 13.00, 13.00, 12.90, 12.90, 7360
01/15/25, 12.80, 13.00, 12.80, 13.00, 4951
01/10/25, 13.10, 13.40, 12.70, 13.10, 180802
01/09/25, 13.20, 13.20, 12.90, 13.00, 4922
01/08/25, 13.00, 13.50, 12.80, 13.40, 31206
01/07/25, 12.50, 12.80, 12.50, 12.60, 6028
01/06/25, 12.50, 13.00, 12.30, 12.90, 121411
01/03/25, 12.40, 13.50, 12.40, 13.00, 114606
01/02/25, 13.30, 13.30, 12.20, 12.60, 16115
12/31/24, 12.40, 13.60, 12.40, 12.80, 183552
12/30/24, 12.40, 12.50, 12.40, 12.40, 3883
12/27/24, 12.20, 12.60, 12.20, 12.20, 44626
12/26/24, 11.90, 12.20, 11.90, 12.20, 22025
12/24/24, 11.80, 12.00, 11.50, 11.90, 30396
