Date, Open, High, Low, Close, Volume
04/23/25, 24.90, 24.90, 24.90, 24.90, 15
04/22/25, 24.90, 24.90, 24.90, 24.90, 1046
04/21/25, 24.60, 24.60, 24.60, 24.30, 50
04/17/25, 24.30, 24.30, 24.20, 24.30, 100
04/16/25, 25.90, 25.90, 25.90, 26.00, 16
04/11/25, 26.00, 26.00, 26.00, 26.00, 100
04/10/25, 26.00, 26.00, 26.00, 26.40, 1
04/04/25, 26.40, 26.40, 26.40, 26.40, 400
04/03/25, 26.70, 26.70, 26.70, 26.50, 82
04/02/25, 26.90, 26.90, 26.50, 26.50, 276
04/01/25, 25.20, 25.20, 25.10, 25.10, 1023
03/28/25, 25.10, 25.10, 25.10, 25.10, 55
03/27/25, 25.10, 25.10, 25.10, 25.10, 10000
03/26/25, 24.90, 24.90, 24.90, 26.50, 25
03/25/25, 24.90, 24.90, 24.90, 26.50, 4
03/21/25, 24.90, 24.90, 24.90, 26.50, 3
03/20/25, 27.00, 27.00, 27.00, 26.50, 1
03/19/25, 24.90, 26.50, 24.90, 26.50, 4034
03/18/25, 25.00, 25.00, 25.00, 25.10, 41
03/17/25, 26.40, 26.40, 26.40, 25.10, 6
03/14/25, 24.80, 26.40, 24.80, 25.10, 2
03/12/25, 25.10, 25.20, 25.10, 25.10, 400
03/10/25, 25.70, 26.50, 25.70, 25.60, 11
03/07/25, 25.60, 25.60, 25.60, 25.60, 5000
03/06/25, 26.90, 27.10, 25.60, 25.60, 2210
03/05/25, 26.80, 26.80, 26.80, 26.80, 211
03/03/25, 27.10, 27.10, 27.10, 27.10, 300
02/28/25, 27.00, 27.00, 27.00, 27.00, 100
02/25/25, 25.80, 27.00, 25.80, 26.80, 1534
02/24/25, 25.40, 27.10, 25.40, 25.40, 5004
02/21/25, 26.40, 27.40, 26.40, 27.30, 41443
02/20/25, 26.20, 26.20, 25.30, 25.80, 170
02/19/25, 26.00, 26.00, 26.00, 26.00, 18164
02/18/25, 26.90, 26.90, 26.80, 26.90, 465
02/17/25, 26.00, 26.50, 25.20, 25.90, 81915
02/14/25, 26.00, 26.00, 26.00, 26.00, 2600
02/10/25, 26.00, 26.00, 26.00, 26.00, 100
02/07/25, 27.00, 27.00, 27.00, 26.10, 14
02/06/25, 26.10, 26.10, 26.10, 26.10, 1079
02/05/25, 26.20, 27.00, 26.00, 26.50, 82235
02/03/25, 27.70, 27.70, 26.30, 27.00, 7309
01/31/25, 27.70, 27.70, 27.70, 26.30, 1
01/30/25, 28.00, 28.00, 26.10, 26.30, 6100
01/29/25, 27.10, 28.00, 27.10, 27.40, 11420
01/28/25, 27.10, 27.10, 27.00, 27.00, 1535
01/27/25, 27.00, 27.00, 27.00, 27.00, 15020
01/24/25, 26.20, 27.00, 26.00, 26.30, 7810
01/21/25, 26.10, 27.00, 26.10, 27.00, 2
01/20/25, 27.00, 27.00, 26.00, 27.00, 241
01/17/25, 26.10, 26.10, 26.10, 26.00, 20
01/16/25, 26.50, 27.00, 26.00, 26.00, 1186
01/15/25, 27.10, 27.10, 26.90, 27.10, 216
01/10/25, 26.00, 26.00, 26.00, 26.00, 5300
01/09/25, 26.00, 26.00, 26.00, 26.00, 1011
01/08/25, 26.00, 27.40, 26.00, 26.00, 581
01/07/25, 26.00, 27.50, 26.00, 26.90, 731200
01/06/25, 26.00, 26.00, 25.10, 25.40, 145
01/03/25, 27.90, 28.10, 24.50, 26.40, 10518
01/02/25, 27.00, 28.00, 26.50, 26.80, 5746
12/31/24, 26.60, 27.60, 26.00, 26.50, 4566
12/30/24, 27.00, 28.10, 26.60, 28.10, 13773
12/27/24, 28.00, 28.10, 27.00, 27.20, 2102
12/26/24, 28.50, 28.50, 26.50, 26.70, 5193
12/24/24, 27.20, 28.20, 26.50, 28.00, 24137
12/23/24, 27.10, 29.90, 27.10, 28.00, 23684
12/20/24, 25.00, 29.00, 24.80, 27.80, 81388
12/19/24, 24.30, 24.70, 23.40, 23.50, 6300
12/18/24, 23.60, 24.40, 23.50, 23.50, 24572
12/17/24, 23.30, 23.30, 23.00, 23.10, 1353
12/16/24, 23.70, 24.40, 23.30, 23.30, 2448
12/13/24, 23.50, 23.60, 23.50, 23.50, 125
12/12/24, 25.00, 25.00, 24.20, 24.30, 722
12/11/24, 24.50, 24.50, 24.50, 24.40, 14
12/10/24, 25.40, 25.40, 24.30, 24.40, 118
