Date, Open, High, Low, Close, Volume
04/24/25, 0.09, 0.0937, 0.0855, 0.0918, 225191
04/23/25, 0.087, 0.096, 0.0861, 0.0889, 500596
04/22/25, 0.084, 0.0925, 0.084, 0.0872, 365536
04/21/25, 0.099, 0.1042, 0.086, 0.0872, 1209700
04/17/25, 0.1006, 0.1058, 0.0937, 0.095, 307422
04/16/25, 0.09, 0.1014, 0.09, 0.1014, 619722
04/15/25, 0.0978, 0.0978, 0.0912, 0.0961, 489067
04/14/25, 0.096, 0.12, 0.0957, 0.10, 500789
04/11/25, 0.095, 0.11, 0.09, 0.0991, 575695
04/10/25, 0.0776, 0.091, 0.0742, 0.08, 224618
04/09/25, 0.071, 0.0722, 0.069, 0.0708, 104754
04/08/25, 0.07, 0.0759, 0.068, 0.0689, 291862
04/07/25, 0.0845, 0.0845, 0.0701, 0.0701, 561256
04/04/25, 0.091, 0.091, 0.072, 0.0767, 607412
04/03/25, 0.082, 0.091, 0.0796, 0.091, 355145
04/02/25, 0.08, 0.0859, 0.075, 0.0798, 490167
04/01/25, 0.0775, 0.0835, 0.0775, 0.0825, 180349
03/31/25, 0.0775, 0.0859, 0.0775, 0.08, 670483
03/28/25, 0.09, 0.0906, 0.08, 0.08, 1101444
03/27/25, 0.082, 0.0899, 0.0804, 0.083, 757453
03/26/25, 0.09, 0.09, 0.0799, 0.0815, 124024
03/25/25, 0.085, 0.09, 0.0806, 0.086, 164088
03/24/25, 0.093, 0.093, 0.082, 0.0877, 807962
03/21/25, 0.0927, 0.0935, 0.09, 0.0916, 423040
03/20/25, 0.0921, 0.0984, 0.0914, 0.0938, 638843
03/19/25, 0.101, 0.11, 0.092, 0.0978, 336482
03/18/25, 0.105, 0.1075, 0.0975, 0.1021, 67975
03/17/25, 0.0968, 0.1034, 0.0968, 0.102, 696296
03/14/25, 0.0868, 0.0952, 0.0868, 0.0949, 578037
03/13/25, 0.0765, 0.095, 0.0765, 0.0875, 660969
03/12/25, 0.0739, 0.078, 0.0716, 0.076, 418648
03/11/25, 0.0725, 0.077, 0.0711, 0.077, 549352
03/10/25, 0.0691, 0.0785, 0.0691, 0.0725, 541597
03/07/25, 0.072, 0.08, 0.072, 0.0726, 413055
03/06/25, 0.072, 0.0727, 0.072, 0.0725, 254219
03/05/25, 0.079, 0.079, 0.07, 0.072, 1153115
03/04/25, 0.086, 0.086, 0.07, 0.081, 742976
03/03/25, 0.077, 0.08, 0.073, 0.073, 240596
02/28/25, 0.0715, 0.0799, 0.0707, 0.0721, 115322
02/27/25, 0.075, 0.0757, 0.0711, 0.0723, 964125
02/26/25, 0.068, 0.0764, 0.068, 0.074, 505448
02/25/25, 0.086, 0.086, 0.07, 0.072, 2073065
02/24/25, 0.0815, 0.0867, 0.0761, 0.0786, 894922
02/21/25, 0.0947, 0.0986, 0.0802, 0.0852, 4063961
02/20/25, 0.098, 0.1064, 0.091, 0.1002, 728385
