Date, Open, High, Low, Close, Volume
04/24/25, 29.90, 30.00, 29.50, 29.90, 53707
04/23/25, 29.50, 30.20, 29.50, 29.50, 114059
04/22/25, 29.80, 29.80, 28.90, 29.40, 32768
04/21/25, 29.50, 30.20, 29.00, 29.10, 144559
04/17/25, 28.50, 29.30, 28.50, 29.10, 9011
04/16/25, 28.00, 29.20, 28.00, 28.80, 101017
04/11/25, 28.00, 28.00, 27.50, 28.00, 16161
04/10/25, 27.90, 28.00, 27.40, 27.50, 12826
04/09/25, 27.00, 27.40, 26.20, 27.00, 9426
04/08/25, 27.00, 27.20, 26.90, 27.00, 72882
04/07/25, 27.30, 27.30, 25.00, 26.40, 48723
04/04/25, 27.80, 27.80, 27.00, 27.30, 2915
04/03/25, 28.00, 28.00, 27.70, 28.00, 6402
04/02/25, 28.00, 28.20, 28.00, 28.00, 923
04/01/25, 27.90, 28.20, 27.90, 28.00, 11696
03/28/25, 28.00, 28.00, 27.60, 27.60, 20473
03/27/25, 28.00, 28.00, 27.60, 27.90, 71817
03/26/25, 28.10, 28.10, 27.50, 27.50, 15121
03/25/25, 27.00, 28.20, 27.00, 27.50, 36659
03/24/25, 27.50, 27.90, 27.50, 27.60, 8571
03/21/25, 27.40, 27.40, 27.10, 27.20, 5632
03/20/25, 26.00, 27.60, 26.00, 27.50, 6966
03/19/25, 27.00, 27.00, 26.00, 26.00, 2455
03/18/25, 27.70, 27.70, 25.50, 25.60, 26182
03/17/25, 27.50, 28.00, 26.00, 26.20, 28421
03/14/25, 27.00, 28.00, 26.50, 27.70, 59092
03/12/25, 26.10, 27.00, 26.00, 27.00, 22030
03/11/25, 26.60, 27.60, 26.00, 26.10, 112159
03/10/25, 28.20, 28.20, 26.50, 26.60, 106594
03/07/25, 28.20, 28.20, 27.20, 27.90, 4907
03/06/25, 27.80, 28.00, 27.20, 27.60, 678
03/05/25, 26.60, 27.80, 26.60, 27.40, 6150
03/04/25, 26.70, 27.00, 26.40, 27.00, 12422
03/03/25, 28.00, 28.40, 26.30, 26.70, 7884
02/28/25, 27.50, 28.00, 27.50, 27.70, 1681
02/27/25, 27.10, 27.60, 26.90, 27.10, 10046
02/25/25, 27.50, 27.70, 27.00, 27.10, 7199
02/24/25, 28.00, 28.40, 27.40, 27.60, 17164
02/21/25, 28.40, 28.40, 27.60, 27.70, 4336
02/20/25, 28.00, 28.00, 27.70, 28.00, 8924
02/19/25, 28.40, 28.40, 27.40, 27.50, 98096
02/18/25, 28.90, 28.90, 27.80, 28.00, 151210
02/17/25, 29.00, 29.00, 27.50, 28.00, 124981
02/14/25, 28.80, 29.00, 28.00, 28.50, 211356
02/13/25, 29.00, 29.00, 28.50, 28.80, 34830
02/11/25, 28.60, 29.00, 28.40, 28.40, 38934
02/10/25, 28.60, 29.70, 28.60, 28.70, 14430
02/07/25, 29.00, 29.10, 28.50, 28.90, 228939
02/06/25, 27.80, 29.50, 27.50, 29.00, 166488
02/05/25, 28.80, 28.90, 27.80, 28.00, 155337
02/03/25, 29.30, 29.30, 28.50, 28.80, 148508
01/31/25, 29.80, 29.80, 29.00, 29.00, 677162
01/30/25, 28.00, 30.30, 28.00, 29.30, 1099304
01/29/25, 27.50, 27.90, 27.40, 27.50, 185955
01/28/25, 28.00, 28.00, 27.20, 27.70, 113620
01/27/25, 27.50, 28.00, 27.50, 27.70, 564179
01/24/25, 27.90, 27.90, 27.10, 27.30, 52903
01/23/25, 27.80, 28.00, 27.50, 27.80, 300537
01/22/25, 27.40, 28.00, 27.10, 27.50, 305636
01/21/25, 28.00, 28.00, 27.30, 27.40, 98461
01/20/25, 28.00, 28.00, 27.60, 27.70, 55130
01/17/25, 27.50, 28.00, 27.50, 27.90, 12688
01/16/25, 28.00, 28.00, 27.50, 27.60, 40771
01/15/25, 27.60, 28.30, 27.50, 27.60, 82783
01/10/25, 27.90, 28.00, 27.40, 27.60, 26492
01/09/25, 28.50, 28.60, 27.40, 27.70, 191001
01/08/25, 28.30, 28.50, 27.90, 28.20, 439435
01/07/25, 26.90, 28.40, 26.00, 28.00, 1032138
01/06/25, 26.00, 26.00, 24.00, 24.90, 52830
01/03/25, 26.10, 27.00, 26.00, 26.00, 219944
01/02/25, 27.00, 27.20, 26.00, 26.90, 27296
12/31/24, 26.30, 27.10, 26.00, 26.10, 226666
12/30/24, 26.20, 27.00, 26.20, 26.80, 548246
12/27/24, 26.60, 26.80, 26.20, 26.30, 3751
12/26/24, 27.00, 27.00, 26.20, 26.30, 4711
12/24/24, 26.80, 27.30, 26.00, 26.50, 473300
12/23/24, 24.30, 27.50, 24.00, 27.00, 642970
12/20/24, 22.50, 24.10, 22.50, 23.90, 132526
12/19/24, 24.00, 24.00, 22.50, 23.30, 179061
12/18/24, 22.00, 24.00, 21.50, 23.20, 390369
12/17/24, 22.00, 22.60, 22.00, 22.10, 84692
12/16/24, 21.00, 22.50, 21.00, 22.50, 129365
12/13/24, 20.60, 22.50, 20.50, 22.00, 210863
12/12/24, 21.30, 21.50, 21.00, 21.00, 67124
12/11/24, 23.00, 23.00, 21.30, 21.40, 105193
12/10/24, 21.20, 23.40, 21.00, 21.70, 374287
12/09/24, 17.00, 21.90, 17.00, 21.00, 1289646
12/06/24, 17.50, 17.90, 16.90, 17.00, 44945
12/05/24, 17.70, 17.90, 17.50, 17.50, 383613
12/04/24, 17.50, 17.70, 17.30, 17.50, 108529
12/03/24, 17.40, 17.90, 17.00, 17.80, 276745
12/02/24, 16.90, 17.00, 16.50, 17.00, 27857
11/29/24, 16.90, 16.90, 16.50, 16.90, 45
11/28/24, 16.30, 16.90, 16.30, 16.90, 15892
11/27/24, 16.90, 16.90, 16.90, 16.80, 30
11/26/24, 16.60, 16.80, 16.60, 16.80, 585
11/25/24, 16.90, 16.90, 16.40, 16.40, 19100
11/22/24, 16.60, 17.00, 16.20, 17.00, 32955
11/21/24, 16.80, 17.00, 16.60, 17.00, 27711
11/20/24, 17.00, 17.00, 16.90, 17.00, 80018
11/19/24, 16.40, 17.20, 16.40, 17.00, 102253
11/18/24, 16.90, 16.90, 16.40, 16.50, 45741
11/14/24, 16.50, 16.50, 16.50, 16.50, 68400
11/13/24, 16.60, 17.00, 16.60, 16.80, 10449
11/12/24, 17.00, 17.00, 16.20, 16.30, 15502
11/11/24, 17.20, 17.20, 16.70, 17.00, 19234
11/08/24, 16.50, 17.30, 16.50, 16.80, 204746
11/07/24, 16.30, 16.50, 16.30, 16.50, 346680
11/06/24, 16.50, 16.50, 16.00, 16.20, 188021
11/05/24, 15.00, 16.50, 15.00, 16.10, 896305
11/04/24, 14.60, 14.60, 14.20, 14.20, 10201
11/01/24, 14.70, 14.80, 14.30, 14.30, 28271
10/30/24, 14.20, 14.70, 14.20, 14.30, 20793
10/29/24, 14.40, 14.90, 14.30, 14.70, 33277
10/28/24, 14.00, 14.20, 14.00, 14.00, 250428
10/25/24, 14.10, 14.10, 14.00, 14.00, 253501
10/24/24, 13.80, 14.40, 13.80, 14.40, 8242
10/23/24, 13.90, 14.10, 13.90, 14.00, 5275
10/22/24, 14.10, 14.10, 14.00, 14.00, 9476
10/21/24, 13.70, 14.20, 13.70, 13.90, 9997
10/18/24, 13.70, 13.70, 13.70, 13.70, 137
10/16/24, 13.60, 13.90, 13.60, 13.60, 11019
10/15/24, 13.60, 13.60, 13.50, 13.50, 3440
10/14/24, 13.10, 13.60, 13.00, 13.60, 32102
10/10/24, 13.20, 13.20, 13.00, 13.00, 1712
10/09/24, 13.20, 13.20, 13.20, 13.20, 1003
10/08/24, 12.80, 12.80, 12.80, 12.80, 25000
10/07/24, 13.20, 13.20, 13.20, 13.20, 1000
10/04/24, 12.80, 12.80, 12.80, 12.80, 1723
10/02/24, 12.70, 12.70, 12.70, 12.70, 1178
10/01/24, 13.30, 13.30, 13.30, 13.10, 1
09/30/24, 13.00, 13.50, 13.00, 13.10, 1603
09/27/24, 12.80, 13.00, 12.80, 13.00, 1965
09/26/24, 13.10, 13.10, 13.00, 13.00, 116026
09/25/24, 13.00, 13.10, 13.00, 13.00, 6500
09/24/24, 12.80, 13.10, 12.80, 13.10, 27342
09/23/24, 12.80, 12.80, 12.00, 12.10, 2040
09/20/24, 13.00, 13.00, 13.00, 13.00, 2200
09/19/24, 12.90, 13.00, 12.00, 12.00, 17002
09/18/24, 12.90, 12.90, 12.80, 12.80, 422
09/13/24, 12.60, 13.00, 12.60, 13.00, 4503
09/11/24, 11.70, 12.60, 11.70, 11.70, 6
09/10/24, 12.60, 12.60, 12.60, 11.70, 1
09/09/24, 11.70, 11.70, 11.70, 11.70, 1999
09/06/24, 11.70, 11.70, 11.70, 11.70, 1200
09/05/24, 12.70, 12.70, 12.70, 12.40, 1
09/04/24, 12.80, 12.90, 11.00, 12.40, 267501
09/02/24, 12.40, 12.40, 12.40, 12.10, 19
08/30/24, 12.60, 12.60, 11.60, 12.10, 210
08/29/24, 12.40, 12.40, 12.30, 12.30, 2520
08/28/24, 12.40, 12.40, 12.40, 12.40, 520
08/26/24, 12.80, 12.80, 12.30, 12.40, 72306
08/23/24, 13.50, 13.60, 13.50, 13.50, 4876
08/22/24, 13.20, 13.50, 13.10, 13.40, 1772
08/20/24, 13.20, 13.20, 13.20, 12.60, 2
08/16/24, 13.20, 13.20, 12.60, 12.60, 11
08/15/24, 13.40, 13.40, 12.60, 12.60, 34635
08/14/24, 13.00, 13.20, 13.00, 13.00, 120
08/13/24, 12.50, 12.50, 12.50, 12.50, 413
08/12/24, 12.20, 12.20, 12.20, 12.20, 354
08/09/24, 13.40, 13.40, 12.10, 12.10, 17165
08/08/24, 12.60, 13.40, 12.40, 13.40, 17210
08/06/24, 12.40, 12.40, 12.40, 13.60, 90
08/02/24, 12.30, 12.30, 12.30, 13.60, 80
08/01/24, 13.20, 13.60, 13.20, 13.60, 211
07/31/24, 13.20, 13.20, 12.20, 13.20, 111
07/30/24, 13.00, 13.00, 12.20, 12.20, 720
07/25/24, 13.30, 13.30, 12.90, 13.20, 15
07/24/24, 13.00, 13.00, 13.00, 13.20, 40
07/23/24, 13.30, 13.30, 13.30, 13.20, 23
07/22/24, 13.00, 13.00, 13.00, 13.20, 3
07/19/24, 13.40, 13.40, 12.90, 13.20, 232
07/18/24, 13.40, 13.40, 13.40, 13.40, 30
07/16/24, 13.40, 13.40, 13.40, 13.40, 10
07/11/24, 13.40, 13.40, 13.40, 13.40, 75
07/10/24, 13.10, 13.40, 13.10, 13.40, 91
07/09/24, 13.10, 13.40, 13.10, 13.40, 161
07/05/24, 13.00, 13.00, 13.00, 13.10, 6
07/03/24, 13.50, 13.50, 13.50, 13.10, 22
07/01/24, 13.50, 13.50, 13.50, 13.10, 1
06/24/24, 13.10, 13.50, 13.10, 13.10, 101
06/19/24, 13.20, 13.20, 13.20, 13.00, 1
06/18/24, 13.00, 13.10, 13.00, 13.00, 661
06/14/24, 13.10, 13.10, 13.10, 13.10, 788
06/13/24, 13.10, 13.30, 13.10, 13.10, 627
06/12/24, 13.10, 13.10, 13.10, 13.10, 200
06/10/24, 13.10, 13.10, 13.10, 13.10, 200
06/06/24, 13.10, 13.50, 13.10, 13.10, 501
06/05/24, 13.10, 13.10, 13.00, 13.00, 15346
06/04/24, 13.50, 13.50, 13.10, 13.00, 2
06/03/24, 13.10, 13.50, 13.00, 13.00, 15101
05/31/24, 13.10, 13.50, 13.10, 13.50, 3606
