Date, Open, High, Low, Close, Volume
04/24/25, 3.80, 3.80, 3.80, 3.80, 1450
04/23/25, 4.00, 4.00, 3.80, 3.80, 1467
04/22/25, 4.00, 4.00, 3.90, 3.90, 3046
04/21/25, 3.80, 4.00, 3.80, 3.90, 65
04/17/25, 3.90, 3.90, 3.90, 3.90, 1120
04/16/25, 3.90, 4.10, 3.90, 3.90, 1277
04/11/25, 4.10, 4.10, 4.10, 4.10, 1000
04/09/25, 4.10, 4.20, 4.10, 4.10, 8531
04/08/25, 4.00, 4.10, 4.00, 4.10, 2067
04/07/25, 3.90, 4.00, 3.80, 3.90, 653
04/04/25, 4.00, 4.20, 3.90, 4.20, 12873
04/03/25, 4.20, 4.20, 3.80, 4.00, 28370
04/02/25, 4.30, 4.30, 3.80, 4.20, 26501
04/01/25, 3.70, 4.40, 3.70, 4.20, 254340
03/27/25, 3.70, 3.70, 3.70, 3.70, 8910
03/26/25, 3.70, 3.70, 3.70, 3.70, 1400
03/25/25, 3.70, 3.70, 3.70, 3.70, 920
03/24/25, 3.70, 3.70, 3.70, 3.70, 1360
03/21/25, 3.60, 3.70, 3.60, 3.70, 1500
03/20/25, 3.70, 3.70, 3.60, 3.70, 2382
03/19/25, 3.70, 3.70, 3.70, 3.70, 11091
03/18/25, 3.70, 3.90, 3.70, 3.70, 7553
03/17/25, 3.90, 3.90, 3.70, 3.70, 8435
03/14/25, 3.90, 4.00, 3.80, 3.90, 3016
03/12/25, 4.00, 4.00, 3.80, 3.90, 198
03/11/25, 3.80, 4.00, 3.80, 3.90, 2358
03/10/25, 4.00, 4.00, 3.90, 4.00, 1246
03/07/25, 3.80, 3.90, 3.80, 3.80, 4219
03/06/25, 4.00, 4.00, 3.80, 3.90, 1009
03/05/25, 3.90, 3.90, 3.80, 3.80, 2121
03/04/25, 4.00, 4.00, 3.90, 3.90, 10006
03/03/25, 4.00, 4.00, 3.90, 3.90, 1001
02/28/25, 4.00, 4.00, 3.90, 4.00, 1275
02/27/25, 4.00, 4.00, 3.80, 3.80, 8824
02/25/25, 4.00, 4.00, 3.80, 4.00, 530
02/24/25, 4.00, 4.00, 3.80, 4.00, 1247
02/21/25, 4.00, 4.00, 4.00, 4.00, 500
02/20/25, 3.90, 4.00, 3.80, 3.90, 1889
02/19/25, 4.00, 4.00, 3.90, 4.00, 504
02/18/25, 4.00, 4.00, 4.00, 4.00, 337
02/17/25, 4.00, 4.00, 3.90, 4.00, 28554
02/14/25, 4.10, 4.10, 3.90, 3.90, 266
02/13/25, 4.00, 4.10, 4.00, 4.00, 1470
02/11/25, 4.10, 4.10, 3.90, 4.00, 725
02/10/25, 3.90, 3.90, 3.90, 3.90, 3434
02/07/25, 4.00, 4.10, 4.00, 4.00, 4335
02/06/25, 3.90, 4.20, 3.90, 4.00, 107178
02/05/25, 4.20, 4.20, 4.00, 4.00, 25498
02/03/25, 4.10, 4.20, 4.00, 4.10, 25768
01/31/25, 4.00, 4.50, 4.00, 4.10, 106983
01/30/25, 4.00, 4.00, 3.90, 4.00, 39955
01/29/25, 3.90, 4.10, 3.90, 4.10, 26219
01/28/25, 4.00, 4.00, 3.90, 4.00, 4860
01/27/25, 3.90, 4.00, 3.90, 4.00, 12953
01/24/25, 4.10, 4.10, 4.00, 4.00, 32275
01/23/25, 4.10, 4.20, 4.00, 4.10, 6116
01/22/25, 4.10, 4.20, 4.00, 4.00, 69280
01/21/25, 4.10, 4.10, 3.80, 3.90, 75544
01/20/25, 4.00, 4.20, 4.00, 4.00, 13585
01/17/25, 4.20, 4.20, 4.10, 4.20, 1867
01/16/25, 4.10, 4.20, 4.00, 4.00, 1039
01/15/25, 4.10, 4.10, 4.00, 4.00, 5872
01/10/25, 4.10, 4.10, 4.00, 4.00, 21380
01/09/25, 4.10, 4.20, 4.10, 4.10, 1359
01/08/25, 4.20, 4.20, 4.00, 4.10, 8226
01/07/25, 4.00, 4.20, 3.90, 4.20, 48633
01/06/25, 4.10, 4.40, 4.00, 4.10, 64224
01/03/25, 4.10, 4.40, 4.00, 4.10, 42314
01/02/25, 4.10, 4.30, 4.00, 4.20, 74138
12/31/24, 4.00, 4.30, 4.00, 4.20, 9791
12/30/24, 4.10, 4.30, 4.00, 4.00, 13588
12/27/24, 4.30, 4.30, 4.00, 4.10, 43606
12/26/24, 4.30, 4.30, 4.10, 4.10, 67151
12/24/24, 4.10, 4.40, 4.10, 4.20, 124758
12/23/24, 4.00, 4.60, 3.80, 4.40, 130882
12/20/24, 4.00, 4.00, 3.80, 4.00, 2078
12/19/24, 3.80, 4.00, 3.80, 4.00, 16800
12/18/24, 4.00, 4.00, 3.90, 4.00, 5802
12/17/24, 3.90, 4.00, 3.90, 4.00, 446
12/16/24, 3.90, 4.00, 3.90, 3.90, 45505
12/13/24, 4.00, 4.00, 3.80, 3.90, 22566
12/12/24, 4.00, 4.00, 3.80, 3.80, 1075
12/11/24, 3.90, 4.00, 3.80, 4.00, 3930
12/10/24, 3.90, 3.90, 3.90, 3.90, 10104
12/09/24, 4.00, 4.00, 3.80, 3.90, 11128
12/06/24, 4.00, 4.00, 3.90, 3.90, 2050
12/05/24, 3.70, 4.10, 3.70, 3.80, 1020
12/04/24, 4.00, 4.10, 3.90, 3.90, 3250
12/03/24, 4.00, 4.10, 3.80, 3.80, 24025
12/02/24, 4.00, 4.00, 3.80, 4.00, 33
11/29/24, 4.00, 4.00, 3.80, 4.00, 6196
11/28/24, 4.00, 4.00, 3.80, 4.00, 5051
11/27/24, 4.00, 4.10, 4.00, 4.00, 80957
11/26/24, 4.00, 4.00, 3.80, 4.00, 79965
11/25/24, 4.10, 4.10, 3.80, 4.10, 5755
11/22/24, 4.10, 4.10, 4.00, 4.00, 6607
11/21/24, 4.00, 4.10, 3.70, 4.00, 137159
11/20/24, 3.30, 4.10, 3.30, 4.10, 535023
11/19/24, 3.60, 3.60, 3.30, 3.60, 26319
11/18/24, 3.40, 3.50, 3.40, 3.50, 1479
11/14/24, 3.40, 3.40, 3.30, 3.40, 2758
11/13/24, 3.50, 3.50, 3.30, 3.40, 3591
11/11/24, 3.30, 3.60, 3.30, 3.50, 840
11/08/24, 3.30, 3.60, 3.30, 3.30, 2201
11/07/24, 3.30, 3.50, 3.30, 3.30, 5621
11/06/24, 3.30, 3.40, 3.30, 3.30, 6910
11/05/24, 3.40, 3.50, 3.30, 3.50, 10169
11/04/24, 3.40, 3.40, 3.40, 3.40, 1085
11/01/24, 3.40, 3.70, 3.30, 3.40, 23972
10/30/24, 3.40, 3.40, 3.30, 3.40, 11164
10/29/24, 3.30, 3.40, 3.30, 3.30, 58965
10/28/24, 3.50, 3.50, 3.40, 3.50, 146
10/25/24, 3.30, 3.50, 3.30, 3.50, 7131
10/24/24, 3.50, 3.50, 3.30, 3.50, 1941
10/23/24, 3.70, 3.70, 3.30, 3.40, 571
10/22/24, 3.40, 3.70, 3.30, 3.50, 36241
10/21/24, 3.40, 3.60, 3.40, 3.40, 4120
10/18/24, 3.60, 3.60, 3.50, 3.60, 464
10/16/24, 3.40, 3.70, 3.40, 3.70, 52524
10/15/24, 3.60, 3.70, 3.50, 3.50, 1993
10/14/24, 3.40, 3.40, 3.40, 3.40, 20
10/10/24, 3.40, 3.40, 3.40, 3.40, 1500
10/09/24, 3.60, 3.60, 3.40, 3.40, 901
10/08/24, 3.60, 3.60, 3.30, 3.30, 25004
10/07/24, 3.70, 3.70, 3.50, 3.50, 676
10/04/24, 3.70, 3.70, 3.40, 3.40, 2570
10/03/24, 3.70, 3.70, 3.40, 3.50, 11
10/02/24, 3.60, 3.70, 3.50, 3.50, 1567
10/01/24, 3.60, 3.70, 3.50, 3.60, 5506
09/30/24, 3.60, 3.70, 3.40, 3.50, 42115
09/27/24, 3.60, 3.60, 3.50, 3.50, 627
09/26/24, 3.60, 3.70, 3.50, 3.50, 13409
09/25/24, 3.40, 3.70, 3.40, 3.50, 60052
09/24/24, 3.70, 3.70, 3.30, 3.40, 12293
09/23/24, 3.30, 3.30, 3.20, 3.20, 2832
09/20/24, 3.30, 3.40, 3.30, 3.30, 884
09/19/24, 3.50, 3.50, 3.50, 3.50, 103401
09/18/24, 3.40, 3.60, 3.40, 3.50, 47301
09/12/24, 3.50, 3.50, 3.20, 3.50, 6550
09/11/24, 3.50, 3.50, 3.50, 3.50, 4000
09/10/24, 3.50, 3.50, 3.50, 3.50, 109
09/09/24, 3.30, 3.30, 3.30, 3.50, 11
09/05/24, 3.60, 3.60, 3.60, 3.50, 8
09/04/24, 3.40, 3.60, 3.40, 3.50, 42391
09/03/24, 3.50, 3.50, 3.00, 3.00, 18495
09/02/24, 3.50, 3.50, 3.00, 3.10, 44500
08/30/24, 3.80, 3.80, 3.50, 3.50, 4757
08/29/24, 3.50, 3.70, 3.50, 3.70, 1088
08/28/24, 3.70, 3.80, 3.50, 3.50, 94694
08/27/24, 3.80, 3.80, 3.70, 3.70, 5801
08/23/24, 3.80, 3.80, 3.70, 3.80, 25621
08/21/24, 3.90, 3.90, 3.90, 3.90, 270
08/20/24, 3.70, 3.90, 3.70, 3.70, 401
08/16/24, 3.90, 3.90, 3.80, 3.80, 2661
08/15/24, 4.10, 4.10, 4.00, 4.00, 240779
08/14/24, 3.90, 4.20, 3.90, 4.20, 51442
08/13/24, 3.80, 3.80, 3.80, 3.80, 23554
08/12/24, 3.70, 3.70, 3.70, 3.70, 23902
08/09/24, 3.70, 3.70, 3.60, 3.60, 4120
08/08/24, 3.70, 3.70, 3.70, 3.70, 20850
08/06/24, 3.60, 3.80, 3.60, 3.80, 16903
08/05/24, 3.60, 3.60, 3.60, 3.60, 21885
08/02/24, 3.40, 3.40, 3.40, 3.40, 1899
07/31/24, 3.40, 3.60, 3.40, 3.60, 101
07/30/24, 3.60, 3.60, 3.40, 3.40, 17523
07/29/24, 3.40, 3.40, 3.40, 3.40, 3110
07/26/24, 3.60, 3.60, 3.60, 3.60, 136
07/25/24, 3.60, 3.60, 3.50, 3.50, 68
07/24/24, 3.50, 3.50, 3.50, 3.50, 10674
07/23/24, 3.50, 3.70, 3.50, 3.70, 2042
07/19/24, 3.80, 3.80, 3.50, 3.50, 20416
07/18/24, 3.70, 3.70, 3.70, 3.70, 8980
07/17/24, 3.70, 3.70, 3.70, 3.70, 7151
07/15/24, 3.70, 3.70, 3.70, 3.70, 5900
07/11/24, 3.60, 3.70, 3.60, 3.60, 2035
07/10/24, 3.60, 3.60, 3.60, 3.60, 1200
07/09/24, 3.50, 3.80, 3.50, 3.70, 5199
07/08/24, 3.50, 3.50, 3.50, 3.50, 10151
07/05/24, 3.60, 3.60, 3.50, 3.60, 30000
07/04/24, 3.80, 3.80, 3.70, 3.70, 13828
07/03/24, 3.80, 3.80, 3.70, 3.70, 43464
07/02/24, 3.80, 3.90, 3.60, 3.80, 47703
07/01/24, 3.60, 3.60, 3.60, 3.60, 110
06/28/24, 3.70, 3.80, 3.60, 3.60, 36001
06/27/24, 3.70, 3.80, 3.70, 3.70, 36915
06/26/24, 3.90, 3.90, 3.70, 3.70, 4102
06/25/24, 3.90, 3.90, 3.70, 3.70, 5041
06/24/24, 3.90, 3.90, 3.60, 3.60, 7540
06/20/24, 3.80, 4.00, 3.80, 3.90, 23630
06/19/24, 3.60, 3.80, 3.60, 3.80, 5600
06/18/24, 3.70, 3.80, 3.60, 3.70, 61045
06/14/24, 3.80, 3.80, 3.70, 3.80, 134
06/13/24, 3.60, 3.80, 3.60, 3.70, 700
06/12/24, 3.70, 3.80, 3.60, 3.60, 11750
06/11/24, 3.70, 3.70, 3.60, 3.60, 2086
06/10/24, 3.80, 3.80, 3.50, 3.60, 5744
06/07/24, 3.60, 3.80, 3.60, 3.80, 9522
06/06/24, 3.70, 3.80, 3.70, 3.70, 24652
06/05/24, 3.50, 3.70, 3.50, 3.60, 15170
06/04/24, 3.60, 3.60, 3.50, 3.50, 20771
06/03/24, 3.60, 3.60, 3.60, 3.60, 12376
05/31/24, 3.50, 3.60, 3.50, 3.60, 7800
05/30/24, 3.60, 3.70, 3.60, 3.70, 1301
05/29/24, 3.70, 3.70, 3.50, 3.50, 3001
05/28/24, 3.70, 3.70, 3.60, 3.60, 11700
05/27/24, 3.70, 3.80, 3.70, 3.70, 15971
05/22/24, 3.50, 3.70, 3.50, 3.50, 3200
05/21/24, 3.60, 3.80, 3.50, 3.50, 6470
05/20/24, 3.90, 3.90, 3.60, 3.70, 6417
05/17/24, 3.80, 3.80, 3.70, 3.70, 8360
05/16/24, 3.70, 3.90, 3.70, 3.70, 6386
05/15/24, 3.70, 3.90, 3.70, 3.80, 2330
05/14/24, 3.80, 3.80, 3.70, 3.70, 4589
05/13/24, 4.00, 4.00, 3.80, 3.80, 10922
05/10/24, 3.80, 4.00, 3.70, 3.90, 15512
