Date, Open, High, Low, Close, Volume
04/24/25, 6.10, 6.10, 6.00, 6.00, 7503
04/23/25, 6.10, 6.10, 6.00, 6.00, 2058
04/22/25, 6.00, 6.10, 6.00, 6.00, 1352
04/21/25, 6.10, 6.10, 5.90, 6.00, 128556
04/17/25, 6.00, 6.10, 6.00, 6.00, 59823
04/16/25, 6.10, 6.10, 5.90, 6.00, 33056
04/11/25, 6.10, 6.10, 6.00, 6.00, 29799
04/10/25, 6.00, 6.10, 5.90, 6.00, 245424
04/09/25, 5.90, 6.00, 5.80, 5.80, 101900
04/08/25, 5.80, 6.10, 5.80, 6.00, 68397
04/07/25, 6.10, 6.10, 5.70, 5.80, 39371
04/04/25, 6.00, 6.10, 5.90, 6.00, 75296
04/03/25, 6.20, 6.20, 6.10, 6.10, 16102
04/02/25, 6.20, 6.30, 6.10, 6.20, 18372
04/01/25, 6.10, 6.20, 6.10, 6.20, 11652
03/28/25, 6.10, 6.10, 6.00, 6.00, 1727
03/27/25, 6.00, 6.10, 5.90, 6.00, 10702
03/26/25, 6.10, 6.10, 5.90, 5.90, 42692
03/25/25, 6.10, 6.10, 6.00, 6.00, 116796
03/24/25, 6.10, 6.20, 6.00, 6.00, 16766
03/21/25, 6.10, 6.10, 6.00, 6.10, 27758
03/20/25, 6.00, 6.20, 6.00, 6.10, 20518
03/19/25, 6.00, 6.10, 5.90, 6.00, 102816
03/18/25, 6.00, 6.10, 5.90, 5.90, 84013
03/17/25, 6.10, 6.10, 6.00, 6.00, 68348
03/14/25, 6.20, 6.20, 6.00, 6.10, 2812
03/12/25, 6.10, 6.10, 6.00, 6.10, 69999
03/11/25, 6.20, 6.20, 6.00, 6.00, 119802
03/10/25, 6.10, 6.20, 6.10, 6.10, 12848
03/07/25, 6.20, 6.20, 6.10, 6.10, 43847
03/06/25, 6.40, 6.40, 6.20, 6.20, 32566
03/05/25, 6.10, 6.40, 6.10, 6.20, 1232037
03/04/25, 6.30, 6.30, 6.10, 6.10, 124006
03/03/25, 6.40, 6.40, 6.20, 6.20, 201557
02/28/25, 6.30, 6.40, 6.30, 6.40, 4361
02/27/25, 6.30, 6.30, 6.20, 6.30, 87291
02/25/25, 6.40, 6.40, 6.20, 6.20, 130977
02/24/25, 6.20, 6.40, 6.20, 6.20, 194649
02/21/25, 6.50, 6.50, 6.20, 6.30, 168295
02/20/25, 6.50, 6.50, 6.20, 6.30, 154554
02/19/25, 6.60, 6.60, 6.40, 6.40, 69855
02/18/25, 6.60, 6.60, 6.50, 6.50, 86404
02/17/25, 6.50, 6.80, 6.50, 6.70, 48263
02/14/25, 6.60, 6.70, 6.40, 6.70, 38186
02/13/25, 6.70, 6.70, 6.40, 6.50, 38910
02/11/25, 6.60, 6.80, 6.50, 6.60, 32200
02/10/25, 6.70, 6.80, 6.50, 6.60, 16584
02/07/25, 6.70, 6.70, 6.60, 6.70, 158606
02/06/25, 6.40, 6.80, 6.40, 6.70, 521599
02/05/25, 6.80, 6.80, 6.40, 6.40, 689187
02/03/25, 6.80, 6.90, 6.60, 6.80, 1384229
01/31/25, 6.80, 6.90, 6.70, 6.80, 645338
01/30/25, 6.60, 6.80, 6.60, 6.70, 206069
01/29/25, 6.70, 6.70, 6.50, 6.60, 1368074
01/28/25, 6.10, 6.70, 6.10, 6.70, 4175301
01/27/25, 6.30, 6.40, 6.10, 6.20, 214592
01/24/25, 6.40, 6.40, 6.10, 6.10, 412586
01/23/25, 6.30, 6.40, 6.10, 6.30, 327641
01/22/25, 6.40, 6.40, 6.20, 6.20, 180759
01/21/25, 6.40, 6.40, 6.20, 6.30, 242225
01/20/25, 6.20, 6.40, 6.20, 6.20, 1449224
01/17/25, 6.30, 6.30, 6.00, 6.00, 1627581
01/16/25, 6.30, 6.30, 6.10, 6.10, 119862
01/15/25, 6.20, 6.30, 6.00, 6.10, 334958
01/10/25, 6.30, 6.30, 6.00, 6.00, 386284
01/09/25, 6.50, 6.50, 6.10, 6.20, 153227
01/08/25, 6.50, 6.50, 6.20, 6.20, 84677
01/07/25, 6.20, 6.50, 6.00, 6.40, 207966
01/06/25, 6.30, 6.60, 6.00, 6.30, 715003
01/03/25, 6.80, 6.80, 6.30, 6.40, 1064997
01/02/25, 6.60, 6.80, 6.60, 6.60, 3009029
12/31/24, 6.50, 7.00, 6.40, 6.40, 4851100
12/30/24, 6.70, 6.70, 6.30, 6.40, 844815
12/27/24, 6.70, 6.90, 6.50, 6.60, 620928
12/26/24, 6.50, 7.00, 6.50, 6.70, 1707747
12/24/24, 5.80, 7.00, 5.70, 6.90, 3112699
12/23/24, 5.70, 6.00, 5.70, 5.90, 1933036
12/20/24, 5.70, 5.80, 5.50, 5.70, 397156
12/19/24, 5.60, 5.70, 5.50, 5.60, 815621
12/18/24, 5.50, 5.60, 5.20, 5.50, 169666
12/17/24, 5.30, 5.70, 5.30, 5.50, 694368
12/16/24, 5.70, 5.80, 5.20, 5.30, 1010491
12/13/24, 5.20, 5.70, 5.20, 5.60, 1805432
12/12/24, 5.10, 5.50, 5.10, 5.40, 1895285
12/11/24, 5.00, 5.10, 5.00, 5.00, 28840
12/10/24, 5.10, 5.20, 5.00, 5.00, 186781
12/09/24, 5.00, 5.20, 5.00, 5.10, 334650
12/06/24, 4.90, 5.30, 4.80, 5.10, 3412297
12/05/24, 4.90, 4.90, 4.80, 4.80, 37259
12/04/24, 4.80, 4.90, 4.80, 4.80, 32656
12/03/24, 4.70, 4.80, 4.60, 4.70, 79462
12/02/24, 4.70, 4.70, 4.60, 4.70, 46684
11/29/24, 4.80, 4.80, 4.60, 4.70, 37109
11/28/24, 4.80, 4.80, 4.70, 4.70, 66529
11/27/24, 4.70, 4.80, 4.70, 4.80, 3288
11/26/24, 4.90, 4.90, 4.60, 4.80, 14076
11/25/24, 4.80, 4.90, 4.70, 4.80, 205734
11/22/24, 5.10, 5.10, 4.90, 5.00, 87795
11/21/24, 5.10, 5.10, 4.90, 5.00, 25906
11/20/24, 5.20, 5.20, 4.90, 4.90, 126399
11/19/24, 5.20, 5.20, 5.00, 5.00, 16053
11/18/24, 5.20, 5.30, 5.00, 5.10, 95077
11/14/24, 5.10, 5.20, 5.00, 5.10, 149490
11/13/24, 5.00, 5.10, 4.80, 5.00, 675965
11/12/24, 5.00, 5.00, 4.80, 4.80, 12155
11/11/24, 5.00, 5.00, 4.80, 4.90, 33967
11/08/24, 5.00, 5.30, 5.00, 5.00, 522131
11/07/24, 4.70, 5.10, 4.60, 4.90, 594983
