Date, Open, High, Low, Close, Volume
04/24/25, 52.00, 52.00, 51.50, 51.60, 94915
04/23/25, 53.00, 53.00, 51.70, 52.00, 14736
04/22/25, 53.10, 53.50, 51.50, 51.70, 50081
04/21/25, 54.00, 54.00, 52.00, 52.10, 49104
04/17/25, 53.80, 54.00, 52.50, 54.00, 1788
04/16/25, 52.20, 53.90, 52.00, 52.10, 8017
04/11/25, 52.80, 53.00, 52.30, 52.30, 23154
04/10/25, 51.80, 53.50, 51.70, 52.80, 11035
04/09/25, 52.50, 52.50, 51.10, 51.60, 4824
04/08/25, 53.20, 53.20, 51.20, 51.50, 44475
04/07/25, 53.10, 53.10, 50.20, 52.20, 10019
04/04/25, 53.80, 53.80, 53.00, 53.50, 1986
04/03/25, 54.90, 55.00, 53.60, 53.80, 10046
04/02/25, 54.90, 55.00, 52.70, 54.00, 28019
04/01/25, 55.00, 55.00, 53.00, 53.00, 57505
03/28/25, 53.50, 53.50, 53.00, 53.00, 8519
03/27/25, 55.00, 55.00, 53.60, 53.60, 509
03/26/25, 54.00, 54.00, 53.20, 54.00, 206
03/25/25, 54.50, 54.50, 53.00, 53.10, 100389
03/24/25, 56.00, 56.00, 54.00, 54.00, 3958
03/21/25, 53.00, 54.00, 53.00, 54.00, 12369
03/20/25, 53.30, 53.30, 52.70, 52.70, 43418
03/19/25, 52.50, 55.00, 52.50, 52.60, 717
03/18/25, 55.00, 55.00, 52.00, 52.30, 9602
03/17/25, 53.00, 54.80, 52.50, 52.70, 7173
03/14/25, 53.90, 55.00, 53.20, 53.20, 13202
03/12/25, 52.70, 53.90, 52.70, 53.00, 2879
03/11/25, 53.00, 53.00, 52.60, 52.70, 5971
03/10/25, 54.50, 57.50, 53.00, 53.60, 26885
03/07/25, 53.80, 54.70, 53.50, 54.00, 3396
03/06/25, 54.50, 55.70, 54.00, 54.10, 6872
03/05/25, 54.00, 54.00, 53.80, 54.00, 38820
03/04/25, 53.80, 53.90, 53.50, 53.90, 8163
