Date, Open, High, Low, Close, Volume
04/24/25, 25.30, 26.50, 25.30, 26.30, 1222
04/23/25, 26.50, 26.50, 25.70, 26.00, 3350
04/22/25, 26.50, 26.50, 25.90, 26.20, 3310827
04/21/25, 26.50, 26.50, 25.30, 26.30, 5829
04/17/25, 26.00, 26.00, 25.60, 26.00, 5390
04/16/25, 26.00, 26.00, 26.00, 26.00, 570
04/11/25, 25.10, 26.00, 25.10, 25.80, 856
04/10/25, 25.50, 26.60, 25.50, 25.80, 514
04/09/25, 26.80, 26.80, 25.40, 25.50, 3638
04/08/25, 25.70, 25.90, 25.70, 25.90, 63093
04/07/25, 25.90, 25.90, 25.20, 25.20, 110815
04/04/25, 25.30, 25.90, 25.20, 25.70, 3290
04/03/25, 25.70, 26.00, 25.70, 25.70, 125170
04/02/25, 25.90, 25.90, 25.90, 25.90, 3350
04/01/25, 25.80, 25.90, 25.80, 25.80, 209069
03/28/25, 25.90, 25.90, 25.70, 25.80, 50521
03/27/25, 25.80, 25.90, 25.80, 25.90, 10319
03/26/25, 25.90, 25.90, 25.70, 25.70, 2431
03/25/25, 26.00, 26.00, 25.80, 26.00, 3953
03/24/25, 25.60, 26.00, 25.60, 25.90, 17755
03/21/25, 26.20, 26.20, 25.70, 25.70, 41955
03/20/25, 26.10, 26.20, 25.80, 26.10, 819
03/19/25, 25.90, 26.30, 25.70, 26.00, 7644
03/18/25, 26.30, 26.80, 25.70, 25.70, 88792
03/17/25, 25.50, 26.30, 25.50, 26.10, 700355
03/14/25, 25.50, 25.90, 25.50, 25.50, 401019
03/12/25, 26.00, 26.00, 25.50, 25.50, 210
03/11/25, 25.80, 25.80, 25.80, 25.50, 10
03/10/25, 25.20, 25.90, 25.00, 25.50, 466287
03/07/25, 25.90, 26.20, 25.20, 25.20, 18841
03/06/25, 25.90, 26.10, 25.00, 25.20, 980
03/05/25, 25.80, 25.90, 25.50, 25.60, 6793
03/04/25, 25.50, 25.90, 25.50, 25.70, 37934
03/03/25, 25.40, 26.00, 25.40, 25.50, 4131
02/28/25, 26.00, 26.00, 25.30, 25.40, 4916
02/27/25, 26.00, 26.00, 25.10, 25.20, 3384
02/25/25, 25.60, 26.20, 25.60, 25.60, 501
02/24/25, 25.80, 25.80, 25.50, 25.70, 13874
02/21/25, 26.10, 26.10, 25.70, 26.00, 44695
02/20/25, 26.20, 26.60, 26.00, 26.00, 9609
02/19/25, 26.70, 26.70, 26.40, 26.70, 1005
02/18/25, 26.20, 26.90, 26.20, 26.70, 1185
02/17/25, 26.50, 27.00, 26.50, 27.00, 1261
02/14/25, 26.60, 27.20, 26.00, 26.90, 61646
02/13/25, 26.10, 26.60, 26.00, 26.10, 5935
02/11/25, 26.00, 26.60, 26.00, 26.20, 415343
02/10/25, 26.20, 26.70, 25.50, 26.00, 29243
02/07/25, 25.90, 26.30, 25.90, 26.10, 150612
02/06/25, 25.90, 26.00, 25.90, 26.00, 3093
02/05/25, 26.00, 26.50, 25.90, 26.30, 9467
02/03/25, 26.50, 26.50, 26.00, 26.00, 36160
01/31/25, 26.10, 27.00, 26.00, 26.40, 134179
01/30/25, 26.00, 26.50, 25.90, 26.00, 16617
01/29/25, 26.00, 26.50, 26.00, 26.50, 4776
01/28/25, 26.20, 26.40, 26.00, 26.00, 61248
01/27/25, 25.90, 26.60, 25.90, 26.10, 6622
01/24/25, 26.50, 26.50, 26.00, 26.10, 33203
01/23/25, 26.30, 26.50, 25.90, 26.30, 32129
01/22/25, 26.00, 26.30, 26.00, 26.30, 18050
01/21/25, 26.10, 26.50, 25.90, 26.00, 4567
01/20/25, 26.40, 26.50, 26.10, 26.20, 28829
01/17/25, 26.10, 26.70, 26.10, 26.40, 13289
01/16/25, 25.50, 26.50, 25.20, 26.30, 422310
01/15/25, 25.10, 25.50, 25.00, 25.40, 6190
01/10/25, 25.10, 25.40, 25.00, 25.30, 27070
01/09/25, 25.30, 25.30, 25.10, 25.10, 20196
01/08/25, 25.60, 25.60, 25.00, 25.30, 15753
01/07/25, 25.80, 25.80, 24.60, 25.60, 10796
01/06/25, 25.90, 25.90, 24.60, 24.90, 9317
01/03/25, 25.80, 25.90, 25.30, 25.50, 90964
01/02/25, 25.20, 25.80, 25.00, 25.20, 47647
12/31/24, 26.00, 26.20, 25.60, 25.70, 4848
12/30/24, 26.30, 26.30, 25.20, 25.30, 42012
12/27/24, 26.00, 26.00, 25.80, 25.90, 22339
12/26/24, 25.50, 26.30, 25.20, 25.80, 30083
12/24/24, 25.60, 25.60, 25.20, 25.20, 6157
12/23/24, 25.10, 26.00, 25.10, 25.60, 8426
12/20/24, 24.90, 25.60, 24.90, 25.00, 24351
12/19/24, 25.00, 25.40, 24.70, 25.20, 39401
12/18/24, 24.60, 25.20, 24.60, 25.00, 45970
