Date, Open, High, Low, Close, Volume
04/24/25, 34.80, 34.80, 34.10, 34.50, 12475
04/23/25, 34.00, 34.80, 34.00, 34.00, 18102
04/22/25, 34.00, 35.00, 33.10, 34.30, 53253
04/21/25, 33.00, 34.50, 33.00, 33.90, 22351
04/17/25, 32.50, 34.50, 32.50, 34.00, 2633
04/16/25, 34.50, 34.50, 32.20, 34.00, 3731
04/11/25, 32.00, 34.00, 32.00, 33.90, 21216
04/10/25, 34.00, 34.90, 33.00, 33.10, 45802
04/09/25, 33.50, 33.50, 32.00, 32.40, 49035
04/08/25, 33.20, 34.00, 33.20, 33.50, 25552
04/07/25, 34.50, 34.50, 33.00, 33.50, 63433
04/04/25, 34.30, 35.10, 33.90, 34.50, 50700
04/03/25, 35.50, 35.50, 34.30, 35.00, 195014
04/02/25, 35.90, 36.40, 35.90, 35.90, 49921
04/01/25, 35.00, 36.00, 34.50, 35.30, 96968
03/28/25, 34.50, 36.50, 34.00, 35.30, 84380
03/27/25, 34.50, 34.90, 34.00, 34.00, 434328
03/26/25, 32.10, 35.00, 32.10, 34.50, 21803
03/25/25, 32.10, 33.80, 32.10, 32.80, 1348
03/24/25, 33.30, 33.60, 33.00, 33.30, 122858
03/21/25, 33.00, 33.20, 31.80, 33.00, 466
03/20/25, 32.70, 33.30, 32.50, 32.90, 49962
03/19/25, 32.60, 32.80, 32.00, 32.50, 7067
03/18/25, 32.50, 32.80, 31.00, 32.10, 102879
03/17/25, 32.80, 32.90, 32.50, 32.80, 7953
03/14/25, 30.00, 33.00, 30.00, 32.00, 8035
03/12/25, 29.50, 31.50, 29.00, 30.30, 48005
03/11/25, 31.30, 31.30, 29.60, 29.80, 159146
03/10/25, 31.70, 31.70, 31.20, 31.50, 9722
03/07/25, 32.20, 32.50, 31.50, 32.20, 7348
03/06/25, 31.00, 33.00, 31.00, 32.50, 104527
03/05/25, 31.90, 33.00, 31.90, 32.90, 3384
03/04/25, 31.50, 33.00, 30.80, 31.00, 220313
03/03/25, 32.30, 33.00, 31.60, 32.00, 46073
02/28/25, 33.00, 33.50, 32.90, 33.10, 87277
02/27/25, 33.80, 33.80, 31.00, 33.20, 120657
02/25/25, 33.90, 33.90, 31.00, 31.40, 9797
02/24/25, 34.00, 34.20, 32.50, 33.60, 146825
02/21/25, 34.30, 34.50, 32.50, 33.60, 55844
02/20/25, 34.90, 35.50, 33.50, 34.40, 22228
02/19/25, 35.40, 35.40, 34.70, 34.90, 80145
02/18/25, 35.00, 35.50, 35.00, 35.40, 50708
02/17/25, 35.00, 35.80, 35.00, 35.20, 65762
02/14/25, 35.00, 35.50, 34.00, 35.00, 131203
02/13/25, 35.00, 35.00, 34.10, 34.90, 6226
02/11/25, 36.00, 36.00, 33.10, 34.80, 9821
02/10/25, 34.50, 35.00, 34.00, 34.10, 18441
02/07/25, 36.20, 36.20, 34.10, 35.80, 11028
02/06/25, 34.00, 36.50, 34.00, 34.90, 10839
02/05/25, 36.00, 36.00, 33.00, 33.60, 185238
02/03/25, 35.70, 36.90, 35.70, 35.90, 51503
01/31/25, 36.70, 36.90, 35.50, 35.70, 52718
01/30/25, 36.30, 37.00, 36.00, 36.70, 137849
01/29/25, 36.90, 37.20, 36.20, 36.50, 167530
01/28/25, 37.40, 37.40, 36.00, 36.40, 107061
01/27/25, 33.10, 37.40, 32.90, 36.90, 1458796
01/24/25, 31.50, 33.80, 31.40, 32.90, 405491
01/23/25, 31.60, 31.90, 31.60, 31.70, 56360
01/22/25, 31.20, 32.40, 30.70, 31.60, 284607
01/21/25, 31.00, 31.00, 30.60, 30.90, 80947
01/20/25, 30.90, 31.00, 30.70, 30.80, 72020
01/17/25, 30.90, 31.00, 30.80, 31.00, 119601
01/16/25, 30.10, 30.90, 30.10, 30.80, 193301
01/15/25, 30.00, 30.20, 29.50, 30.00, 45533
01/10/25, 29.10, 30.00, 28.50, 30.00, 15866
01/09/25, 29.70, 29.70, 28.10, 29.50, 180
01/08/25, 29.60, 29.70, 29.50, 29.70, 12626
01/07/25, 29.70, 30.00, 28.60, 29.40, 13670
01/06/25, 29.70, 30.40, 27.70, 29.90, 33947
01/03/25, 30.70, 31.00, 28.50, 29.60, 156561
01/02/25, 31.20, 31.20, 29.80, 30.00, 252802
12/31/24, 31.20, 31.50, 30.70, 31.10, 68058
12/30/24, 31.80, 31.80, 31.30, 31.60, 180267
12/27/24, 31.70, 32.00, 31.20, 31.80, 139472
12/26/24, 31.70, 31.90, 31.50, 31.60, 46376
12/24/24, 31.80, 31.90, 30.90, 31.80, 93564
12/23/24, 31.50, 31.80, 31.00, 31.20, 274822
12/20/24, 30.80, 31.70, 30.50, 30.90, 656219
12/19/24, 30.90, 31.30, 30.30, 30.90, 569945
12/18/24, 29.70, 31.30, 29.70, 30.50, 71345
12/17/24, 31.30, 31.30, 29.80, 30.70, 52271
12/16/24, 31.20, 32.00, 30.30, 30.70, 76574
12/13/24, 30.20, 31.40, 30.10, 31.30, 361586
12/12/24, 30.10, 31.00, 30.10, 30.70, 429211
12/11/24, 30.00, 30.80, 29.80, 30.70, 217149
12/10/24, 30.90, 30.90, 29.30, 29.40, 184586
12/09/24, 29.10, 31.00, 29.00, 30.60, 2347997
12/06/24, 29.00, 30.00, 28.90, 29.90, 52962
12/05/24, 30.20, 30.20, 28.20, 28.90, 29827
12/04/24, 29.00, 30.30, 28.80, 29.20, 271963
12/03/24, 30.30, 30.30, 28.80, 28.90, 14100
12/02/24, 30.40, 30.40, 29.50, 30.20, 7012
11/29/24, 29.90, 30.50, 29.50, 29.90, 681783
11/28/24, 30.00, 30.40, 29.10, 30.00, 108980
11/27/24, 28.30, 30.50, 27.90, 29.40, 794375
11/26/24, 28.20, 28.20, 28.20, 28.30, 1
11/25/24, 28.60, 28.60, 28.20, 28.30, 18061
11/22/24, 28.70, 28.70, 28.50, 28.60, 2976
11/21/24, 29.00, 29.00, 28.50, 28.50, 17222
11/20/24, 28.90, 29.00, 28.40, 28.60, 209314
11/19/24, 28.60, 28.90, 28.20, 28.50, 123916
11/18/24, 29.40, 29.40, 28.60, 28.90, 42787
11/14/24, 28.20, 29.30, 28.20, 29.10, 16611
11/13/24, 29.10, 29.40, 28.50, 29.00, 522030
11/12/24, 28.50, 29.10, 28.20, 29.00, 369225
11/11/24, 29.00, 29.00, 28.10, 28.40, 19055
11/08/24, 29.00, 29.00, 28.40, 28.80, 107070
11/07/24, 29.30, 29.30, 28.90, 29.00, 67920
11/06/24, 29.00, 29.40, 28.70, 28.90, 181683
11/05/24, 28.00, 29.00, 27.50, 28.90, 274185
11/04/24, 28.40, 28.40, 27.70, 28.00, 148790
11/01/24, 27.90, 28.90, 27.90, 28.10, 407029
10/30/24, 27.00, 28.00, 26.80, 27.80, 1597659
10/29/24, 26.80, 27.00, 26.10, 26.60, 60816
10/28/24, 26.90, 27.00, 26.80, 26.80, 18996
10/25/24, 27.00, 27.10, 26.70, 26.70, 18942
10/24/24, 26.50, 27.00, 26.40, 27.00, 108348
10/23/24, 26.90, 27.00, 26.50, 26.90, 11052
10/22/24, 27.10, 27.10, 26.40, 26.90, 3661
10/21/24, 26.90, 27.50, 26.60, 26.60, 2184
10/18/24, 27.50, 27.70, 27.20, 27.60, 37245
10/16/24, 27.00, 27.50, 27.00, 27.30, 17617
10/15/24, 26.80, 27.70, 26.10, 27.70, 486212
10/14/24, 27.00, 27.00, 26.80, 26.90, 20107
10/11/24, 27.20, 27.20, 27.00, 27.00, 129651
10/10/24, 26.80, 27.30, 26.80, 27.10, 253660
10/09/24, 26.40, 27.30, 26.30, 27.00, 246463
10/08/24, 27.00, 27.00, 26.70, 26.70, 8814
10/07/24, 27.50, 27.50, 26.80, 27.00, 217997
10/04/24, 26.20, 27.40, 26.20, 27.20, 175650
10/03/24, 27.80, 27.90, 26.80, 27.10, 286760
10/02/24, 27.50, 27.60, 27.00, 27.40, 259279
10/01/24, 26.30, 28.00, 26.30, 27.50, 786252
09/30/24, 26.30, 26.40, 26.00, 26.00, 117509
09/27/24, 26.70, 26.90, 25.50, 26.10, 596687
09/26/24, 27.00, 27.50, 25.40, 25.80, 328240
09/25/24, 25.00, 27.50, 25.00, 27.00, 2539903
09/24/24, 24.50, 25.60, 24.50, 25.00, 771034
09/23/24, 23.40, 25.30, 23.10, 24.70, 355038
09/20/24, 24.00, 24.00, 23.50, 23.70, 116986
09/19/24, 24.10, 24.10, 23.90, 24.00, 87962
09/18/24, 24.00, 24.10, 24.00, 24.00, 29030
09/13/24, 24.10, 24.50, 24.00, 24.20, 75859
09/12/24, 23.50, 24.50, 23.50, 24.00, 273523
09/11/24, 23.50, 23.50, 23.30, 23.30, 41071
09/10/24, 23.10, 23.10, 23.00, 23.00, 45090
09/09/24, 23.80, 23.80, 23.50, 23.50, 18910
09/06/24, 24.50, 24.50, 23.90, 24.00, 63873
09/05/24, 24.90, 25.00, 24.00, 24.10, 244813
09/04/24, 25.00, 25.10, 24.00, 24.80, 140462
09/03/24, 23.50, 25.00, 23.50, 24.40, 1178436
09/02/24, 24.40, 24.40, 23.50, 23.70, 55045
08/30/24, 24.00, 24.40, 24.00, 24.20, 137404
08/29/24, 23.80, 24.20, 23.80, 24.10, 28129
08/28/24, 23.70, 24.10, 23.60, 24.00, 263389
08/27/24, 24.00, 24.00, 23.40, 23.90, 109647
08/26/24, 23.70, 24.60, 23.50, 23.90, 39419
08/23/24, 24.90, 24.90, 23.90, 24.50, 87991
08/22/24, 23.40, 24.90, 23.40, 24.70, 869061
08/21/24, 23.00, 23.30, 22.90, 23.10, 83712
08/20/24, 22.10, 23.40, 22.00, 22.90, 60531
08/16/24, 22.50, 22.90, 22.00, 22.50, 180322
08/15/24, 22.50, 22.50, 22.10, 22.40, 1307
08/14/24, 22.00, 22.60, 22.00, 22.50, 36743
08/13/24, 22.00, 22.00, 22.00, 21.90, 16
08/12/24, 22.00, 22.00, 21.00, 21.90, 17250
08/09/24, 21.80, 21.80, 20.60, 21.70, 5974
08/08/24, 20.50, 21.70, 20.50, 20.80, 2830
08/07/24, 21.00, 21.00, 20.20, 21.00, 16303
08/06/24, 20.60, 21.00, 20.60, 20.90, 230
08/05/24, 21.30, 21.80, 20.90, 21.00, 1556
08/02/24, 21.90, 21.90, 20.10, 20.50, 17159
08/01/24, 21.10, 21.90, 21.10, 21.20, 112
07/31/24, 21.30, 21.30, 21.20, 21.30, 800
07/30/24, 22.00, 22.00, 21.40, 21.50, 766
07/29/24, 22.00, 22.00, 21.50, 21.50, 1423
07/26/24, 22.00, 22.00, 21.50, 21.50, 4030
07/25/24, 21.90, 22.00, 21.50, 21.60, 13296
07/24/24, 21.80, 21.80, 21.50, 21.60, 20782
07/23/24, 21.50, 22.00, 21.00, 21.50, 75626
