Date, Open, High, Low, Close, Volume
04/24/25, 164.00, 164.00, 164.00, 164.00, 540
04/23/25, 163.00, 165.00, 162.00, 162.00, 7456
04/22/25, 168.00, 168.00, 165.00, 165.00, 103
04/21/25, 168.50, 168.50, 163.50, 165.00, 471
04/17/25, 165.00, 165.50, 162.75, 163.25, 13352
04/16/25, 165.00, 166.00, 164.00, 165.00, 25722
04/11/25, 163.00, 165.00, 163.00, 163.00, 1423
04/10/25, 165.00, 165.00, 162.50, 162.50, 6994
04/09/25, 160.25, 165.25, 160.25, 162.25, 519
04/08/25, 165.50, 165.50, 160.50, 161.50, 7126
04/07/25, 163.00, 163.00, 161.25, 161.75, 2940
04/04/25, 165.75, 165.75, 163.50, 163.50, 11434
04/03/25, 165.50, 165.50, 164.00, 164.50, 582
04/02/25, 163.50, 166.00, 163.50, 165.25, 6462
04/01/25, 164.75, 167.75, 163.00, 165.00, 5125
03/28/25, 162.75, 164.75, 162.50, 164.75, 2201
03/27/25, 168.00, 168.00, 162.50, 162.75, 1645
03/26/25, 168.00, 168.00, 162.00, 164.00, 4822
03/25/25, 168.00, 168.00, 166.00, 164.50, 72
03/24/25, 169.25, 169.25, 164.00, 164.50, 1786
03/21/25, 167.00, 169.50, 163.50, 163.50, 7251
03/20/25, 162.00, 167.25, 162.00, 162.25, 1217
03/19/25, 162.50, 163.00, 160.00, 161.75, 8158
03/18/25, 165.00, 166.00, 162.00, 162.50, 6940
03/17/25, 168.00, 168.00, 166.75, 167.00, 281
03/14/25, 167.00, 168.00, 164.50, 165.50, 1351
03/12/25, 169.75, 169.75, 167.50, 168.00, 476
03/11/25, 169.00, 169.00, 165.00, 166.75, 4131
03/10/25, 169.75, 169.75, 166.00, 166.75, 4018
03/07/25, 168.00, 170.00, 166.00, 169.75, 11518
03/06/25, 167.25, 169.75, 166.00, 166.00, 14370
03/05/25, 169.75, 170.00, 166.50, 167.25, 4667
03/04/25, 171.00, 171.00, 167.00, 168.00, 15186
03/03/25, 173.50, 173.50, 169.25, 169.25, 6389
02/28/25, 168.00, 171.50, 167.50, 169.50, 3543
02/27/25, 171.00, 171.25, 168.00, 168.00, 8880
02/25/25, 169.00, 171.00, 168.25, 168.50, 3648
02/24/25, 172.50, 172.50, 171.00, 171.00, 627
02/21/25, 173.00, 173.00, 169.00, 171.00, 2457
02/20/25, 170.00, 170.00, 168.25, 169.25, 4132
02/19/25, 173.50, 173.75, 170.00, 170.00, 7013
02/18/25, 171.75, 172.25, 169.75, 170.00, 20724
02/17/25, 173.00, 173.50, 172.00, 173.00, 2199
02/14/25, 170.00, 173.50, 170.00, 171.50, 22929
02/13/25, 174.00, 174.00, 168.00, 169.75, 12377
02/11/25, 173.00, 175.00, 170.00, 170.00, 28935
02/10/25, 173.75, 173.75, 173.25, 173.50, 2362
02/07/25, 172.50, 173.25, 172.50, 173.00, 5040
02/06/25, 173.50, 175.00, 173.00, 173.00, 5766
02/05/25, 175.25, 175.50, 173.00, 173.50, 21003
02/03/25, 180.00, 180.00, 175.00, 176.75, 13040
01/31/25, 180.00, 180.00, 177.00, 179.00, 10483
01/30/25, 180.00, 180.00, 176.25, 176.75, 12103
01/29/25, 181.50, 181.50, 178.25, 179.25, 8900
01/28/25, 185.00, 185.00, 180.00, 180.75, 15414
01/27/25, 182.00, 184.50, 182.00, 183.75, 7003
01/24/25, 184.00, 185.00, 182.00, 182.25, 42923
01/23/25, 184.75, 184.75, 181.50, 183.25, 20332
01/22/25, 183.75, 184.75, 182.00, 184.50, 16128
01/21/25, 185.00, 186.00, 184.00, 184.50, 23450
01/20/25, 184.00, 186.50, 183.75, 184.75, 21516
01/17/25, 184.75, 187.00, 183.00, 183.50, 25567
01/16/25, 186.00, 187.00, 185.00, 185.50, 2762
01/15/25, 184.25, 187.00, 184.00, 186.00, 22498
01/10/25, 188.75, 188.75, 183.25, 183.75, 4927
01/09/25, 186.00, 188.75, 183.25, 184.50, 9818
01/08/25, 185.00, 189.00, 185.00, 185.75, 19134
01/07/25, 179.75, 189.00, 178.00, 185.00, 17517
01/06/25, 182.25, 189.00, 179.00, 182.25, 21352
01/03/25, 187.50, 191.00, 182.25, 185.00, 115651
01/02/25, 181.75, 195.00, 181.50, 189.50, 150431
12/31/24, 176.00, 186.00, 176.00, 184.00, 164099
12/30/24, 176.00, 177.00, 174.50, 175.50, 33490
12/27/24, 175.50, 175.75, 174.00, 175.00, 22144
12/26/24, 172.00, 175.50, 172.00, 174.00, 60133
12/24/24, 174.00, 174.00, 170.00, 171.75, 15107
12/23/24, 173.50, 175.00, 172.50, 174.00, 27393
