Date, Open, High, Low, Close, Volume
04/24/25, 55.80, 55.80, 54.00, 54.00, 991
04/23/25, 55.00, 55.00, 55.00, 55.00, 2351
04/22/25, 56.00, 56.00, 53.70, 55.00, 1346
04/21/25, 54.00, 57.00, 54.00, 55.10, 20411
04/17/25, 53.00, 54.50, 53.00, 53.60, 323
04/16/25, 53.50, 53.50, 53.40, 53.50, 9196
04/11/25, 52.10, 53.90, 51.00, 51.70, 24178
04/10/25, 54.00, 54.00, 52.00, 52.50, 15098
04/09/25, 53.80, 53.80, 52.00, 53.20, 139
04/08/25, 52.30, 54.50, 50.00, 53.10, 3077
04/07/25, 52.90, 52.90, 51.00, 51.00, 13047
04/04/25, 53.10, 55.00, 51.70, 51.80, 11909
04/03/25, 55.60, 55.60, 52.00, 53.20, 23636
04/02/25, 56.00, 56.90, 55.00, 55.00, 4818
04/01/25, 57.00, 57.00, 54.50, 55.10, 1993
03/28/25, 54.70, 54.70, 54.20, 54.40, 1211
03/27/25, 55.50, 55.50, 54.70, 55.50, 374
03/26/25, 56.00, 56.00, 55.00, 55.90, 152
03/25/25, 54.20, 56.00, 54.20, 54.20, 2043
03/24/25, 55.90, 56.00, 55.90, 56.00, 335
03/21/25, 55.80, 56.00, 54.20, 54.60, 3976
03/20/25, 55.90, 56.00, 55.90, 55.90, 1850
03/19/25, 55.00, 56.60, 54.00, 54.30, 5273
03/18/25, 55.00, 55.00, 54.00, 54.10, 13257
03/17/25, 56.00, 56.00, 54.20, 54.20, 4865
03/14/25, 58.80, 58.80, 54.50, 55.00, 3001
03/12/25, 54.80, 59.00, 54.00, 56.10, 6516639
03/11/25, 52.00, 54.90, 52.00, 52.50, 3913
03/10/25, 54.30, 54.30, 52.10, 52.80, 23316
03/07/25, 56.00, 56.00, 54.00, 54.20, 2854
03/06/25, 57.00, 57.00, 55.00, 56.00, 5776
03/05/25, 56.00, 56.00, 54.60, 56.00, 1995
03/04/25, 54.50, 56.00, 54.10, 54.60, 926
03/03/25, 57.00, 57.00, 55.00, 55.10, 4145
02/28/25, 57.10, 57.10, 56.10, 56.90, 1405
02/27/25, 56.90, 56.90, 56.00, 56.90, 12537
02/25/25, 57.10, 57.20, 56.90, 56.90, 32706
02/24/25, 59.50, 59.50, 57.20, 57.40, 3705
02/21/25, 59.20, 59.50, 59.20, 59.30, 2097
02/20/25, 60.90, 62.20, 57.00, 57.10, 7966
02/19/25, 59.50, 59.50, 58.40, 59.00, 1325
02/18/25, 59.20, 60.50, 58.10, 60.10, 44536
02/17/25, 59.10, 61.00, 59.10, 59.20, 3264
02/14/25, 59.00, 60.40, 58.00, 60.00, 13215
02/13/25, 58.10, 60.40, 55.00, 59.00, 32257
02/11/25, 61.40, 61.40, 58.00, 61.00, 5695
02/10/25, 60.00, 61.90, 59.10, 59.10, 13123
02/07/25, 61.00, 61.90, 59.60, 61.50, 14694
02/06/25, 60.10, 62.90, 60.00, 61.10, 23777
02/05/25, 64.00, 64.00, 60.40, 60.50, 79514
02/03/25, 63.40, 64.40, 62.30, 62.40, 12113
01/31/25, 63.00, 63.40, 61.50, 63.00, 13538
01/30/25, 61.60, 63.30, 61.40, 62.00, 30975
01/29/25, 63.00, 63.00, 61.50, 61.80, 33630
01/28/25, 62.20, 63.50, 61.00, 61.40, 35934
01/27/25, 62.50, 64.80, 61.10, 62.20, 79988
01/24/25, 65.00, 65.00, 61.50, 63.00, 69073
01/23/25, 65.00, 65.90, 64.00, 64.90, 114233
01/22/25, 65.50, 66.10, 64.30, 65.30, 36885
01/21/25, 66.00, 66.00, 64.00, 65.40, 58526
01/20/25, 65.00, 67.80, 64.00, 64.90, 37869
01/17/25, 68.00, 68.00, 64.50, 65.00, 52420
01/16/25, 67.00, 70.00, 66.40, 67.10, 314374
01/15/25, 58.00, 67.00, 58.00, 66.00, 317757
01/10/25, 57.50, 58.50, 57.00, 57.70, 9322
01/09/25, 58.90, 58.90, 57.40, 58.30, 8504
01/08/25, 59.90, 60.00, 58.10, 58.20, 20082
01/07/25, 57.90, 59.90, 56.70, 59.40, 45078
01/06/25, 59.20, 61.40, 56.10, 56.60, 79590
01/03/25, 61.50, 61.50, 59.10, 59.90, 61416
01/02/25, 62.00, 64.50, 60.60, 61.00, 27723
12/31/24, 62.00, 63.00, 60.20, 61.10, 100180
12/30/24, 65.00, 66.90, 62.00, 62.40, 98957
12/27/24, 66.80, 67.90, 63.00, 65.40, 130116
12/26/24, 58.10, 66.80, 58.10, 66.30, 757640
12/24/24, 56.90, 59.00, 56.00, 58.00, 71782
12/23/24, 58.00, 58.00, 55.30, 56.10, 49502
12/20/24, 54.00, 58.00, 53.60, 57.10, 124061
12/19/24, 53.80, 53.80, 53.20, 53.50, 8458
12/18/24, 53.50, 53.80, 52.70, 53.70, 20954
12/17/24, 53.50, 53.90, 52.60, 53.00, 18320
12/16/24, 53.00, 54.70, 52.60, 54.40, 12776
12/13/24, 52.40, 54.60, 52.40, 54.10, 8496
12/12/24, 54.60, 54.70, 52.00, 52.20, 38052
12/11/24, 55.00, 55.00, 52.00, 54.60, 21744
12/10/24, 54.50, 55.80, 54.50, 54.70, 10497
12/09/24, 56.10, 56.10, 55.00, 55.70, 12976
12/06/24, 54.00, 56.60, 53.00, 56.10, 145976
12/05/24, 53.00, 54.00, 53.00, 53.70, 29733
12/04/24, 52.20, 53.80, 52.10, 53.40, 12259
12/03/24, 53.30, 54.00, 51.00, 51.70, 21118
12/02/24, 53.00, 54.00, 52.60, 53.30, 15640
11/29/24, 52.20, 53.00, 52.00, 52.00, 12172
11/28/24, 53.20, 53.20, 52.00, 52.70, 17567
11/27/24, 53.20, 53.20, 51.70, 52.20, 2059
11/26/24, 51.00, 51.50, 51.00, 51.40, 1885
11/25/24, 53.00, 53.50, 52.50, 52.50, 6485
11/22/24, 53.00, 53.00, 52.00, 52.20, 1268
11/21/24, 53.00, 53.30, 52.40, 52.50, 11113
11/20/24, 53.60, 53.60, 52.50, 52.50, 7972
11/19/24, 53.10, 53.90, 52.60, 52.70, 6486
11/18/24, 53.80, 54.00, 52.90, 53.00, 34355
11/14/24, 52.10, 53.90, 51.90, 52.50, 23725
11/13/24, 51.60, 54.10, 51.50, 52.70, 51197
11/12/24, 52.90, 52.90, 51.60, 51.70, 19334
11/11/24, 54.50, 54.50, 51.80, 52.00, 17007
11/08/24, 52.50, 53.00, 51.50, 52.00, 2880
11/07/24, 51.80, 52.00, 51.80, 52.00, 174
11/06/24, 51.50, 52.50, 51.20, 51.20, 10158
11/05/24, 52.00, 52.00, 51.20, 51.50, 24345
11/04/24, 52.80, 53.30, 51.50, 52.00, 7347
