Date, Open, High, Low, Close, Volume
04/24/25, 7.50, 7.70, 7.50, 7.70, 7802422
04/23/25, 7.50, 7.60, 7.40, 7.40, 4473121
04/22/25, 7.40, 7.50, 7.30, 7.40, 6722079
04/21/25, 7.30, 7.40, 7.20, 7.30, 4687033
04/17/25, 7.30, 7.40, 7.20, 7.30, 2565506
04/16/25, 7.30, 7.40, 7.20, 7.30, 2521051
04/11/25, 7.30, 7.40, 7.10, 7.20, 3630901
04/10/25, 7.10, 7.50, 7.10, 7.30, 22067010
04/09/25, 7.00, 7.00, 6.70, 6.80, 9867612
04/08/25, 6.80, 7.10, 6.80, 7.00, 10081240
04/07/25, 7.10, 7.10, 6.60, 6.70, 25723189
04/04/25, 7.30, 7.30, 7.00, 7.10, 12900070
04/03/25, 7.30, 7.50, 7.10, 7.40, 9670090
04/02/25, 7.50, 7.60, 7.40, 7.40, 5373567
04/01/25, 7.30, 7.60, 7.30, 7.50, 5723155
03/28/25, 7.40, 7.50, 7.30, 7.30, 2554874
03/27/25, 7.40, 7.50, 7.20, 7.30, 2631750
03/26/25, 7.60, 7.60, 7.30, 7.40, 2219078
03/25/25, 7.40, 7.60, 7.40, 7.50, 1350886
03/24/25, 7.50, 7.60, 7.30, 7.40, 4177854
03/21/25, 7.50, 7.60, 7.30, 7.40, 5860129
03/20/25, 7.10, 7.50, 7.10, 7.50, 6724259
03/19/25, 7.30, 7.40, 7.10, 7.10, 9900101
03/18/25, 7.50, 7.60, 7.20, 7.30, 2490615
03/17/25, 7.70, 7.80, 7.50, 7.50, 10178830
03/14/25, 7.80, 7.90, 7.60, 7.70, 3501087
03/12/25, 7.80, 7.90, 7.50, 7.80, 4446185
03/11/25, 7.80, 7.90, 7.60, 7.80, 4507341
03/10/25, 7.90, 8.00, 7.80, 7.80, 4324021
03/07/25, 7.90, 8.00, 7.80, 7.90, 2999919
03/06/25, 8.00, 8.20, 7.90, 7.90, 8384111
03/05/25, 7.70, 8.10, 7.70, 8.00, 8430863
03/04/25, 7.80, 7.90, 7.60, 7.70, 11663170
03/03/25, 8.00, 8.10, 7.70, 7.80, 7871102
02/28/25, 8.00, 8.10, 7.90, 8.00, 5909896
02/27/25, 7.90, 8.10, 7.80, 8.00, 5617301
02/25/25, 8.00, 8.20, 7.80, 7.90, 13428390
02/24/25, 8.20, 8.30, 8.00, 8.10, 14183800
02/21/25, 8.30, 8.40, 8.20, 8.30, 3541482
02/20/25, 8.40, 8.50, 8.10, 8.30, 25328029
02/19/25, 8.60, 8.70, 8.30, 8.40, 12970310
02/18/25, 8.50, 8.70, 8.50, 8.50, 12517630
02/17/25, 8.70, 8.70, 8.50, 8.50, 8698181
02/14/25, 8.50, 8.80, 8.40, 8.70, 10460690
02/13/25, 8.30, 8.50, 8.20, 8.50, 5483912
02/11/25, 8.50, 8.60, 8.20, 8.30, 14191270
02/10/25, 8.70, 8.80, 8.40, 8.50, 15587330
02/07/25, 8.60, 8.80, 8.60, 8.70, 13246450
02/06/25, 8.50, 8.80, 8.40, 8.60, 49246930
02/05/25, 8.90, 9.00, 8.40, 8.50, 62290000
02/03/25, 9.10, 9.10, 8.80, 8.90, 24902350
01/31/25, 9.20, 9.20, 8.90, 9.10, 18412650
01/30/25, 9.40, 9.40, 9.10, 9.10, 22973260
01/29/25, 9.20, 9.40, 9.10, 9.30, 73795195
01/28/25, 8.60, 9.20, 8.50, 9.10, 69417688
01/27/25, 8.70, 8.90, 8.50, 8.50, 23369301
01/24/25, 8.70, 8.80, 8.40, 8.60, 66547977
01/23/25, 8.70, 8.90, 8.50, 8.80, 55301512
01/22/25, 8.00, 8.70, 8.00, 8.60, 117909398
01/21/25, 7.90, 8.00, 7.80, 7.90, 14156090
01/20/25, 8.00, 8.10, 7.90, 7.90, 5088908
01/17/25, 8.10, 8.20, 7.90, 8.00, 15383430
01/16/25, 8.20, 8.20, 8.00, 8.10, 16821631
01/15/25, 8.00, 8.20, 8.00, 8.10, 39980727
01/10/25, 7.70, 8.00, 7.40, 7.90, 43742688
01/09/25, 7.70, 7.90, 7.50, 7.70, 34178770
01/08/25, 7.90, 8.00, 7.70, 7.80, 17396641
01/07/25, 8.00, 8.10, 7.70, 7.90, 33164648
01/06/25, 8.00, 8.30, 7.70, 8.00, 87843648
01/03/25, 8.30, 8.30, 7.60, 7.80, 132492891
01/02/25, 7.10, 8.30, 7.10, 8.10, 137916188
12/31/24, 7.10, 7.20, 6.90, 7.10, 33929887
12/30/24, 7.20, 7.30, 7.00, 7.10, 43605078
12/27/24, 7.20, 7.30, 7.00, 7.10, 40045594
12/26/24, 6.90, 7.20, 6.90, 7.10, 52185801
12/24/24, 6.80, 7.00, 6.70, 6.80, 44947180
12/23/24, 6.60, 7.10, 6.50, 6.90, 91855688
12/20/24, 6.40, 6.60, 6.30, 6.50, 29258900
12/19/24, 6.40, 6.50, 6.30, 6.40, 12296710
12/18/24, 6.40, 6.40, 6.20, 6.40, 9887573
12/17/24, 6.30, 6.50, 6.20, 6.30, 17489840
12/16/24, 6.10, 6.40, 6.10, 6.30, 18520150
12/13/24, 6.20, 6.30, 6.10, 6.10, 12590510
12/12/24, 6.20, 6.30, 6.10, 6.10, 7239567
12/11/24, 6.40, 6.50, 6.10, 6.20, 20380990
12/10/24, 6.10, 6.50, 6.10, 6.40, 33033320
12/09/24, 6.00, 6.10, 5.90, 6.00, 6562825
12/06/24, 6.00, 6.10, 5.90, 5.90, 9657186
12/05/24, 6.00, 6.00, 5.90, 5.90, 4693303
12/04/24, 6.00, 6.10, 5.80, 5.90, 13468190
12/03/24, 6.10, 6.10, 5.90, 6.00, 8998272
12/02/24, 5.90, 6.10, 5.90, 6.00, 7151332
11/29/24, 6.00, 6.10, 5.90, 6.00, 5741172
11/28/24, 5.90, 6.20, 5.90, 5.90, 11219430
11/27/24, 6.00, 6.00, 5.80, 5.90, 1991182
11/26/24, 5.90, 6.00, 5.90, 5.90, 3638709
11/25/24, 6.00, 6.10, 5.80, 5.90, 9585783
11/22/24, 6.20, 6.20, 6.00, 6.00, 3976840
11/21/24, 6.30, 6.30, 6.00, 6.10, 11530870
11/20/24, 6.30, 6.40, 6.20, 6.30, 2181796
11/19/24, 6.40, 6.50, 6.20, 6.30, 11033080
11/18/24, 6.60, 6.80, 6.40, 6.50, 27093801
11/14/24, 6.40, 6.70, 6.30, 6.50, 74300867
11/13/24, 6.10, 6.40, 6.10, 6.30, 21474730
11/12/24, 6.00, 6.30, 6.00, 6.10, 20874750
11/11/24, 6.00, 6.10, 5.90, 6.00, 8437328
11/08/24, 5.90, 6.00, 5.80, 5.90, 4169929
11/07/24, 5.90, 6.00, 5.80, 5.80, 1155602
11/06/24, 6.00, 6.00, 5.80, 5.80, 5587208
11/05/24, 5.90, 6.00, 5.80, 5.90, 2565356
11/04/24, 6.00, 6.10, 5.90, 5.90, 6180784
11/01/24, 6.00, 6.10, 5.80, 6.00, 7770513
10/30/24, 6.00, 6.00, 5.80, 5.90, 5131033
10/29/24, 6.10, 6.20, 5.90, 5.90, 10111250
10/28/24, 5.70, 6.20, 5.70, 6.10, 30225789
10/25/24, 5.70, 5.80, 5.60, 5.70, 3953132
10/24/24, 5.60, 5.80, 5.60, 5.70, 5375267
10/23/24, 5.60, 5.70, 5.50, 5.60, 7577575
10/22/24, 5.70, 5.80, 5.60, 5.70, 5830635
10/21/24, 5.70, 5.80, 5.70, 5.70, 2646820
10/18/24, 5.80, 5.90, 5.70, 5.70, 3361343
10/16/24, 5.70, 5.90, 5.70, 5.80, 4685673
10/15/24, 5.70, 5.90, 5.70, 5.70, 4021589
10/14/24, 5.80, 5.90, 5.70, 5.70, 2515989
10/11/24, 5.70, 5.90, 5.70, 5.80, 5661234
10/10/24, 5.80, 5.80, 5.50, 5.60, 6063474
10/09/24, 5.70, 5.90, 5.60, 5.70, 4616345
10/08/24, 5.80, 5.80, 5.60, 5.70, 4205778
10/07/24, 5.80, 5.90, 5.70, 5.80, 5126122
10/04/24, 5.70, 5.90, 5.70, 5.80, 2349622
10/03/24, 5.80, 5.90, 5.60, 5.70, 3721806
10/02/24, 5.90, 6.00, 5.70, 5.80, 7422953
10/01/24, 6.00, 6.00, 5.80, 5.90, 5452771
09/30/24, 6.00, 6.10, 5.80, 5.90, 10542590
09/27/24, 5.90, 6.00, 5.80, 5.90, 12130830
09/26/24, 6.00, 6.30, 5.80, 5.90, 33497520
09/25/24, 5.60, 6.00, 5.50, 5.90, 20209740
09/24/24, 5.40, 5.60, 5.40, 5.50, 9259968
09/23/24, 5.20, 5.50, 4.90, 5.30, 9285737
09/20/24, 5.30, 5.40, 5.10, 5.30, 6722106
09/19/24, 5.10, 5.40, 5.10, 5.30, 5612136
09/18/24, 5.00, 5.20, 5.00, 5.10, 4772990
09/13/24, 5.00, 5.10, 4.90, 5.00, 10100480
09/12/24, 4.90, 5.00, 4.90, 5.00, 722351
09/11/24, 4.90, 5.00, 4.90, 4.90, 1305513
09/10/24, 5.00, 5.00, 4.80, 4.90, 1310860
09/09/24, 5.00, 5.00, 4.80, 4.90, 1636366
09/06/24, 5.00, 5.00, 4.80, 5.00, 411922
09/05/24, 5.10, 5.20, 4.80, 4.90, 7522284
09/04/24, 4.80, 5.10, 4.80, 5.00, 6008384
09/03/24, 4.90, 5.00, 4.70, 4.80, 7959249
09/02/24, 5.00, 5.00, 4.80, 4.80, 3260245
08/30/24, 4.90, 5.00, 4.80, 4.90, 2726913
08/29/24, 5.00, 5.00, 4.90, 4.90, 791704
08/28/24, 5.10, 5.10, 4.90, 5.00, 9364659
08/27/24, 5.00, 5.10, 5.00, 5.10, 3250950
08/26/24, 5.20, 5.20, 5.00, 5.00, 2860771
08/23/24, 5.20, 5.20, 5.10, 5.10, 835662
08/22/24, 5.20, 5.30, 5.20, 5.30, 543688
08/21/24, 5.30, 5.30, 5.20, 5.20, 429140
