Date, Open, High, Low, Close, Volume
04/24/25, 169.00, 169.00, 169.00, 170.00, 6
04/22/25, 170.00, 170.00, 165.00, 170.00, 467
04/21/25, 159.75, 175.00, 159.75, 163.75, 21916
04/17/25, 160.00, 160.00, 150.00, 152.00, 2000
04/16/25, 153.50, 160.00, 153.50, 160.00, 59
04/11/25, 159.75, 160.00, 159.75, 160.00, 1422
04/10/25, 158.50, 161.00, 158.50, 160.00, 13230
04/09/25, 150.75, 159.00, 150.75, 152.00, 257
04/08/25, 149.00, 161.00, 149.00, 159.00, 2780
04/07/25, 157.25, 162.00, 125.00, 148.75, 1108
04/04/25, 162.25, 162.25, 160.00, 160.50, 174
04/03/25, 163.25, 167.00, 163.25, 163.25, 976
04/02/25, 161.00, 168.50, 161.00, 163.25, 451
04/01/25, 160.25, 167.00, 160.25, 161.50, 370
03/28/25, 165.00, 165.00, 165.00, 165.00, 1860
03/27/25, 165.50, 165.50, 165.25, 165.50, 1215
03/26/25, 170.00, 175.00, 165.00, 165.00, 26971
03/25/25, 165.00, 170.00, 160.50, 170.00, 13574
03/24/25, 165.00, 170.00, 165.00, 162.75, 8
03/21/25, 159.75, 175.00, 159.75, 162.75, 21134
03/20/25, 155.00, 159.75, 155.00, 157.50, 15799
03/19/25, 151.00, 155.00, 151.00, 155.00, 106
03/18/25, 159.75, 159.75, 155.00, 156.50, 290
03/17/25, 160.00, 160.00, 159.00, 159.50, 830
03/14/25, 161.00, 164.25, 161.00, 160.00, 85
03/12/25, 159.00, 164.25, 159.00, 160.00, 1628
03/11/25, 161.25, 161.25, 160.00, 160.50, 1121
03/10/25, 161.00, 164.25, 161.00, 159.75, 92
03/07/25, 160.00, 160.00, 160.00, 159.75, 60
03/05/25, 160.00, 167.00, 158.25, 159.75, 7684
03/04/25, 165.00, 165.00, 160.00, 160.00, 3151
03/03/25, 169.00, 172.00, 162.50, 162.50, 794
02/28/25, 172.00, 172.00, 168.00, 168.00, 1811
02/27/25, 167.00, 172.00, 167.00, 171.75, 33999
02/25/25, 162.25, 164.75, 158.50, 159.00, 2870
02/24/25, 170.25, 170.25, 162.25, 164.00, 4983
02/21/25, 179.00, 179.00, 165.50, 170.25, 8173
02/20/25, 187.00, 187.00, 174.00, 175.00, 1939
02/19/25, 185.00, 188.00, 177.00, 177.00, 5104
02/18/25, 170.00, 188.00, 169.00, 180.50, 72433
02/17/25, 174.00, 174.00, 169.00, 170.00, 64226
02/14/25, 157.00, 168.00, 155.00, 163.75, 17552
02/13/25, 157.00, 157.00, 150.00, 156.50, 562
02/11/25, 150.00, 158.00, 150.00, 154.75, 1333
02/10/25, 159.00, 159.75, 151.00, 152.00, 24155
02/07/25, 155.00, 160.00, 155.00, 155.00, 8189
02/06/25, 152.50, 164.00, 150.00, 150.50, 18645
02/05/25, 164.50, 164.50, 152.50, 155.00, 2910
02/03/25, 161.25, 165.00, 160.00, 160.00, 30329
01/31/25, 165.25, 168.00, 161.25, 164.75, 13344
01/30/25, 154.25, 175.00, 154.25, 165.25, 41480
01/29/25, 149.00, 154.00, 149.00, 153.25, 31944
01/28/25, 152.00, 152.00, 148.75, 149.00, 5895
01/27/25, 150.00, 153.00, 150.00, 151.25, 256
01/24/25, 150.50, 150.50, 149.00, 149.50, 4878
01/23/25, 150.25, 150.25, 149.00, 149.00, 7435
01/22/25, 150.00, 155.00, 150.00, 150.00, 2630
01/21/25, 153.50, 154.00, 148.25, 152.25, 858
01/20/25, 144.00, 154.00, 144.00, 153.50, 1181
01/17/25, 150.00, 152.00, 145.00, 146.00, 6299
01/16/25, 150.00, 154.00, 149.00, 150.00, 9882
01/15/25, 150.00, 158.00, 146.00, 150.00, 7478
01/10/25, 147.00, 150.00, 142.25, 146.75, 6287
01/09/25, 154.75, 159.00, 145.25, 150.00, 7725
01/08/25, 133.00, 154.00, 133.00, 148.25, 58630
01/07/25, 120.00, 136.00, 120.00, 131.75, 113132
01/06/25, 119.00, 125.00, 119.00, 124.75, 3472
01/03/25, 125.00, 128.00, 118.75, 121.50, 14203
01/02/25, 123.00, 125.00, 122.00, 124.00, 42868
12/31/24, 120.00, 124.00, 118.75, 120.25, 25826
12/30/24, 123.00, 124.00, 120.00, 122.75, 26816
12/27/24, 124.50, 124.50, 119.00, 122.75, 10215
12/26/24, 118.00, 123.50, 118.00, 119.75, 6965
12/24/24, 123.00, 123.00, 119.00, 122.50, 1854
12/23/24, 124.75, 124.75, 118.25, 120.00, 26796
12/20/24, 123.25, 124.75, 122.00, 124.00, 1386
12/19/24, 123.75, 129.75, 121.00, 124.00, 39998
12/18/24, 114.75, 129.00, 103.00, 124.50, 54912
12/17/24, 115.00, 115.00, 108.00, 109.00, 2097
12/16/24, 110.00, 120.00, 110.00, 112.50, 27937
12/13/24, 109.00, 112.50, 109.00, 111.50, 672
12/12/24, 113.00, 114.00, 107.75, 111.00, 1580
12/11/24, 109.50, 110.00, 109.50, 110.00, 154
12/10/24, 113.00, 113.00, 113.00, 113.00, 57
12/09/24, 117.00, 117.00, 110.00, 113.00, 1435
12/06/24, 110.00, 117.00, 107.25, 112.75, 14742
12/05/24, 112.00, 120.00, 110.75, 111.00, 28368
12/04/24, 115.00, 115.00, 110.00, 111.00, 11510
12/03/24, 103.00, 115.00, 100.00, 111.25, 38247
12/02/24, 104.75, 104.75, 100.00, 103.00, 12064
11/29/24, 95.00, 110.00, 92.00, 101.00, 13809
11/28/24, 95.90, 95.90, 94.00, 95.00, 67
11/26/24, 95.00, 95.00, 95.00, 95.00, 50
11/25/24, 95.00, 95.00, 95.00, 95.00, 150
11/22/24, 92.90, 95.00, 92.90, 94.20, 3319
11/21/24, 92.20, 93.80, 92.20, 92.20, 252
11/20/24, 92.00, 94.80, 92.00, 92.10, 12828
11/19/24, 92.00, 92.00, 90.20, 90.20, 3001
11/18/24, 90.80, 92.50, 90.00, 90.20, 176
11/14/24, 90.00, 92.00, 90.00, 90.30, 78
11/13/24, 90.30, 90.30, 90.00, 90.30, 422
11/12/24, 90.20, 90.20, 89.10, 89.80, 598
11/11/24, 90.20, 90.20, 90.00, 90.10, 164
11/08/24, 90.00, 90.20, 90.00, 88.10, 43
11/07/24, 89.10, 93.00, 87.80, 88.10, 3540
11/06/24, 91.30, 91.30, 90.00, 90.00, 3136
11/05/24, 92.00, 93.00, 91.20, 91.30, 152
11/04/24, 92.50, 92.50, 91.30, 91.80, 1192
11/01/24, 92.00, 92.00, 92.00, 92.00, 200
10/30/24, 95.50, 95.50, 91.30, 93.00, 2243
10/29/24, 95.50, 95.50, 95.40, 95.10, 2
10/28/24, 94.90, 96.00, 94.80, 95.10, 387
10/25/24, 94.00, 94.00, 92.00, 92.00, 1005
10/24/24, 93.00, 93.00, 93.00, 94.80, 1
10/23/24, 94.00, 95.00, 94.00, 94.80, 79
10/22/24, 94.00, 95.00, 94.00, 94.80, 601
10/21/24, 91.10, 95.00, 90.00, 91.20, 1737
10/18/24, 92.90, 92.90, 90.50, 90.50, 1311
10/16/24, 92.60, 93.00, 92.00, 92.50, 42
10/15/24, 91.50, 92.60, 91.50, 92.50, 1136
10/14/24, 90.00, 90.00, 90.00, 90.10, 8
10/11/24, 91.80, 91.80, 90.00, 90.10, 651
10/10/24, 92.40, 92.40, 89.30, 89.60, 1027
10/09/24, 89.50, 93.00, 89.50, 90.70, 6409
10/08/24, 91.00, 91.00, 90.00, 90.50, 8231
10/07/24, 92.00, 92.00, 91.00, 91.00, 701
10/04/24, 93.00, 93.00, 93.00, 91.60, 41
10/03/24, 90.00, 93.00, 90.00, 91.60, 640
10/02/24, 93.20, 93.20, 92.50, 88.00, 65
10/01/24, 93.00, 93.00, 89.90, 88.00, 85
09/30/24, 93.00, 93.00, 93.00, 88.00, 90
09/27/24, 88.60, 88.60, 88.60, 88.00, 1
09/26/24, 92.00, 93.50, 88.00, 88.00, 3549
09/25/24, 91.70, 91.70, 91.70, 89.50, 5
09/24/24, 89.00, 89.50, 89.00, 89.50, 1602
09/23/24, 89.00, 89.00, 89.00, 85.10, 90
09/20/24, 85.60, 85.60, 85.00, 85.10, 580
09/19/24, 89.40, 89.40, 89.00, 88.00, 42
09/13/24, 83.50, 91.70, 83.50, 88.00, 2755
09/12/24, 83.10, 83.10, 83.10, 82.20, 1
09/10/24, 90.00, 90.00, 90.00, 82.20, 7
09/09/24, 85.20, 85.20, 81.20, 82.20, 100
09/05/24, 91.60, 91.60, 91.60, 89.90, 1
08/30/24, 89.90, 89.90, 89.90, 89.90, 431
08/29/24, 92.90, 93.20, 92.90, 93.10, 4
08/28/24, 93.10, 93.10, 92.90, 93.10, 151
08/27/24, 93.10, 93.10, 93.10, 86.70, 1
08/26/24, 94.20, 94.20, 93.30, 86.70, 2
08/22/24, 89.00, 94.60, 89.00, 86.70, 16
08/16/24, 86.60, 90.00, 86.60, 86.70, 2040
08/15/24, 89.90, 89.90, 86.70, 86.70, 1724
08/13/24, 89.10, 91.90, 86.30, 86.40, 253
08/12/24, 91.00, 91.80, 89.00, 88.20, 42
08/09/24, 90.50, 90.50, 90.50, 88.20, 11
08/07/24, 90.00, 91.00, 89.90, 88.20, 36
08/05/24, 92.90, 93.00, 87.50, 88.20, 50
08/01/24, 92.70, 92.70, 88.20, 88.20, 12005
07/31/24, 88.70, 88.70, 88.10, 88.20, 1471
07/29/24, 94.00, 96.00, 94.00, 90.10, 70
07/26/24, 91.10, 91.10, 90.00, 90.10, 1000
07/24/24, 96.60, 96.60, 90.30, 90.00, 49
07/22/24, 92.10, 92.10, 90.00, 90.00, 2585
07/18/24, 97.00, 97.00, 92.10, 92.10, 185
07/17/24, 97.60, 97.80, 91.60, 95.10, 210
07/12/24, 94.10, 94.10, 94.00, 94.00, 111
07/10/24, 92.70, 97.60, 92.70, 93.00, 4978
07/08/24, 99.40, 99.40, 91.40, 97.70, 102
07/05/24, 99.50, 99.50, 99.50, 98.00, 8
07/03/24, 100.50, 100.50, 98.00, 98.00, 3125
07/02/24, 98.00, 100.25, 98.00, 98.10, 801
07/01/24, 98.00, 98.00, 97.10, 97.00, 37
06/28/24, 97.00, 97.00, 97.00, 97.00, 2
06/27/24, 97.00, 97.00, 97.00, 97.00, 220
06/24/24, 95.50, 97.00, 95.50, 97.10, 60
06/20/24, 99.90, 99.90, 99.90, 97.10, 1
06/19/24, 99.90, 99.90, 95.30, 97.10, 11
06/18/24, 99.90, 99.90, 99.90, 97.10, 2
06/14/24, 97.00, 100.00, 97.00, 97.10, 49
06/13/24, 95.10, 99.00, 95.10, 97.10, 16
06/12/24, 94.60, 94.60, 94.60, 97.10, 10
06/11/24, 94.30, 103.00, 94.30, 97.10, 14
06/10/24, 98.00, 98.00, 98.00, 97.10, 1
06/07/24, 98.90, 104.00, 97.10, 97.10, 4106
06/06/24, 93.90, 98.00, 93.00, 97.50, 7584
06/05/24, 93.90, 93.90, 93.90, 93.90, 300
06/04/24, 92.00, 93.00, 92.00, 92.40, 387
06/03/24, 93.80, 93.80, 93.80, 93.90, 30
05/31/24, 93.90, 93.90, 93.90, 93.90, 261
05/30/24, 94.60, 94.60, 92.00, 92.70, 282
05/29/24, 91.70, 95.00, 91.70, 92.00, 110
05/28/24, 91.60, 91.70, 91.60, 91.60, 200
05/27/24, 95.60, 95.60, 95.60, 91.40, 16
05/22/24, 93.00, 95.80, 90.10, 91.40, 5946
05/21/24, 90.20, 90.20, 90.20, 93.70, 1
05/20/24, 88.40, 94.00, 88.20, 93.70, 2405
05/17/24, 90.20, 92.40, 90.10, 90.10, 6755
05/16/24, 91.00, 91.00, 90.10, 90.10, 1000
05/15/24, 91.20, 91.20, 90.10, 90.20, 2966
05/14/24, 92.00, 94.50, 91.70, 91.80, 4238
05/13/24, 96.30, 96.30, 96.20, 96.20, 130
05/10/24, 91.20, 96.00, 91.10, 92.70, 1102
05/09/24, 94.90, 96.40, 90.20, 95.00, 3669
05/08/24, 94.90, 94.90, 90.30, 94.80, 3
05/07/24, 93.30, 95.00, 91.50, 94.80, 9392
05/06/24, 91.00, 92.60, 89.50, 92.00, 24260
05/03/24, 88.90, 90.50, 88.90, 90.90, 99
05/02/24, 88.80, 91.90, 88.80, 90.90, 5855
04/30/24, 90.40, 91.40, 88.60, 91.00, 8072
04/29/24, 90.00, 91.90, 88.60, 91.30, 2719
04/26/24, 86.10, 90.00, 84.00, 88.20, 8925
04/25/24, 82.80, 86.20, 82.80, 83.20, 862
04/24/24, 81.50, 81.60, 81.50, 81.50, 132
04/22/24, 81.00, 82.80, 81.00, 81.00, 2
04/18/24, 81.10, 81.10, 81.00, 81.00, 450
04/17/24, 83.30, 83.30, 81.10, 81.10, 485
04/16/24, 81.00, 84.50, 81.00, 83.00, 4144
04/15/24, 84.80, 84.80, 84.70, 84.60, 26
04/10/24, 83.40, 84.90, 83.40, 84.60, 417
04/09/24, 83.40, 83.40, 81.40, 83.20, 2034
04/08/24, 80.50, 83.50, 79.20, 80.50, 4271
04/05/24, 83.90, 83.90, 82.00, 82.50, 582
04/04/24, 84.00, 84.00, 82.50, 82.50, 1874
04/03/24, 84.20, 84.20, 82.00, 83.00, 1281
04/02/24, 82.60, 84.00, 82.00, 82.00, 84
04/01/24, 84.40, 84.40, 82.00, 82.00, 501
03/28/24, 84.40, 84.40, 80.30, 80.40, 300
03/27/24, 84.70, 84.80, 84.60, 84.60, 1628
03/26/24, 85.60, 85.60, 84.80, 80.90, 4
03/25/24, 85.80, 85.80, 80.20, 80.90, 103
03/22/24, 86.30, 86.30, 85.90, 79.90, 5
03/21/24, 87.20, 87.20, 80.20, 79.90, 7
03/20/24, 84.30, 84.30, 79.90, 79.90, 24
03/19/24, 79.80, 88.60, 79.80, 79.90, 212
03/18/24, 83.00, 95.00, 79.20, 79.80, 5114
03/15/24, 84.50, 84.50, 82.00, 80.40, 31
03/14/24, 83.00, 83.30, 80.40, 80.40, 2282
03/13/24, 82.50, 82.50, 82.40, 82.40, 1600
03/12/24, 82.80, 82.80, 82.80, 81.00, 2
03/11/24, 80.90, 83.30, 80.80, 81.00, 5337
03/07/24, 84.00, 84.00, 80.30, 83.40, 277
03/06/24, 84.40, 84.40, 80.50, 84.00, 2452
03/05/24, 84.90, 85.00, 84.00, 84.60, 412
03/04/24, 80.30, 85.00, 80.20, 83.70, 5037
03/01/24, 82.00, 82.00, 80.20, 80.20, 252
02/29/24, 80.30, 81.90, 80.20, 82.00, 21
02/28/24, 79.10, 82.00, 79.10, 82.00, 615
02/27/24, 77.10, 80.90, 77.00, 77.10, 199
02/26/24, 76.30, 78.00, 76.30, 76.60, 1074
02/20/24, 81.10, 81.20, 81.10, 78.00, 24
02/19/24, 76.50, 81.20, 75.30, 78.00, 1886
02/16/24, 77.00, 77.00, 77.00, 77.00, 200
02/15/24, 81.40, 81.40, 77.10, 77.10, 321
02/14/24, 81.60, 81.60, 76.70, 76.30, 6
02/13/24, 81.50, 81.50, 76.30, 76.30, 1613
02/12/24, 81.50, 81.50, 81.00, 81.60, 11
02/09/24, 81.60, 81.60, 81.60, 81.60, 1
02/08/24, 81.70, 81.70, 81.70, 81.60, 1
02/06/24, 77.00, 77.00, 76.10, 81.60, 14
02/01/24, 81.50, 81.50, 81.50, 81.60, 12
01/30/24, 81.40, 81.80, 81.40, 81.60, 100
01/29/24, 75.50, 75.50, 75.20, 75.50, 760
01/26/24, 75.50, 75.50, 75.20, 76.20, 89
01/24/24, 75.50, 75.50, 75.50, 76.20, 40
01/22/24, 76.20, 76.20, 75.70, 76.20, 1020
01/16/24, 77.00, 81.80, 75.10, 76.90, 1118
01/12/24, 78.50, 82.00, 78.00, 78.10, 1541
01/10/24, 78.50, 78.50, 78.50, 78.00, 20
01/05/24, 78.20, 80.50, 78.00, 78.00, 20008
01/04/24, 80.10, 80.50, 78.10, 78.10, 7230
01/03/24, 82.00, 82.00, 80.10, 78.10, 73
01/02/24, 82.00, 82.00, 82.00, 78.10, 1
12/29/23, 78.40, 78.40, 78.00, 78.10, 220
12/28/23, 82.00, 82.00, 81.90, 81.50, 98
12/22/23, 80.90, 80.90, 80.90, 81.50, 1
12/20/23, 78.60, 81.00, 78.60, 81.50, 38
12/13/23, 82.00, 82.00, 82.00, 81.50, 1
12/12/23, 84.00, 84.00, 78.50, 81.50, 109
12/11/23, 83.80, 83.90, 78.00, 78.50, 92
12/08/23, 78.40, 80.00, 78.40, 78.50, 1611
12/07/23, 78.50, 78.50, 78.50, 78.50, 104
12/06/23, 78.50, 78.60, 78.40, 78.50, 3199
12/05/23, 80.20, 80.20, 80.00, 80.10, 1521
12/04/23, 80.20, 80.20, 80.20, 80.20, 1
12/01/23, 78.30, 78.30, 78.30, 80.20, 1
11/27/23, 81.00, 81.00, 79.10, 80.20, 223
11/24/23, 83.50, 83.50, 83.50, 80.00, 1
11/23/23, 83.90, 83.90, 83.70, 80.00, 12
11/21/23, 79.10, 79.10, 79.10, 80.00, 1
11/20/23, 80.00, 83.70, 80.00, 80.00, 8414
11/17/23, 80.10, 83.90, 80.00, 80.00, 1997
11/16/23, 84.90, 84.90, 80.00, 82.90, 10102
11/15/23, 83.10, 86.80, 83.10, 84.90, 971
11/14/23, 87.00, 87.00, 83.00, 86.50, 2901
11/10/23, 87.00, 87.00, 82.40, 86.80, 9
11/08/23, 85.40, 87.00, 85.00, 86.80, 960
11/07/23, 85.70, 85.70, 82.00, 82.20, 103
11/03/23, 83.20, 85.20, 83.20, 83.50, 643
11/02/23, 85.20, 85.20, 85.20, 85.00, 1
11/01/23, 84.90, 85.20, 84.90, 85.00, 881
10/30/23, 82.00, 82.00, 82.00, 82.00, 5250
10/27/23, 80.50, 83.50, 80.50, 83.40, 391
10/26/23, 80.50, 80.50, 80.50, 80.20, 50
10/25/23, 80.50, 80.50, 80.10, 80.20, 250
10/24/23, 82.10, 82.10, 81.10, 81.10, 200
10/23/23, 82.10, 85.40, 82.00, 82.10, 620
10/20/23, 85.70, 85.80, 85.70, 85.20, 6
10/17/23, 85.50, 85.50, 85.50, 85.20, 11
10/13/23, 82.00, 86.90, 82.00, 85.20, 5551
10/10/23, 84.90, 84.90, 84.70, 84.70, 2001
10/09/23, 85.80, 85.90, 80.20, 80.70, 9941
10/06/23, 86.00, 86.00, 83.00, 83.00, 406
10/05/23, 83.00, 88.00, 83.00, 85.50, 446
10/04/23, 88.00, 88.00, 83.00, 83.00, 2375
10/03/23, 84.00, 88.60, 83.00, 83.10, 3511
10/02/23, 85.00, 85.00, 83.00, 83.10, 6435
09/27/23, 85.40, 90.40, 85.40, 87.20, 671
09/26/23, 90.40, 90.50, 85.20, 90.10, 913
09/25/23, 86.70, 91.00, 83.20, 90.50, 6402
09/22/23, 85.00, 86.70, 84.80, 86.00, 3832
09/21/23, 82.20, 85.00, 80.00, 84.70, 5602
09/20/23, 85.00, 86.70, 85.00, 86.60, 1170
09/19/23, 84.20, 85.00, 84.10, 85.10, 60
09/18/23, 84.10, 84.10, 84.10, 85.10, 96
09/15/23, 85.20, 86.90, 85.10, 85.10, 149
09/14/23, 84.40, 88.00, 84.40, 88.60, 90
09/13/23, 85.30, 89.00, 85.30, 88.60, 10197
09/12/23, 85.00, 85.00, 84.90, 83.10, 11
09/11/23, 86.00, 86.00, 86.00, 83.10, 1
09/08/23, 86.30, 86.40, 85.70, 83.10, 46
09/07/23, 86.40, 86.40, 86.40, 83.10, 4
09/06/23, 83.10, 86.80, 83.10, 83.10, 801
09/05/23, 86.90, 86.90, 83.10, 83.70, 771
09/04/23, 87.70, 87.70, 81.70, 81.80, 546
09/01/23, 88.90, 88.90, 81.00, 81.30, 2654
08/31/23, 85.20, 85.20, 83.50, 84.60, 301
08/29/23, 86.70, 89.90, 85.00, 88.30, 2662
