Date, Open, High, Low, Close, Volume
04/24/25, 390.00, 390.00, 390.00, 386.50, 5
04/23/25, 372.25, 387.00, 372.25, 386.50, 5
04/22/25, 375.00, 375.00, 375.00, 386.50, 1
04/21/25, 397.00, 397.00, 397.00, 386.50, 53
04/16/25, 385.00, 386.50, 372.00, 386.50, 67
04/11/25, 384.75, 385.00, 384.75, 386.50, 4
04/10/25, 385.00, 385.00, 384.00, 386.50, 55
04/09/25, 367.75, 386.50, 367.75, 386.50, 1020
04/08/25, 360.25, 367.75, 360.00, 366.25, 331
04/07/25, 369.25, 369.25, 359.00, 386.75, 68
04/04/25, 397.00, 397.00, 369.50, 386.75, 139
04/03/25, 392.00, 392.00, 392.00, 392.00, 17
04/02/25, 392.00, 396.75, 392.00, 392.00, 41
04/01/25, 392.00, 392.00, 392.00, 392.00, 210
03/28/25, 391.75, 391.75, 391.75, 391.75, 34214
03/27/25, 391.75, 392.00, 366.00, 392.75, 16
03/26/25, 394.00, 394.00, 360.25, 392.75, 168
03/25/25, 385.00, 394.00, 360.00, 393.75, 313
03/24/25, 348.75, 394.75, 348.75, 391.75, 283
03/21/25, 347.00, 348.00, 347.00, 319.50, 32
03/20/25, 342.00, 344.75, 342.00, 319.50, 31
03/19/25, 342.50, 342.50, 342.50, 319.50, 1
03/18/25, 342.50, 342.50, 342.50, 319.50, 1
03/17/25, 320.00, 320.00, 320.00, 319.50, 15
03/14/25, 325.00, 325.00, 315.00, 319.50, 930
03/11/25, 325.00, 343.00, 325.00, 325.25, 202
03/10/25, 326.00, 326.00, 326.00, 325.25, 75
03/07/25, 325.25, 325.25, 325.25, 325.25, 250
03/05/25, 339.25, 339.50, 339.25, 330.25, 2100015
03/04/25, 325.25, 325.25, 325.25, 330.25, 2
03/03/25, 338.00, 338.00, 330.00, 330.25, 202
02/27/25, 340.00, 340.00, 340.00, 340.00, 52
02/24/25, 340.00, 340.00, 328.00, 340.00, 70
02/21/25, 348.75, 348.75, 332.25, 340.00, 21
02/19/25, 338.00, 338.00, 332.00, 340.00, 65
02/18/25, 338.00, 350.00, 338.00, 340.00, 34
02/17/25, 345.00, 345.00, 340.00, 340.00, 417
02/14/25, 345.00, 345.00, 345.00, 340.00, 83
02/13/25, 344.75, 344.75, 344.75, 340.00, 99
02/11/25, 340.75, 340.75, 340.75, 340.00, 10
02/10/25, 344.00, 344.00, 340.00, 340.00, 108
02/07/25, 342.00, 344.00, 341.75, 342.00, 296
02/06/25, 341.75, 341.75, 341.00, 341.50, 323
02/05/25, 342.00, 342.00, 342.00, 330.00, 1
02/03/25, 331.00, 331.00, 331.00, 330.00, 3
01/31/25, 330.00, 343.50, 330.00, 330.00, 24890
01/30/25, 340.00, 340.00, 330.00, 327.50, 16
01/28/25, 327.00, 344.50, 327.00, 327.50, 790
01/27/25, 345.00, 345.00, 345.00, 340.00, 1
01/24/25, 330.00, 340.00, 330.00, 340.00, 38
01/23/25, 327.00, 340.00, 320.00, 340.00, 1783
01/22/25, 325.75, 335.00, 325.75, 335.00, 556
01/20/25, 349.75, 349.75, 312.00, 344.00, 10
01/17/25, 345.00, 345.00, 341.00, 344.00, 15
01/16/25, 340.00, 345.00, 340.00, 344.00, 21
01/15/25, 344.00, 344.00, 344.00, 344.00, 433
01/10/25, 344.00, 344.00, 344.00, 344.00, 17
01/09/25, 342.00, 344.00, 342.00, 344.00, 1048
01/08/25, 305.50, 340.00, 305.50, 344.00, 19
01/03/25, 348.00, 350.00, 343.75, 344.00, 2395
01/02/25, 343.75, 350.00, 343.75, 347.75, 2023
12/30/24, 343.75, 343.75, 343.50, 329.75, 2
12/27/24, 339.00, 343.75, 339.00, 329.75, 13
12/26/24, 339.00, 339.00, 330.25, 329.75, 49
12/24/24, 328.25, 335.00, 328.25, 329.75, 936
12/23/24, 335.00, 335.00, 328.00, 310.75, 80
12/20/24, 334.75, 334.75, 334.00, 310.75, 2
12/18/24, 328.50, 328.50, 310.75, 310.75, 870
12/17/24, 320.00, 320.00, 310.00, 310.75, 8390
12/16/24, 325.00, 328.75, 310.25, 310.75, 786
12/13/24, 313.50, 313.50, 310.00, 311.00, 6538
12/11/24, 320.00, 320.00, 320.00, 310.25, 16
12/10/24, 313.25, 313.25, 313.25, 310.25, 1
12/09/24, 315.00, 320.00, 310.00, 310.25, 168
12/05/24, 315.00, 315.00, 315.00, 315.00, 5237
12/04/24, 316.25, 326.00, 316.25, 316.25, 54
11/29/24, 317.00, 317.00, 317.00, 316.25, 18
11/28/24, 320.50, 322.00, 310.00, 316.25, 383
11/27/24, 307.00, 338.00, 307.00, 315.00, 18
11/26/24, 307.00, 307.00, 307.00, 315.00, 15
11/25/24, 310.00, 310.00, 310.00, 315.00, 1
11/22/24, 314.00, 315.00, 314.00, 315.00, 631
11/21/24, 315.00, 315.00, 315.00, 315.00, 1
11/20/24, 305.00, 315.00, 305.00, 315.00, 7058
11/19/24, 305.00, 305.00, 305.00, 312.00, 1
11/18/24, 315.00, 315.00, 315.00, 312.00, 16
11/14/24, 319.75, 319.75, 310.00, 312.00, 8
11/13/24, 308.00, 312.00, 303.00, 312.00, 1119
11/12/24, 298.00, 303.00, 298.00, 300.50, 573
11/11/24, 295.00, 295.00, 290.00, 285.00, 87
11/08/24, 290.00, 290.00, 290.00, 285.00, 17
11/06/24, 285.00, 285.00, 285.00, 285.00, 750
11/05/24, 285.25, 285.25, 285.00, 285.00, 11849
11/04/24, 289.00, 289.00, 285.00, 285.00, 999
11/01/24, 290.00, 290.00, 285.25, 290.00, 223
10/30/24, 300.00, 300.00, 285.25, 285.25, 10000
10/29/24, 285.00, 297.75, 280.00, 280.25, 741
10/28/24, 283.00, 283.00, 283.00, 287.25, 2
10/25/24, 306.00, 306.00, 250.00, 287.25, 3246
10/24/24, 300.00, 310.00, 300.00, 300.00, 85
10/23/24, 300.00, 300.00, 300.00, 300.00, 239
10/22/24, 299.00, 300.00, 299.00, 299.00, 3244
10/21/24, 299.00, 299.00, 298.25, 299.00, 1914
10/18/24, 299.00, 299.00, 295.50, 299.00, 2688
10/16/24, 299.00, 299.00, 299.00, 288.00, 61
10/14/24, 291.00, 313.75, 286.50, 288.00, 285
10/11/24, 315.00, 315.00, 315.00, 316.50, 16
10/10/24, 310.00, 315.00, 310.00, 316.50, 8
10/07/24, 325.00, 325.00, 281.00, 316.50, 286
10/04/24, 285.00, 293.00, 285.00, 288.25, 1031
10/03/24, 282.00, 282.00, 282.00, 282.00, 9
10/01/24, 280.75, 285.00, 280.75, 282.00, 160
09/30/24, 273.00, 280.00, 273.00, 280.00, 17248
09/26/24, 285.00, 285.00, 270.00, 280.00, 24
09/25/24, 280.00, 280.00, 280.00, 280.00, 201
09/24/24, 265.25, 285.00, 265.25, 280.75, 196
09/20/24, 275.00, 275.00, 275.00, 275.00, 1
09/18/24, 285.00, 285.00, 275.00, 275.00, 31
09/11/24, 285.00, 285.00, 285.00, 275.00, 2
09/04/24, 275.00, 275.00, 275.00, 275.00, 441
09/02/24, 275.00, 275.00, 271.00, 274.75, 50
08/30/24, 274.75, 274.75, 274.75, 274.75, 16098
08/27/24, 298.50, 298.50, 298.50, 275.00, 12
08/23/24, 285.00, 285.00, 285.00, 275.00, 6
08/21/24, 275.00, 275.00, 271.00, 275.00, 25
08/16/24, 275.00, 275.00, 275.00, 275.00, 2200
08/15/24, 290.00, 290.00, 290.00, 285.00, 10
08/13/24, 285.25, 285.25, 285.00, 285.00, 27
08/12/24, 285.00, 285.00, 285.00, 285.00, 1
08/09/24, 285.50, 285.50, 280.00, 285.00, 21
08/08/24, 290.00, 290.00, 290.00, 285.00, 2
08/07/24, 298.00, 298.00, 298.00, 285.00, 1
08/02/24, 299.00, 299.00, 299.00, 285.00, 2
08/01/24, 285.00, 285.00, 285.00, 285.00, 3
07/31/24, 285.00, 285.00, 285.00, 285.00, 24307
07/30/24, 286.00, 286.00, 281.50, 284.75, 419
07/26/24, 281.50, 299.25, 281.50, 295.00, 4
07/25/24, 300.00, 305.00, 300.00, 295.00, 4
07/24/24, 300.00, 300.00, 300.00, 295.00, 2
07/23/24, 300.00, 300.00, 295.00, 295.00, 136
07/22/24, 291.00, 301.50, 291.00, 295.50, 5249
07/19/24, 301.00, 301.00, 301.00, 300.00, 1
07/18/24, 300.00, 301.50, 300.00, 300.00, 25
07/17/24, 304.75, 304.75, 300.00, 300.00, 38
07/16/24, 304.00, 304.00, 300.00, 300.00, 401
07/15/24, 299.00, 300.00, 299.00, 298.75, 14
07/12/24, 291.00, 299.00, 290.00, 298.75, 32
07/11/24, 295.00, 300.00, 291.50, 298.75, 4540
07/09/24, 290.00, 290.00, 290.00, 290.00, 4
07/08/24, 290.00, 297.50, 290.00, 290.00, 71
07/05/24, 279.00, 299.00, 279.00, 290.00, 242
