Date, Open, High, Low, Close, Volume
04/24/25, 25.00, 25.00, 24.00, 24.00, 30120
04/23/25, 24.00, 25.00, 24.00, 24.00, 1917
04/22/25, 25.00, 25.00, 24.40, 24.60, 2116
04/21/25, 24.80, 25.30, 23.60, 25.00, 3885
04/17/25, 25.00, 25.00, 24.90, 24.90, 4065
04/16/25, 25.00, 25.00, 24.80, 24.90, 8150
04/11/25, 24.90, 25.30, 24.50, 25.30, 1208
04/10/25, 25.00, 25.80, 25.00, 25.10, 13096
04/09/25, 24.50, 24.50, 23.10, 24.40, 95606
04/08/25, 23.00, 24.50, 22.70, 24.50, 85287
04/07/25, 24.10, 24.10, 22.50, 22.50, 96450
04/04/25, 25.00, 25.00, 23.80, 24.10, 22680
04/03/25, 25.00, 25.00, 24.50, 24.60, 187084
04/02/25, 25.30, 25.40, 25.10, 25.20, 110372
04/01/25, 25.50, 25.50, 25.00, 25.00, 152482
03/28/25, 25.40, 25.50, 25.10, 25.30, 163175
03/27/25, 25.80, 25.80, 25.00, 25.30, 171539
03/26/25, 32.40, 32.40, 24.90, 25.10, 3001575
03/25/25, 31.00, 31.00, 31.00, 31.00, 1313
03/24/25, 31.90, 33.80, 31.00, 31.00, 7497
03/21/25, 30.70, 31.90, 30.70, 31.20, 2811
03/20/25, 30.80, 30.90, 29.60, 29.70, 3693
03/19/25, 30.80, 30.80, 30.80, 30.80, 1110
03/18/25, 31.00, 32.00, 29.50, 30.00, 38561
03/17/25, 32.00, 32.00, 30.60, 32.90, 41
03/14/25, 33.20, 33.20, 30.30, 32.90, 432
03/12/25, 31.90, 33.20, 31.90, 33.00, 1136
03/11/25, 31.50, 32.00, 31.20, 31.70, 7084
03/10/25, 31.50, 32.00, 31.50, 31.80, 1074
03/07/25, 33.40, 33.50, 33.40, 33.40, 201
03/06/25, 32.20, 33.60, 31.10, 33.50, 6189
03/05/25, 31.90, 34.00, 31.90, 32.40, 4784
03/04/25, 34.00, 34.30, 31.90, 31.90, 9354
03/03/25, 33.80, 33.80, 32.40, 32.50, 6497
02/28/25, 34.50, 35.10, 33.90, 34.50, 350
02/27/25, 34.00, 35.00, 33.60, 35.00, 2790
02/25/25, 35.10, 35.10, 33.00, 33.50, 11056
02/24/25, 36.30, 36.30, 33.30, 35.10, 6720
02/21/25, 33.60, 40.00, 32.50, 36.30, 30077
02/20/25, 35.60, 35.60, 33.30, 34.30, 36617
02/19/25, 36.00, 38.30, 36.00, 37.10, 8648
02/18/25, 37.90, 38.00, 36.00, 37.40, 18569
02/17/25, 38.80, 40.00, 37.70, 38.20, 87973
02/14/25, 36.00, 41.90, 36.00, 39.40, 262564
02/13/25, 36.00, 36.00, 34.00, 35.00, 22558
02/11/25, 34.00, 37.70, 34.00, 35.60, 62031
02/10/25, 32.00, 34.80, 32.00, 34.00, 178374
02/07/25, 29.70, 32.30, 29.70, 31.60, 30185
02/06/25, 30.00, 31.50, 29.80, 29.80, 27261
02/05/25, 31.00, 31.50, 30.00, 30.10, 23819
02/03/25, 32.50, 32.90, 32.00, 32.10, 99025
01/31/25, 32.30, 32.30, 32.20, 32.20, 2350
01/30/25, 32.00, 32.50, 31.60, 32.40, 20480
01/29/25, 31.80, 32.40, 30.30, 32.00, 5207
01/28/25, 30.90, 31.90, 30.90, 31.50, 12380
01/27/25, 30.50, 30.90, 30.50, 30.80, 13055
01/24/25, 30.50, 30.80, 28.50, 30.00, 54942
01/23/25, 30.10, 30.90, 30.00, 30.60, 7744
01/22/25, 30.80, 30.90, 30.00, 30.10, 5211
01/21/25, 30.70, 31.00, 30.50, 30.80, 13803
01/20/25, 30.50, 31.00, 30.50, 30.60, 13439
01/17/25, 29.40, 29.90, 29.40, 29.90, 1354
01/16/25, 29.30, 31.00, 29.30, 30.40, 13024
01/15/25, 29.20, 30.00, 29.20, 29.80, 2001
01/10/25, 27.90, 27.90, 27.90, 29.20, 54
01/09/25, 28.00, 28.00, 28.00, 29.20, 10
01/08/25, 28.00, 29.30, 26.90, 29.20, 2146
01/07/25, 27.00, 28.40, 27.00, 27.60, 10084
01/06/25, 29.60, 29.60, 28.50, 28.50, 1304
01/03/25, 29.40, 29.90, 29.00, 29.20, 20073
01/02/25, 29.00, 29.40, 28.50, 29.00, 11403
12/31/24, 28.30, 29.00, 28.20, 29.00, 9306
12/30/24, 29.40, 29.50, 29.40, 29.50, 26975
12/27/24, 29.00, 29.50, 29.00, 29.30, 120
12/26/24, 29.40, 29.50, 29.00, 29.40, 7752
12/24/24, 28.00, 29.50, 27.90, 28.10, 66887
12/23/24, 27.90, 29.90, 27.90, 28.20, 7415
12/20/24, 26.50, 28.50, 26.00, 27.90, 4418017
12/19/24, 25.90, 26.50, 25.30, 26.30, 17372
12/18/24, 25.80, 25.80, 25.20, 25.80, 1003
12/17/24, 25.10, 25.10, 25.00, 25.00, 19183
12/16/24, 25.30, 26.40, 25.00, 25.10, 5798
12/13/24, 27.40, 27.40, 26.40, 26.40, 488
12/12/24, 27.90, 27.90, 26.40, 27.70, 767
12/11/24, 26.80, 28.00, 26.80, 27.90, 77468
12/10/24, 26.80, 26.80, 25.30, 25.30, 640
12/09/24, 26.40, 26.90, 26.40, 26.80, 2912
12/06/24, 26.50, 26.70, 26.50, 26.50, 433
12/05/24, 26.70, 26.70, 25.30, 26.70, 45
12/04/24, 26.60, 26.70, 26.50, 26.70, 2130
12/03/24, 25.50, 27.00, 24.00, 24.50, 65674
12/02/24, 25.40, 25.50, 25.40, 25.50, 175
11/29/24, 25.50, 25.60, 24.00, 24.40, 1200
11/28/24, 24.50, 25.30, 24.40, 24.50, 163
11/27/24, 25.20, 25.20, 25.20, 25.20, 24
11/26/24, 25.00, 25.20, 25.00, 25.20, 15006
11/25/24, 25.00, 25.00, 25.00, 25.30, 34
11/22/24, 25.30, 25.30, 25.30, 25.30, 186
11/21/24, 24.20, 24.20, 24.20, 24.20, 100
11/20/24, 24.50, 25.50, 24.50, 25.30, 2611
