Date, Open, High, Low, Close, Volume
04/24/25, 115.00, 115.00, 114.00, 114.75, 175815
04/23/25, 115.00, 115.00, 114.00, 114.50, 15382
04/22/25, 115.00, 115.00, 113.25, 114.50, 118338
04/21/25, 114.00, 116.00, 114.00, 114.50, 15805
04/17/25, 117.00, 117.00, 114.25, 115.00, 55137
04/16/25, 118.00, 118.00, 115.25, 115.50, 100421
04/11/25, 117.75, 118.00, 117.00, 117.50, 10099
04/10/25, 118.00, 120.00, 115.00, 117.25, 132182
04/09/25, 115.00, 115.00, 110.00, 112.75, 109200
04/08/25, 112.00, 116.75, 112.00, 114.25, 41595
04/07/25, 117.00, 117.00, 110.00, 111.75, 252679
04/04/25, 121.00, 122.00, 110.00, 118.75, 213518
04/03/25, 124.00, 124.00, 121.00, 121.00, 195224
04/02/25, 120.00, 124.00, 120.00, 123.25, 761207
04/01/25, 117.00, 119.75, 116.25, 119.00, 138993
03/28/25, 118.75, 118.75, 115.25, 117.25, 17253
03/27/25, 117.00, 118.75, 117.00, 117.25, 16976
03/26/25, 119.00, 119.00, 117.00, 118.00, 13316
03/25/25, 119.75, 120.00, 117.00, 119.00, 11095
03/24/25, 118.00, 119.75, 117.00, 118.00, 1530742
03/21/25, 113.50, 118.50, 113.50, 118.00, 867382
03/20/25, 111.50, 114.50, 111.50, 114.00, 42718
03/19/25, 116.00, 116.00, 110.50, 110.75, 2227
03/18/25, 115.00, 115.00, 112.00, 115.00, 506865
03/17/25, 116.00, 116.00, 114.00, 115.00, 240976
03/14/25, 118.00, 118.00, 115.00, 115.00, 40517
03/12/25, 120.00, 120.00, 112.25, 115.00, 55570
03/11/25, 115.00, 116.00, 112.50, 113.50, 322976
03/10/25, 120.00, 120.00, 115.25, 116.00, 229260
03/07/25, 120.75, 120.75, 119.00, 119.25, 33489
03/06/25, 122.25, 122.25, 118.00, 121.00, 31193
03/05/25, 115.00, 122.25, 115.00, 121.75, 206162
03/04/25, 118.00, 118.00, 115.00, 116.00, 229207
03/03/25, 121.25, 124.75, 119.00, 119.00, 304598
02/28/25, 123.75, 123.75, 120.00, 120.00, 144758
02/27/25, 120.00, 123.75, 118.00, 123.00, 195221
02/25/25, 120.00, 121.00, 118.00, 120.75, 166963
02/24/25, 124.00, 124.00, 118.00, 122.00, 149763
02/21/25, 121.50, 124.50, 121.50, 123.00, 634608
02/20/25, 124.00, 124.00, 121.00, 122.00, 226785
02/19/25, 126.50, 126.50, 122.00, 123.75, 25294
02/18/25, 126.50, 128.25, 123.00, 126.00, 605496
02/17/25, 127.50, 129.50, 125.00, 126.00, 492909
02/14/25, 119.00, 132.00, 119.00, 127.25, 618500
02/13/25, 114.00, 120.00, 114.00, 118.75, 656494
02/11/25, 115.75, 115.75, 112.00, 114.00, 346716
02/10/25, 111.50, 115.00, 111.25, 115.00, 175651
02/07/25, 112.00, 113.00, 109.75, 112.00, 792550
02/06/25, 108.25, 110.50, 105.75, 110.00, 490453
02/05/25, 114.50, 114.50, 108.00, 108.25, 501718
02/03/25, 114.75, 116.00, 110.50, 114.50, 126364
01/31/25, 112.75, 116.00, 112.75, 115.75, 351076
01/30/25, 118.00, 118.00, 113.75, 114.50, 130334
01/29/25, 119.00, 119.00, 116.50, 117.00, 32628
01/28/25, 119.50, 119.50, 116.00, 117.75, 99669
01/27/25, 120.00, 120.50, 115.50, 118.75, 108597
01/24/25, 120.00, 124.75, 120.00, 120.50, 896030
01/23/25, 109.25, 121.00, 109.25, 120.00, 3404916
01/22/25, 108.00, 109.00, 107.00, 107.00, 866132
01/21/25, 103.50, 108.50, 103.50, 108.00, 2517196
01/20/25, 97.00, 104.00, 96.70, 101.50, 2209854
01/17/25, 97.00, 97.00, 96.10, 96.50, 161267
01/16/25, 96.90, 97.50, 95.10, 95.50, 655056
01/15/25, 93.20, 97.50, 93.20, 95.00, 69595
01/10/25, 94.10, 96.60, 94.00, 96.00, 219141
01/09/25, 97.00, 97.00, 95.00, 95.10, 110113
01/08/25, 97.90, 98.00, 97.00, 97.00, 52934
01/07/25, 98.50, 98.50, 94.00, 97.10, 71112
01/06/25, 99.90, 100.00, 90.00, 98.60, 272271
01/03/25, 98.20, 102.00, 96.10, 98.10, 1673635
01/02/25, 94.00, 99.00, 94.00, 98.00, 1239303
12/31/24, 94.00, 94.00, 92.50, 94.00, 189682
12/30/24, 93.00, 94.50, 91.00, 93.60, 806545
12/27/24, 93.00, 93.90, 90.10, 92.30, 98795
12/26/24, 93.70, 93.70, 92.30, 92.70, 224704
12/24/24, 96.00, 96.00, 92.00, 94.00, 166165
12/23/24, 95.00, 97.50, 94.50, 95.10, 831295
12/20/24, 91.40, 95.50, 89.70, 94.90, 1587262
12/19/24, 91.00, 91.40, 89.60, 90.90, 2038490
12/18/24, 85.50, 91.20, 84.50, 91.00, 2679198
12/17/24, 83.10, 86.00, 83.10, 84.90, 1615848
12/16/24, 81.60, 83.50, 81.60, 83.20, 1654998
12/13/24, 81.90, 81.90, 80.00, 81.00, 732009
12/12/24, 79.90, 81.80, 79.80, 81.20, 1003493
12/11/24, 78.00, 79.80, 78.00, 79.50, 956059
12/10/24, 78.10, 78.90, 77.80, 78.10, 468166
12/09/24, 79.00, 79.00, 77.30, 78.10, 49870
12/06/24, 79.90, 79.90, 77.70, 78.00, 683655
12/05/24, 79.80, 79.90, 79.20, 79.50, 174377
12/04/24, 80.00, 80.00, 79.00, 79.80, 42616
12/03/24, 78.50, 80.50, 78.10, 80.00, 792843
12/02/24, 78.00, 78.50, 78.00, 78.50, 231093
11/29/24, 78.40, 78.50, 77.00, 78.10, 65158
11/28/24, 78.00, 78.50, 77.90, 78.50, 291188
11/27/24, 77.90, 78.00, 77.00, 77.00, 164749
11/26/24, 77.90, 78.00, 77.50, 77.60, 260537
11/25/24, 78.50, 79.00, 77.00, 77.90, 2166356
11/22/24, 78.90, 78.90, 78.00, 78.50, 28047
11/21/24, 78.00, 78.00, 76.00, 76.70, 266770
11/20/24, 77.50, 79.00, 77.50, 78.00, 862697
11/19/24, 78.70, 78.80, 76.00, 77.90, 545837
11/18/24, 80.00, 80.00, 79.00, 79.00, 117336
11/14/24, 78.00, 80.00, 77.00, 78.90, 145498
11/13/24, 77.70, 78.50, 77.00, 77.20, 229658
11/12/24, 78.00, 79.00, 77.50, 77.70, 94817
11/11/24, 79.70, 80.00, 77.00, 78.60, 8444
11/08/24, 79.80, 80.00, 78.30, 79.70, 37489
11/07/24, 78.60, 80.00, 78.00, 78.10, 341539
11/06/24, 80.00, 80.20, 78.00, 79.00, 309464
11/05/24, 81.40, 81.40, 79.60, 80.90, 56911
11/04/24, 81.40, 82.10, 81.40, 81.50, 27097
11/01/24, 82.00, 82.00, 81.30, 81.70, 291053
10/30/24, 81.80, 82.50, 81.50, 81.90, 2892542
10/29/24, 80.00, 82.90, 80.00, 81.50, 2212215
10/28/24, 77.50, 80.30, 77.00, 80.00, 4096394
10/25/24, 76.60, 78.00, 76.50, 77.00, 1671681
10/24/24, 75.00, 77.00, 74.50, 76.60, 1785243
10/23/24, 75.00, 75.00, 74.50, 75.00, 57870
10/22/24, 74.20, 75.00, 74.00, 74.20, 38482
