Date, Open, High, Low, Close, Volume
04/24/25, 55.00, 55.00, 53.00, 54.50, 108747
04/23/25, 55.00, 55.00, 54.00, 54.10, 72907
04/22/25, 54.90, 54.90, 54.30, 54.60, 155916
04/21/25, 54.50, 55.00, 54.00, 54.10, 72739
04/17/25, 55.00, 55.00, 54.50, 54.90, 36429
04/16/25, 54.60, 55.40, 54.60, 55.00, 75218
04/11/25, 55.20, 55.20, 54.10, 54.60, 41167
04/10/25, 53.10, 55.00, 52.30, 54.60, 277613
04/09/25, 52.00, 53.00, 51.50, 51.90, 57270
04/08/25, 52.00, 53.00, 51.20, 52.10, 115247
04/07/25, 53.00, 53.00, 51.00, 51.10, 261543
04/04/25, 54.50, 55.70, 53.10, 53.40, 254200
04/03/25, 54.50, 55.50, 54.10, 54.50, 157464
04/02/25, 55.00, 56.00, 55.00, 55.50, 149548
04/01/25, 55.00, 55.60, 54.60, 55.40, 73286
03/28/25, 55.50, 55.50, 54.50, 54.80, 50889
03/27/25, 55.50, 55.50, 54.10, 55.00, 16435
03/26/25, 55.50, 55.80, 54.90, 55.30, 341297
03/25/25, 55.40, 55.60, 54.90, 55.30, 160015
03/24/25, 55.00, 55.50, 54.80, 55.00, 861678
03/21/25, 53.50, 55.50, 53.50, 55.00, 244556
03/20/25, 53.00, 54.80, 53.00, 54.50, 130890
03/19/25, 52.80, 54.00, 52.80, 53.50, 228154
03/18/25, 52.60, 53.40, 52.40, 52.50, 164996
03/17/25, 52.50, 53.40, 52.50, 52.70, 57617
03/14/25, 53.90, 53.90, 52.20, 52.80, 57587
03/12/25, 52.90, 53.80, 52.90, 53.70, 12372
03/11/25, 53.60, 54.00, 52.20, 52.50, 132657
03/10/25, 53.90, 54.20, 53.70, 53.70, 272502
03/07/25, 53.80, 53.90, 52.80, 53.60, 56558
03/06/25, 53.00, 54.40, 53.00, 53.20, 153134
03/05/25, 50.90, 53.00, 50.90, 51.90, 115639
03/04/25, 51.90, 51.90, 50.30, 50.90, 167238
03/03/25, 53.00, 54.00, 51.60, 51.80, 143563
02/28/25, 54.00, 54.50, 52.50, 52.70, 192157
02/27/25, 54.50, 54.50, 53.00, 53.70, 76638
02/25/25, 54.50, 54.90, 53.00, 53.60, 153022
02/24/25, 53.70, 54.90, 52.80, 54.10, 177033
02/21/25, 54.20, 54.50, 53.70, 53.80, 50936
02/20/25, 54.90, 55.00, 53.70, 53.90, 41336
02/19/25, 55.00, 55.00, 53.30, 54.00, 146158
02/18/25, 56.20, 56.80, 53.90, 54.10, 285460
02/17/25, 53.00, 57.00, 53.00, 56.20, 427179
02/14/25, 52.00, 53.00, 52.00, 52.70, 56128
02/13/25, 52.80, 52.80, 50.80, 52.00, 33307
02/11/25, 51.70, 52.90, 50.50, 50.70, 138656
02/10/25, 52.00, 52.40, 51.70, 51.90, 169432
02/07/25, 51.90, 52.00, 51.70, 51.90, 20317
02/06/25, 51.10, 51.60, 49.50, 51.20, 195802
02/05/25, 53.00, 53.00, 51.10, 51.60, 145337
02/03/25, 53.20, 53.30, 52.30, 52.50, 163461
01/31/25, 53.10, 53.50, 52.90, 53.00, 190422
01/30/25, 53.10, 53.70, 52.80, 53.10, 243098
01/29/25, 53.70, 54.40, 53.20, 53.40, 156785
01/28/25, 53.80, 54.00, 53.00, 53.30, 94623
01/27/25, 54.00, 54.00, 53.60, 53.80, 142803
01/24/25, 53.50, 54.00, 53.40, 53.90, 149318
01/23/25, 55.00, 55.00, 53.00, 53.40, 437413
01/22/25, 55.00, 55.50, 54.50, 54.50, 468115
01/21/25, 54.90, 56.20, 54.90, 55.00, 1139054
01/20/25, 54.20, 54.80, 54.00, 54.70, 139517
01/17/25, 53.90, 54.50, 53.80, 53.80, 113465
01/16/25, 54.00, 54.40, 53.60, 54.00, 185337
01/15/25, 53.70, 54.40, 53.70, 54.00, 44094
01/10/25, 53.90, 54.30, 53.00, 53.90, 98353
01/09/25, 54.70, 54.70, 53.90, 54.20, 105480
01/08/25, 55.30, 55.50, 54.00, 54.10, 263116
01/07/25, 51.60, 55.80, 51.60, 54.80, 1051637
01/06/25, 51.90, 52.50, 50.00, 51.60, 303645
01/03/25, 53.00, 53.70, 52.00, 52.50, 292011
01/02/25, 53.00, 53.80, 52.70, 53.00, 267113
12/31/24, 53.00, 53.20, 52.50, 53.10, 338341
12/30/24, 53.70, 53.80, 52.90, 53.00, 516632
12/27/24, 52.90, 53.80, 52.50, 53.60, 225432
12/26/24, 53.00, 53.10, 52.00, 52.40, 504077
12/24/24, 52.90, 53.10, 52.60, 53.00, 131305
12/23/24, 53.00, 53.40, 52.50, 53.00, 539563
12/20/24, 53.00, 53.20, 53.00, 53.00, 376461
12/19/24, 53.00, 53.50, 52.70, 52.90, 116813
12/18/24, 52.80, 53.20, 51.20, 52.60, 660421
12/17/24, 53.10, 53.50, 52.30, 52.80, 589407
12/16/24, 51.00, 53.50, 50.60, 52.80, 1640605
12/13/24, 49.50, 51.50, 49.10, 50.30, 476905
12/12/24, 49.40, 49.50, 49.00, 49.40, 349950
12/11/24, 49.70, 49.70, 49.00, 49.40, 259491
12/10/24, 49.70, 49.70, 48.80, 49.30, 149837
12/09/24, 49.50, 49.80, 49.50, 49.60, 181870
12/06/24, 49.50, 49.70, 49.40, 49.50, 168066
12/05/24, 49.00, 49.70, 48.80, 49.10, 520008
12/04/24, 48.10, 49.50, 48.10, 48.60, 81267
12/03/24, 47.80, 49.60, 47.60, 48.50, 181475
12/02/24, 48.80, 48.80, 47.40, 47.80, 63935
11/29/24, 49.10, 49.40, 48.00, 48.00, 105847
11/28/24, 48.30, 49.20, 48.10, 48.70, 176080
11/27/24, 47.90, 48.40, 47.70, 48.10, 240720
11/26/24, 47.00, 48.10, 47.00, 47.70, 102125
11/25/24, 47.50, 47.70, 46.60, 47.00, 202140
11/22/24, 46.10, 47.80, 46.10, 47.50, 169009
11/21/24, 47.20, 47.20, 46.50, 46.70, 58600
11/20/24, 48.60, 48.60, 47.40, 47.50, 153359
11/19/24, 49.40, 49.40, 48.00, 48.50, 370547
11/18/24, 49.00, 50.40, 49.00, 49.50, 1058618
11/14/24, 45.50, 50.00, 45.00, 48.00, 1081025
11/13/24, 43.90, 46.30, 43.50, 45.00, 504150
11/12/24, 43.70, 43.90, 43.50, 43.80, 131204
11/11/24, 43.60, 43.80, 43.50, 43.70, 32676
11/08/24, 43.80, 43.80, 43.50, 43.60, 177998
11/07/24, 43.00, 43.90, 43.00, 43.60, 176506
11/06/24, 44.00, 44.00, 43.00, 43.60, 259475
11/05/24, 43.70, 44.00, 43.40, 43.50, 193874
11/04/24, 44.40, 44.40, 43.40, 43.50, 111967
11/01/24, 44.00, 44.40, 43.60, 43.80, 93328
10/30/24, 44.20, 44.40, 43.50, 44.00, 418507
10/29/24, 44.00, 44.40, 43.40, 43.70, 1448056
10/28/24, 44.60, 44.90, 44.00, 44.30, 93979
10/25/24, 45.00, 45.00, 44.40, 44.60, 41218
10/24/24, 44.90, 45.20, 43.90, 45.00, 350321
10/23/24, 44.70, 45.00, 44.40, 44.50, 132055
10/22/24, 45.20, 45.20, 44.50, 45.00, 64354
10/21/24, 44.80, 45.20, 44.70, 45.00, 104554
10/18/24, 44.60, 44.80, 44.00, 44.60, 105832
10/16/24, 44.40, 44.80, 44.30, 44.50, 118805
10/15/24, 44.90, 44.90, 44.00, 44.20, 51360
10/14/24, 43.90, 44.70, 43.70, 44.60, 237374
10/11/24, 44.20, 44.20, 43.70, 43.90, 89983
10/10/24, 44.30, 44.30, 43.40, 43.80, 108618
