Date, Open, High, Low, Close, Volume
04/24/25, 454.75, 454.75, 445.00, 445.00, 20036
04/23/25, 454.50, 454.50, 454.50, 455.00, 3
04/22/25, 455.00, 455.00, 452.00, 455.00, 413
04/21/25, 461.50, 461.50, 452.00, 452.00, 177
04/17/25, 439.75, 462.50, 435.00, 457.50, 3809
04/16/25, 439.25, 439.75, 438.50, 435.25, 51
04/11/25, 437.00, 437.00, 435.00, 435.25, 252
04/10/25, 437.75, 439.00, 435.00, 435.25, 40315
04/09/25, 435.00, 437.75, 435.00, 436.50, 101
04/08/25, 437.75, 437.75, 435.00, 437.75, 122
04/07/25, 430.00, 435.00, 430.00, 430.25, 1623
04/04/25, 430.00, 431.00, 430.00, 430.00, 202
04/03/25, 440.25, 440.25, 430.00, 430.00, 3571
04/02/25, 438.00, 441.25, 435.00, 440.25, 4750
04/01/25, 436.25, 439.25, 433.00, 436.00, 35
03/28/25, 436.25, 436.25, 430.00, 436.00, 119
03/27/25, 430.00, 436.25, 429.00, 435.00, 9588
03/26/25, 433.00, 433.00, 433.00, 430.00, 16
03/25/25, 435.00, 435.00, 425.00, 430.00, 52
03/24/25, 430.00, 435.00, 430.00, 430.00, 100
03/21/25, 430.00, 430.00, 426.00, 428.00, 8
03/20/25, 436.75, 436.75, 436.75, 428.00, 1
03/19/25, 428.25, 428.25, 425.00, 428.00, 88
03/18/25, 430.00, 430.00, 428.00, 428.00, 2189
03/17/25, 428.00, 437.75, 428.00, 428.25, 110
03/14/25, 430.00, 437.75, 428.00, 428.50, 129
03/12/25, 431.00, 437.25, 431.00, 435.00, 51
03/11/25, 434.00, 438.75, 424.00, 435.00, 6855
03/10/25, 434.75, 435.00, 424.00, 425.00, 17
03/07/25, 422.00, 434.75, 422.00, 425.00, 3
03/06/25, 426.00, 426.00, 425.50, 425.00, 10
03/05/25, 425.00, 425.00, 420.00, 425.00, 186
03/04/25, 425.25, 425.50, 420.00, 425.00, 41
03/03/25, 446.00, 446.00, 425.00, 425.00, 10072
02/28/25, 446.00, 446.00, 446.00, 445.00, 27
02/27/25, 447.00, 447.00, 436.00, 445.00, 285
02/25/25, 448.00, 448.00, 437.00, 442.50, 41
02/24/25, 437.00, 437.25, 437.00, 442.50, 39
02/20/25, 448.00, 448.00, 442.50, 442.50, 6
02/19/25, 437.00, 448.00, 437.00, 442.50, 107
02/18/25, 443.00, 448.25, 436.25, 443.00, 60
02/17/25, 437.00, 445.00, 437.00, 443.00, 1585
02/14/25, 437.00, 437.00, 435.00, 436.75, 845
02/13/25, 436.00, 437.00, 436.00, 436.00, 361
02/11/25, 430.00, 435.75, 430.00, 436.00, 53
02/10/25, 435.25, 435.25, 430.00, 436.00, 59
02/07/25, 439.00, 439.00, 435.00, 436.00, 40
02/06/25, 436.00, 439.00, 433.00, 436.00, 75
02/05/25, 438.75, 438.75, 430.00, 436.00, 359
02/03/25, 435.00, 435.00, 430.00, 431.25, 38635
01/31/25, 430.00, 435.00, 429.75, 430.50, 270
01/30/25, 434.50, 434.75, 429.75, 432.50, 41
01/29/25, 432.25, 434.75, 429.50, 432.50, 100
01/28/25, 430.25, 432.00, 429.00, 431.50, 231
01/27/25, 429.75, 430.00, 429.00, 429.75, 660
01/24/25, 425.00, 426.25, 421.00, 423.50, 230
01/23/25, 422.00, 425.00, 422.00, 422.00, 1279
01/22/25, 420.00, 428.75, 420.00, 421.00, 723
01/21/25, 420.00, 420.00, 410.00, 415.50, 19
01/20/25, 421.50, 430.00, 405.00, 415.50, 1316
