Date, Open, High, Low, Close, Volume
04/24/25, 80.00, 80.00, 80.00, 80.00, 2114
04/23/25, 80.00, 80.00, 80.00, 80.00, 1501
04/22/25, 77.10, 80.00, 77.10, 80.00, 126
04/17/25, 78.00, 81.00, 76.20, 80.20, 4296
04/16/25, 80.00, 80.90, 80.00, 80.00, 910
04/11/25, 80.00, 80.00, 79.90, 77.60, 25
04/10/25, 76.50, 79.90, 75.00, 77.60, 5759
04/09/25, 76.20, 76.20, 76.10, 76.10, 707
04/08/25, 75.00, 81.80, 75.00, 75.10, 762
04/07/25, 83.00, 83.00, 75.10, 75.30, 1439
04/04/25, 76.50, 82.70, 75.10, 75.80, 6396
04/03/25, 81.00, 81.00, 79.00, 82.70, 47
04/02/25, 80.00, 83.00, 80.00, 82.70, 3925
04/01/25, 82.50, 82.60, 80.00, 81.70, 3629
03/28/25, 80.00, 80.00, 76.20, 78.90, 2081
03/27/25, 80.00, 80.00, 79.50, 80.00, 2984
03/26/25, 79.90, 79.90, 79.90, 80.00, 1
03/25/25, 83.00, 83.00, 80.00, 80.00, 12588
03/24/25, 79.90, 83.00, 79.90, 83.00, 202
03/21/25, 82.90, 82.90, 82.50, 82.50, 625
03/20/25, 82.50, 82.90, 79.80, 80.00, 4099
03/18/25, 83.90, 83.90, 82.50, 82.70, 1774
03/17/25, 80.10, 84.00, 75.50, 78.90, 4035
03/14/25, 85.10, 85.20, 80.00, 80.00, 49420
03/12/25, 85.00, 90.90, 85.00, 87.40, 1772
03/11/25, 85.70, 85.70, 85.00, 85.20, 650
03/10/25, 86.60, 86.60, 86.60, 86.60, 100
03/06/25, 89.00, 89.00, 88.70, 88.90, 7000
03/05/25, 89.40, 90.00, 85.00, 89.90, 3006
03/04/25, 86.80, 86.80, 86.80, 86.80, 100
03/03/25, 89.40, 89.40, 85.10, 85.10, 568
02/28/25, 88.00, 88.00, 85.00, 85.00, 1811
02/27/25, 89.50, 89.50, 84.80, 85.10, 1103
02/25/25, 86.10, 90.00, 86.00, 86.10, 822
02/24/25, 89.50, 89.50, 89.00, 89.10, 3208
02/21/25, 86.20, 90.00, 86.00, 90.00, 9410
02/20/25, 91.80, 91.80, 85.00, 90.00, 13683
02/19/25, 92.00, 92.10, 92.00, 92.10, 1010
02/18/25, 91.90, 95.00, 91.70, 95.00, 5080
02/17/25, 95.00, 95.00, 94.90, 94.90, 6206
02/14/25, 94.40, 95.00, 94.00, 94.90, 9166
02/13/25, 90.00, 90.00, 90.00, 90.00, 18778
02/11/25, 91.00, 91.00, 90.00, 90.00, 3601
