Date, Open, High, Low, Close, Volume
04/23/25, 450.00, 450.00, 435.25, 449.75, 88
04/22/25, 445.00, 450.00, 445.00, 449.75, 202
04/21/25, 435.25, 438.00, 435.25, 435.50, 111
04/16/25, 440.00, 440.00, 430.00, 440.50, 67
04/11/25, 440.00, 441.00, 440.00, 440.50, 350
04/10/25, 429.50, 440.00, 429.50, 429.75, 425
04/09/25, 420.00, 420.00, 420.00, 420.00, 100
04/08/25, 404.25, 430.00, 404.25, 430.00, 2103
04/07/25, 431.00, 431.00, 385.00, 404.25, 1081
04/04/25, 469.75, 469.75, 440.00, 444.00, 624
04/03/25, 449.75, 500.00, 440.00, 440.00, 1857
04/02/25, 443.00, 449.75, 440.00, 442.00, 2651
04/01/25, 450.00, 450.00, 426.00, 435.25, 1266
03/28/25, 450.00, 450.00, 445.00, 455.00, 51
03/27/25, 450.00, 450.00, 450.00, 455.00, 10
03/24/25, 454.00, 454.00, 454.00, 455.00, 32
03/21/25, 457.75, 460.00, 440.00, 455.00, 3655
03/20/25, 458.00, 458.00, 447.25, 425.00, 62
03/19/25, 449.00, 455.00, 449.00, 425.00, 19
03/18/25, 425.25, 427.00, 425.00, 425.00, 1041
03/17/25, 427.00, 428.00, 425.00, 425.25, 1958
03/14/25, 428.00, 439.00, 428.00, 439.00, 673
03/12/25, 449.00, 449.00, 426.00, 442.00, 267
03/11/25, 426.00, 426.00, 426.00, 426.00, 131
03/10/25, 426.00, 426.00, 426.00, 426.00, 101
03/07/25, 440.00, 450.00, 433.00, 433.00, 167
03/06/25, 444.00, 444.50, 440.00, 440.25, 332
03/05/25, 433.00, 433.00, 433.00, 427.25, 50
03/04/25, 427.25, 430.00, 427.25, 427.25, 5
03/03/25, 440.25, 440.25, 427.00, 427.25, 150
02/28/25, 440.00, 441.00, 440.00, 440.25, 209
02/27/25, 447.25, 450.00, 427.25, 449.50, 15024
02/25/25, 430.00, 450.00, 430.00, 432.25, 64902
02/24/25, 448.75, 449.00, 430.00, 449.00, 209
02/21/25, 448.75, 448.75, 448.75, 450.00, 51
02/20/25, 440.00, 440.00, 426.00, 450.00, 71
02/19/25, 452.00, 452.00, 450.00, 450.00, 2020
02/18/25, 467.50, 467.75, 452.00, 452.50, 663
02/17/25, 446.75, 468.00, 446.75, 467.25, 1246
02/14/25, 429.75, 447.00, 415.00, 441.75, 4491
02/13/25, 402.00, 430.00, 401.00, 429.50, 1249
02/11/25, 406.25, 420.00, 401.00, 405.25, 2178
02/10/25, 434.00, 440.00, 433.00, 434.25, 242
02/07/25, 428.50, 449.50, 428.50, 431.25, 158
02/06/25, 418.00, 440.00, 400.00, 401.75, 13870
02/05/25, 460.00, 460.00, 401.00, 409.25, 1173
02/03/25, 470.00, 470.00, 438.50, 442.75, 555
01/31/25, 469.75, 499.75, 467.00, 469.75, 31779
01/30/25, 448.00, 471.00, 400.00, 458.25, 12847
01/29/25, 430.00, 450.00, 430.00, 447.00, 1838
01/28/25, 390.50, 430.00, 390.50, 424.50, 71
01/27/25, 380.00, 430.00, 380.00, 424.50, 14747
01/24/25, 394.25, 394.50, 382.00, 392.25, 111
01/23/25, 380.00, 394.25, 380.00, 380.50, 123
01/22/25, 375.00, 386.00, 375.00, 380.00, 6681
01/21/25, 378.50, 395.00, 370.00, 380.75, 4524
01/20/25, 370.50, 378.50, 370.50, 378.50, 2004
01/17/25, 370.00, 370.00, 370.00, 370.00, 32
01/16/25, 370.00, 379.75, 370.00, 370.00, 121
01/15/25, 361.00, 385.00, 361.00, 380.00, 298
01/10/25, 362.00, 362.00, 362.00, 361.25, 7
01/09/25, 362.00, 376.50, 360.00, 361.25, 3813
01/08/25, 360.00, 360.00, 360.00, 360.00, 1
01/07/25, 360.00, 360.00, 352.75, 360.00, 3030
01/06/25, 360.25, 374.75, 352.25, 360.75, 3542
01/03/25, 361.00, 367.75, 361.00, 366.75, 772
01/02/25, 354.00, 374.75, 354.00, 374.75, 141
12/31/24, 350.00, 375.00, 350.00, 366.25, 829
12/30/24, 366.50, 370.00, 352.00, 368.75, 312
12/27/24, 351.00, 351.00, 350.00, 350.00, 1001
12/26/24, 347.25, 357.00, 347.25, 355.50, 2493
