Date, Open, High, Low, Close, Volume
04/24/25, 195.00, 195.00, 191.00, 193.00, 152730
04/23/25, 199.00, 199.00, 193.25, 193.75, 59406
04/22/25, 199.00, 199.00, 193.00, 196.25, 41717
04/21/25, 196.75, 206.00, 196.25, 199.50, 99724
04/17/25, 195.00, 197.00, 193.00, 194.00, 83679
04/16/25, 187.00, 194.75, 185.00, 194.00, 138588
04/11/25, 190.00, 190.00, 183.00, 187.00, 102856
04/10/25, 188.00, 194.00, 185.00, 188.75, 244589
04/09/25, 182.25, 184.00, 167.00, 174.25, 175540
04/08/25, 175.00, 184.00, 175.00, 181.75, 103843
04/07/25, 183.50, 183.50, 170.00, 174.00, 121734
04/04/25, 189.00, 189.00, 178.00, 183.50, 713528
04/03/25, 195.75, 198.00, 188.00, 189.50, 27456
04/02/25, 196.75, 198.00, 196.00, 196.00, 61723
04/01/25, 193.00, 196.00, 193.00, 196.00, 202246
03/28/25, 194.50, 194.50, 192.00, 194.25, 10847
03/27/25, 191.00, 194.50, 190.00, 193.00, 10014
03/26/25, 197.00, 197.00, 192.00, 192.00, 31522
03/25/25, 196.25, 197.75, 196.25, 196.50, 15458
03/24/25, 198.00, 199.00, 196.50, 197.25, 40869
03/21/25, 194.00, 198.00, 194.00, 198.00, 157142
03/20/25, 188.50, 194.00, 188.50, 192.75, 230183
03/19/25, 190.00, 190.00, 188.00, 189.00, 121673
03/18/25, 192.75, 192.75, 186.50, 187.75, 217494
03/17/25, 198.75, 198.75, 192.00, 192.75, 50584
03/14/25, 197.75, 198.00, 196.25, 196.75, 51003
03/12/25, 197.75, 197.75, 193.00, 195.75, 381846
03/11/25, 198.00, 200.00, 194.00, 195.25, 44599
03/10/25, 200.00, 200.00, 195.00, 195.50, 134421
03/07/25, 199.25, 200.00, 198.50, 198.50, 58097
03/06/25, 200.25, 205.00, 199.00, 199.25, 350345
03/05/25, 197.00, 200.00, 197.00, 200.00, 647238
03/04/25, 201.00, 201.00, 195.00, 198.00, 93039
03/03/25, 205.50, 208.50, 200.00, 200.50, 82146
02/28/25, 208.50, 208.50, 205.50, 205.75, 83297
02/27/25, 206.00, 210.00, 205.00, 208.75, 180406
02/25/25, 208.00, 212.00, 201.25, 206.00, 141101
02/24/25, 213.25, 214.00, 207.25, 209.75, 121381
02/21/25, 218.00, 220.00, 214.00, 216.75, 53383
02/20/25, 224.50, 224.50, 216.75, 217.25, 52118
02/19/25, 225.00, 225.75, 217.00, 222.00, 421208
02/18/25, 226.00, 226.00, 221.50, 222.00, 111998
02/17/25, 223.00, 226.00, 222.75, 225.00, 704921
02/14/25, 212.50, 223.75, 212.50, 222.25, 674123
02/13/25, 200.00, 213.75, 200.00, 212.00, 232452
02/11/25, 205.00, 205.00, 199.50, 200.00, 60171
02/10/25, 211.00, 211.00, 201.00, 205.00, 28445
02/07/25, 210.00, 211.00, 207.00, 210.00, 68949
02/06/25, 201.25, 213.75, 201.25, 210.25, 269816
02/05/25, 215.25, 217.75, 206.00, 208.75, 184436
02/03/25, 220.25, 222.50, 215.00, 215.25, 334231
01/31/25, 212.75, 222.00, 212.75, 220.25, 499829
01/30/25, 217.00, 217.00, 211.00, 213.50, 68327
01/29/25, 212.50, 218.00, 212.50, 214.75, 202332
01/28/25, 202.00, 214.25, 202.00, 213.25, 461987
01/27/25, 206.00, 206.00, 201.00, 203.75, 252625
01/24/25, 207.00, 207.50, 200.25, 204.00, 138025
01/23/25, 195.00, 209.00, 195.00, 206.25, 902179
01/22/25, 187.00, 194.75, 185.00, 193.00, 617936
01/21/25, 185.00, 187.00, 184.00, 185.00, 541725
01/20/25, 185.00, 185.50, 183.75, 184.50, 61025
01/17/25, 187.00, 187.75, 184.00, 185.00, 120989
01/16/25, 183.00, 186.50, 183.00, 185.75, 252153
01/15/25, 185.00, 187.00, 183.00, 185.50, 136157
01/10/25, 181.00, 185.00, 180.25, 183.75, 76080
01/09/25, 184.75, 186.50, 181.00, 182.50, 144784
01/08/25, 185.00, 191.00, 182.00, 183.00, 157197
01/07/25, 189.00, 189.00, 181.00, 185.50, 100165
01/06/25, 192.00, 196.00, 180.00, 190.75, 272885
01/03/25, 194.50, 198.00, 188.25, 191.75, 1089702
01/02/25, 190.00, 195.00, 186.50, 194.00, 601879
12/31/24, 185.00, 191.00, 180.50, 190.00, 511061
12/30/24, 191.50, 194.75, 184.50, 185.00, 166758
12/27/24, 192.75, 194.50, 184.00, 188.25, 709021
12/26/24, 184.50, 193.25, 181.25, 189.75, 411797
12/24/24, 176.00, 185.00, 172.25, 184.25, 775799
12/23/24, 169.00, 176.00, 167.50, 175.00, 1089538
12/20/24, 159.50, 169.75, 159.00, 167.25, 867173
12/19/24, 156.50, 160.00, 154.50, 158.00, 333550
12/18/24, 151.00, 155.25, 150.25, 155.00, 396795
12/17/24, 155.00, 156.50, 146.25, 151.25, 380518
12/16/24, 148.50, 155.50, 148.25, 155.00, 852818
12/13/24, 139.50, 148.00, 139.50, 147.25, 557712
12/12/24, 140.00, 141.50, 139.50, 139.50, 317569
12/11/24, 140.50, 142.00, 139.25, 140.00, 114700
12/10/24, 140.00, 142.00, 139.50, 141.75, 535977
12/09/24, 137.00, 140.25, 137.00, 139.75, 325805
12/06/24, 136.50, 140.50, 136.50, 137.00, 458926
12/05/24, 140.00, 141.00, 136.00, 138.25, 117956
12/04/24, 136.00, 140.75, 136.00, 139.75, 728032
12/03/24, 130.50, 136.50, 130.25, 135.75, 790663
12/02/24, 128.00, 131.00, 127.50, 129.50, 613054
11/29/24, 125.75, 128.00, 125.00, 127.25, 432569
11/28/24, 124.00, 125.75, 124.00, 125.50, 172572
11/27/24, 123.00, 124.00, 123.00, 124.00, 5996
11/26/24, 123.00, 123.50, 122.25, 122.75, 80132
11/25/24, 125.50, 125.75, 122.50, 123.00, 65533
11/22/24, 125.00, 127.00, 125.00, 125.00, 37762
11/21/24, 127.25, 127.50, 124.00, 125.00, 44912
11/20/24, 127.75, 127.75, 124.75, 124.75, 69934
11/19/24, 128.00, 128.00, 125.00, 126.00, 185552
11/18/24, 125.50, 128.00, 125.00, 127.25, 586769
11/14/24, 124.25, 125.75, 123.25, 125.00, 290654
11/13/24, 126.00, 126.00, 124.25, 124.75, 479523
11/12/24, 123.25, 128.00, 123.25, 126.00, 211342
11/11/24, 123.00, 124.00, 122.50, 122.75, 94319
11/08/24, 125.00, 126.00, 123.00, 123.25, 42945
11/07/24, 122.25, 123.50, 122.25, 123.00, 54519
11/06/24, 123.00, 123.50, 122.00, 122.75, 44640
11/05/24, 127.25, 127.25, 123.00, 123.75, 103762
11/04/24, 128.50, 128.50, 124.75, 125.00, 20493
11/01/24, 126.75, 128.50, 125.00, 128.00, 503243
10/30/24, 123.25, 127.00, 122.50, 125.50, 790498
10/29/24, 122.00, 123.25, 120.00, 120.75, 141110
10/28/24, 122.25, 124.00, 122.00, 122.00, 716605
10/25/24, 123.50, 124.00, 122.25, 123.00, 1106355
10/24/24, 123.75, 124.00, 122.00, 122.00, 825319
10/23/24, 121.00, 123.50, 120.00, 123.00, 616191
10/22/24, 121.50, 121.50, 118.75, 120.00, 15299
10/21/24, 121.00, 122.00, 118.75, 119.00, 121375
10/18/24, 117.00, 122.75, 117.00, 122.25, 143948
10/16/24, 118.00, 118.00, 117.00, 117.50, 10688
10/15/24, 119.00, 120.00, 117.00, 117.00, 22787
10/14/24, 120.00, 120.00, 118.25, 118.50, 15958
10/11/24, 118.00, 119.75, 116.00, 119.25, 260599
10/10/24, 116.50, 119.00, 116.00, 118.00, 40150
10/09/24, 118.00, 118.50, 116.50, 118.00, 11509
10/08/24, 119.25, 120.00, 118.25, 118.50, 31423
10/07/24, 119.25, 120.25, 118.50, 119.25, 698580
10/04/24, 121.00, 121.00, 118.00, 119.25, 25864
10/03/24, 118.00, 120.75, 115.25, 119.50, 488450
10/02/24, 117.00, 118.00, 114.50, 117.00, 119137
10/01/24, 115.50, 120.00, 114.00, 117.25, 320417
09/30/24, 112.75, 117.00, 112.75, 115.00, 189217
09/27/24, 113.00, 113.00, 109.00, 110.75, 56995
09/26/24, 115.50, 119.00, 110.00, 112.25, 14554
09/25/24, 109.75, 115.00, 109.00, 113.50, 268722
09/24/24, 107.00, 109.00, 105.00, 107.25, 26483
09/23/24, 105.00, 107.00, 102.50, 104.00, 31312
09/20/24, 105.00, 107.00, 104.00, 105.00, 28480
09/19/24, 105.00, 107.00, 103.00, 104.00, 98851
09/18/24, 105.00, 106.00, 103.25, 104.00, 85040
09/13/24, 104.50, 104.50, 104.00, 104.00, 3570
09/12/24, 103.00, 103.00, 102.00, 102.00, 17960
09/11/24, 103.00, 103.00, 102.50, 102.50, 22
09/10/24, 103.00, 103.00, 101.75, 102.50, 11864
09/09/24, 107.75, 107.75, 102.50, 102.50, 32845
09/06/24, 107.25, 107.25, 103.00, 103.75, 32197
09/05/24, 105.00, 109.00, 103.00, 104.00, 21646
09/04/24, 103.00, 105.00, 101.00, 103.00, 61434
09/03/24, 102.75, 103.00, 100.50, 101.50, 33207
09/02/24, 105.00, 105.00, 103.00, 103.00, 47137
08/30/24, 104.00, 104.00, 103.00, 103.25, 84840
08/29/24, 104.00, 104.00, 103.50, 103.75, 6212
