Date, Open, High, Low, Close, Volume
04/24/25, 84.50, 85.80, 84.50, 85.20, 124143
04/23/25, 85.80, 85.90, 84.90, 85.70, 320853
04/22/25, 86.80, 87.30, 84.00, 85.00, 84361
04/21/25, 86.50, 87.30, 86.00, 86.50, 224504
04/17/25, 85.00, 87.50, 85.00, 85.70, 411078
04/16/25, 82.90, 85.00, 82.80, 84.50, 216942
04/11/25, 82.00, 82.90, 81.00, 81.60, 779731
04/10/25, 82.00, 85.00, 81.00, 81.70, 232472
04/09/25, 81.40, 81.40, 79.30, 79.80, 178655
04/08/25, 80.00, 81.60, 80.00, 81.40, 141672
04/07/25, 80.10, 80.70, 74.00, 77.10, 109825
04/04/25, 81.50, 82.40, 79.20, 80.70, 85997
04/03/25, 83.50, 84.40, 81.00, 82.40, 101984
04/02/25, 82.00, 85.00, 82.00, 84.10, 1021382
04/01/25, 81.80, 83.00, 81.80, 83.00, 226346
03/28/25, 82.60, 82.70, 81.90, 82.00, 14996
03/27/25, 82.90, 82.90, 82.10, 82.50, 30116
03/26/25, 82.50, 83.00, 82.00, 82.50, 1644219
03/25/25, 79.90, 82.90, 79.10, 81.20, 1631065
03/24/25, 79.50, 79.90, 78.30, 79.30, 213030
03/21/25, 78.40, 79.50, 78.40, 78.70, 37707
03/20/25, 76.10, 78.70, 76.10, 78.00, 2178129
03/19/25, 78.00, 78.70, 76.00, 76.90, 16462
03/18/25, 80.00, 80.00, 78.00, 78.50, 22445
03/17/25, 80.20, 80.20, 78.90, 78.90, 117538
03/14/25, 80.20, 80.20, 79.70, 80.00, 63867
03/12/25, 79.00, 80.30, 78.60, 78.90, 1077986
03/11/25, 79.80, 79.80, 78.50, 78.70, 318779
03/10/25, 80.00, 80.00, 79.00, 79.50, 312844
03/07/25, 81.00, 81.00, 78.10, 78.50, 189258
03/06/25, 83.40, 83.70, 80.00, 80.00, 170066
03/05/25, 79.90, 82.50, 79.90, 82.40, 153657
03/04/25, 82.50, 82.50, 79.50, 79.90, 167976
03/03/25, 83.10, 83.50, 82.50, 82.50, 160402
02/28/25, 82.50, 84.00, 82.50, 82.90, 176672
02/27/25, 82.00, 84.80, 81.50, 82.40, 110571
02/25/25, 83.00, 84.00, 81.50, 81.70, 352062
02/24/25, 83.50, 84.90, 82.20, 83.10, 30602
02/21/25, 80.50, 87.40, 80.50, 85.00, 151806
02/20/25, 88.50, 88.50, 85.80, 86.50, 72392
02/19/25, 88.40, 88.50, 86.00, 88.40, 69681
02/18/25, 89.50, 89.60, 88.20, 88.40, 126826
02/17/25, 90.00, 90.00, 88.00, 89.40, 64629
02/14/25, 88.00, 90.00, 88.00, 90.00, 160804
02/13/25, 88.70, 88.70, 87.00, 87.30, 45194
02/11/25, 89.90, 90.10, 88.00, 88.20, 22879
02/10/25, 90.00, 91.50, 89.40, 89.40, 51245
02/07/25, 90.40, 92.00, 89.00, 91.00, 82836
02/06/25, 90.50, 90.50, 89.00, 90.00, 235300
02/05/25, 93.00, 93.00, 90.40, 90.90, 938400
02/03/25, 90.40, 93.40, 90.40, 92.60, 552444
01/31/25, 91.50, 91.50, 90.30, 90.40, 84931
01/30/25, 91.30, 91.80, 91.00, 91.50, 627772
01/29/25, 91.20, 92.00, 91.00, 91.00, 158319
