Date, Open, High, Low, Close, Volume
04/24/25, 191.25, 191.25, 191.00, 191.25, 342
04/23/25, 191.50, 191.50, 185.00, 189.25, 201357
04/22/25, 190.00, 191.50, 187.25, 187.75, 8622
04/21/25, 188.00, 190.00, 187.50, 187.75, 4081
04/17/25, 188.00, 188.00, 187.50, 187.50, 652
04/16/25, 189.50, 189.50, 185.00, 186.50, 5546
04/11/25, 188.00, 188.00, 185.00, 185.75, 17117
04/10/25, 185.00, 192.00, 182.50, 185.00, 102303
04/09/25, 187.00, 187.00, 181.50, 182.00, 53125
04/08/25, 180.00, 188.00, 180.00, 184.00, 23455
04/07/25, 184.50, 184.50, 175.75, 180.00, 48542
04/04/25, 188.50, 188.50, 184.00, 185.00, 8522
04/03/25, 187.50, 191.00, 186.75, 187.25, 9246
04/02/25, 191.00, 191.00, 187.00, 188.75, 27801
04/01/25, 188.00, 191.00, 186.25, 190.75, 26735
03/28/25, 189.75, 189.75, 188.00, 188.00, 1403
03/27/25, 188.00, 189.75, 188.00, 188.00, 55179
03/26/25, 187.50, 188.50, 186.00, 187.00, 14126
03/25/25, 184.00, 186.00, 184.00, 185.50, 74284
03/24/25, 184.00, 184.00, 183.75, 184.00, 37548
03/21/25, 184.00, 185.25, 183.75, 184.00, 26774
03/20/25, 181.50, 184.00, 181.50, 184.00, 12658
03/19/25, 181.75, 184.00, 180.25, 181.00, 25189
03/18/25, 183.00, 185.00, 180.00, 180.75, 46746
03/17/25, 189.75, 189.75, 180.25, 184.25, 9531
03/14/25, 190.00, 190.00, 189.00, 189.25, 3159
03/12/25, 184.00, 186.00, 183.25, 186.00, 16889
03/11/25, 186.00, 186.00, 183.00, 184.25, 16448
03/10/25, 186.00, 186.00, 184.00, 184.00, 11915
03/07/25, 189.00, 189.00, 185.00, 185.00, 21153
03/06/25, 189.00, 190.00, 186.00, 186.50, 13714
03/05/25, 187.25, 190.00, 186.75, 189.75, 12789
03/04/25, 190.00, 190.00, 187.00, 187.25, 1997
03/03/25, 192.00, 192.00, 188.50, 192.00, 83
02/28/25, 193.00, 193.00, 187.00, 192.00, 14856
