Date, Open, High, Low, Close, Volume
04/24/25, 152.00, 152.00, 152.00, 152.00, 1800
04/23/25, 151.00, 154.75, 151.00, 152.00, 548
04/22/25, 151.25, 155.00, 151.25, 156.00, 2
04/21/25, 151.00, 156.50, 151.00, 156.00, 551
04/17/25, 151.00, 156.25, 150.00, 150.75, 504
04/16/25, 150.25, 156.50, 150.00, 150.75, 361
04/11/25, 151.00, 157.75, 150.00, 150.25, 20156
04/10/25, 151.00, 152.50, 151.00, 152.50, 12251
04/09/25, 148.00, 148.00, 148.00, 148.00, 1500
04/08/25, 142.50, 150.00, 142.50, 145.50, 131
04/07/25, 146.75, 146.75, 140.00, 142.00, 5778
04/04/25, 150.00, 152.00, 150.00, 150.00, 27971
04/03/25, 155.50, 155.50, 150.00, 150.00, 89027
04/02/25, 162.75, 162.75, 155.50, 156.00, 12567
04/01/25, 152.25, 155.00, 152.00, 154.25, 4677
03/28/25, 153.00, 153.75, 152.00, 153.25, 61153
03/27/25, 153.25, 154.50, 153.25, 153.25, 593
03/26/25, 155.00, 155.00, 155.00, 158.00, 35
03/25/25, 158.00, 158.00, 158.00, 158.00, 126
03/24/25, 150.50, 160.00, 150.50, 151.75, 72
03/21/25, 160.50, 160.75, 160.50, 151.75, 10
03/20/25, 151.25, 155.00, 150.25, 151.75, 81200
03/19/25, 164.00, 164.00, 151.00, 152.00, 12
03/18/25, 155.00, 155.00, 152.00, 152.00, 40773
03/17/25, 156.00, 156.00, 153.00, 153.25, 1296
03/14/25, 154.50, 158.00, 154.50, 155.25, 598
03/12/25, 160.00, 160.00, 155.00, 157.75, 247843
03/11/25, 161.00, 161.00, 154.50, 152.25, 10
03/10/25, 157.00, 161.25, 152.00, 152.25, 111259
03/07/25, 156.00, 159.00, 156.00, 159.00, 245
03/06/25, 161.00, 161.00, 156.50, 160.00, 15597
03/05/25, 153.00, 160.00, 153.00, 156.50, 3225
03/04/25, 156.00, 157.00, 152.00, 153.00, 31421
03/03/25, 155.00, 159.00, 153.00, 153.50, 4841
02/28/25, 156.00, 161.75, 152.50, 157.00, 1256
02/27/25, 152.00, 157.00, 152.00, 152.50, 3068
02/25/25, 152.50, 152.50, 146.50, 148.75, 6956
02/24/25, 142.00, 163.50, 142.00, 146.25, 2339
02/21/25, 170.00, 170.00, 160.00, 160.00, 33288
02/20/25, 167.00, 169.00, 160.00, 161.00, 17264
02/19/25, 170.00, 175.00, 169.00, 169.25, 254071
02/18/25, 176.00, 179.00, 174.50, 174.50, 36215
02/17/25, 174.00, 179.00, 174.00, 175.00, 35442
02/14/25, 169.75, 174.00, 162.00, 169.25, 9154
02/13/25, 163.00, 170.00, 162.00, 170.00, 3283
02/11/25, 170.75, 170.75, 160.00, 161.75, 33840
02/10/25, 163.25, 174.00, 161.50, 171.00, 12943
02/07/25, 169.00, 169.00, 160.25, 161.25, 1969
02/06/25, 176.00, 177.75, 165.00, 165.50, 1905
02/05/25, 184.00, 184.00, 168.00, 168.75, 17533
02/03/25, 184.50, 184.50, 178.25, 178.25, 3151
01/31/25, 178.50, 182.00, 178.50, 180.00, 15820
01/30/25, 184.00, 185.00, 178.50, 180.75, 23418
01/29/25, 182.00, 184.50, 182.00, 182.00, 17459
01/28/25, 183.00, 183.00, 177.25, 177.75, 29600
01/27/25, 185.00, 185.00, 180.00, 182.25, 20519
