Date, Open, High, Low, Close, Volume
04/24/25, 127.75, 130.00, 127.75, 127.00, 14
04/23/25, 126.50, 127.00, 126.50, 127.00, 1000
04/22/25, 127.00, 127.00, 127.00, 127.50, 3
04/17/25, 126.75, 127.50, 126.75, 127.50, 915
04/16/25, 126.75, 126.75, 126.75, 123.00, 2
04/11/25, 126.00, 126.75, 123.00, 123.00, 253
04/10/25, 126.00, 126.00, 126.00, 126.00, 119
04/09/25, 125.75, 125.75, 124.00, 124.00, 200
04/08/25, 126.00, 126.00, 125.75, 115.50, 16
04/07/25, 126.75, 126.75, 115.00, 115.50, 425
04/04/25, 121.25, 129.75, 121.00, 121.25, 216
04/03/25, 126.00, 126.00, 121.00, 121.00, 1006
04/01/25, 127.75, 127.75, 127.50, 127.50, 3
03/28/25, 127.75, 127.75, 127.75, 127.50, 2
03/27/25, 127.00, 127.75, 127.00, 127.50, 11
03/26/25, 127.00, 127.00, 127.00, 127.50, 2
03/25/25, 127.50, 127.75, 127.50, 127.50, 245
03/24/25, 126.25, 126.50, 126.25, 126.50, 553
03/21/25, 123.00, 126.50, 123.00, 124.00, 144
03/20/25, 120.00, 126.25, 120.00, 123.75, 12
03/19/25, 126.00, 126.00, 126.00, 123.75, 53
03/18/25, 124.75, 127.25, 124.75, 123.75, 10
03/14/25, 127.00, 127.00, 118.75, 123.75, 226
03/12/25, 126.00, 127.25, 126.00, 127.25, 908
03/11/25, 120.00, 120.00, 120.00, 120.00, 153
03/10/25, 126.25, 126.25, 120.00, 125.00, 43
03/07/25, 126.00, 126.00, 126.00, 125.00, 30
03/06/25, 127.25, 127.50, 118.25, 125.00, 148
03/05/25, 127.00, 127.00, 127.00, 127.00, 371
03/04/25, 115.25, 128.00, 115.25, 127.50, 551
03/03/25, 120.00, 120.00, 120.00, 124.00, 1
02/28/25, 124.00, 124.00, 121.00, 124.00, 1411
02/27/25, 127.00, 127.00, 124.50, 124.50, 147
02/25/25, 123.50, 128.00, 120.00, 121.00, 8330
02/24/25, 123.50, 127.75, 123.50, 127.00, 11
