Date, Open, High, Low, Close, Volume
04/24/25, 24.00, 24.00, 23.00, 23.00, 7126
04/23/25, 23.90, 23.90, 23.60, 23.90, 2052
04/22/25, 23.60, 24.00, 22.70, 23.00, 8100
04/21/25, 23.80, 23.90, 23.60, 23.80, 1855
04/17/25, 24.60, 24.60, 23.80, 24.00, 6051
04/16/25, 24.10, 24.90, 23.50, 24.00, 41240
04/11/25, 23.20, 24.90, 23.20, 24.10, 29235
04/10/25, 23.00, 23.80, 23.00, 23.20, 45176
04/09/25, 23.90, 23.90, 23.50, 23.80, 601
04/08/25, 22.60, 24.00, 22.20, 23.00, 15954
04/07/25, 22.60, 22.60, 22.00, 22.30, 22300
04/04/25, 23.80, 23.80, 22.70, 23.30, 17151
04/03/25, 23.50, 23.80, 23.40, 23.80, 31514
04/02/25, 23.30, 24.00, 22.90, 23.90, 21108
04/01/25, 23.80, 23.80, 22.90, 22.90, 2152
03/28/25, 22.60, 23.80, 22.50, 22.50, 2500
03/27/25, 22.80, 23.60, 22.60, 22.60, 4077
03/26/25, 23.70, 23.70, 23.00, 23.10, 6298
03/25/25, 23.40, 23.70, 23.00, 23.50, 14154
03/24/25, 22.50, 23.50, 22.30, 23.20, 26715
03/21/25, 23.00, 23.00, 22.30, 22.40, 260
03/20/25, 21.90, 22.80, 21.50, 22.40, 39945
03/19/25, 22.80, 22.80, 21.70, 21.90, 4364
03/18/25, 22.20, 23.00, 22.00, 22.10, 41633
03/17/25, 22.30, 23.40, 22.10, 22.30, 6886
03/14/25, 23.00, 23.00, 22.30, 22.40, 4240
03/12/25, 22.90, 23.00, 22.90, 23.00, 5501
03/11/25, 23.00, 23.80, 20.20, 22.60, 34221
03/10/25, 24.00, 24.30, 23.10, 23.10, 12117
03/07/25, 23.80, 23.80, 23.80, 23.80, 112
03/06/25, 24.40, 24.50, 23.00, 23.90, 59351
03/05/25, 23.80, 24.00, 22.20, 24.00, 99363
03/04/25, 23.00, 23.00, 22.40, 22.40, 51910
03/03/25, 24.00, 24.00, 22.70, 22.80, 25756
02/28/25, 23.90, 24.00, 23.70, 23.90, 36786
02/27/25, 23.10, 24.50, 22.40, 23.60, 164796
02/25/25, 22.30, 23.50, 22.10, 23.10, 14624
02/24/25, 22.70, 23.90, 22.00, 22.30, 146921
02/21/25, 25.00, 25.00, 22.80, 23.00, 117042
02/20/25, 24.70, 25.40, 23.60, 23.60, 59891
02/19/25, 25.20, 25.20, 24.70, 24.90, 2125
02/18/25, 26.00, 26.40, 25.10, 25.10, 2242
02/17/25, 25.90, 26.50, 25.10, 26.00, 97747
02/14/25, 25.50, 25.50, 24.70, 25.40, 46347
02/13/25, 25.00, 25.90, 25.00, 25.50, 2229
02/11/25, 24.90, 26.00, 24.20, 25.00, 14258
02/10/25, 25.90, 25.90, 24.10, 25.00, 55561
02/07/25, 25.90, 25.90, 25.10, 25.20, 48978
02/06/25, 26.00, 26.00, 25.20, 25.80, 59719
02/05/25, 27.10, 27.10, 25.10, 25.70, 153103
02/03/25, 27.40, 27.50, 27.00, 27.10, 43317
01/31/25, 27.30, 27.90, 27.20, 27.60, 64734
01/30/25, 27.40, 27.40, 27.00, 27.20, 70603
01/29/25, 27.30, 27.50, 27.00, 27.30, 63068
01/28/25, 28.00, 28.00, 27.00, 27.30, 40640
01/27/25, 27.70, 28.00, 27.10, 27.40, 120725
01/24/25, 28.90, 28.90, 27.50, 27.70, 108742
01/23/25, 29.00, 29.00, 28.00, 28.30, 236999
01/22/25, 29.30, 29.40, 28.50, 28.80, 383763
01/21/25, 26.80, 29.30, 26.80, 29.10, 1008178
01/20/25, 27.00, 27.30, 26.50, 26.70, 135639
01/17/25, 26.70, 27.00, 25.50, 25.90, 34233
01/16/25, 26.70, 27.00, 26.70, 26.70, 38179
01/15/25, 26.00, 26.90, 25.80, 26.60, 102056
01/10/25, 25.40, 25.70, 25.20, 25.50, 30384
01/09/25, 26.00, 26.40, 25.40, 25.40, 55930
01/08/25, 26.00, 26.70, 25.70, 26.30, 32681
01/07/25, 26.00, 26.80, 25.50, 26.30, 202446
01/06/25, 26.40, 27.30, 25.10, 26.80, 410203
01/03/25, 25.60, 28.20, 25.30, 26.40, 1373378
01/02/25, 23.60, 26.40, 23.50, 25.80, 1023139
12/31/24, 24.10, 24.10, 23.30, 23.70, 123098
12/30/24, 24.50, 24.80, 24.10, 24.20, 98008
12/27/24, 24.90, 24.90, 24.20, 24.50, 76607
12/26/24, 24.80, 25.80, 24.00, 25.00, 506610
12/24/24, 22.80, 25.20, 22.60, 24.80, 1245816
