Date, Open, High, Low, Close, Volume
04/24/25, 73.20, 73.20, 72.10, 72.10, 2147
04/23/25, 73.00, 73.00, 72.10, 72.30, 7439
04/22/25, 73.00, 73.00, 72.10, 72.50, 23046
04/21/25, 72.00, 73.00, 72.00, 72.70, 354
04/17/25, 72.00, 73.00, 70.20, 72.50, 11732
04/16/25, 70.50, 71.90, 70.50, 71.90, 15018
04/11/25, 71.90, 71.90, 70.50, 70.60, 11520
04/10/25, 70.00, 72.00, 70.00, 70.70, 103098
04/09/25, 68.20, 68.20, 66.50, 66.80, 19374
04/08/25, 66.00, 70.00, 66.00, 69.10, 27477
04/07/25, 70.10, 70.10, 65.60, 67.60, 94898
04/04/25, 71.30, 72.80, 70.00, 70.30, 50489
04/03/25, 71.20, 73.00, 70.50, 71.30, 32224
04/02/25, 72.00, 75.00, 72.00, 73.70, 27628
04/01/25, 71.90, 72.50, 71.00, 71.90, 3715
03/28/25, 72.50, 72.50, 71.40, 71.60, 20845
03/27/25, 71.10, 71.50, 71.00, 71.50, 1415
03/26/25, 71.80, 72.80, 71.80, 71.80, 306
03/25/25, 71.50, 72.90, 70.10, 72.00, 44103
03/24/25, 72.90, 73.30, 72.00, 72.00, 51852
03/21/25, 72.00, 73.00, 71.60, 72.00, 12933
03/20/25, 71.00, 72.00, 69.00, 71.00, 4183
03/19/25, 70.90, 72.00, 69.00, 69.10, 30012
03/18/25, 71.20, 71.20, 69.90, 70.00, 25637
03/17/25, 73.50, 73.50, 71.20, 71.20, 15501
03/14/25, 70.00, 73.50, 70.00, 73.00, 116294
03/12/25, 73.90, 73.90, 69.30, 72.30, 74092
03/11/25, 73.30, 73.30, 70.20, 70.30, 78549
03/10/25, 74.50, 74.50, 71.30, 71.90, 5530
03/07/25, 74.00, 75.00, 71.50, 72.90, 50972
03/06/25, 74.70, 75.50, 70.40, 72.10, 75314
03/05/25, 71.00, 74.80, 69.10, 73.80, 185683
03/04/25, 71.00, 73.90, 69.00, 70.00, 96950
03/03/25, 73.00, 73.00, 70.00, 70.40, 12137
02/28/25, 71.50, 74.00, 71.50, 71.80, 8117
02/27/25, 72.00, 73.00, 71.50, 71.90, 9770
02/25/25, 73.20, 74.00, 71.20, 72.00, 33397
02/24/25, 76.70, 78.00, 73.10, 74.20, 8720
02/21/25, 79.50, 79.50, 76.80, 76.80, 33105
02/20/25, 78.50, 78.50, 76.90, 76.90, 12012
02/19/25, 80.00, 80.00, 78.30, 79.20, 294830
02/18/25, 79.90, 82.00, 79.00, 79.90, 110590
02/17/25, 79.80, 81.00, 79.00, 79.20, 117619
02/14/25, 77.90, 79.60, 76.70, 79.00, 119808
02/13/25, 73.70, 78.70, 73.70, 77.90, 15448
02/11/25, 76.50, 76.50, 74.80, 75.70, 4000
02/10/25, 76.10, 76.90, 74.80, 76.00, 31401
02/07/25, 76.90, 78.90, 75.80, 76.10, 35945
02/06/25, 75.20, 76.20, 74.00, 74.90, 75224
02/05/25, 79.60, 79.60, 73.70, 75.20, 46876
02/03/25, 80.70, 81.50, 79.80, 80.00, 41386
01/31/25, 82.00, 82.50, 80.30, 80.60, 34996
01/30/25, 82.40, 82.50, 80.90, 81.20, 35866
