Date, Open, High, Low, Close, Volume
04/24/25, 8.60, 8.60, 8.50, 8.50, 355517
04/23/25, 8.50, 8.70, 8.50, 8.60, 301088
04/22/25, 8.70, 8.70, 8.50, 8.50, 14637
04/21/25, 8.50, 8.70, 8.50, 8.70, 251697
04/17/25, 8.70, 8.70, 8.50, 8.70, 130706
04/16/25, 8.70, 8.70, 8.60, 8.70, 46203
04/11/25, 8.70, 8.70, 8.30, 8.60, 96862
04/10/25, 8.50, 8.90, 8.50, 8.50, 947862
04/09/25, 8.50, 8.50, 8.30, 8.40, 25473
04/08/25, 8.50, 8.50, 8.30, 8.40, 96030
04/07/25, 8.50, 8.50, 8.10, 8.10, 162784
04/04/25, 8.60, 8.70, 8.40, 8.50, 162791
04/03/25, 8.90, 8.90, 8.70, 8.70, 57808
04/02/25, 9.00, 9.00, 8.80, 9.00, 72517
04/01/25, 9.00, 9.00, 8.80, 8.90, 37084
03/28/25, 8.80, 8.80, 8.70, 8.70, 57584
03/27/25, 8.90, 9.00, 8.80, 8.80, 17469
03/26/25, 8.90, 9.00, 8.80, 8.80, 53476
03/25/25, 9.00, 9.00, 8.80, 8.90, 38902
03/24/25, 9.20, 9.20, 8.90, 8.90, 60119
03/21/25, 9.00, 9.00, 8.90, 9.00, 79697
03/20/25, 9.00, 9.20, 9.00, 9.00, 175493
03/19/25, 9.00, 9.00, 8.50, 8.60, 78980
03/18/25, 9.20, 9.20, 8.90, 9.00, 267201
03/17/25, 9.30, 9.40, 8.90, 9.10, 98286
03/14/25, 9.20, 9.40, 9.00, 9.20, 28295
03/12/25, 9.00, 9.40, 8.90, 9.20, 459680
03/11/25, 9.00, 9.10, 8.80, 8.90, 240199
03/10/25, 9.70, 9.80, 9.00, 9.00, 178794
03/07/25, 9.60, 9.70, 9.20, 9.40, 273488
03/06/25, 9.20, 9.80, 9.20, 9.40, 186176
03/05/25, 9.30, 9.50, 9.20, 9.30, 20611
03/04/25, 9.30, 9.60, 9.10, 9.30, 41599
03/03/25, 9.70, 9.80, 9.20, 9.30, 131121
02/28/25, 9.70, 9.80, 9.60, 9.70, 107269
02/27/25, 9.50, 9.60, 9.20, 9.50, 274795
02/25/25, 9.50, 9.70, 9.30, 9.40, 172930
02/24/25, 10.00, 10.00, 9.50, 9.80, 345743
02/21/25, 10.00, 10.10, 9.70, 10.00, 573297
02/20/25, 10.20, 10.20, 9.80, 10.00, 300922
02/19/25, 10.20, 10.20, 10.10, 10.10, 1255412
02/18/25, 9.90, 10.20, 9.90, 10.10, 870620
02/17/25, 10.20, 10.20, 9.90, 10.00, 140343
