Date, Open, High, Low, Close, Volume
04/24/25, 275.00, 275.00, 275.00, 299.00, 25
04/22/25, 297.75, 297.75, 297.75, 299.00, 1
04/21/25, 324.50, 324.50, 299.00, 299.00, 468
03/28/25, 243.00, 243.00, 243.00, 275.00, 17
03/25/25, 304.25, 304.25, 304.25, 275.00, 1
03/24/25, 237.25, 237.25, 237.00, 275.00, 12
03/18/25, 275.00, 275.00, 275.00, 275.00, 3
03/11/25, 275.00, 275.00, 275.00, 275.00, 3
03/07/25, 261.00, 261.00, 260.75, 275.00, 4
03/06/25, 261.00, 275.00, 261.00, 275.00, 10
03/05/25, 275.00, 275.00, 275.00, 275.00, 4
03/04/25, 275.75, 275.75, 275.75, 275.00, 1
03/03/25, 240.25, 318.25, 240.25, 275.00, 17
02/27/25, 279.00, 324.75, 279.00, 275.00, 3
02/25/25, 279.00, 279.00, 279.00, 275.00, 50
02/24/25, 279.00, 279.00, 275.00, 275.00, 288
02/21/25, 279.00, 279.00, 279.00, 279.00, 35
02/20/25, 279.00, 279.00, 279.00, 279.00, 173
02/19/25, 280.00, 280.00, 279.00, 280.00, 69
02/17/25, 285.25, 285.25, 280.00, 280.00, 177
02/14/25, 316.00, 316.00, 290.00, 285.25, 89
02/13/25, 317.25, 317.25, 317.25, 285.25, 10
02/11/25, 318.50, 318.50, 304.00, 285.25, 47
02/10/25, 319.50, 319.50, 295.00, 285.25, 23
02/07/25, 319.50, 319.50, 319.25, 285.25, 3
02/06/25, 293.00, 320.00, 285.00, 285.25, 1008
02/05/25, 314.25, 314.25, 293.00, 293.00, 411
01/31/25, 290.00, 337.00, 285.00, 289.25, 549
01/30/25, 276.25, 344.00, 275.00, 280.50, 843
01/29/25, 261.25, 345.00, 261.25, 346.75, 43
01/24/25, 339.50, 350.00, 339.00, 346.75, 146
01/23/25, 349.00, 349.00, 338.00, 338.00, 709
01/22/25, 328.50, 349.50, 320.00, 348.50, 287
01/21/25, 301.25, 329.00, 300.25, 329.00, 33
01/20/25, 329.00, 329.00, 329.00, 329.00, 102
01/17/25, 320.00, 329.50, 319.00, 322.75, 599
01/16/25, 318.75, 320.00, 318.75, 319.50, 158
01/15/25, 291.00, 319.00, 290.00, 318.75, 506
01/10/25, 320.00, 320.00, 290.00, 292.50, 715
01/09/25, 327.00, 327.00, 290.00, 303.50, 566
01/08/25, 325.00, 328.00, 320.00, 324.75, 257
01/07/25, 340.00, 340.00, 324.00, 325.50, 855
01/06/25, 349.75, 349.75, 330.00, 355.50, 30
01/03/25, 381.50, 381.50, 379.50, 355.50, 69
01/02/25, 345.00, 345.00, 345.00, 355.50, 24
12/31/24, 358.00, 364.00, 355.00, 355.50, 272
12/27/24, 364.00, 392.00, 360.00, 364.00, 49
12/26/24, 380.00, 380.00, 370.00, 364.00, 42
12/23/24, 448.00, 448.00, 360.00, 364.00, 418
12/20/24, 360.00, 380.00, 335.50, 368.50, 1107
12/19/24, 362.00, 362.00, 320.50, 376.25, 87
12/18/24, 375.00, 378.00, 360.00, 376.25, 48
12/17/24, 365.00, 365.00, 355.75, 376.25, 47
