Date, Open, High, Low, Close, Volume
04/24/25, 6.50, 6.60, 6.40, 6.50, 6010
04/23/25, 6.60, 6.60, 6.50, 6.50, 26021
04/22/25, 6.50, 6.70, 6.30, 6.70, 17017
04/21/25, 6.50, 6.60, 6.50, 6.50, 1391
04/17/25, 6.70, 6.70, 6.70, 6.70, 180
04/16/25, 6.50, 6.60, 6.50, 6.50, 10314
04/11/25, 6.60, 6.70, 6.50, 6.70, 2561
04/10/25, 6.20, 6.70, 6.20, 6.60, 64308
04/09/25, 6.20, 6.20, 5.90, 5.90, 42750
04/08/25, 5.90, 6.40, 5.90, 6.30, 74924
04/07/25, 6.50, 6.50, 5.70, 5.90, 130994
04/04/25, 6.40, 6.60, 6.20, 6.50, 39740
04/03/25, 6.60, 6.70, 6.30, 6.70, 21635
04/02/25, 6.80, 6.80, 6.70, 6.70, 1151
04/01/25, 6.40, 6.70, 6.30, 6.60, 54588
03/28/25, 6.50, 6.50, 6.40, 6.40, 3517
03/27/25, 6.50, 6.50, 6.40, 6.50, 2213
03/26/25, 6.60, 6.60, 6.40, 6.40, 7905
03/25/25, 6.70, 6.70, 6.30, 6.50, 30159
03/24/25, 6.70, 6.70, 6.50, 6.60, 12040
03/21/25, 6.40, 6.70, 6.40, 6.60, 103828
03/20/25, 6.30, 6.60, 6.30, 6.60, 15928
03/19/25, 6.50, 6.60, 6.00, 6.00, 121272
03/18/25, 6.60, 6.70, 6.40, 6.60, 17187
03/17/25, 6.50, 6.60, 6.50, 6.60, 1352
03/14/25, 6.70, 6.80, 6.60, 6.60, 516
03/12/25, 6.40, 6.80, 6.40, 6.80, 22612
03/11/25, 6.80, 6.80, 6.20, 6.70, 15477
03/10/25, 6.60, 6.80, 6.60, 6.80, 2008
03/07/25, 6.70, 6.80, 6.60, 6.60, 10500
03/06/25, 6.70, 6.70, 6.50, 6.70, 19363
03/05/25, 6.40, 6.80, 6.40, 6.80, 456
03/04/25, 6.60, 6.70, 6.40, 6.70, 40292
03/03/25, 6.90, 6.90, 6.60, 6.60, 24157
02/28/25, 6.90, 7.00, 6.90, 6.90, 47161
02/27/25, 7.00, 7.00, 6.70, 6.90, 29195
02/25/25, 6.70, 7.00, 6.60, 6.90, 82411
02/24/25, 7.00, 7.00, 6.70, 6.80, 34450
02/21/25, 6.70, 7.00, 6.60, 7.00, 76958
02/20/25, 6.90, 7.00, 6.80, 6.80, 127351
02/19/25, 7.10, 7.20, 6.90, 7.00, 49430
02/18/25, 7.30, 7.30, 7.00, 7.10, 61878
02/17/25, 7.00, 7.30, 7.00, 7.00, 93527
02/14/25, 7.20, 7.40, 7.00, 7.20, 181542
02/13/25, 7.30, 7.40, 7.10, 7.20, 159608
02/11/25, 7.20, 7.30, 7.00, 7.30, 132576
02/10/25, 7.30, 7.30, 7.00, 7.20, 29229
02/07/25, 7.10, 7.30, 7.00, 7.30, 50742
02/06/25, 7.20, 7.40, 7.00, 7.10, 574905
02/05/25, 7.70, 7.70, 7.10, 7.40, 529306
02/03/25, 7.30, 8.00, 7.30, 7.60, 1879353
01/31/25, 7.40, 7.40, 7.20, 7.30, 912595
01/30/25, 7.00, 7.40, 6.60, 7.30, 1816110
01/29/25, 6.10, 7.20, 6.00, 6.50, 2580637
01/28/25, 5.50, 6.20, 5.50, 6.10, 1544702
01/27/25, 5.30, 5.60, 5.30, 5.50, 664303
01/24/25, 5.50, 5.50, 5.30, 5.40, 114416
01/23/25, 5.40, 5.50, 5.30, 5.40, 98118
01/22/25, 5.40, 5.50, 5.30, 5.30, 52075
01/21/25, 5.40, 5.50, 5.30, 5.40, 44487
01/20/25, 5.30, 5.50, 5.30, 5.30, 76378
01/17/25, 5.40, 5.50, 5.20, 5.40, 117697
01/16/25, 5.20, 5.40, 5.20, 5.30, 27865
01/15/25, 5.30, 5.40, 5.20, 5.20, 24754
01/10/25, 5.30, 5.40, 5.20, 5.20, 49829
01/09/25, 5.20, 5.40, 5.20, 5.20, 81716
01/08/25, 5.30, 5.50, 5.20, 5.40, 68942
01/07/25, 5.30, 5.30, 5.00, 5.30, 88971
01/06/25, 5.30, 5.40, 5.00, 5.10, 677505
01/03/25, 5.60, 5.60, 5.20, 5.40, 259175
01/02/25, 5.60, 5.60, 5.30, 5.30, 506626
12/31/24, 5.50, 5.60, 5.40, 5.40, 216670
12/30/24, 5.60, 5.60, 5.40, 5.40, 88344
12/27/24, 5.70, 5.70, 5.30, 5.60, 398127
12/26/24, 5.70, 5.80, 5.60, 5.70, 97418
12/24/24, 5.40, 5.80, 5.30, 5.70, 499416
12/23/24, 5.40, 5.70, 5.40, 5.40, 262546
12/20/24, 5.20, 5.60, 5.10, 5.40, 1920164
12/19/24, 5.20, 5.20, 5.00, 5.20, 375712
12/18/24, 5.00, 5.20, 5.00, 5.00, 191307
12/17/24, 5.00, 5.40, 5.00, 5.00, 461624
12/16/24, 5.30, 5.30, 5.00, 5.00, 405790
12/13/24, 5.40, 5.40, 5.20, 5.20, 202686
12/12/24, 5.40, 5.50, 5.30, 5.30, 93851
12/11/24, 5.50, 5.60, 5.30, 5.40, 52919
12/10/24, 5.60, 5.70, 5.40, 5.40, 88637
12/09/24, 5.30, 5.80, 5.30, 5.70, 866344
12/06/24, 5.20, 5.40, 5.10, 5.30, 675683
12/05/24, 5.10, 5.30, 5.10, 5.20, 141519
12/04/24, 5.10, 5.20, 5.00, 5.00, 83023
12/03/24, 4.90, 5.00, 4.80, 4.90, 90420
12/02/24, 4.80, 5.00, 4.80, 4.90, 110902
11/29/24, 4.90, 4.90, 4.80, 4.90, 117460
11/28/24, 5.10, 5.10, 4.80, 4.90, 202431
11/27/24, 5.10, 5.10, 4.90, 4.90, 10100
11/26/24, 5.00, 5.10, 4.90, 5.10, 25032
11/25/24, 5.00, 5.00, 4.90, 5.00, 75511
11/22/24, 5.00, 5.00, 4.90, 5.00, 41896
11/21/24, 5.00, 5.00, 4.90, 5.00, 5392
11/20/24, 5.00, 5.00, 4.90, 4.90, 125057
11/19/24, 5.00, 5.00, 5.00, 5.00, 3426
11/18/24, 5.00, 5.10, 4.90, 5.00, 116125
11/14/24, 4.90, 5.00, 4.90, 5.00, 33900
11/13/24, 5.10, 5.10, 4.90, 4.90, 75042
11/12/24, 5.10, 5.10, 5.00, 5.00, 13204
11/11/24, 5.00, 5.10, 5.00, 5.00, 80226
11/08/24, 5.00, 5.40, 5.00, 5.10, 325024
11/07/24, 4.90, 5.00, 4.80, 4.90, 34720
11/06/24, 4.90, 4.90, 4.90, 4.90, 19665
11/05/24, 5.00, 5.00, 4.80, 4.90, 90497
11/04/24, 5.00, 5.10, 4.90, 4.90, 87657
11/01/24, 5.00, 5.00, 4.90, 5.00, 26391
10/30/24, 5.00, 5.10, 4.90, 5.00, 251575
10/29/24, 4.90, 5.10, 4.90, 5.00, 152584
10/28/24, 5.10, 5.10, 5.00, 5.00, 33900
10/25/24, 5.10, 5.10, 5.00, 5.00, 211137
10/24/24, 5.10, 5.10, 5.00, 5.00, 17450
10/23/24, 5.00, 5.10, 5.00, 5.10, 24335
10/22/24, 5.10, 5.10, 5.00, 5.10, 18780
10/21/24, 5.20, 5.20, 5.10, 5.10, 13552
10/18/24, 5.20, 5.20, 5.10, 5.20, 4186
10/16/24, 5.10, 5.30, 5.00, 5.10, 26605
10/15/24, 5.30, 5.30, 5.00, 5.10, 10742
10/14/24, 4.90, 5.30, 4.90, 5.30, 477071
10/11/24, 4.90, 5.20, 4.90, 5.00, 437903
10/10/24, 4.90, 5.00, 4.90, 4.90, 50886
10/09/24, 5.00, 5.00, 4.90, 4.90, 13217
10/08/24, 4.90, 5.10, 4.90, 5.00, 7341
10/07/24, 5.00, 5.00, 4.90, 4.90, 104272
10/04/24, 5.00, 5.10, 4.90, 4.90, 298465
10/03/24, 4.90, 5.00, 4.90, 4.90, 6263
10/02/24, 4.90, 5.00, 4.90, 4.90, 51320
10/01/24, 4.90, 5.10, 4.90, 4.90, 86414
09/30/24, 4.90, 5.10, 4.80, 5.00, 170686
09/27/24, 4.90, 4.90, 4.80, 4.80, 22305
09/26/24, 4.90, 4.90, 4.80, 4.90, 214895
09/25/24, 4.90, 4.90, 4.80, 4.90, 132593
09/24/24, 4.80, 4.90, 4.70, 4.80, 206950
09/23/24, 4.80, 4.80, 4.60, 4.80, 19722
