Date, Open, High, Low, Close, Volume
04/24/25, 1365.00, 1365.00, 1339.00, 1339.25, 3529
04/23/25, 1343.00, 1365.00, 1339.75, 1340.00, 47534
04/22/25, 1376.00, 1376.00, 1339.00, 1343.75, 403
04/21/25, 1378.00, 1378.00, 1340.00, 1344.25, 870
04/17/25, 1340.00, 1378.00, 1339.00, 1339.25, 6945
04/16/25, 1341.00, 1345.00, 1340.00, 1340.50, 21615
04/11/25, 1340.00, 1345.00, 1339.00, 1339.75, 74846
04/10/25, 1350.00, 1384.50, 1335.00, 1337.50, 5641
04/09/25, 1340.00, 1340.00, 1298.00, 1298.00, 68324
04/08/25, 1300.00, 1349.00, 1290.00, 1334.00, 7869
04/07/25, 1350.00, 1350.00, 1237.00, 1300.00, 16596
04/04/25, 1350.00, 1350.00, 1325.25, 1340.00, 34873
04/03/25, 1356.00, 1391.25, 1350.00, 1350.25, 16783
04/02/25, 1360.00, 1390.00, 1360.00, 1383.25, 449
04/01/25, 1362.50, 1363.00, 1350.50, 1359.75, 870
03/28/25, 1361.00, 1364.00, 1350.00, 1350.25, 15955
03/27/25, 1360.00, 1363.00, 1350.00, 1360.00, 2216
03/26/25, 1355.00, 1355.00, 1350.00, 1350.25, 2812
03/25/25, 1360.00, 1364.00, 1355.00, 1355.00, 6643
03/24/25, 1360.00, 1360.00, 1355.00, 1355.50, 1951
03/21/25, 1350.00, 1380.00, 1335.00, 1350.50, 1163
03/20/25, 1330.00, 1345.00, 1325.00, 1340.00, 740
03/19/25, 1325.25, 1340.00, 1325.00, 1333.75, 1053
03/18/25, 1330.00, 1330.00, 1325.00, 1325.00, 3010
03/17/25, 1340.00, 1340.00, 1325.00, 1329.25, 4262
03/14/25, 1350.00, 1350.00, 1330.00, 1330.75, 4339
03/12/25, 1345.00, 1350.00, 1332.50, 1337.00, 1660
03/11/25, 1370.00, 1370.00, 1340.00, 1340.50, 20674
03/10/25, 1355.00, 1360.50, 1345.00, 1360.00, 3694
03/07/25, 1305.00, 1389.75, 1305.00, 1354.00, 6820
03/06/25, 1400.00, 1430.00, 1200.00, 1348.00, 16582
03/05/25, 1440.00, 1445.00, 1392.50, 1432.75, 3053
03/04/25, 1445.25, 1445.25, 1400.00, 1401.25, 3404
03/03/25, 1450.00, 1450.00, 1403.25, 1448.00, 289
02/28/25, 1400.00, 1450.00, 1400.00, 1423.75, 743
02/27/25, 1450.00, 1450.00, 1380.00, 1398.50, 6932
02/25/25, 1449.00, 1460.00, 1414.00, 1416.00, 18503
02/24/25, 1435.00, 1449.00, 1428.00, 1430.00, 181
02/21/25, 1425.00, 1488.00, 1425.00, 1434.25, 271
02/20/25, 1480.00, 1480.00, 1420.00, 1420.25, 15989
02/19/25, 1480.00, 1480.00, 1431.75, 1443.00, 30118
02/18/25, 1463.00, 1500.00, 1420.25, 1476.25, 4437
02/17/25, 1449.75, 1465.00, 1420.00, 1463.75, 12560
02/14/25, 1445.00, 1450.00, 1426.50, 1450.00, 934
02/13/25, 1435.00, 1450.00, 1420.00, 1420.50, 39292
02/11/25, 1445.00, 1445.00, 1420.25, 1442.50, 2397
02/10/25, 1460.00, 1460.00, 1420.00, 1423.00, 3727
02/07/25, 1460.00, 1460.00, 1445.25, 1447.00, 5367
02/06/25, 1450.00, 1475.00, 1450.00, 1450.00, 7968
02/05/25, 1465.25, 1470.00, 1445.00, 1450.00, 9070
02/03/25, 1470.25, 1479.75, 1461.25, 1466.25, 6377
01/31/25, 1475.50, 1493.75, 1470.50, 1479.50, 16435
01/30/25, 1493.75, 1493.75, 1475.00, 1475.00, 21412
01/29/25, 1493.75, 1493.75, 1480.00, 1485.00, 1925
01/28/25, 1495.00, 1496.00, 1487.00, 1490.00, 3679
01/27/25, 1465.00, 1498.00, 1465.00, 1490.00, 3890
01/24/25, 1534.75, 1534.75, 1460.25, 1497.50, 24290
01/23/25, 1495.00, 1560.00, 1453.00, 1526.25, 8352
01/22/25, 1425.00, 1550.00, 1420.00, 1499.75, 65069
01/21/25, 1423.75, 1425.00, 1420.00, 1420.00, 8998
01/20/25, 1417.00, 1423.50, 1397.50, 1400.75, 5923
01/17/25, 1406.00, 1423.75, 1399.00, 1417.25, 1331
01/16/25, 1400.00, 1424.00, 1399.00, 1400.25, 53104
01/15/25, 1390.00, 1405.00, 1390.00, 1400.00, 61963
01/10/25, 1399.50, 1405.00, 1380.25, 1396.75, 1868
01/09/25, 1395.00, 1400.00, 1390.00, 1399.50, 1030
01/08/25, 1390.00, 1396.00, 1375.00, 1375.00, 99092
01/07/25, 1400.00, 1400.00, 1375.00, 1385.25, 2467
01/06/25, 1400.00, 1425.00, 1362.75, 1379.75, 4198
01/03/25, 1410.00, 1410.00, 1380.00, 1400.00, 12903
01/02/25, 1390.00, 1412.00, 1360.75, 1400.25, 7581
12/31/24, 1390.00, 1415.00, 1386.00, 1397.25, 20964
12/30/24, 1325.00, 1396.50, 1325.00, 1386.00, 13016
12/27/24, 1320.00, 1325.00, 1320.00, 1325.00, 5112
12/26/24, 1324.00, 1325.00, 1300.00, 1324.75, 24404
12/24/24, 1323.00, 1324.00, 1309.00, 1315.00, 1640
12/23/24, 1301.25, 1324.00, 1299.25, 1319.00, 206165
12/20/24, 1325.00, 1325.00, 1300.00, 1301.00, 136656
12/19/24, 1328.00, 1328.00, 1300.00, 1301.75, 21713
12/18/24, 1301.00, 1329.00, 1301.00, 1316.00, 801
12/17/24, 1329.00, 1329.00, 1300.00, 1300.25, 123617
12/16/24, 1300.00, 1338.50, 1300.00, 1316.25, 148908
12/13/24, 1332.50, 1338.75, 1316.00, 1331.00, 1751
12/12/24, 1333.00, 1333.00, 1300.25, 1320.00, 2306
12/11/24, 1300.25, 1330.00, 1300.00, 1307.50, 4049
12/10/24, 1299.50, 1335.25, 1299.50, 1316.75, 2012
12/09/24, 1290.50, 1305.00, 1290.50, 1299.50, 2264
12/06/24, 1290.00, 1299.50, 1290.00, 1294.00, 2518
12/05/24, 1285.00, 1290.00, 1285.00, 1289.00, 442
12/04/24, 1274.00, 1285.00, 1271.75, 1283.75, 2973
12/03/24, 1274.00, 1274.00, 1271.75, 1274.00, 490
12/02/24, 1278.00, 1289.75, 1272.00, 1279.00, 357
11/29/24, 1273.75, 1295.00, 1273.75, 1275.25, 3093
11/28/24, 1274.25, 1275.00, 1269.00, 1275.00, 449
11/27/24, 1259.75, 1271.00, 1259.00, 1268.75, 702
11/26/24, 1258.00, 1260.00, 1245.00, 1259.50, 4401
11/25/24, 1262.00, 1262.00, 1245.00, 1245.00, 305
11/22/24, 1245.50, 1253.50, 1230.25, 1253.50, 2735
11/21/24, 1259.75, 1264.75, 1240.00, 1245.00, 3334
11/20/24, 1253.25, 1253.25, 1250.00, 1253.00, 2710
11/19/24, 1279.00, 1290.00, 1270.00, 1270.75, 13931
11/18/24, 1275.00, 1280.00, 1268.00, 1279.75, 9970
11/14/24, 1270.00, 1275.00, 1268.00, 1269.50, 4100
11/13/24, 1268.00, 1270.00, 1266.00, 1270.00, 12815
11/12/24, 1269.50, 1270.00, 1255.00, 1267.25, 2711
11/11/24, 1250.00, 1270.00, 1250.00, 1270.00, 9779
11/08/24, 1230.00, 1240.00, 1224.00, 1230.25, 7546
11/07/24, 1228.00, 1234.00, 1220.00, 1223.75, 12473
11/06/24, 1233.50, 1234.00, 1229.25, 1229.75, 5223
11/05/24, 1231.25, 1235.00, 1229.75, 1232.50, 3527
11/04/24, 1240.00, 1240.00, 1230.00, 1230.50, 5827
11/01/24, 1238.00, 1240.00, 1234.00, 1235.50, 5224
10/30/24, 1235.00, 1240.00, 1231.00, 1237.50, 1145
10/29/24, 1237.00, 1240.00, 1235.00, 1237.25, 2755
10/28/24, 1240.00, 1240.00, 1225.00, 1239.75, 1591
10/25/24, 1215.25, 1250.00, 1215.25, 1249.75, 2180
10/24/24, 1215.00, 1250.00, 1208.25, 1236.00, 3632
10/23/24, 1214.00, 1214.00, 1209.00, 1209.50, 916
10/22/24, 1212.75, 1215.00, 1210.50, 1212.25, 330
10/21/24, 1215.00, 1215.00, 1210.00, 1212.50, 1216
10/18/24, 1215.00, 1220.00, 1211.00, 1215.00, 6545
10/16/24, 1205.50, 1215.00, 1205.50, 1212.75, 77
10/15/24, 1210.00, 1215.50, 1205.00, 1212.75, 1904
10/14/24, 1209.00, 1210.00, 1200.25, 1208.00, 269
10/11/24, 1200.00, 1210.00, 1200.00, 1209.00, 9117
10/10/24, 1210.00, 1210.00, 1197.75, 1198.00, 2893
10/09/24, 1200.00, 1210.00, 1198.25, 1200.00, 1727
10/08/24, 1214.00, 1214.00, 1196.50, 1200.00, 2593
10/07/24, 1210.00, 1215.00, 1200.00, 1200.00, 3275
10/04/24, 1200.00, 1210.00, 1200.00, 1210.00, 1461
10/03/24, 1200.00, 1204.75, 1192.75, 1199.50, 857
10/02/24, 1191.00, 1249.75, 1190.00, 1192.25, 8534
10/01/24, 1190.00, 1200.00, 1190.00, 1200.00, 4035
09/30/24, 1200.00, 1202.00, 1190.00, 1200.00, 4882
09/27/24, 1200.00, 1200.00, 1194.00, 1200.00, 4406
09/26/24, 1195.75, 1200.00, 1194.75, 1195.50, 7848
09/25/24, 1175.00, 1199.75, 1175.00, 1190.25, 3142
09/24/24, 1199.00, 1200.00, 1188.00, 1200.00, 2490
09/23/24, 1183.75, 1183.75, 1160.50, 1175.25, 2448
09/20/24, 1175.00, 1183.75, 1160.50, 1183.50, 4575
09/19/24, 1183.75, 1183.75, 1174.25, 1175.00, 4356
09/18/24, 1190.00, 1198.75, 1159.75, 1160.25, 7624
09/13/24, 1190.00, 1190.00, 1175.75, 1180.00, 459
09/12/24, 1180.00, 1190.00, 1178.50, 1187.75, 176
09/11/24, 1180.00, 1190.00, 1179.00, 1180.25, 309
09/10/24, 1190.00, 1190.00, 1175.00, 1179.25, 650
09/09/24, 1200.00, 1200.00, 1100.00, 1177.75, 472762
09/06/24, 1214.00, 1219.00, 1200.00, 1218.00, 2786
09/05/24, 1200.00, 1219.00, 1200.00, 1201.75, 391
09/04/24, 1165.00, 1200.00, 1165.00, 1200.00, 723
09/03/24, 1200.25, 1220.00, 1160.00, 1163.50, 52722
09/02/24, 1220.00, 1220.00, 1200.25, 1210.00, 814
08/30/24, 1210.00, 1210.00, 1209.00, 1210.00, 6071
08/29/24, 1204.50, 1230.00, 1200.50, 1226.00, 1820
08/28/24, 1230.00, 1230.00, 1204.50, 1206.50, 105351
08/27/24, 1252.50, 1252.50, 1230.00, 1231.75, 10917
08/26/24, 1239.50, 1261.00, 1237.00, 1237.25, 1249
08/23/24, 1235.00, 1239.50, 1210.00, 1236.75, 10314
08/22/24, 1240.00, 1244.75, 1228.75, 1231.00, 2369
08/21/24, 1255.00, 1255.00, 1250.00, 1251.00, 4793
08/20/24, 1248.00, 1259.00, 1245.50, 1254.75, 35783
08/16/24, 1248.00, 1250.00, 1245.75, 1247.50, 1273
08/15/24, 1250.00, 1250.00, 1248.00, 1248.00, 29444
08/14/24, 1245.25, 1250.00, 1230.00, 1250.00, 49069
