Date, Open, High, Low, Close, Volume
04/24/25, 144.00, 145.50, 144.00, 145.00, 13305
04/23/25, 145.50, 145.75, 144.00, 144.25, 122
04/22/25, 143.50, 145.00, 143.00, 143.00, 501
04/21/25, 145.00, 145.00, 143.00, 145.00, 112
04/17/25, 146.25, 146.25, 145.00, 145.00, 2341
04/16/25, 146.00, 149.00, 145.00, 146.00, 2222
04/11/25, 146.00, 148.75, 146.00, 146.00, 13365
04/10/25, 145.00, 153.00, 142.25, 146.00, 2548
04/09/25, 135.00, 140.00, 128.00, 140.00, 5237
04/08/25, 148.25, 148.25, 135.25, 136.00, 6390
04/07/25, 140.00, 150.00, 130.25, 134.25, 1465
04/04/25, 158.00, 158.00, 140.00, 140.00, 737
04/03/25, 155.00, 155.00, 145.00, 145.50, 2505
04/02/25, 155.00, 158.00, 150.25, 152.00, 2353
04/01/25, 152.00, 158.00, 152.00, 154.00, 1276
03/28/25, 156.00, 156.00, 154.00, 154.00, 111
03/27/25, 158.00, 158.00, 156.00, 158.00, 6001
03/26/25, 158.00, 158.00, 152.00, 152.50, 332
03/25/25, 158.00, 158.00, 151.00, 152.00, 24194
03/24/25, 151.25, 156.00, 150.00, 155.50, 44384
03/21/25, 154.00, 154.00, 154.00, 154.00, 2051
03/20/25, 153.00, 155.00, 153.00, 153.00, 128
03/18/25, 173.25, 173.25, 151.00, 153.25, 624
03/17/25, 155.00, 155.00, 153.00, 153.25, 6084
03/14/25, 153.00, 153.00, 153.00, 154.75, 1
03/12/25, 153.25, 159.50, 153.25, 154.75, 12
03/11/25, 155.25, 159.75, 153.00, 154.75, 1252
03/10/25, 159.75, 160.00, 155.00, 155.25, 2104
03/07/25, 158.25, 160.00, 155.50, 155.50, 4816
03/06/25, 160.00, 160.00, 158.00, 158.00, 662
03/05/25, 164.00, 164.00, 163.00, 163.00, 377
03/04/25, 160.25, 163.00, 157.00, 157.00, 7312
03/03/25, 165.00, 170.00, 164.00, 164.75, 1316
02/28/25, 169.75, 170.00, 169.00, 169.75, 1503
02/27/25, 169.00, 169.50, 162.75, 164.50, 3615
02/25/25, 169.75, 169.75, 166.00, 166.75, 1796
02/24/25, 165.00, 174.75, 162.75, 166.00, 1031
02/21/25, 168.00, 174.00, 168.00, 169.25, 12777
02/20/25, 170.00, 170.00, 162.75, 164.00, 2046
02/19/25, 171.50, 178.00, 170.00, 171.50, 3829
02/18/25, 174.75, 180.00, 173.00, 177.75, 39605
02/17/25, 159.75, 175.00, 159.75, 173.50, 86450
02/14/25, 158.00, 158.00, 154.25, 157.00, 10614
02/13/25, 155.00, 160.00, 146.25, 158.75, 2656
02/11/25, 155.00, 155.00, 150.00, 153.00, 3176
02/10/25, 156.50, 159.75, 150.25, 150.50, 866
02/07/25, 160.00, 160.00, 151.00, 156.50, 828
02/06/25, 150.50, 160.00, 150.00, 160.00, 8935
02/05/25, 163.50, 163.50, 152.00, 152.75, 20284
02/03/25, 163.75, 164.00, 160.00, 160.00, 21893
01/31/25, 156.00, 164.00, 154.50, 159.25, 33276
01/30/25, 153.75, 160.00, 153.75, 156.00, 8440
01/29/25, 160.00, 160.00, 155.00, 155.00, 5660
01/28/25, 160.00, 160.00, 154.00, 157.50, 4483
01/27/25, 165.00, 165.00, 160.00, 160.25, 5541
01/24/25, 162.00, 165.00, 160.00, 164.25, 23946
01/23/25, 170.00, 170.00, 162.00, 163.25, 7023
01/22/25, 166.50, 174.00, 162.00, 163.00, 12496
01/21/25, 162.25, 169.50, 160.00, 166.50, 41790
01/20/25, 157.75, 163.75, 154.00, 157.75, 7076
01/17/25, 159.50, 159.50, 154.50, 154.75, 9346
01/16/25, 167.00, 167.00, 159.50, 161.75, 2655
01/15/25, 154.00, 170.00, 154.00, 165.25, 10320
01/10/25, 166.00, 167.75, 151.50, 164.50, 5886
01/09/25, 170.25, 170.25, 166.00, 166.25, 1013
01/08/25, 174.00, 175.00, 169.00, 172.75, 3705
01/07/25, 179.75, 179.75, 168.00, 175.00, 33086
01/06/25, 182.00, 182.00, 168.25, 179.00, 167478
01/03/25, 185.75, 189.00, 170.00, 179.75, 141657
01/02/25, 179.50, 186.00, 179.50, 184.75, 29485
12/31/24, 174.75, 180.00, 170.00, 179.00, 174787
12/30/24, 175.00, 175.00, 167.25, 169.75, 20663
12/27/24, 165.00, 175.00, 158.25, 174.25, 139918
12/26/24, 169.00, 169.00, 158.50, 159.25, 20842
12/24/24, 168.50, 170.00, 165.00, 165.75, 8619
12/23/24, 160.00, 168.00, 158.00, 164.50, 183140
12/20/24, 160.00, 163.00, 157.00, 160.25, 90546
12/19/24, 144.25, 160.00, 144.25, 159.50, 257465
12/18/24, 124.25, 145.00, 124.00, 144.25, 638676
12/17/24, 104.00, 125.00, 104.00, 123.00, 315023
12/16/24, 103.75, 104.00, 100.25, 104.00, 47213
12/13/24, 104.00, 104.00, 99.10, 103.75, 5005
12/12/24, 102.50, 104.75, 102.50, 104.50, 30215
12/11/24, 97.50, 102.50, 95.00, 98.30, 244611
12/10/24, 97.70, 97.90, 96.70, 97.50, 44423
12/09/24, 98.00, 98.00, 95.60, 97.80, 2899
12/06/24, 96.60, 98.00, 95.80, 98.00, 1975
12/05/24, 98.40, 99.00, 95.50, 98.40, 7424
12/04/24, 92.00, 100.00, 92.00, 97.20, 66983
12/03/24, 89.00, 92.00, 89.00, 92.00, 12748
12/02/24, 89.00, 89.00, 89.00, 89.00, 5982
11/29/24, 91.30, 91.40, 88.50, 88.50, 4982
11/28/24, 91.00, 92.00, 91.00, 91.40, 1866
11/26/24, 87.00, 87.00, 87.00, 87.00, 3225
11/25/24, 88.00, 88.00, 87.00, 87.00, 4386
11/22/24, 88.00, 91.80, 88.00, 88.10, 3291
11/21/24, 92.40, 92.40, 87.00, 87.00, 12646
11/20/24, 87.20, 87.20, 87.10, 87.10, 601
11/19/24, 87.60, 87.60, 87.10, 87.10, 1051
11/18/24, 87.50, 93.00, 87.10, 87.50, 5650
11/14/24, 93.00, 93.00, 93.00, 93.80, 2
11/13/24, 94.30, 94.30, 93.80, 93.80, 210
11/12/24, 89.50, 99.50, 87.00, 87.10, 18394
11/08/24, 88.50, 88.50, 86.50, 87.30, 283
11/07/24, 87.80, 88.00, 87.80, 88.00, 29
11/06/24, 88.80, 88.90, 88.00, 88.00, 1600
11/05/24, 88.60, 91.40, 88.60, 89.60, 376
11/04/24, 91.00, 91.50, 88.50, 91.40, 2744
11/01/24, 90.00, 91.80, 90.00, 90.70, 6787
10/30/24, 90.00, 90.00, 86.10, 89.60, 14837
10/29/24, 89.80, 91.80, 89.80, 90.20, 28841
10/28/24, 87.00, 87.90, 87.00, 87.00, 4704
10/25/24, 88.70, 90.00, 87.00, 89.80, 4791
10/24/24, 85.40, 88.00, 85.40, 85.60, 2389
10/23/24, 87.80, 88.00, 87.80, 88.00, 1402
10/22/24, 88.00, 88.00, 88.00, 88.00, 985
10/21/24, 87.00, 87.00, 86.00, 87.00, 1076
10/18/24, 87.00, 88.00, 87.00, 87.10, 1115
10/16/24, 85.00, 85.00, 85.00, 85.00, 200
10/15/24, 85.10, 88.90, 85.00, 85.00, 10205
