Date, Open, High, Low, Close, Volume
04/24/25, 142.00, 142.00, 140.50, 141.25, 30665
04/23/25, 141.75, 142.00, 141.00, 142.00, 30335
04/22/25, 144.00, 144.00, 141.75, 142.00, 26226
04/21/25, 142.75, 144.00, 142.75, 143.75, 17108
04/17/25, 143.00, 143.00, 141.50, 142.00, 36825
04/16/25, 142.00, 143.25, 141.50, 141.75, 37167
04/11/25, 140.00, 140.50, 138.50, 140.00, 275921
04/10/25, 139.50, 142.00, 139.00, 139.00, 497390
04/09/25, 137.00, 137.00, 132.25, 134.00, 467299
04/08/25, 130.75, 137.00, 130.75, 135.00, 332198
04/07/25, 139.50, 139.50, 128.25, 131.00, 604684
04/04/25, 141.50, 142.00, 137.00, 139.25, 103137
04/03/25, 142.50, 143.50, 140.75, 142.00, 84077
04/02/25, 141.00, 146.00, 141.00, 144.00, 112668
04/01/25, 138.00, 141.00, 137.25, 140.00, 110134
03/28/25, 138.00, 138.50, 137.25, 137.50, 162428
03/27/25, 138.75, 139.00, 137.00, 137.25, 74270
03/26/25, 139.25, 140.00, 138.00, 138.00, 54672
03/25/25, 137.00, 141.00, 136.50, 139.50, 57030
03/24/25, 138.75, 138.75, 136.75, 137.00, 545388
03/21/25, 139.50, 139.50, 138.00, 138.50, 75950
03/20/25, 139.75, 139.75, 137.25, 138.75, 93443
03/19/25, 137.75, 138.00, 136.50, 137.00, 81065
03/18/25, 139.50, 139.50, 136.00, 136.50, 107698
03/17/25, 141.00, 143.75, 138.50, 139.50, 92006
03/14/25, 142.50, 144.00, 140.00, 141.50, 65483
03/12/25, 136.50, 142.00, 135.50, 141.25, 51436
03/11/25, 142.00, 142.00, 135.50, 136.25, 142853
03/10/25, 145.50, 146.00, 141.25, 141.50, 59220
03/07/25, 149.50, 149.50, 144.50, 145.00, 175839
03/06/25, 154.50, 157.50, 153.00, 154.75, 137245
03/05/25, 150.00, 154.75, 149.00, 153.75, 114513
03/04/25, 154.00, 154.00, 149.50, 150.00, 179564
03/03/25, 154.75, 155.50, 152.00, 152.50, 152016
02/28/25, 152.25, 154.75, 152.25, 153.75, 145782
02/27/25, 154.00, 155.00, 150.00, 150.25, 984692
02/25/25, 153.25, 154.75, 150.00, 151.50, 57612
02/24/25, 154.50, 157.50, 153.00, 154.75, 51397
02/21/25, 153.50, 154.75, 153.00, 153.50, 67628
02/20/25, 153.50, 155.50, 153.50, 153.50, 32620
02/19/25, 157.00, 157.00, 155.00, 155.50, 40129
02/18/25, 156.00, 158.75, 155.00, 157.00, 38993
02/17/25, 154.00, 155.00, 153.25, 154.50, 535687
02/14/25, 154.00, 154.00, 153.50, 154.00, 341011
02/13/25, 153.75, 154.00, 153.00, 153.50, 76368
02/11/25, 157.00, 157.00, 154.00, 154.00, 90640
02/10/25, 156.50, 157.00, 155.00, 156.00, 56759
02/07/25, 155.00, 158.00, 154.00, 157.00, 5335
02/06/25, 152.25, 155.00, 151.75, 153.50, 494829
02/05/25, 156.00, 156.00, 152.50, 152.75, 97255
02/03/25, 159.00, 159.50, 156.00, 157.75, 31548
01/31/25, 160.50, 161.00, 159.00, 159.75, 51381
01/30/25, 160.00, 160.75, 159.00, 160.50, 188333
01/29/25, 157.25, 161.50, 157.25, 159.50, 450512
01/28/25, 155.00, 157.25, 155.00, 156.75, 61473
01/27/25, 155.00, 156.50, 153.00, 155.50, 97579
01/24/25, 155.00, 156.50, 154.00, 155.00, 108837
01/23/25, 156.50, 156.50, 153.25, 154.75, 38881
01/22/25, 155.00, 157.00, 153.50, 154.75, 138362
01/21/25, 155.75, 157.00, 154.00, 156.00, 89392
01/20/25, 153.00, 156.00, 152.00, 155.00, 94004
01/17/25, 151.25, 154.75, 151.25, 153.00, 192862
01/16/25, 151.50, 154.50, 151.50, 153.25, 13483
01/15/25, 152.00, 153.00, 150.00, 152.00, 118287
01/10/25, 152.25, 153.00, 151.00, 151.25, 167932
01/09/25, 153.75, 154.50, 152.50, 153.00, 21385
01/08/25, 153.75, 154.00, 152.50, 152.75, 98509
01/07/25, 153.00, 154.25, 147.50, 153.75, 121401
01/06/25, 154.00, 158.00, 149.00, 153.25, 329133
01/03/25, 159.50, 160.00, 153.00, 156.00, 211699
01/02/25, 160.00, 160.25, 158.00, 160.00, 139214
12/31/24, 161.50, 162.00, 157.25, 160.00, 189910
12/30/24, 156.00, 162.00, 155.00, 161.25, 341355
12/27/24, 156.75, 156.75, 156.00, 156.00, 43427
12/26/24, 155.00, 157.75, 154.00, 156.25, 297195
12/24/24, 152.00, 157.00, 150.00, 155.00, 607769
12/23/24, 147.00, 153.75, 147.00, 151.50, 1092073
12/20/24, 142.00, 147.50, 142.00, 147.00, 222839
12/19/24, 140.00, 143.50, 140.00, 140.75, 778232
12/18/24, 136.25, 140.00, 136.00, 139.25, 377499
12/17/24, 136.00, 137.00, 135.00, 137.00, 84544
12/16/24, 136.00, 137.00, 135.00, 136.75, 25781
12/13/24, 137.00, 137.00, 135.00, 136.00, 7904
12/12/24, 135.50, 137.50, 134.00, 137.00, 317913
12/11/24, 135.75, 137.50, 135.50, 137.00, 70563
12/10/24, 137.00, 137.00, 135.25, 136.00, 84281
12/09/24, 136.00, 137.50, 133.25, 136.75, 184224
12/06/24, 133.00, 136.25, 132.50, 135.25, 503377
12/05/24, 134.75, 136.00, 132.00, 134.00, 559087
12/04/24, 132.50, 135.00, 132.00, 134.75, 154898
12/03/24, 131.50, 134.00, 131.00, 134.00, 185447
12/02/24, 131.50, 132.50, 130.00, 131.75, 7024
11/29/24, 129.00, 132.75, 127.50, 131.50, 134120
11/28/24, 128.75, 129.00, 127.00, 127.75, 7226
11/27/24, 128.50, 128.50, 127.25, 128.00, 24616
11/26/24, 128.00, 128.50, 127.25, 128.50, 70631
11/25/24, 128.75, 128.75, 127.25, 128.25, 21910
11/22/24, 128.00, 130.00, 128.00, 129.00, 19040
11/21/24, 130.00, 130.00, 128.25, 128.25, 22182
11/20/24, 129.00, 130.00, 128.75, 130.00, 30272
11/19/24, 127.50, 129.75, 127.50, 129.00, 75613
11/18/24, 130.00, 131.50, 127.00, 127.50, 341776
11/14/24, 129.00, 130.00, 125.50, 129.75, 33202
11/13/24, 129.00, 130.00, 127.00, 128.75, 122274
11/12/24, 129.50, 129.75, 127.50, 129.25, 30364
11/11/24, 127.25, 130.00, 127.25, 129.25, 316814
11/08/24, 127.75, 127.75, 126.25, 127.00, 17437
11/07/24, 127.00, 127.50, 126.00, 127.00, 50516
11/06/24, 126.00, 126.75, 125.00, 126.50, 97114
11/05/24, 126.75, 126.75, 125.00, 126.00, 44070
11/04/24, 127.00, 127.50, 126.50, 126.75, 11305
11/01/24, 127.00, 128.00, 126.25, 127.00, 48884
10/30/24, 127.00, 128.75, 126.75, 127.00, 113146
10/29/24, 125.00, 126.50, 124.25, 126.50, 112664
10/28/24, 126.25, 126.50, 125.00, 125.50, 54066
10/25/24, 126.00, 126.50, 126.00, 126.00, 67008
10/24/24, 126.00, 126.50, 125.50, 125.50, 12352
10/23/24, 126.00, 128.50, 125.00, 125.50, 12406
10/22/24, 125.50, 126.00, 125.50, 126.00, 1880
10/21/24, 126.75, 127.00, 125.00, 125.00, 70386
10/18/24, 125.25, 127.00, 125.00, 126.50, 448417
10/16/24, 125.50, 125.50, 124.75, 125.00, 38935
10/15/24, 125.00, 125.75, 124.75, 125.50, 32574
10/14/24, 125.00, 125.50, 124.75, 125.00, 46546
10/11/24, 125.25, 126.00, 124.50, 124.75, 425169
10/10/24, 123.50, 125.00, 123.50, 124.25, 209798
10/09/24, 125.00, 125.00, 123.50, 124.00, 405764
10/08/24, 124.00, 124.50, 123.50, 123.75, 101470
10/07/24, 125.00, 125.00, 123.50, 123.75, 53964
10/04/24, 123.00, 125.00, 122.50, 124.50, 551621
10/03/24, 123.50, 123.75, 122.50, 122.75, 26744
10/02/24, 123.25, 124.00, 123.25, 123.75, 13897
10/01/24, 122.50, 124.50, 122.50, 124.00, 47668
09/30/24, 123.50, 124.00, 122.00, 122.75, 43916
09/27/24, 124.50, 124.50, 123.00, 123.00, 26016
09/26/24, 125.00, 125.00, 123.75, 124.25, 32478
09/25/24, 123.50, 125.00, 123.50, 125.00, 148065
09/24/24, 121.00, 123.50, 119.25, 123.00, 74061
09/23/24, 118.00, 121.75, 116.50, 120.00, 129268
09/20/24, 119.75, 120.25, 117.00, 117.50, 33009
09/19/24, 117.50, 119.25, 117.50, 118.25, 175317
09/18/24, 117.00, 117.00, 116.00, 117.00, 67841
09/13/24, 115.00, 115.50, 114.25, 115.00, 171271
09/12/24, 114.50, 115.00, 114.00, 114.75, 101436
09/11/24, 115.25, 115.25, 114.50, 114.75, 106663
09/10/24, 117.00, 117.00, 114.50, 115.00, 313090
09/09/24, 118.00, 119.00, 115.75, 116.00, 20138
09/06/24, 116.00, 117.50, 116.00, 117.25, 21168
09/05/24, 117.25, 119.00, 116.00, 116.00, 163850
09/04/24, 118.00, 119.00, 115.25, 116.25, 355594
09/03/24, 118.00, 118.00, 115.00, 116.00, 445169
09/02/24, 118.75, 119.00, 116.00, 116.25, 160870
08/30/24, 118.75, 119.75, 118.00, 118.50, 92739
08/29/24, 119.00, 120.00, 116.00, 117.00, 68359
08/28/24, 120.25, 120.25, 117.00, 117.00, 148492
08/27/24, 123.00, 123.00, 120.00, 120.00, 9944
08/26/24, 123.50, 125.00, 120.00, 120.00, 38535
08/23/24, 124.25, 124.25, 123.50, 123.50, 11670
08/22/24, 124.00, 124.75, 123.00, 124.25, 13396
08/21/24, 124.75, 124.75, 124.00, 124.00, 85932
08/20/24, 121.50, 124.25, 121.50, 123.50, 47936
08/16/24, 120.00, 121.50, 120.00, 121.00, 191480
08/15/24, 120.00, 121.00, 119.75, 120.00, 59487
08/14/24, 120.00, 120.00, 118.75, 120.00, 53540
08/13/24, 118.25, 119.00, 118.25, 119.00, 130452
08/12/24, 119.00, 120.00, 118.25, 119.00, 65910
08/09/24, 119.00, 119.00, 118.00, 119.00, 45957
08/08/24, 120.00, 120.00, 118.00, 118.75, 110959
08/07/24, 122.00, 122.00, 120.25, 121.00, 17926
08/06/24, 120.75, 123.00, 120.75, 122.25, 31448
08/05/24, 123.50, 123.50, 121.00, 121.75, 70703
08/02/24, 123.50, 124.00, 122.50, 123.00, 18679
08/01/24, 121.50, 123.75, 121.50, 123.00, 4517
07/31/24, 121.00, 122.00, 119.50, 120.75, 127446
07/30/24, 119.00, 120.50, 119.00, 119.00, 61063
07/29/24, 119.00, 122.00, 119.00, 119.00, 63401
07/26/24, 121.00, 121.50, 119.00, 119.25, 74642
07/25/24, 121.50, 121.50, 119.00, 119.25, 187177
07/24/24, 120.75, 121.75, 120.00, 120.25, 53176
07/23/24, 118.50, 121.75, 118.50, 120.00, 36701
07/22/24, 121.50, 121.50, 118.25, 118.75, 82420
07/19/24, 122.00, 122.00, 121.50, 121.75, 5147
07/18/24, 122.25, 123.00, 122.00, 122.00, 7590
07/17/24, 123.25, 123.25, 122.25, 122.50, 17275
07/16/24, 123.50, 125.00, 123.00, 123.25, 19197
07/15/24, 123.00, 125.00, 123.00, 124.25, 14601
07/12/24, 121.75, 123.25, 121.75, 123.00, 14359
07/11/24, 122.25, 124.00, 120.00, 122.00, 69365
07/10/24, 125.00, 125.00, 122.00, 122.50, 74541
07/09/24, 126.00, 126.00, 122.00, 125.00, 42818
07/08/24, 127.75, 127.75, 125.00, 125.00, 46873
07/05/24, 128.00, 128.00, 127.25, 127.50, 55397
07/04/24, 128.75, 129.00, 127.00, 127.25, 95713
07/03/24, 129.75, 129.75, 128.50, 128.50, 43937
07/02/24, 127.50, 130.00, 127.50, 129.00, 47368
07/01/24, 129.00, 129.50, 127.50, 127.75, 39645
06/28/24, 129.00, 129.25, 128.00, 128.50, 42179
06/27/24, 127.25, 128.75, 127.25, 128.25, 48602
06/26/24, 126.00, 127.50, 126.00, 126.75, 4360
06/25/24, 127.50, 127.50, 126.00, 126.50, 11214
06/24/24, 126.50, 127.25, 126.50, 127.00, 74110
06/20/24, 126.00, 126.75, 125.50, 126.75, 30869
06/19/24, 125.00, 126.25, 125.00, 125.75, 8946
06/18/24, 126.25, 126.25, 122.50, 125.00, 22423
06/14/24, 125.50, 127.25, 125.25, 126.50, 3899
06/13/24, 127.00, 127.50, 126.00, 126.75, 131390
06/12/24, 127.00, 127.00, 126.00, 126.75, 44727
06/11/24, 125.00, 127.75, 125.00, 127.25, 63809
06/10/24, 126.00, 129.25, 126.00, 128.50, 100417
06/07/24, 129.00, 130.00, 126.25, 128.00, 227077
06/06/24, 126.25, 130.00, 126.25, 130.00, 157822
06/05/24, 124.00, 127.25, 124.00, 126.25, 59177
06/04/24, 123.25, 127.50, 123.25, 127.00, 156392
06/03/24, 122.50, 124.25, 122.50, 124.00, 69235
05/31/24, 123.25, 123.75, 122.25, 123.25, 36184
05/30/24, 122.00, 122.50, 121.25, 122.00, 13862
05/29/24, 121.00, 122.50, 121.00, 122.25, 38643
05/28/24, 122.50, 122.50, 120.25, 121.25, 13230
05/27/24, 122.50, 123.25, 122.00, 122.50, 57259
