Date, Open, High, Low, Close, Volume
04/24/25, 243.50, 243.50, 236.25, 236.25, 1684
04/23/25, 234.00, 243.75, 233.75, 235.00, 544
04/22/25, 240.00, 240.00, 240.00, 242.50, 1
04/21/25, 232.00, 243.00, 232.00, 242.50, 454
04/17/25, 232.00, 241.00, 231.00, 231.50, 1217
04/16/25, 241.00, 241.00, 231.00, 240.75, 309
04/11/25, 238.00, 238.00, 230.00, 233.25, 161
04/10/25, 238.75, 238.75, 230.00, 235.25, 3123
04/09/25, 239.75, 239.75, 239.75, 226.00, 2
04/08/25, 242.00, 242.00, 226.00, 226.00, 1001
04/07/25, 225.25, 225.25, 225.00, 230.00, 20
04/04/25, 230.00, 230.00, 230.00, 230.00, 550
04/03/25, 235.00, 235.00, 230.00, 230.75, 5166
04/02/25, 235.00, 240.00, 235.00, 235.00, 421
04/01/25, 240.00, 240.00, 235.00, 240.00, 2012
03/28/25, 240.00, 240.00, 240.00, 235.00, 1
03/27/25, 232.00, 232.00, 232.00, 235.00, 100001
03/26/25, 241.75, 241.75, 241.75, 235.00, 1
03/25/25, 230.00, 242.00, 227.50, 235.00, 1112
03/24/25, 226.00, 230.00, 222.00, 230.00, 25187
03/21/25, 227.00, 227.00, 226.00, 227.00, 575
03/20/25, 226.50, 245.00, 226.50, 229.50, 2000032
03/19/25, 230.00, 230.00, 230.00, 229.50, 30
03/18/25, 230.00, 230.00, 230.00, 229.50, 21
03/14/25, 230.00, 230.00, 226.50, 229.50, 315
03/12/25, 227.00, 230.00, 227.00, 228.75, 7
03/11/25, 230.00, 230.00, 230.00, 228.75, 20
03/10/25, 226.50, 226.50, 226.50, 228.75, 1
03/07/25, 239.00, 239.50, 239.00, 228.75, 34
03/06/25, 239.00, 239.00, 228.00, 228.75, 1074
03/05/25, 237.75, 237.75, 237.75, 229.75, 2
03/04/25, 233.50, 233.50, 229.25, 229.75, 722
03/03/25, 240.00, 240.00, 231.00, 229.25, 31
02/27/25, 227.25, 243.75, 227.25, 229.25, 153
02/25/25, 243.00, 243.00, 230.00, 232.00, 598
02/24/25, 244.75, 244.75, 236.00, 240.00, 9
02/21/25, 240.25, 240.25, 240.00, 240.00, 1193
02/20/25, 240.00, 241.00, 240.00, 246.50, 30
02/18/25, 245.00, 251.00, 245.00, 246.50, 208
02/17/25, 240.00, 240.00, 240.00, 240.00, 1
02/14/25, 239.50, 245.00, 239.50, 240.00, 1389
02/13/25, 239.50, 239.50, 239.50, 235.25, 15
02/11/25, 231.00, 239.75, 230.25, 235.25, 86
02/10/25, 240.00, 245.75, 234.00, 235.25, 875
02/07/25, 249.00, 249.00, 236.00, 237.50, 2081
02/06/25, 240.00, 240.00, 235.00, 240.00, 107
02/05/25, 251.00, 251.00, 238.25, 240.00, 898
02/03/25, 243.25, 244.50, 243.25, 243.25, 1770
01/31/25, 252.50, 253.00, 251.50, 252.25, 1401
01/30/25, 244.50, 245.00, 242.00, 244.25, 19053
01/29/25, 249.50, 249.50, 243.50, 244.25, 2370
01/28/25, 245.00, 249.50, 245.00, 249.25, 6727
01/27/25, 245.00, 245.00, 241.50, 241.75, 4388
01/23/25, 242.50, 245.00, 242.50, 244.75, 154
01/22/25, 246.00, 250.00, 242.00, 242.00, 3094
01/21/25, 246.00, 249.00, 246.00, 246.00, 154
01/20/25, 244.00, 246.00, 244.00, 245.75, 176
01/17/25, 244.00, 244.50, 243.50, 244.00, 248
01/16/25, 235.00, 240.00, 235.00, 240.00, 6141
01/15/25, 238.00, 240.00, 238.00, 239.75, 850
01/10/25, 239.50, 239.50, 232.50, 238.00, 1662
01/09/25, 233.50, 239.50, 232.25, 239.25, 7329
01/08/25, 241.75, 241.75, 234.00, 234.50, 2675
01/07/25, 240.50, 243.50, 236.00, 236.25, 2065
01/06/25, 240.00, 244.75, 233.25, 244.75, 520
01/03/25, 243.00, 243.50, 230.50, 240.75, 7014
01/02/25, 246.00, 253.00, 245.00, 245.50, 15681
12/31/24, 242.25, 248.00, 240.25, 247.00, 12930
12/30/24, 250.00, 250.00, 244.00, 244.75, 7799
12/27/24, 250.00, 250.00, 245.00, 245.00, 5683
12/26/24, 256.50, 268.75, 249.25, 250.00, 27373
12/24/24, 246.00, 256.50, 242.00, 246.50, 15197
12/23/24, 237.00, 250.00, 236.25, 240.75, 36701
12/20/24, 235.00, 236.00, 235.00, 236.00, 2937
12/19/24, 236.00, 236.00, 235.00, 235.50, 170
12/18/24, 236.00, 236.00, 233.00, 232.75, 51
12/17/24, 230.25, 236.25, 230.25, 232.75, 228
12/16/24, 230.00, 230.00, 230.00, 235.00, 1
12/13/24, 228.75, 228.75, 228.75, 235.00, 21
12/12/24, 236.50, 236.50, 236.50, 235.00, 1
12/10/24, 227.00, 236.50, 227.00, 235.00, 1442
12/05/24, 226.00, 240.00, 224.25, 239.50, 20163
12/04/24, 226.00, 235.00, 226.00, 235.00, 67
12/03/24, 234.00, 243.00, 234.00, 235.00, 2017
12/02/24, 230.00, 234.00, 230.00, 232.75, 235
11/29/24, 230.00, 230.00, 230.00, 230.00, 136
11/28/24, 234.00, 234.25, 230.00, 223.25, 86
11/27/24, 230.00, 230.00, 223.25, 223.25, 1200
11/26/24, 233.00, 233.00, 233.00, 227.00, 52
11/25/24, 227.00, 233.00, 227.00, 227.00, 1005
11/22/24, 234.00, 234.00, 234.00, 233.00, 11
11/21/24, 232.75, 234.00, 232.75, 233.00, 2001307
11/20/24, 223.50, 232.75, 223.50, 232.75, 129
11/19/24, 225.75, 225.75, 223.25, 225.00, 220
11/18/24, 230.00, 233.75, 225.00, 226.00, 1768
11/14/24, 230.00, 230.00, 225.50, 230.00, 730
11/13/24, 224.00, 230.00, 224.00, 230.00, 3979
11/12/24, 229.50, 229.50, 223.50, 229.50, 414
