Date, Open, High, Low, Close, Volume
04/24/25, 4.00, 4.00, 3.90, 4.00, 32713
04/23/25, 4.10, 4.10, 3.90, 4.00, 124296
04/22/25, 4.00, 4.20, 4.00, 4.00, 87765
04/21/25, 4.00, 4.10, 3.90, 4.10, 251108
04/17/25, 4.00, 4.00, 3.80, 3.90, 73621
04/16/25, 3.90, 4.00, 3.90, 4.00, 10681
04/11/25, 3.90, 4.00, 3.90, 3.90, 30643
04/10/25, 3.90, 4.00, 3.80, 3.90, 210570
04/09/25, 3.90, 3.90, 3.80, 3.90, 15678
04/08/25, 3.80, 4.00, 3.80, 3.80, 146066
04/07/25, 4.00, 4.00, 3.80, 3.80, 579415
04/04/25, 4.00, 4.00, 3.80, 3.90, 185002
04/03/25, 3.90, 4.00, 3.90, 4.00, 191651
04/02/25, 3.90, 4.00, 3.90, 4.00, 164088
04/01/25, 4.00, 4.00, 4.00, 4.00, 5406
03/28/25, 4.00, 4.00, 3.90, 3.90, 110687
03/27/25, 4.00, 4.00, 3.90, 3.90, 260301
03/26/25, 3.90, 4.00, 3.90, 4.00, 65278
03/25/25, 4.00, 4.00, 3.90, 4.00, 22894
03/24/25, 4.00, 4.00, 3.90, 4.00, 77121
03/21/25, 4.00, 4.00, 3.90, 4.00, 4935
03/20/25, 3.90, 4.00, 3.90, 3.90, 210168
03/19/25, 3.90, 4.00, 3.90, 4.00, 118758
03/18/25, 3.90, 4.00, 3.90, 3.90, 365194
03/17/25, 4.00, 4.00, 3.90, 3.90, 53725
03/14/25, 4.00, 4.10, 3.90, 3.90, 208051
03/12/25, 4.00, 4.00, 3.90, 3.90, 213430
03/11/25, 4.00, 4.00, 3.90, 3.90, 127459
03/10/25, 4.10, 4.10, 3.90, 4.00, 487650
03/07/25, 4.10, 4.10, 4.00, 4.10, 180059
03/06/25, 4.00, 4.10, 4.00, 4.10, 22437
03/05/25, 4.10, 4.10, 4.00, 4.00, 55577
03/04/25, 4.20, 4.20, 4.00, 4.00, 734748
03/03/25, 4.20, 4.20, 4.00, 4.10, 239991
02/28/25, 4.20, 4.20, 4.10, 4.10, 17937
02/27/25, 4.10, 4.20, 4.10, 4.20, 183888
02/25/25, 4.10, 4.20, 4.10, 4.20, 272949
02/24/25, 4.20, 4.20, 4.10, 4.20, 157580
02/21/25, 4.30, 4.30, 4.20, 4.20, 53531
02/20/25, 4.20, 4.30, 4.10, 4.20, 213980
02/19/25, 4.20, 4.30, 4.10, 4.20, 568979
02/18/25, 4.30, 4.40, 4.20, 4.20, 415651
02/17/25, 4.30, 4.40, 4.20, 4.20, 375635
02/14/25, 4.30, 4.30, 4.20, 4.20, 242649
02/13/25, 4.40, 4.40, 4.30, 4.30, 27458
02/11/25, 4.40, 4.40, 4.20, 4.30, 141995
02/10/25, 4.40, 4.40, 4.20, 4.20, 346396
02/07/25, 4.40, 4.40, 4.30, 4.30, 52797
02/06/25, 4.30, 4.40, 4.20, 4.40, 1072345
02/05/25, 4.40, 4.40, 4.30, 4.30, 554136
02/03/25, 4.40, 4.50, 4.30, 4.40, 193703
01/31/25, 4.30, 4.50, 4.30, 4.40, 151637
01/30/25, 4.30, 4.40, 4.30, 4.40, 262662
01/29/25, 4.40, 4.50, 4.30, 4.30, 924792
01/28/25, 4.40, 4.50, 4.30, 4.40, 189307
01/27/25, 4.50, 4.50, 4.30, 4.40, 535884
01/24/25, 4.40, 4.50, 4.30, 4.30, 1048671
01/23/25, 4.40, 4.50, 4.40, 4.50, 848404
01/22/25, 4.40, 4.50, 4.30, 4.30, 1730602
01/21/25, 4.50, 4.50, 4.30, 4.30, 879458
01/20/25, 4.40, 4.50, 4.30, 4.50, 430718
01/17/25, 4.50, 4.50, 4.30, 4.30, 687042
01/16/25, 4.40, 4.50, 4.40, 4.40, 1156831
01/15/25, 4.40, 4.50, 4.40, 4.40, 444544
01/10/25, 4.40, 4.50, 4.30, 4.40, 346395
01/09/25, 4.40, 4.50, 4.30, 4.30, 37856
01/08/25, 4.30, 4.50, 4.30, 4.40, 462353
01/07/25, 4.40, 4.40, 4.30, 4.40, 328880
01/06/25, 4.50, 4.50, 4.30, 4.40, 1039947
01/03/25, 4.50, 4.50, 4.30, 4.30, 5846038
01/02/25, 4.50, 4.60, 4.40, 4.40, 1135978
12/31/24, 4.50, 4.60, 4.40, 4.50, 526441
12/30/24, 4.50, 4.60, 4.40, 4.50, 1086021
12/27/24, 4.60, 4.70, 4.50, 4.50, 2017740
12/26/24, 4.50, 4.70, 4.40, 4.60, 5872564
12/24/24, 4.40, 4.50, 4.30, 4.50, 3151807
12/23/24, 4.40, 4.40, 4.30, 4.30, 1651746
12/20/24, 4.30, 4.40, 4.20, 4.30, 1414868
12/19/24, 4.40, 4.40, 4.30, 4.30, 1099148
12/18/24, 4.40, 4.40, 4.20, 4.40, 2129832
12/17/24, 4.40, 4.40, 4.30, 4.30, 2333195
12/16/24, 4.50, 4.50, 4.30, 4.30, 790150
12/13/24, 4.50, 4.50, 4.30, 4.40, 299697
12/12/24, 4.40, 4.50, 4.30, 4.40, 1653194
