Date, Open, High, Low, Close, Volume
04/24/25, 72.90, 72.90, 68.60, 69.00, 12669
04/23/25, 71.50, 72.90, 68.60, 71.50, 15718
04/22/25, 70.70, 72.50, 70.60, 72.40, 1435
04/21/25, 70.30, 74.90, 70.00, 70.10, 79381
04/17/25, 75.00, 75.60, 70.70, 73.10, 628
04/16/25, 73.20, 74.60, 70.40, 74.10, 2258
04/11/25, 71.90, 73.80, 70.20, 72.10, 1297
04/10/25, 70.00, 72.40, 68.10, 72.40, 69921
04/09/25, 70.00, 70.00, 67.80, 67.90, 695
04/08/25, 66.60, 70.00, 66.60, 67.60, 4271
04/07/25, 66.50, 67.30, 66.50, 67.10, 19857
04/04/25, 76.00, 76.00, 65.30, 69.90, 14283
04/03/25, 77.00, 77.00, 74.00, 75.10, 8914
04/02/25, 78.00, 78.00, 76.50, 76.50, 9495
04/01/25, 79.90, 79.90, 76.80, 77.00, 497
03/28/25, 79.50, 79.70, 76.00, 79.20, 1616
03/27/25, 79.40, 80.10, 79.10, 80.00, 1130
03/26/25, 83.00, 83.30, 79.00, 79.40, 11457
03/25/25, 78.00, 83.00, 76.50, 82.10, 75073
03/24/25, 72.00, 78.00, 72.00, 75.60, 202278
03/21/25, 68.30, 73.60, 68.30, 71.40, 196261
03/20/25, 61.20, 68.20, 61.20, 64.70, 2014
03/19/25, 64.50, 64.50, 61.10, 64.30, 565
03/18/25, 65.00, 65.00, 63.00, 63.60, 4279
03/17/25, 68.50, 68.50, 64.90, 65.00, 11463
03/14/25, 65.10, 69.00, 65.10, 65.10, 2509
03/12/25, 66.00, 66.00, 65.00, 65.80, 49216
03/11/25, 65.00, 68.40, 65.00, 65.50, 79619
03/10/25, 68.00, 68.00, 68.00, 68.00, 175
03/07/25, 68.90, 70.00, 68.00, 68.00, 234537
03/06/25, 68.50, 68.90, 68.50, 68.60, 135
03/05/25, 68.50, 68.60, 68.50, 68.50, 3874
03/04/25, 67.20, 68.50, 66.10, 68.50, 10388
03/03/25, 70.90, 70.90, 67.00, 67.20, 3502
02/28/25, 71.50, 71.50, 70.10, 70.80, 7204
02/27/25, 72.00, 72.50, 72.00, 72.00, 67838
02/25/25, 75.10, 75.10, 71.50, 71.50, 7469
02/24/25, 75.10, 75.20, 71.00, 71.00, 1878
02/21/25, 71.50, 75.10, 71.50, 75.00, 169240
02/20/25, 71.00, 71.40, 71.00, 71.00, 2412
02/19/25, 73.90, 73.90, 71.20, 71.20, 2788
02/18/25, 73.50, 73.50, 71.10, 72.50, 15921
02/17/25, 75.00, 75.00, 73.90, 73.90, 600
02/14/25, 71.20, 78.00, 71.20, 75.00, 177414
02/13/25, 71.00, 72.10, 71.00, 71.00, 11249
02/11/25, 71.50, 73.00, 70.00, 72.10, 134888
02/07/25, 71.80, 72.50, 70.10, 71.00, 32875
02/06/25, 70.00, 72.00, 69.90, 71.40, 72610
02/05/25, 71.20, 73.00, 70.00, 70.30, 98174
02/03/25, 70.80, 71.10, 70.30, 70.30, 34147
01/31/25, 70.00, 71.00, 70.00, 70.80, 40593
01/30/25, 70.00, 71.00, 70.00, 70.50, 91813
01/29/25, 71.00, 71.00, 70.00, 70.00, 42136
01/28/25, 68.20, 70.70, 68.20, 70.00, 47803
01/27/25, 70.00, 70.00, 68.10, 69.10, 5603
01/24/25, 70.10, 71.80, 69.20, 70.20, 44607
01/23/25, 71.00, 73.30, 70.00, 72.00, 11082
01/22/25, 72.00, 72.00, 69.90, 71.20, 24678
01/21/25, 72.10, 73.00, 71.60, 72.00, 4648
01/20/25, 73.00, 73.30, 71.50, 72.10, 6552
01/17/25, 73.50, 74.00, 72.00, 73.20, 68669
01/16/25, 72.00, 74.00, 72.00, 73.00, 225560
01/15/25, 64.20, 75.00, 64.20, 71.10, 691092
01/10/25, 64.10, 64.10, 62.10, 63.00, 5330
01/09/25, 65.80, 66.00, 63.80, 64.10, 13698
01/08/25, 63.70, 65.80, 62.90, 64.80, 31571
01/07/25, 63.10, 64.00, 63.10, 64.00, 27515
01/06/25, 63.00, 66.00, 63.00, 64.00, 14352
01/03/25, 68.00, 68.00, 63.20, 66.10, 41229
01/02/25, 68.00, 68.00, 63.20, 67.10, 212587
12/31/24, 64.00, 70.00, 64.00, 65.90, 166950
12/30/24, 62.90, 63.00, 62.90, 63.00, 95599
12/27/24, 63.00, 63.60, 62.80, 62.90, 24327
12/26/24, 61.20, 64.00, 61.20, 63.00, 37438
12/24/24, 63.00, 63.50, 61.50, 62.40, 107354
12/23/24, 61.60, 63.00, 61.20, 61.70, 22905
12/20/24, 61.60, 64.20, 61.60, 63.00, 121939
12/19/24, 63.20, 63.20, 61.60, 62.00, 20798
12/18/24, 62.10, 63.20, 62.10, 63.20, 16109
12/17/24, 63.50, 65.00, 62.00, 62.20, 57830
12/16/24, 64.00, 65.00, 63.00, 63.50, 63536
12/13/24, 60.00, 65.00, 59.40, 64.20, 170241
12/12/24, 56.10, 61.00, 56.10, 59.40, 64647
12/11/24, 61.20, 61.20, 56.00, 58.40, 40650
12/10/24, 60.00, 63.50, 59.90, 60.30, 263685
12/09/24, 62.50, 64.30, 60.00, 63.30, 104706
12/06/24, 63.50, 64.40, 62.70, 63.00, 209925
12/05/24, 62.00, 66.50, 62.00, 62.60, 279326
12/04/24, 55.00, 62.00, 55.00, 59.50, 1301295
12/03/24, 55.20, 55.50, 54.00, 54.00, 9071
12/02/24, 53.00, 56.90, 53.00, 55.20, 151769
11/29/24, 53.90, 54.50, 52.70, 53.00, 83012
11/28/24, 53.40, 56.00, 52.50, 52.60, 113701
11/27/24, 50.90, 53.30, 49.00, 52.40, 31382
11/26/24, 48.20, 51.00, 48.00, 50.30, 44497
11/25/24, 47.00, 48.20, 47.00, 48.00, 36572
11/22/24, 46.00, 47.60, 46.00, 46.20, 33065
11/21/24, 46.30, 47.00, 46.30, 46.50, 6153
11/20/24, 46.20, 46.40, 45.00, 45.00, 133870
11/19/24, 47.00, 47.50, 46.30, 46.40, 5610
11/18/24, 47.80, 47.80, 46.30, 47.00, 9655
11/14/24, 48.00, 48.00, 47.00, 47.80, 1220
11/13/24, 47.50, 48.00, 46.60, 47.90, 78911
11/12/24, 45.70, 46.80, 45.00, 46.50, 18274
11/11/24, 47.90, 47.90, 46.70, 46.90, 7750
11/08/24, 45.10, 47.90, 45.00, 46.00, 28953
11/07/24, 45.40, 45.40, 44.50, 44.50, 2311
11/06/24, 45.00, 45.00, 43.80, 43.80, 33232
11/05/24, 43.90, 44.00, 43.50, 44.00, 692
11/04/24, 45.80, 45.80, 43.00, 44.00, 13005
11/01/24, 44.10, 45.90, 43.90, 44.90, 61671
10/30/24, 43.10, 43.10, 43.10, 43.10, 100
10/29/24, 44.10, 44.10, 42.60, 42.70, 31064
10/28/24, 43.50, 44.40, 43.10, 43.10, 1044
10/25/24, 44.00, 44.00, 43.50, 43.90, 5068
10/24/24, 43.90, 43.90, 43.00, 43.10, 7505
10/23/24, 43.70, 43.80, 42.80, 43.80, 1480
10/22/24, 43.40, 43.60, 42.50, 42.80, 3379
10/21/24, 43.50, 43.50, 42.00, 43.40, 14426
10/18/24, 43.40, 43.40, 42.00, 42.10, 71254
10/16/24, 43.50, 43.50, 43.30, 43.30, 17920
10/15/24, 43.50, 43.50, 43.40, 43.40, 12930
10/14/24, 45.00, 45.00, 43.40, 43.50, 23465
10/11/24, 43.50, 45.00, 43.50, 44.90, 13237
10/10/24, 45.40, 45.40, 42.50, 44.90, 8342
10/09/24, 44.90, 45.40, 44.80, 44.80, 12257
10/08/24, 45.00, 45.00, 43.30, 44.50, 3410
10/07/24, 44.00, 45.90, 43.00, 44.30, 41482
10/04/24, 43.00, 43.20, 43.00, 43.10, 551
10/03/24, 42.60, 42.90, 42.00, 42.00, 265742
10/02/24, 41.50, 42.90, 41.50, 42.00, 10777
10/01/24, 43.10, 43.10, 42.00, 42.10, 8909
09/30/24, 42.00, 43.20, 42.00, 43.20, 22298
09/27/24, 42.00, 42.00, 41.80, 42.00, 1353
09/26/24, 42.50, 42.50, 41.50, 41.70, 6487
09/25/24, 42.00, 42.50, 41.60, 42.00, 51193
09/24/24, 42.00, 42.00, 41.10, 42.00, 16412
09/23/24, 41.80, 42.00, 41.00, 41.20, 4641
09/20/24, 41.50, 42.00, 41.50, 41.90, 2033
09/19/24, 41.50, 42.00, 41.50, 41.70, 9492
09/18/24, 41.80, 41.80, 41.10, 41.50, 3490
09/13/24, 42.00, 42.00, 41.80, 41.80, 790
09/12/24, 41.10, 41.10, 41.10, 41.10, 500
09/11/24, 41.10, 41.90, 41.00, 41.10, 1655
09/10/24, 42.00, 42.00, 42.00, 42.50, 26
09/09/24, 41.10, 43.00, 41.00, 42.50, 64032
09/06/24, 42.00, 42.00, 41.00, 41.10, 3363
09/05/24, 42.00, 43.00, 41.00, 41.10, 4299
09/04/24, 41.50, 41.50, 41.50, 41.50, 20365
09/03/24, 41.20, 42.00, 41.00, 42.00, 21033
09/02/24, 43.00, 43.00, 41.10, 41.90, 18919
08/30/24, 42.50, 43.50, 42.10, 43.50, 648
08/29/24, 43.00, 44.00, 42.60, 43.30, 41745
08/28/24, 43.30, 43.50, 43.00, 43.00, 3320
08/27/24, 43.50, 43.50, 42.40, 42.60, 4887
08/26/24, 43.90, 44.00, 43.00, 43.00, 10924
08/23/24, 44.00, 44.00, 43.90, 43.90, 7030
08/22/24, 46.60, 46.60, 43.90, 44.00, 14463
08/21/24, 45.60, 48.00, 44.00, 44.60, 11372
08/20/24, 45.60, 45.60, 45.50, 45.60, 275
08/16/24, 45.60, 45.60, 45.50, 45.60, 240
08/15/24, 45.80, 45.80, 44.20, 44.30, 1471
08/14/24, 45.00, 45.60, 44.00, 45.60, 3629
08/13/24, 45.90, 45.90, 44.00, 44.10, 13395
08/12/24, 45.00, 46.00, 43.90, 44.00, 29995
08/09/24, 45.50, 50.00, 45.50, 48.90, 2953
08/08/24, 44.00, 45.40, 44.00, 44.00, 1002
08/07/24, 44.00, 44.00, 44.00, 44.00, 4197
08/06/24, 44.10, 45.00, 44.00, 44.00, 4526
08/05/24, 45.10, 45.10, 44.00, 44.50, 7427
08/02/24, 46.00, 46.90, 45.00, 45.10, 3552
08/01/24, 46.90, 46.90, 45.30, 45.30, 5125
07/31/24, 47.50, 47.50, 45.80, 46.00, 3208
07/30/24, 47.00, 47.20, 47.00, 47.00, 1065
07/29/24, 46.90, 47.00, 44.50, 46.60, 1243
07/26/24, 46.90, 47.00, 46.90, 47.00, 1315
07/25/24, 45.50, 47.00, 45.50, 47.00, 794
07/24/24, 46.00, 46.00, 44.20, 46.00, 25687
07/23/24, 47.20, 47.20, 44.00, 44.20, 22
07/22/24, 47.30, 47.30, 44.00, 44.20, 5764
07/19/24, 46.30, 46.30, 45.00, 45.00, 6806
07/18/24, 47.00, 47.50, 46.20, 47.10, 1017
07/17/24, 46.50, 46.50, 46.50, 46.50, 1022
07/16/24, 46.30, 46.50, 46.30, 46.50, 1775
07/15/24, 47.10, 47.10, 46.20, 46.20, 810
07/12/24, 46.80, 47.00, 46.80, 46.90, 1000
07/11/24, 47.00, 47.00, 46.90, 47.20, 6
07/10/24, 45.00, 47.50, 44.10, 47.20, 8495
07/09/24, 47.10, 47.90, 45.00, 45.80, 2548
07/08/24, 44.00, 44.20, 44.00, 44.00, 19086
07/05/24, 44.70, 44.70, 44.50, 44.50, 1316
07/04/24, 46.40, 46.40, 44.00, 44.20, 4232
07/03/24, 46.00, 46.40, 45.00, 45.10, 23282
07/02/24, 46.50, 47.30, 46.00, 46.00, 8561
07/01/24, 46.90, 47.30, 46.50, 46.50, 3331
06/28/24, 47.20, 47.30, 47.20, 47.30, 10333
06/27/24, 46.90, 47.20, 46.90, 47.00, 572
06/26/24, 47.30, 47.30, 47.10, 47.20, 3869
06/25/24, 47.00, 47.30, 47.00, 47.30, 4297
06/24/24, 47.20, 47.30, 47.00, 47.30, 3368
06/20/24, 47.40, 47.50, 47.10, 47.50, 6862
06/19/24, 47.40, 47.40, 47.00, 47.10, 13160
06/18/24, 47.70, 47.70, 47.40, 47.40, 8337
06/14/24, 47.50, 47.90, 47.50, 47.90, 4077
06/13/24, 47.40, 47.70, 47.40, 47.50, 9985
06/12/24, 47.60, 47.90, 47.40, 47.50, 2883
06/11/24, 47.50, 47.90, 47.40, 47.50, 11817
06/10/24, 48.00, 48.00, 47.50, 47.50, 133953
06/07/24, 49.50, 49.50, 47.50, 47.70, 15374
06/06/24, 49.00, 49.70, 47.50, 49.60, 15353
06/05/24, 48.10, 49.70, 48.10, 48.80, 587
06/04/24, 48.00, 49.80, 48.00, 48.20, 10650
06/03/24, 49.60, 49.60, 47.10, 48.00, 37783
05/31/24, 50.00, 52.00, 49.70, 49.90, 1530
05/30/24, 50.00, 50.00, 50.00, 50.00, 1751
05/29/24, 50.10, 52.50, 50.00, 50.00, 2604
05/28/24, 51.00, 51.20, 50.50, 50.50, 1722
05/27/24, 50.10, 50.20, 49.80, 50.00, 10246
05/22/24, 50.50, 50.70, 50.50, 50.50, 1089
05/21/24, 50.90, 50.90, 49.80, 49.80, 2910
05/20/24, 51.20, 51.20, 50.00, 50.10, 4135
05/17/24, 51.30, 52.20, 51.30, 51.90, 8322
05/16/24, 52.30, 52.50, 52.30, 51.00, 60
05/15/24, 52.30, 52.30, 52.30, 51.00, 1
05/14/24, 51.40, 52.60, 50.80, 51.00, 13461
05/13/24, 52.40, 52.60, 52.40, 52.80, 28
05/10/24, 51.60, 52.80, 51.50, 52.80, 650
05/09/24, 51.10, 52.80, 50.80, 50.90, 3003
05/08/24, 52.90, 53.00, 51.40, 52.90, 2425
05/07/24, 51.10, 53.00, 51.10, 52.90, 4209
05/06/24, 52.00, 53.00, 51.00, 51.10, 10057
05/03/24, 51.00, 51.00, 50.60, 50.70, 4051
05/02/24, 52.20, 52.20, 51.10, 51.40, 181
04/30/24, 51.00, 52.20, 51.00, 51.90, 2442
04/29/24, 52.30, 52.30, 50.60, 51.20, 11389
04/26/24, 50.20, 51.60, 50.20, 51.10, 2002
04/25/24, 50.60, 51.40, 49.80, 49.80, 7396
04/24/24, 51.00, 51.00, 51.00, 51.00, 150
04/22/24, 51.40, 51.40, 49.60, 50.00, 4198
04/19/24, 51.00, 51.00, 50.50, 50.00, 51
04/18/24, 50.10, 51.40, 49.60, 50.00, 6737
04/17/24, 50.70, 51.20, 49.60, 49.90, 9033
04/16/24, 52.60, 52.60, 50.50, 51.00, 515
04/15/24, 52.90, 52.90, 51.10, 52.60, 760
04/10/24, 50.00, 52.90, 50.00, 51.50, 4615
04/09/24, 50.00, 51.00, 50.00, 50.00, 5432
04/08/24, 50.00, 50.00, 50.00, 50.00, 2098
04/05/24, 50.00, 50.00, 50.00, 50.00, 2939
04/04/24, 50.00, 50.00, 50.00, 50.00, 976
04/03/24, 50.00, 50.90, 49.40, 49.50, 5701
04/02/24, 50.80, 51.60, 49.50, 50.00, 10140
04/01/24, 50.60, 50.80, 49.00, 49.50, 368
03/28/24, 50.00, 50.80, 48.10, 48.60, 7927
03/27/24, 49.50, 50.00, 49.40, 49.80, 148861
03/26/24, 50.90, 50.90, 49.00, 49.50, 527
03/25/24, 51.00, 51.00, 48.00, 49.50, 50755
03/22/24, 50.00, 50.00, 49.90, 50.00, 12657
03/21/24, 51.00, 51.00, 50.00, 50.00, 5557
03/20/24, 51.40, 51.40, 50.00, 50.00, 8332
03/19/24, 51.80, 51.80, 51.00, 51.00, 9515
03/18/24, 51.90, 51.90, 51.00, 51.80, 5
03/15/24, 51.80, 51.80, 51.50, 51.80, 72
03/14/24, 51.90, 51.90, 49.00, 51.80, 3249
03/13/24, 50.00, 51.90, 50.00, 51.90, 609
