Date, Open, High, Low, Close, Volume
04/24/25, 105.50, 114.00, 105.50, 110.50, 1112
04/22/25, 110.00, 112.75, 110.00, 119.00, 69
04/21/25, 109.75, 119.00, 109.75, 119.00, 1168
04/17/25, 109.00, 109.00, 109.00, 109.00, 25
04/16/25, 104.00, 104.00, 104.00, 109.00, 1
04/08/25, 109.00, 109.00, 109.00, 109.00, 700
04/07/25, 103.00, 103.00, 103.00, 103.00, 100
04/04/25, 106.00, 106.00, 103.00, 103.75, 124
04/03/25, 108.75, 109.00, 108.75, 110.75, 37
04/02/25, 109.00, 111.00, 109.00, 110.75, 2257
04/01/25, 105.00, 105.00, 102.00, 103.00, 4947
03/28/25, 103.25, 110.00, 103.25, 109.00, 143
03/27/25, 103.25, 103.50, 103.25, 103.25, 142
03/25/25, 107.00, 107.00, 107.00, 107.00, 900
03/24/25, 115.00, 115.00, 100.50, 113.75, 106
03/21/25, 109.50, 110.00, 106.25, 110.00, 1003
03/20/25, 105.50, 106.00, 105.50, 106.00, 6356
03/19/25, 99.90, 106.00, 99.90, 100.00, 33
03/18/25, 100.25, 100.25, 99.90, 100.00, 50
03/17/25, 99.10, 99.10, 99.10, 100.00, 1
03/14/25, 106.75, 106.75, 106.75, 100.00, 1
03/12/25, 100.25, 100.25, 100.00, 100.00, 941
03/11/25, 104.25, 104.25, 100.00, 100.25, 3205
03/10/25, 104.50, 104.50, 104.50, 104.50, 258
03/07/25, 107.25, 107.25, 104.00, 105.50, 4139
03/06/25, 106.50, 109.50, 106.50, 108.25, 537
03/05/25, 103.50, 105.00, 103.50, 105.00, 959
03/04/25, 106.00, 108.00, 105.00, 105.75, 881
03/03/25, 110.00, 110.00, 110.00, 105.25, 51
02/28/25, 110.00, 110.00, 110.00, 105.25, 11
02/27/25, 110.25, 110.25, 110.25, 105.25, 11
02/25/25, 107.00, 107.00, 105.00, 105.25, 1501
02/24/25, 108.00, 111.75, 106.00, 108.25, 3249
02/21/25, 107.75, 107.75, 107.50, 107.75, 291
02/20/25, 110.00, 110.00, 107.25, 109.50, 33280
02/19/25, 112.00, 114.00, 105.75, 112.50, 17128
02/18/25, 116.75, 119.00, 114.25, 115.75, 2388
02/17/25, 114.25, 118.00, 112.25, 114.75, 6717
02/14/25, 106.00, 111.75, 105.50, 111.00, 1961
02/13/25, 105.00, 109.50, 105.00, 105.50, 1211
02/11/25, 109.75, 109.75, 105.00, 105.00, 732
02/10/25, 111.75, 111.75, 105.00, 105.75, 2775
02/07/25, 109.75, 113.75, 109.75, 111.50, 5434
02/06/25, 105.00, 110.00, 105.00, 106.00, 754
02/05/25, 118.50, 118.50, 97.50, 103.25, 10591
02/03/25, 115.25, 119.75, 110.00, 111.75, 12044
01/31/25, 100.50, 123.50, 100.00, 112.75, 29978
01/30/25, 98.40, 105.00, 95.10, 100.50, 4812
01/29/25, 94.90, 95.00, 93.80, 94.90, 16146
01/28/25, 94.40, 94.70, 94.40, 94.60, 805
01/27/25, 94.80, 94.80, 94.00, 94.20, 1570
01/24/25, 94.90, 94.90, 93.00, 94.40, 3542
01/23/25, 94.70, 94.90, 93.00, 94.90, 5112
01/22/25, 92.00, 94.90, 92.00, 94.80, 4415
01/21/25, 92.90, 93.00, 91.00, 91.70, 169
01/20/25, 92.70, 92.90, 91.00, 91.80, 407
01/17/25, 89.50, 90.00, 89.50, 89.70, 1961
