Date, Open, High, Low, Close, Volume
04/24/25, 110.00, 113.50, 108.00, 110.25, 10
04/23/25, 110.25, 110.25, 110.25, 110.25, 75
04/22/25, 110.00, 114.75, 110.00, 110.25, 134
04/21/25, 116.00, 116.25, 112.00, 112.00, 873
04/17/25, 110.00, 111.00, 100.00, 102.25, 5400
04/16/25, 120.00, 120.00, 120.00, 104.75, 10
04/11/25, 114.00, 122.75, 101.00, 104.75, 2401
04/10/25, 122.50, 123.00, 122.50, 122.75, 356
04/09/25, 119.00, 119.00, 119.00, 123.00, 74
04/08/25, 119.00, 119.00, 119.00, 123.00, 31
04/07/25, 115.25, 115.25, 115.00, 123.00, 25
04/03/25, 123.00, 123.00, 123.00, 123.00, 181
03/28/25, 119.50, 119.50, 119.50, 119.50, 2750
03/27/25, 116.00, 116.00, 115.00, 119.50, 30
03/26/25, 119.50, 119.50, 119.50, 119.50, 200
03/25/25, 118.25, 119.00, 118.25, 118.75, 900
03/24/25, 117.75, 119.00, 117.75, 118.00, 150
03/20/25, 110.50, 110.50, 110.50, 110.50, 273
03/19/25, 110.25, 110.25, 110.25, 110.25, 130
03/18/25, 120.00, 123.25, 101.25, 104.00, 1042
03/17/25, 111.00, 119.75, 110.00, 110.25, 503
03/14/25, 115.75, 116.00, 115.00, 115.50, 692
03/11/25, 120.25, 120.25, 120.00, 120.00, 3044
03/10/25, 129.50, 129.75, 120.00, 120.75, 359
03/07/25, 125.00, 125.00, 121.00, 123.50, 2932
03/06/25, 121.75, 121.75, 121.75, 134.50, 1
03/05/25, 134.50, 134.50, 134.00, 134.50, 113
03/04/25, 120.00, 120.00, 120.00, 125.75, 1
03/03/25, 129.00, 129.00, 129.00, 125.75, 3
02/28/25, 126.00, 130.00, 120.25, 125.75, 63
02/24/25, 126.00, 126.00, 126.00, 125.75, 5
02/21/25, 132.50, 132.50, 125.50, 125.75, 479
02/20/25, 131.25, 131.25, 125.75, 130.00, 34405
02/19/25, 133.50, 133.50, 125.00, 125.50, 20094
02/18/25, 135.25, 135.25, 129.75, 135.00, 759
02/17/25, 134.00, 137.50, 134.00, 134.75, 5069
02/14/25, 123.25, 134.00, 123.25, 124.75, 847
02/13/25, 129.75, 129.75, 123.00, 123.00, 273
02/11/25, 124.25, 130.00, 124.00, 129.00, 41
02/10/25, 133.75, 133.75, 129.00, 129.00, 2376
02/07/25, 133.50, 133.50, 129.75, 130.00, 5817
02/06/25, 135.00, 135.00, 125.00, 125.00, 27101
02/05/25, 143.75, 145.00, 130.00, 130.75, 5599
02/03/25, 137.00, 144.75, 135.00, 137.25, 6721
01/31/25, 130.00, 155.00, 130.00, 135.75, 8504
01/30/25, 124.25, 140.00, 122.00, 127.00, 22147
01/29/25, 123.75, 124.25, 122.00, 122.00, 4155
01/28/25, 122.75, 123.75, 122.75, 123.50, 200
01/27/25, 121.25, 121.25, 120.00, 120.00, 1916
01/24/25, 120.25, 125.00, 120.25, 121.75, 111
01/23/25, 120.50, 127.00, 118.00, 125.00, 5335
01/22/25, 120.75, 120.75, 115.00, 119.75, 53
01/21/25, 119.25, 120.75, 115.25, 119.75, 439
01/20/25, 113.50, 118.50, 113.25, 113.25, 2003
01/17/25, 119.00, 119.00, 118.75, 109.25, 6
01/15/25, 109.50, 109.50, 109.25, 109.25, 2000
01/09/25, 120.25, 120.50, 106.00, 111.00, 928
01/08/25, 117.00, 119.50, 117.00, 117.00, 1170
01/07/25, 118.75, 119.50, 118.75, 119.25, 200
01/06/25, 117.75, 119.75, 116.00, 116.25, 7493
01/03/25, 117.00, 121.75, 116.75, 121.25, 1190
01/02/25, 118.50, 119.00, 116.25, 118.00, 2654
12/31/24, 119.00, 119.00, 118.75, 118.75, 119
12/30/24, 118.50, 119.00, 118.50, 119.00, 3100
12/26/24, 115.00, 118.75, 112.25, 118.75, 5620
12/24/24, 115.00, 115.50, 115.00, 115.25, 200
12/23/24, 111.75, 118.00, 111.00, 115.75, 824
12/20/24, 111.00, 112.00, 110.00, 111.75, 1400
12/19/24, 110.00, 110.00, 110.00, 110.00, 2066
12/18/24, 107.50, 110.00, 107.00, 107.50, 93
12/17/24, 110.00, 110.00, 107.00, 107.50, 1704
12/16/24, 111.75, 111.75, 110.00, 111.50, 193
12/11/24, 112.00, 112.00, 112.00, 107.25, 39
12/10/24, 114.00, 114.00, 106.75, 107.25, 501
12/09/24, 107.00, 110.00, 105.00, 106.00, 1284
12/06/24, 107.00, 107.00, 107.00, 107.00, 545
12/05/24, 106.00, 106.75, 106.00, 106.75, 396
12/04/24, 104.00, 105.00, 104.00, 104.50, 544
12/03/24, 104.00, 104.00, 104.00, 104.00, 372
11/29/24, 104.00, 104.00, 104.00, 103.75, 30
11/28/24, 107.50, 107.50, 107.50, 103.75, 55
11/27/24, 105.00, 105.00, 103.50, 103.75, 105
11/26/24, 108.00, 108.00, 108.00, 109.25, 20
11/25/24, 108.75, 118.00, 108.00, 109.25, 974
11/19/24, 104.50, 104.50, 103.00, 103.25, 324
11/18/24, 110.00, 110.00, 110.00, 106.00, 1
11/14/24, 105.25, 105.25, 105.00, 106.00, 53
11/07/24, 106.00, 106.00, 106.00, 106.00, 2932
11/06/24, 106.00, 106.00, 106.00, 106.00, 120
11/05/24, 114.75, 114.75, 106.00, 106.25, 554
11/04/24, 109.00, 114.50, 106.25, 107.25, 169
11/01/24, 108.50, 108.50, 107.00, 108.50, 502
10/30/24, 105.00, 108.00, 102.50, 108.75, 84
10/29/24, 108.75, 108.75, 108.75, 108.75, 10
10/25/24, 109.25, 109.25, 108.75, 108.75, 227
10/24/24, 105.00, 105.00, 100.50, 100.75, 2128
10/23/24, 108.50, 111.00, 108.50, 110.75, 180
10/21/24, 112.00, 112.00, 98.50, 108.50, 1225
10/18/24, 112.00, 112.00, 112.00, 90.50, 46
10/15/24, 98.30, 98.30, 98.30, 90.50, 2
10/10/24, 113.00, 113.00, 113.00, 90.50, 1
09/30/24, 110.00, 110.00, 110.00, 90.50, 1
09/25/24, 112.00, 112.00, 110.00, 90.50, 62
09/24/24, 113.00, 113.00, 113.00, 90.50, 1
09/20/24, 90.60, 90.60, 90.50, 90.50, 1102
09/12/24, 91.60, 91.60, 89.10, 90.70, 180
09/09/24, 91.10, 91.10, 91.10, 101.50, 1
09/02/24, 90.10, 90.10, 90.10, 101.50, 20
08/27/24, 102.00, 102.00, 102.00, 101.50, 10
08/13/24, 101.00, 101.00, 101.00, 101.50, 1
08/05/24, 112.50, 114.00, 101.00, 101.50, 4385
07/25/24, 112.50, 112.50, 112.50, 112.75, 1
07/15/24, 109.75, 115.00, 109.75, 112.75, 600
06/27/24, 109.75, 109.75, 109.75, 110.00, 1
06/18/24, 98.00, 110.00, 98.00, 110.00, 550
06/14/24, 105.00, 105.00, 105.00, 110.00, 40
06/10/24, 110.25, 110.25, 110.00, 110.00, 25
05/31/24, 110.00, 110.00, 110.00, 110.00, 1
05/30/24, 105.00, 105.00, 105.00, 110.00, 1
05/27/24, 111.00, 111.00, 110.00, 110.00, 45
05/22/24, 111.00, 111.00, 110.00, 110.00, 225
05/13/24, 98.20, 98.20, 98.00, 98.00, 186
05/10/24, 107.25, 107.25, 107.25, 107.25, 100
05/02/24, 100.75, 107.00, 100.75, 108.75, 56
04/29/24, 107.00, 107.00, 107.00, 108.75, 1
04/26/24, 107.00, 107.00, 107.00, 108.75, 24
04/25/24, 107.00, 107.00, 107.00, 108.75, 4
04/22/24, 107.00, 107.00, 107.00, 108.75, 2
04/18/24, 101.00, 101.00, 101.00, 108.75, 1
04/17/24, 108.50, 108.50, 108.50, 108.75, 50
04/16/24, 105.00, 109.00, 105.00, 108.75, 1405
04/15/24, 105.00, 105.00, 104.50, 105.50, 66
04/09/24, 105.50, 105.50, 105.50, 105.50, 130
04/08/24, 106.50, 106.50, 105.50, 99.00, 56
04/03/24, 106.50, 106.50, 106.50, 99.00, 4
04/01/24, 107.00, 107.00, 107.00, 99.00, 1
03/28/24, 99.00, 99.00, 99.00, 99.00, 10
03/27/24, 99.00, 99.00, 99.00, 99.00, 207510
03/22/24, 100.25, 100.25, 100.00, 95.10, 40
03/18/24, 108.00, 108.00, 108.00, 95.10, 1
03/15/24, 108.00, 108.00, 108.00, 95.10, 1
03/14/24, 108.00, 108.00, 107.00, 95.10, 2
03/11/24, 106.00, 106.00, 106.00, 95.10, 25
03/05/24, 99.90, 100.00, 99.90, 95.10, 38
03/01/24, 95.00, 95.20, 95.00, 95.10, 150
02/13/24, 95.30, 95.30, 95.30, 95.30, 102
02/09/24, 107.25, 107.25, 107.25, 96.10, 1
02/08/24, 107.75, 107.75, 107.75, 96.10, 50
02/07/24, 94.00, 96.10, 94.00, 96.10, 690
02/06/24, 91.10, 91.10, 91.10, 108.50, 1
02/02/24, 90.00, 90.00, 90.00, 108.50, 53
01/30/24, 108.00, 108.50, 108.00, 108.50, 100
01/24/24, 93.00, 93.00, 93.00, 100.00, 10
01/22/24, 100.00, 100.00, 100.00, 100.00, 438
01/18/24, 100.00, 100.00, 100.00, 95.40, 1
01/17/24, 98.10, 98.10, 75.50, 95.40, 197
01/12/24, 100.00, 100.00, 100.00, 100.00, 120
12/29/23, 100.00, 100.00, 100.00, 100.00, 120
12/22/23, 100.00, 100.00, 100.00, 100.00, 1
12/19/23, 100.00, 100.00, 100.00, 100.00, 27
12/14/23, 100.00, 100.00, 100.00, 100.00, 18
12/08/23, 98.10, 100.00, 98.10, 100.00, 2
12/04/23, 98.20, 98.20, 98.10, 100.00, 24
12/01/23, 98.10, 105.00, 98.10, 100.00, 4
11/29/23, 100.00, 100.00, 100.00, 100.00, 100
11/24/23, 112.50, 115.00, 112.50, 100.00, 15
11/16/23, 98.20, 98.20, 98.00, 100.00, 75
11/15/23, 100.00, 100.00, 100.00, 100.00, 10
11/14/23, 98.00, 98.00, 98.00, 100.00, 1
11/13/23, 100.00, 100.00, 100.00, 100.00, 862
11/06/23, 98.00, 98.00, 98.00, 98.00, 3000
11/03/23, 102.00, 102.00, 102.00, 100.50, 4
11/02/23, 100.50, 100.50, 100.50, 100.50, 222
10/31/23, 102.00, 102.00, 100.00, 100.00, 1127
10/30/23, 102.00, 102.00, 102.00, 105.00, 1
10/26/23, 103.50, 105.00, 103.50, 105.00, 51
10/24/23, 109.00, 109.00, 109.00, 105.00, 1
10/19/23, 103.00, 103.00, 103.00, 105.00, 5
10/05/23, 105.00, 105.00, 105.00, 105.00, 379
10/04/23, 105.00, 105.00, 103.00, 103.75, 32
10/03/23, 103.50, 105.00, 103.50, 103.75, 721
10/02/23, 101.50, 110.00, 101.50, 115.00, 11
09/22/23, 115.00, 115.00, 115.00, 115.00, 20
09/15/23, 115.00, 115.00, 115.00, 115.00, 1
09/12/23, 114.25, 114.25, 114.25, 115.00, 99
09/11/23, 114.25, 114.25, 114.25, 115.00, 29
09/05/23, 122.00, 122.00, 114.25, 115.00, 11
09/04/23, 115.00, 115.00, 115.00, 115.00, 20
08/29/23, 124.50, 124.50, 124.50, 115.00, 2
08/28/23, 115.00, 115.00, 115.00, 115.00, 500
08/23/23, 116.00, 120.00, 116.00, 120.00, 195
08/22/23, 116.00, 116.00, 116.00, 116.00, 1
08/21/23, 119.75, 119.75, 111.50, 116.00, 82
08/16/23, 116.50, 116.50, 116.00, 116.00, 315
08/15/23, 124.50, 124.50, 116.25, 116.25, 110
08/10/23, 124.75, 125.00, 124.75, 125.00, 100
08/09/23, 120.00, 120.00, 116.25, 116.25, 1959
08/08/23, 129.75, 129.75, 119.25, 120.00, 7
08/07/23, 119.25, 129.75, 119.25, 120.00, 51
08/04/23, 119.00, 121.00, 119.00, 120.00, 2324
08/03/23, 130.00, 138.50, 116.00, 125.00, 610
08/02/23, 139.75, 139.75, 113.00, 126.00, 847
07/31/23, 137.00, 140.50, 112.00, 126.25, 1015
07/28/23, 135.00, 135.00, 110.25, 123.00, 231
07/27/23, 115.00, 138.00, 115.00, 126.25, 1198
07/25/23, 117.50, 127.50, 117.50, 117.50, 201
07/21/23, 115.00, 115.00, 115.00, 117.25, 43
07/20/23, 107.25, 114.75, 107.25, 117.25, 98
07/19/23, 117.75, 117.75, 116.00, 117.25, 325
07/17/23, 117.00, 117.00, 117.00, 113.75, 20
07/14/23, 113.75, 118.00, 113.75, 113.75, 142
07/12/23, 106.75, 122.00, 106.75, 109.25, 263
07/11/23, 108.00, 108.00, 102.50, 106.75, 208
07/06/23, 105.00, 105.00, 105.00, 100.00, 95
07/05/23, 100.00, 108.75, 100.00, 100.00, 428
06/23/23, 100.00, 102.75, 100.00, 98.81, 53
06/22/23, 98.81, 98.81, 98.81, 98.81, 48.5765733712521
06/20/23, 98.81, 98.81, 98.81, 98.81, 101.201194523442
06/19/23, 95.85, 95.85, 95.85, 103.75, 5.0600597261721
06/13/23, 103.75, 103.75, 103.75, 103.75, 1.01201194523442
06/06/23, 98.81, 98.81, 98.81, 103.75, 36.4324300284391
06/02/23, 103.75, 103.75, 103.75, 103.75, 9.10810750710977
05/29/23, 107.46, 107.46, 107.46, 103.75, 1.01201194523442
05/26/23, 107.46, 107.46, 107.46, 103.75, 1.01201194523442
05/10/23, 103.75, 103.75, 102.27, 103.75, 161.921911237507
05/09/23, 101.78, 101.78, 101.78, 98.71, 1.01201194523442
05/02/23, 99.80, 104.49, 95.35, 98.71, 1067.67260222231
04/28/23, 105.48, 105.48, 105.48, 100.79, 10.1201194523442
04/25/23, 100.79, 100.79, 100.79, 100.79, 404.804778093768
04/21/23, 101.78, 101.78, 101.78, 101.78, 20.2402389046884
04/19/23, 101.78, 101.78, 101.78, 101.78, 526.246211521898
04/18/23, 102.77, 102.77, 102.77, 102.77, 202.402389046884
04/17/23, 101.78, 101.78, 101.78, 101.78, 520.174139850491
04/12/23, 116.11, 116.11, 116.11, 116.11, 303.603583570326
04/10/23, 116.11, 116.11, 100.79, 116.11, 93.1050989615666
04/06/23, 116.11, 116.11, 116.11, 116.11, 50.600597261721
04/04/23, 116.11, 116.11, 116.11, 116.11, 101.201194523442
04/03/23, 116.11, 116.11, 116.11, 116.11, 101.201194523442
03/30/23, 117.59, 117.59, 116.60, 117.09, 809.609556187535
03/24/23, 118.58, 118.58, 118.58, 118.58, 1.01201194523442
03/21/23, 118.33, 118.33, 118.33, 118.58, 44.5285255903144
03/16/23, 118.58, 118.58, 118.58, 118.58, 405.816790039002
03/13/23, 108.69, 108.69, 94.86, 95.16, 10344.7861041862
03/09/23, 105.73, 118.33, 104.74, 105.73, 1451.22512946616
03/08/23, 105.73, 105.73, 105.73, 111.16, 2.02402389046884
03/07/23, 110.67, 110.67, 110.67, 111.16, 50.600597261721
03/02/23, 111.16, 111.16, 111.16, 111.16, 151.801791785163
02/27/23, 111.41, 111.41, 111.41, 111.41, 303.603583570326
02/16/23, 118.58, 118.58, 118.58, 133.15, 9.10810750710977
02/02/23, 131.92, 131.92, 131.92, 133.15, 8.09609556187535
01/25/23, 133.15, 133.15, 133.15, 133.15, 309.675655241732
12/16/22, 133.15, 133.15, 133.15, 129.20, 1.01201194523442
12/06/22, 129.20, 129.45, 129.20, 129.20, 278.303284939465
12/05/22, 130.93, 132.41, 130.93, 132.16, 1162.80172507435
11/29/22, 107.46, 115.36, 107.46, 115.36, 2123.20106110181
11/24/22, 92.98, 92.98, 92.98, 92.39, 1.01201194523442
11/23/22, 111.66, 111.66, 110.67, 92.39, 12.144143342813
11/21/22, 92.39, 92.39, 92.39, 92.39, 156.861851511335
11/18/22, 91.50, 91.50, 91.40, 91.40, 101.201194523442
11/16/22, 101.53, 101.53, 101.53, 94.96, 75.9008958925814
11/15/22, 95.85, 101.53, 95.85, 94.96, 98.1651586877386
11/14/22, 95.55, 95.55, 94.96, 94.96, 172.042030689851
11/11/22, 110.67, 110.67, 110.42, 95.16, 2.02402389046884
11/10/22, 94.96, 113.64, 94.96, 95.16, 205.438424882587
11/09/22, 113.64, 115.36, 111.66, 113.64, 231.750735458682
