Date, Open, High, Low, Close, Volume
04/24/25, 22.00, 22.00, 21.00, 22.00, 19005
04/23/25, 22.00, 22.00, 21.30, 21.50, 26042
04/22/25, 22.70, 22.70, 22.00, 22.70, 1310
04/21/25, 22.40, 23.00, 21.90, 22.00, 22406
04/17/25, 21.80, 22.40, 21.80, 22.00, 168825
04/16/25, 21.10, 21.90, 21.00, 21.00, 36802
04/11/25, 21.10, 21.90, 21.10, 21.10, 22
04/10/25, 21.90, 22.60, 21.00, 21.10, 29117
04/09/25, 20.90, 21.90, 20.80, 21.20, 16399
04/08/25, 22.70, 22.70, 20.50, 21.30, 27015
04/07/25, 21.40, 22.80, 21.10, 21.20, 301
04/04/25, 22.30, 22.80, 21.40, 21.80, 59840
04/03/25, 23.70, 23.70, 22.00, 23.30, 32435
04/02/25, 23.90, 23.90, 22.70, 23.00, 1800
04/01/25, 23.00, 24.40, 23.00, 24.00, 88656
03/28/25, 22.90, 22.90, 22.40, 22.40, 27375
03/27/25, 22.00, 23.00, 22.00, 22.00, 5003
03/26/25, 22.50, 23.00, 21.60, 21.90, 22029
03/25/25, 22.30, 22.50, 22.30, 22.40, 185
03/24/25, 22.00, 22.50, 21.20, 21.20, 10400
03/21/25, 21.90, 22.00, 21.90, 22.00, 2251
03/20/25, 21.80, 22.00, 21.00, 21.20, 108913
03/19/25, 21.20, 21.20, 20.60, 21.00, 32032
03/18/25, 21.10, 21.90, 21.00, 21.00, 35352
03/17/25, 21.00, 21.00, 21.00, 22.40, 1
03/14/25, 22.00, 22.70, 21.10, 22.40, 11032
03/12/25, 22.00, 22.00, 21.90, 22.00, 11800
03/11/25, 21.20, 22.00, 21.20, 22.00, 5146
03/10/25, 22.90, 22.90, 20.80, 22.50, 2611
03/07/25, 21.70, 22.00, 21.70, 21.90, 13395
03/06/25, 22.80, 22.80, 21.70, 22.00, 39225
03/05/25, 22.00, 22.90, 21.20, 22.80, 127634
03/04/25, 23.20, 23.90, 22.00, 22.00, 27895
03/03/25, 24.00, 24.00, 23.00, 23.10, 49796
02/28/25, 24.40, 25.40, 23.90, 24.00, 41964
02/27/25, 24.00, 24.50, 24.00, 24.00, 98107
02/25/25, 25.10, 25.10, 24.00, 24.10, 33280
02/24/25, 25.00, 26.40, 23.00, 26.10, 79551
02/21/25, 24.90, 26.20, 24.90, 25.40, 34458
02/20/25, 25.80, 26.40, 25.00, 25.80, 31224
02/19/25, 26.70, 26.70, 25.70, 25.90, 29924
02/18/25, 27.20, 27.50, 25.70, 25.80, 49930
02/17/25, 27.50, 27.50, 26.60, 26.70, 18831
02/14/25, 26.80, 27.50, 26.80, 27.00, 198203
02/13/25, 26.00, 26.80, 26.00, 26.80, 93737
02/11/25, 27.50, 27.50, 26.00, 26.40, 189831
02/10/25, 27.00, 27.50, 26.00, 26.00, 161829
02/07/25, 27.50, 27.50, 26.50, 27.50, 45986
02/06/25, 26.00, 27.50, 25.50, 26.90, 312637
02/05/25, 28.00, 28.50, 25.70, 26.10, 785188
02/03/25, 26.00, 28.70, 25.90, 28.00, 1373668
01/31/25, 24.00, 26.20, 23.50, 25.90, 1069015
01/30/25, 22.00, 24.60, 22.00, 23.60, 497027
01/29/25, 22.40, 22.40, 21.40, 21.50, 7989
01/28/25, 22.00, 22.30, 22.00, 22.00, 511500
01/27/25, 22.40, 22.40, 22.10, 22.10, 710
01/24/25, 22.00, 22.50, 21.60, 21.60, 24083
01/23/25, 22.00, 22.50, 21.70, 22.40, 193423
01/22/25, 22.50, 22.60, 21.50, 22.40, 164976
01/21/25, 21.80, 22.50, 21.30, 22.00, 70290
01/20/25, 20.50, 21.60, 20.50, 21.00, 101985
01/17/25, 21.00, 21.00, 20.40, 20.40, 16797
01/16/25, 21.00, 21.00, 20.50, 20.60, 85659
01/15/25, 20.30, 21.00, 20.20, 20.50, 27621
01/10/25, 21.00, 21.00, 20.30, 20.50, 54769
01/09/25, 21.80, 21.80, 20.80, 20.80, 8445
01/08/25, 20.50, 22.00, 20.50, 20.70, 66989
01/07/25, 21.90, 22.00, 20.10, 20.50, 17021
01/06/25, 22.80, 22.80, 20.00, 20.70, 121142
01/03/25, 23.00, 23.00, 22.10, 22.20, 66450
01/02/25, 22.90, 23.30, 22.80, 23.10, 93624
12/31/24, 22.90, 23.40, 22.50, 23.10, 232056
12/30/24, 22.90, 23.70, 22.30, 22.90, 258564
12/27/24, 23.10, 23.50, 22.10, 22.30, 95703
12/26/24, 21.20, 23.50, 21.20, 23.20, 706267
12/24/24, 21.60, 22.60, 21.10, 22.50, 1109952
