Date, Open, High, Low, Close, Volume
04/24/25, 137.00, 137.00, 135.00, 135.75, 604144
04/23/25, 137.50, 137.50, 136.00, 136.50, 48646
04/22/25, 139.00, 139.00, 136.25, 137.00, 59233
04/21/25, 140.00, 140.00, 138.25, 138.50, 296250
04/17/25, 140.00, 140.00, 138.00, 139.00, 70574
04/16/25, 139.75, 140.00, 139.00, 139.25, 55372
04/11/25, 139.75, 140.00, 137.00, 139.75, 671493
04/10/25, 136.00, 145.00, 136.00, 139.75, 5658500
04/09/25, 130.25, 130.25, 125.00, 127.75, 2119620
04/08/25, 124.00, 135.00, 124.00, 130.25, 1591620
04/07/25, 132.75, 132.75, 120.00, 122.50, 4280535
04/04/25, 138.00, 138.00, 130.00, 134.00, 1224897
04/03/25, 142.00, 142.50, 138.00, 138.25, 2190008
04/02/25, 143.25, 145.00, 142.75, 143.50, 282352
04/01/25, 145.00, 146.00, 139.75, 143.75, 1350410
03/28/25, 144.07, 147.04, 143.58, 145.80, 1447373.02616195
03/27/25, 144.81, 146.54, 144.81, 146.05, 802832.470065934
03/26/25, 145.06, 145.80, 144.32, 145.31, 690084.762441804
03/25/25, 145.31, 145.31, 144.07, 144.81, 652837.04734972
03/24/25, 144.32, 145.80, 144.32, 144.32, 1424750.64627957
03/21/25, 141.35, 145.06, 141.35, 144.32, 329275.911742911
03/20/25, 136.91, 142.34, 136.91, 140.86, 148552.818579184
03/19/25, 134.68, 137.89, 134.19, 137.15, 348728.811428011
03/18/25, 137.89, 138.39, 133.94, 134.68, 223021.946023127
03/17/25, 140.86, 140.86, 137.40, 137.89, 88581.5592192377
03/14/25, 140.37, 141.35, 139.38, 139.38, 145777.879485304
03/12/25, 138.39, 140.37, 137.15, 139.87, 211397.146486933
03/11/25, 140.86, 141.35, 136.41, 136.91, 137417.654668742
03/10/25, 141.11, 142.10, 139.87, 140.12, 98403.6094060719
03/07/25, 140.86, 142.59, 140.37, 141.11, 149744.535040209
03/06/25, 142.34, 144.57, 141.11, 141.85, 418495.818234566
03/05/25, 140.61, 142.34, 140.37, 141.85, 446352.443421986
03/04/25, 144.81, 146.30, 140.12, 141.11, 360560.997954452
03/03/25, 148.03, 149.26, 143.33, 143.83, 294420.73436757
02/28/25, 144.57, 147.78, 144.57, 146.79, 789936.03420418
02/27/25, 144.81, 147.04, 143.58, 144.32, 541567.35139754
02/25/25, 147.29, 148.27, 142.84, 143.33, 690962.869307822
02/24/25, 150.25, 150.25, 147.29, 148.27, 244823.882739212
02/21/25, 147.78, 150.50, 147.78, 150.25, 4622896.78382677
02/20/25, 149.76, 149.76, 146.79, 147.53, 298988.306372262
02/19/25, 150.25, 150.25, 148.03, 148.52, 3100976.73364406
02/18/25, 148.27, 150.50, 148.27, 150.00, 2346247.92887671
02/17/25, 146.30, 148.27, 146.30, 148.03, 1072968.69369759
02/14/25, 144.32, 146.79, 144.32, 146.30, 165816.520962367
02/13/25, 142.34, 144.81, 142.34, 144.32, 166545.916181721
02/11/25, 145.80, 145.80, 141.35, 142.59, 434843.982929101
02/10/25, 144.81, 145.56, 143.83, 144.57, 373402.805048043
02/07/25, 142.34, 145.06, 142.34, 144.32, 322449.339010317
02/06/25, 138.88, 142.34, 137.89, 141.35, 539023.067102568
02/05/25, 145.80, 146.30, 139.38, 140.61, 1207896.69283953
02/03/25, 147.78, 147.78, 145.31, 146.05, 266314.233147999
01/31/25, 146.79, 147.78, 146.30, 146.79, 1543071.49990012
