Date, Open, High, Low, Close, Volume
04/24/25, 66.40, 67.40, 66.20, 67.00, 564137
04/23/25, 66.80, 67.50, 66.10, 66.90, 830257
04/22/25, 67.00, 67.50, 66.00, 66.80, 843683
04/21/25, 65.00, 68.00, 65.00, 66.60, 1246902
04/17/25, 64.00, 65.20, 63.90, 65.00, 1029208
04/16/25, 62.30, 64.50, 62.00, 64.00, 878805
04/11/25, 59.10, 63.00, 58.00, 61.80, 2442214
04/10/25, 59.00, 60.00, 58.20, 58.50, 426414
04/09/25, 57.10, 57.90, 56.00, 56.70, 154371
04/08/25, 57.90, 58.00, 56.20, 57.60, 586996
04/07/25, 57.00, 58.00, 54.00, 55.80, 279633
04/04/25, 59.00, 59.50, 57.00, 58.00, 489426
04/03/25, 59.50, 60.50, 58.50, 59.50, 1195274
04/02/25, 60.00, 61.10, 59.50, 60.70, 1298583
04/01/25, 56.40, 60.50, 55.60, 59.90, 1249067
03/28/25, 54.00, 56.70, 53.90, 56.40, 593145
03/27/25, 54.00, 54.00, 53.60, 54.00, 21485
03/26/25, 53.70, 54.20, 53.70, 53.90, 10556
03/25/25, 54.00, 54.80, 53.60, 53.70, 58211
03/24/25, 53.70, 55.00, 53.70, 54.00, 40407
03/21/25, 52.90, 54.90, 52.90, 53.90, 16207
03/20/25, 52.60, 53.50, 52.00, 53.10, 53208
03/19/25, 50.80, 52.60, 50.80, 51.60, 39017
03/18/25, 51.50, 51.80, 50.80, 51.00, 145866
03/17/25, 52.60, 52.60, 51.00, 51.50, 118510
03/14/25, 54.00, 54.70, 52.00, 52.60, 49877
03/12/25, 51.30, 54.00, 51.30, 53.70, 132177
03/11/25, 52.00, 52.50, 51.00, 51.40, 280455
03/10/25, 53.60, 54.00, 52.00, 52.10, 62907
03/07/25, 53.00, 54.00, 52.70, 54.00, 40244
03/06/25, 53.60, 54.20, 52.90, 53.50, 49955
03/05/25, 53.00, 53.50, 52.20, 53.50, 26932
03/04/25, 52.90, 52.90, 52.00, 52.70, 257906
03/03/25, 54.80, 54.80, 52.80, 53.00, 28349
02/28/25, 54.50, 54.80, 53.70, 53.90, 53632
02/27/25, 52.80, 54.80, 52.80, 54.50, 98253
02/25/25, 53.90, 53.90, 52.50, 52.80, 431435
02/24/25, 55.20, 55.20, 53.80, 54.10, 164447
02/21/25, 54.00, 55.30, 54.00, 55.00, 658725
02/20/25, 54.10, 54.20, 53.80, 54.00, 726486
02/19/25, 55.90, 55.90, 54.00, 54.50, 258415
02/18/25, 55.60, 56.50, 55.40, 55.90, 1111710
02/17/25, 54.50, 55.90, 54.50, 55.30, 475458
