Date, Open, High, Low, Close, Volume
04/24/25, 1378.75, 1378.75, 1361.25, 1365.50, 2066
04/23/25, 1389.00, 1389.00, 1350.25, 1385.25, 12
04/22/25, 1374.50, 1400.00, 1374.50, 1385.25, 319
04/21/25, 1349.75, 1375.00, 1347.75, 1353.75, 619
04/17/25, 1305.25, 1305.25, 1260.00, 1295.25, 577
04/16/25, 1344.25, 1360.00, 1344.25, 1351.75, 615
04/11/25, 1340.00, 1343.75, 1340.00, 1341.00, 155
04/10/25, 1299.50, 1350.00, 1295.00, 1346.25, 1439
04/09/25, 1250.00, 1260.00, 1250.00, 1245.25, 14
04/08/25, 1297.75, 1297.75, 1225.50, 1245.25, 99
04/07/25, 1300.00, 1300.00, 1200.00, 1245.25, 694
04/04/25, 1300.00, 1324.00, 1265.00, 1272.25, 215
04/03/25, 1280.00, 1300.00, 1280.00, 1299.75, 4585
04/02/25, 1302.00, 1302.00, 1285.00, 1302.00, 327
04/01/25, 1239.75, 1305.00, 1239.75, 1302.00, 1407
03/28/25, 1299.75, 1299.75, 1290.00, 1278.25, 22
03/27/25, 1295.00, 1299.75, 1295.00, 1278.25, 16
03/26/25, 1299.75, 1300.00, 1299.00, 1278.25, 64
03/25/25, 1299.75, 1300.00, 1285.00, 1278.25, 95
03/24/25, 1299.50, 1299.50, 1280.00, 1278.25, 11
03/21/25, 1290.00, 1290.00, 1275.00, 1278.25, 43
03/20/25, 1297.75, 1298.50, 1296.00, 1278.25, 27
03/19/25, 1285.00, 1285.00, 1260.50, 1278.25, 42
03/18/25, 1290.00, 1290.00, 1260.25, 1278.25, 112
03/17/25, 1295.00, 1295.00, 1280.00, 1294.50, 143
03/14/25, 1282.00, 1301.75, 1282.00, 1295.75, 23
03/12/25, 1280.00, 1305.00, 1280.00, 1295.75, 128
03/11/25, 1300.00, 1307.00, 1280.00, 1295.25, 927
03/10/25, 1288.25, 1307.00, 1288.25, 1305.00, 1354
03/07/25, 1299.00, 1305.00, 1285.50, 1300.50, 1436
03/06/25, 1299.00, 1299.00, 1290.00, 1295.00, 213
03/05/25, 1298.00, 1303.00, 1298.00, 1298.25, 2208
03/04/25, 1300.00, 1306.75, 1299.00, 1300.50, 237
03/03/25, 1293.00, 1300.00, 1293.00, 1300.00, 873
02/28/25, 1242.00, 1242.00, 1241.75, 1294.25, 2
02/27/25, 1286.00, 1298.75, 1286.00, 1294.25, 103
02/25/25, 1298.00, 1298.00, 1225.50, 1280.75, 746
02/24/25, 1251.25, 1299.00, 1220.50, 1294.25, 164
02/21/25, 1299.75, 1299.75, 1255.00, 1259.50, 1123
02/20/25, 1290.00, 1290.00, 1258.00, 1259.75, 1229
02/19/25, 1290.00, 1311.75, 1280.25, 1301.75, 7
02/18/25, 1295.00, 1321.25, 1290.00, 1301.75, 39
02/17/25, 1308.25, 1310.00, 1290.25, 1301.75, 201
02/14/25, 1300.00, 1300.25, 1290.00, 1300.00, 358
02/13/25, 1280.50, 1304.75, 1280.00, 1299.25, 92
02/11/25, 1300.00, 1302.00, 1290.00, 1299.25, 3134
02/10/25, 1300.00, 1300.75, 1287.00, 1300.00, 87
02/07/25, 1310.00, 1310.00, 1300.00, 1300.00, 42
02/06/25, 1300.00, 1336.00, 1275.00, 1300.00, 4437
02/05/25, 1339.75, 1339.75, 1300.00, 1300.00, 1728
02/03/25, 1300.00, 1350.00, 1250.00, 1340.75, 4122
01/31/25, 1325.00, 1400.00, 1300.00, 1300.00, 5961
01/30/25, 1299.00, 1323.75, 1220.00, 1323.75, 7407
01/29/25, 1082.00, 1082.00, 1058.75, 1059.00, 148
01/28/25, 1035.25, 1081.75, 1035.25, 1085.00, 25
01/27/25, 1026.00, 1085.00, 1026.00, 1085.00, 207
01/24/25, 1050.00, 1090.00, 1041.00, 1073.25, 293
01/23/25, 1040.50, 1093.75, 1040.50, 1090.75, 330
01/22/25, 1020.25, 1099.00, 1020.25, 1047.50, 1236
01/21/25, 1025.00, 1025.00, 1020.00, 1020.25, 5557
01/20/25, 1015.00, 1046.00, 1015.00, 1041.50, 238
01/17/25, 1040.00, 1044.00, 1000.00, 1005.00, 325
01/16/25, 1002.75, 1050.00, 1002.75, 1045.00, 888
01/15/25, 1044.00, 1044.00, 1001.00, 1041.50, 488
01/10/25, 1044.50, 1044.50, 1005.50, 1038.50, 841
01/09/25, 960.25, 1049.00, 955.00, 1000.75, 5499
01/08/25, 979.75, 988.00, 952.25, 966.00, 65
01/07/25, 928.00, 994.00, 910.00, 966.00, 4890
01/06/25, 935.00, 943.00, 920.00, 928.00, 1241
01/03/25, 948.25, 971.00, 925.25, 937.00, 6761
01/02/25, 979.25, 979.25, 946.25, 948.00, 6844
12/31/24, 952.25, 988.75, 952.25, 986.50, 57
12/30/24, 951.50, 990.00, 950.00, 986.50, 2976
12/27/24, 980.00, 980.00, 940.00, 965.75, 8013
12/26/24, 951.00, 980.25, 940.00, 949.75, 3766
12/24/24, 945.50, 950.00, 930.00, 950.00, 2164
12/23/24, 974.00, 980.00, 949.25, 950.00, 3996
12/20/24, 933.00, 980.75, 933.00, 967.75, 554
12/19/24, 940.00, 940.00, 905.00, 934.75, 7
12/18/24, 915.00, 949.00, 914.00, 934.75, 725
12/17/24, 917.00, 925.00, 890.00, 905.00, 2500
12/16/24, 915.00, 915.00, 910.00, 915.50, 91
12/13/24, 915.00, 919.00, 915.00, 915.50, 162
12/12/24, 915.00, 915.00, 901.25, 903.25, 198
12/11/24, 920.00, 925.00, 900.00, 904.75, 65
12/10/24, 924.00, 934.00, 900.00, 904.75, 124
12/09/24, 901.25, 920.00, 900.75, 911.00, 674
12/06/24, 900.00, 908.00, 895.00, 905.00, 419
12/05/24, 916.00, 916.00, 890.00, 892.50, 874
12/04/24, 903.00, 998.00, 890.00, 941.75, 4332
12/03/24, 897.00, 904.75, 895.00, 902.50, 798
12/02/24, 880.00, 897.50, 880.00, 892.75, 348
11/29/24, 878.00, 883.00, 875.00, 877.25, 249
11/28/24, 890.00, 893.00, 865.00, 871.50, 585
11/27/24, 895.00, 897.75, 890.25, 894.50, 296
11/26/24, 859.75, 899.00, 859.75, 887.00, 1395
11/25/24, 845.00, 860.00, 845.00, 850.00, 695
11/22/24, 849.25, 879.00, 840.00, 860.25, 1339
11/21/24, 850.00, 850.00, 840.00, 840.50, 578
11/20/24, 850.00, 850.00, 831.00, 840.25, 1364
11/19/24, 838.00, 850.00, 829.75, 845.75, 547
11/18/24, 838.00, 851.00, 830.00, 838.25, 2236
11/14/24, 830.00, 830.00, 825.25, 825.50, 411
11/13/24, 830.00, 838.50, 823.25, 837.25, 424
11/12/24, 830.00, 830.25, 829.00, 830.00, 211
11/11/24, 823.00, 839.50, 823.00, 831.25, 945
11/08/24, 821.00, 833.00, 821.00, 824.75, 104
11/07/24, 834.50, 834.50, 815.00, 824.75, 681
11/06/24, 825.00, 825.00, 820.00, 820.50, 120
11/05/24, 820.50, 829.75, 810.25, 829.50, 1272
11/04/24, 830.00, 834.75, 828.50, 829.25, 333
11/01/24, 824.00, 835.00, 810.25, 830.25, 1614
10/30/24, 834.75, 842.00, 820.00, 823.25, 402
10/29/24, 789.25, 843.00, 788.75, 826.75, 3885
10/28/24, 785.00, 820.00, 764.75, 767.75, 18366
10/25/24, 733.25, 753.75, 730.00, 731.75, 1517
10/24/24, 750.00, 759.50, 730.00, 731.25, 3580
10/23/24, 731.00, 788.75, 731.00, 750.50, 12498
10/22/24, 741.00, 741.00, 729.00, 730.25, 15254
10/21/24, 755.00, 758.75, 739.00, 741.00, 1049
10/18/24, 748.00, 759.00, 748.00, 751.00, 190
10/16/24, 759.00, 759.00, 749.00, 755.00, 51
10/15/24, 752.00, 759.00, 750.00, 755.00, 365
10/14/24, 749.75, 759.00, 740.00, 758.25, 587
10/11/24, 749.50, 749.75, 740.00, 749.75, 407
10/10/24, 749.75, 749.75, 730.00, 733.25, 528
10/09/24, 742.50, 750.00, 730.00, 731.25, 3592
10/08/24, 759.75, 759.75, 735.00, 740.25, 426
10/07/24, 765.00, 765.00, 735.00, 739.25, 4791
10/04/24, 779.75, 779.75, 740.00, 741.25, 5432
10/03/24, 771.25, 775.50, 750.00, 757.50, 3957
10/02/24, 780.00, 789.00, 770.00, 770.00, 541
10/01/24, 780.00, 780.00, 772.00, 772.00, 604
09/30/24, 782.00, 783.00, 770.00, 778.00, 146
09/27/24, 780.00, 780.00, 770.00, 777.75, 297
09/26/24, 799.75, 800.00, 770.00, 777.25, 1258
09/25/24, 783.75, 799.75, 783.75, 790.50, 631
09/24/24, 780.00, 783.75, 780.00, 783.25, 516
09/23/24, 758.00, 780.00, 758.00, 761.25, 34
09/20/24, 780.00, 780.00, 755.00, 761.25, 541
09/19/24, 780.00, 785.00, 765.00, 766.25, 868
09/18/24, 780.00, 785.00, 765.00, 767.00, 588
09/13/24, 780.00, 795.25, 774.00, 780.50, 299
09/12/24, 789.75, 789.75, 777.00, 771.00, 60
09/11/24, 789.75, 789.75, 770.00, 771.00, 267
09/10/24, 800.00, 800.00, 770.00, 771.25, 1488
09/09/24, 800.00, 800.00, 780.00, 793.50, 524
09/06/24, 819.75, 819.75, 815.00, 783.00, 48
09/05/24, 809.00, 820.00, 780.00, 783.00, 822
09/04/24, 818.00, 818.00, 790.00, 796.00, 286
09/03/24, 780.00, 785.00, 780.00, 780.00, 381
09/02/24, 800.00, 800.00, 780.00, 783.75, 957
08/30/24, 822.50, 822.50, 796.00, 796.50, 305
08/29/24, 800.00, 825.00, 796.00, 801.75, 317
08/28/24, 800.00, 838.50, 800.00, 800.00, 2307
08/27/24, 845.00, 880.00, 795.00, 798.50, 11081
08/26/24, 898.50, 898.50, 850.00, 850.00, 1092
08/23/24, 892.00, 900.00, 889.25, 898.50, 409
08/22/24, 889.00, 892.00, 887.00, 889.50, 284
08/21/24, 889.00, 889.50, 880.00, 882.25, 119
08/20/24, 885.00, 895.00, 870.00, 881.00, 1374
08/16/24, 886.75, 887.50, 830.00, 834.75, 2786
08/15/24, 845.00, 845.00, 839.00, 839.50, 59
08/14/24, 846.25, 846.25, 835.00, 839.50, 80
08/13/24, 845.00, 845.25, 845.00, 839.50, 15
08/12/24, 845.00, 845.00, 845.00, 839.50, 6
08/09/24, 845.00, 845.00, 840.00, 839.50, 69
08/08/24, 841.00, 841.00, 840.00, 839.50, 10
08/07/24, 840.00, 840.00, 840.00, 839.50, 11
08/06/24, 840.00, 840.00, 839.50, 839.50, 28
08/05/24, 842.00, 842.00, 830.00, 839.50, 191
08/02/24, 855.00, 855.00, 855.00, 855.00, 169
08/01/24, 855.00, 855.00, 855.00, 850.00, 3
07/31/24, 924.00, 924.00, 924.00, 850.00, 1
07/30/24, 854.00, 855.00, 854.00, 850.00, 7
