Date, Open, High, Low, Close, Volume
04/24/25, 103.00, 104.00, 102.75, 103.00, 622013
04/23/25, 104.50, 104.50, 103.00, 103.00, 123008
04/22/25, 104.25, 104.75, 102.50, 104.00, 49216
04/21/25, 105.50, 106.00, 103.00, 103.50, 269031
04/17/25, 106.00, 106.00, 103.25, 103.75, 42018
04/16/25, 106.75, 106.75, 104.25, 105.25, 74180
04/11/25, 106.75, 106.75, 103.00, 104.50, 128985
04/10/25, 105.00, 109.00, 103.00, 105.75, 1167782
04/09/25, 100.25, 100.25, 96.90, 97.00, 167919
04/08/25, 96.00, 102.75, 95.80, 100.25, 204439
04/07/25, 99.50, 99.50, 95.00, 95.80, 440150
04/04/25, 102.00, 103.00, 100.25, 101.00, 258711
04/03/25, 105.50, 106.50, 100.00, 103.25, 613755
04/02/25, 107.50, 109.00, 107.00, 107.25, 130534
04/01/25, 106.00, 108.00, 105.00, 106.25, 172569
03/28/25, 107.00, 107.00, 104.75, 106.00, 99148
03/27/25, 105.75, 107.50, 105.50, 105.75, 67586
03/26/25, 108.00, 108.75, 105.25, 105.50, 204914
03/25/25, 111.00, 111.00, 107.00, 107.50, 41382
03/24/25, 109.75, 111.50, 107.75, 108.75, 224763
03/21/25, 105.00, 110.00, 105.00, 109.00, 159978
03/20/25, 101.00, 107.00, 101.00, 105.75, 218503
03/19/25, 102.50, 104.75, 101.25, 101.75, 163745
03/18/25, 108.00, 108.00, 101.50, 102.00, 134202
03/17/25, 109.50, 109.50, 104.50, 105.50, 89440
03/14/25, 109.00, 110.00, 108.25, 109.00, 52199
03/12/25, 106.50, 110.00, 106.25, 109.00, 289884
03/11/25, 107.00, 108.75, 106.00, 106.75, 184713
03/10/25, 109.75, 109.75, 107.00, 107.25, 93214
03/07/25, 110.00, 112.00, 107.75, 108.00, 101299
03/06/25, 110.50, 115.00, 109.00, 109.75, 369381
03/05/25, 108.00, 110.00, 108.00, 109.75, 524920
03/04/25, 113.00, 113.00, 106.00, 108.00, 512720
03/03/25, 117.00, 118.00, 113.00, 113.75, 346939
02/28/25, 118.43, 120.15, 116.45, 116.95, 244558.47215968
02/27/25, 119.41, 120.40, 116.70, 117.93, 149546.12816977
02/25/25, 120.40, 120.40, 116.95, 118.43, 190109.803605735
02/24/25, 120.89, 122.13, 117.93, 118.92, 88185.8681352914
02/21/25, 122.87, 123.86, 121.39, 121.63, 159705.286091458
02/20/25, 125.34, 125.34, 121.39, 121.88, 405137.206698025
02/19/25, 126.32, 126.82, 124.60, 124.84, 99175.9166909086
02/18/25, 128.05, 132.24, 126.08, 126.32, 296408.074279442
02/17/25, 124.35, 127.80, 123.61, 127.06, 275456.457648011
02/14/25, 120.89, 125.09, 120.89, 124.35, 283122.943667908
02/13/25, 117.44, 121.39, 116.45, 120.40, 372909.796195406
02/11/25, 120.89, 120.89, 116.45, 117.44, 405631.68795334
02/10/25, 124.35, 125.34, 120.40, 121.63, 267035.077088751
02/07/25, 123.36, 125.09, 122.87, 124.60, 180028.668341136
02/06/25, 118.43, 124.35, 117.44, 123.11, 510510.35158054
02/05/25, 125.34, 126.32, 119.41, 120.40, 467163.192520909
02/03/25, 129.28, 129.28, 124.60, 126.08, 181591.148045429
01/31/25, 128.30, 130.27, 127.80, 128.05, 419262.347474838
01/30/25, 126.32, 129.28, 126.32, 127.80, 458331.433050989
01/29/25, 128.30, 129.04, 125.09, 126.08, 422750.061574822
01/28/25, 128.30, 129.28, 126.82, 128.05, 284656.038215635
01/27/25, 128.30, 129.53, 125.34, 128.30, 598455.058775739
01/24/25, 129.78, 130.76, 126.32, 127.80, 1060095.8684248
01/23/25, 131.26, 132.24, 127.56, 129.78, 1557251.1729868
01/22/25, 133.97, 137.92, 130.02, 131.26, 2458721.91314425
01/21/25, 122.13, 133.23, 122.13, 131.01, 4019125.40413368
01/20/25, 118.43, 122.13, 116.95, 120.65, 2084487.75834086
01/17/25, 116.45, 119.41, 115.47, 117.69, 3498254.25166053
01/16/25, 116.45, 117.69, 113.99, 115.22, 1167466.19067253
01/15/25, 110.53, 116.45, 110.04, 115.96, 1703129.22299215
