Date, Open, High, Low, Close, Volume
04/24/25, 40.10, 42.00, 40.00, 40.90, 42710
04/22/25, 41.10, 45.00, 41.10, 44.90, 720
04/21/25, 41.60, 41.60, 41.60, 44.00, 1
04/16/25, 43.00, 43.00, 43.00, 44.00, 51
04/11/25, 40.00, 42.00, 40.00, 44.00, 45
04/09/25, 43.00, 43.00, 43.00, 44.00, 5
04/08/25, 43.90, 45.00, 43.90, 44.00, 881
04/07/25, 40.20, 43.90, 40.00, 43.90, 1320
04/03/25, 42.00, 42.00, 41.00, 42.00, 33
04/01/25, 41.70, 42.00, 41.70, 42.00, 223
03/28/25, 41.70, 41.70, 41.70, 41.70, 429
03/27/25, 42.00, 42.00, 40.00, 40.10, 13
03/26/25, 40.40, 40.40, 40.40, 40.10, 5
03/25/25, 41.90, 42.00, 40.00, 40.10, 9504
03/24/25, 42.00, 42.00, 42.00, 42.00, 826
03/21/25, 42.00, 42.00, 42.00, 42.00, 109
03/20/25, 41.00, 43.00, 41.00, 41.10, 16
03/19/25, 44.10, 44.10, 41.00, 41.10, 1194
03/17/25, 42.00, 45.00, 42.00, 42.20, 1082
03/14/25, 44.00, 44.00, 42.00, 42.10, 1564
03/12/25, 43.00, 43.00, 43.00, 45.00, 81
03/11/25, 45.00, 45.00, 45.00, 45.00, 121
03/10/25, 44.00, 44.00, 44.00, 44.00, 60
03/07/25, 44.00, 44.00, 44.00, 44.00, 230
03/06/25, 44.80, 44.80, 44.80, 43.60, 2
03/05/25, 45.00, 45.00, 45.00, 43.60, 1
03/04/25, 45.00, 45.00, 45.00, 43.60, 1
03/03/25, 43.60, 43.60, 43.50, 43.60, 602
02/28/25, 45.10, 45.10, 43.00, 43.10, 3603
02/27/25, 45.00, 45.30, 45.00, 44.50, 35
02/25/25, 44.70, 44.70, 44.70, 44.50, 3
02/24/25, 45.30, 45.30, 44.50, 44.50, 314
02/21/25, 48.50, 48.50, 45.80, 45.80, 402
02/20/25, 46.60, 48.00, 45.60, 45.90, 759
02/19/25, 46.80, 46.80, 46.80, 46.90, 14
02/18/25, 47.00, 48.60, 46.90, 46.90, 746
02/17/25, 49.90, 49.90, 46.50, 47.10, 852
02/14/25, 46.80, 49.90, 46.80, 47.70, 280
02/13/25, 49.50, 49.50, 46.50, 46.50, 202
02/11/25, 49.50, 49.50, 45.60, 46.00, 1649
02/10/25, 49.50, 49.50, 48.30, 49.50, 630
02/06/25, 49.00, 50.00, 48.90, 49.00, 3658
02/05/25, 53.70, 53.70, 49.00, 49.00, 13775
02/03/25, 44.40, 53.90, 44.40, 50.20, 37446
01/31/25, 44.00, 45.90, 44.00, 44.30, 10752
01/30/25, 45.80, 45.90, 44.10, 45.70, 271
01/29/25, 45.00, 46.00, 44.00, 44.10, 2360
01/28/25, 45.00, 45.00, 43.90, 43.90, 2679
01/27/25, 45.00, 45.00, 45.00, 45.00, 71
01/24/25, 46.30, 46.30, 44.50, 45.00, 8179
01/23/25, 46.20, 46.30, 45.50, 46.30, 389
01/22/25, 44.70, 46.40, 44.30, 44.40, 14778
01/21/25, 44.20, 46.40, 43.20, 46.30, 23359
01/20/25, 45.00, 46.00, 45.00, 45.00, 412
01/17/25, 45.30, 45.30, 44.00, 45.10, 1752
01/16/25, 46.40, 46.40, 45.00, 45.20, 264
01/15/25, 46.30, 46.40, 46.30, 45.00, 92
01/10/25, 45.00, 45.10, 45.00, 45.00, 294
01/09/25, 45.00, 46.30, 45.00, 45.10, 78
01/08/25, 46.40, 46.40, 45.00, 45.10, 4712
01/07/25, 45.00, 46.30, 44.30, 44.70, 599
01/06/25, 48.00, 48.00, 45.00, 46.40, 611
01/03/25, 47.50, 47.50, 46.70, 46.70, 600
01/02/25, 48.10, 48.20, 44.50, 46.50, 29312
12/31/24, 48.00, 48.20, 46.00, 47.80, 2692
12/30/24, 48.10, 48.20, 45.90, 46.00, 2422
12/27/24, 47.90, 47.90, 46.00, 46.10, 28832
12/26/24, 51.00, 51.50, 47.90, 48.20, 1023
12/24/24, 49.90, 53.40, 47.80, 49.90, 10088
12/23/24, 47.00, 53.90, 46.90, 48.50, 21893
12/20/24, 47.00, 47.00, 45.90, 46.90, 27673
12/19/24, 45.00, 45.90, 45.00, 45.60, 1256
12/17/24, 45.00, 45.00, 44.50, 44.50, 1718
12/16/24, 45.20, 45.70, 42.30, 45.20, 503
12/13/24, 45.80, 45.80, 45.20, 45.30, 393
12/12/24, 46.00, 46.00, 45.70, 45.70, 4130
12/11/24, 46.00, 46.00, 46.00, 45.20, 20
12/10/24, 44.60, 45.70, 44.60, 45.20, 967
12/09/24, 44.80, 44.80, 44.80, 44.20, 45
12/06/24, 44.20, 44.20, 44.20, 44.20, 190
12/05/24, 44.90, 44.90, 44.90, 44.90, 327
12/04/24, 42.40, 44.50, 42.40, 44.50, 400
12/03/24, 45.00, 45.00, 45.00, 44.00, 10
12/02/24, 45.40, 45.50, 42.10, 44.00, 452
11/29/24, 45.70, 45.70, 45.60, 45.70, 368
11/28/24, 41.80, 46.00, 41.50, 45.50, 5116
11/27/24, 41.80, 42.40, 41.80, 41.80, 324
11/26/24, 42.50, 42.50, 41.70, 41.70, 433
11/25/24, 42.00, 42.00, 42.00, 42.00, 1
11/22/24, 42.00, 42.00, 41.80, 42.00, 119
11/21/24, 41.70, 41.70, 41.70, 41.70, 1450
11/18/24, 43.00, 43.00, 41.60, 42.90, 552
11/12/24, 43.00, 43.00, 43.00, 43.00, 8
11/11/24, 40.60, 43.70, 40.60, 43.00, 422
11/08/24, 40.10, 40.30, 40.10, 40.10, 255
11/07/24, 41.00, 41.00, 40.10, 40.10, 1954
11/06/24, 42.40, 42.40, 40.00, 41.60, 7618
11/05/24, 43.60, 43.60, 43.60, 42.30, 1
11/04/24, 42.30, 42.30, 42.30, 42.30, 100
11/01/24, 43.50, 43.80, 43.50, 43.50, 240
10/30/24, 43.90, 43.90, 43.70, 43.80, 548
10/29/24, 44.00, 44.00, 44.00, 44.00, 325
10/28/24, 41.90, 43.80, 41.90, 44.00, 62
10/25/24, 44.00, 44.00, 42.50, 44.00, 148
10/24/24, 42.00, 43.90, 41.40, 43.80, 4653
10/23/24, 44.60, 44.60, 41.30, 40.80, 88
10/22/24, 45.00, 45.00, 40.50, 40.80, 2320
10/21/24, 41.60, 45.40, 41.60, 45.20, 6061
10/18/24, 41.60, 41.60, 39.90, 40.20, 738
10/16/24, 41.60, 41.60, 41.20, 41.50, 124384
10/15/24, 39.20, 41.60, 39.20, 41.10, 540
10/14/24, 41.00, 41.60, 41.00, 39.10, 31
10/11/24, 41.80, 41.80, 41.70, 39.10, 70
10/10/24, 39.20, 39.20, 39.10, 39.10, 100
10/09/24, 41.00, 42.90, 40.80, 40.90, 900
10/08/24, 41.20, 41.20, 41.20, 37.10, 10
10/07/24, 37.30, 37.30, 37.30, 37.10, 2
10/02/24, 37.40, 41.40, 37.00, 37.10, 501
10/01/24, 42.00, 42.00, 42.00, 41.70, 20
09/27/24, 41.70, 41.70, 41.70, 41.70, 150
09/26/24, 41.90, 41.90, 41.80, 41.90, 166
09/25/24, 41.80, 41.90, 37.10, 41.70, 989
09/24/24, 41.40, 41.50, 41.40, 41.50, 419
09/20/24, 40.00, 41.00, 40.00, 40.00, 687
09/19/24, 39.90, 39.90, 39.90, 40.00, 3
09/18/24, 40.00, 40.00, 40.00, 40.00, 280
09/13/24, 36.00, 37.10, 36.00, 37.10, 129
09/12/24, 35.40, 35.40, 35.40, 37.10, 8
09/09/24, 37.10, 37.10, 37.10, 37.10, 100
09/05/24, 39.00, 39.00, 39.00, 37.50, 19
09/04/24, 37.00, 38.90, 37.00, 37.50, 354
09/03/24, 35.10, 40.00, 35.00, 39.00, 249564
08/30/24, 38.20, 38.20, 35.20, 35.00, 60
08/29/24, 38.30, 38.30, 35.00, 35.00, 2034
08/28/24, 36.20, 36.20, 36.00, 36.20, 1225
08/27/24, 40.60, 40.60, 36.00, 36.20, 534
08/26/24, 42.20, 42.20, 37.00, 37.10, 1504
08/23/24, 42.40, 42.40, 42.40, 39.80, 1
08/21/24, 42.40, 42.50, 38.50, 39.80, 303
08/16/24, 42.80, 42.80, 42.80, 37.00, 2
08/15/24, 36.60, 37.00, 36.60, 37.00, 251
08/14/24, 38.50, 38.50, 36.50, 36.50, 460
08/12/24, 40.10, 40.10, 40.10, 38.40, 65
08/09/24, 41.00, 43.70, 41.00, 38.40, 6
08/08/24, 38.40, 38.40, 38.40, 38.40, 110
08/07/24, 36.50, 38.50, 36.50, 36.60, 400
08/05/24, 38.00, 38.00, 36.60, 36.70, 2214
08/02/24, 38.00, 38.00, 38.00, 37.80, 51
08/01/24, 38.00, 38.00, 37.80, 37.80, 969
07/31/24, 39.00, 39.00, 36.00, 36.60, 580
07/30/24, 39.20, 39.20, 36.00, 39.40, 55
07/29/24, 40.90, 40.90, 40.90, 39.40, 50
07/25/24, 39.10, 40.40, 39.10, 39.40, 52
07/24/24, 40.90, 40.90, 40.90, 39.40, 10
07/23/24, 40.90, 40.90, 40.90, 39.40, 29
07/22/24, 39.50, 39.50, 39.00, 39.40, 591
07/18/24, 39.30, 40.00, 39.30, 40.00, 510
07/17/24, 41.30, 41.30, 41.30, 40.90, 4
07/16/24, 40.90, 41.20, 40.90, 40.90, 145
07/12/24, 39.20, 40.90, 39.20, 39.20, 1311
07/11/24, 39.30, 41.30, 39.30, 39.30, 235
07/10/24, 40.50, 41.50, 40.10, 40.40, 435
07/08/24, 42.00, 42.00, 39.20, 39.50, 3742
07/05/24, 41.80, 42.00, 40.10, 41.70, 1794
07/04/24, 42.00, 42.00, 42.00, 42.00, 181
07/03/24, 42.00, 42.00, 41.80, 41.80, 183
07/02/24, 43.00, 43.00, 42.00, 42.10, 1822
07/01/24, 44.00, 45.00, 42.60, 43.00, 1207
06/28/24, 44.00, 44.00, 44.00, 44.00, 41
06/27/24, 43.70, 44.00, 43.70, 44.00, 252
06/26/24, 43.10, 43.10, 43.10, 43.70, 2
06/25/24, 43.70, 44.00, 43.50, 43.70, 274
06/24/24, 42.60, 42.60, 42.60, 42.60, 1
06/20/24, 42.80, 42.80, 42.50, 42.60, 811
06/19/24, 43.00, 43.00, 42.90, 42.90, 1017
06/18/24, 43.00, 43.00, 43.00, 43.00, 550
06/14/24, 43.00, 43.00, 43.00, 43.00, 304
06/13/24, 43.90, 43.90, 43.50, 43.50, 10271
06/10/24, 44.00, 44.00, 43.00, 43.90, 992
06/07/24, 44.50, 44.60, 43.10, 43.10, 2255
06/06/24, 44.80, 44.80, 44.70, 44.70, 115
06/05/24, 45.00, 45.00, 45.00, 43.20, 30
06/03/24, 45.60, 45.60, 43.00, 43.20, 1789
05/31/24, 45.70, 45.70, 45.70, 45.70, 1260
05/30/24, 43.10, 43.10, 43.10, 43.50, 2
05/29/24, 43.80, 43.80, 43.50, 43.50, 290
05/28/24, 43.60, 44.00, 43.50, 43.50, 3134
05/27/24, 44.80, 44.80, 44.80, 44.80, 101
