Date, Open, High, Low, Close, Volume
04/24/25, 1015.00, 1070.00, 1015.00, 1050.00, 56510
04/23/25, 1010.25, 1015.25, 1010.25, 1037.50, 44
04/22/25, 1043.50, 1044.00, 1002.25, 1037.50, 222
04/21/25, 1039.50, 1050.00, 1039.50, 1043.50, 3275
04/17/25, 1050.00, 1050.00, 1037.25, 1048.75, 95
04/16/25, 1025.00, 1050.00, 1025.00, 1048.75, 2649
04/11/25, 1052.50, 1069.00, 1049.00, 1050.00, 8609
04/10/25, 1050.00, 1078.00, 1025.00, 1043.25, 10562
04/09/25, 1048.00, 1079.00, 1000.00, 1050.00, 8629
04/08/25, 997.00, 1012.00, 980.00, 1009.25, 106526
04/07/25, 948.00, 997.00, 900.00, 956.75, 907997
04/04/25, 947.00, 979.75, 904.50, 970.00, 3084
04/03/25, 960.00, 978.00, 957.00, 977.00, 4011
04/02/25, 985.00, 985.00, 956.00, 976.75, 9549
04/01/25, 977.00, 977.00, 959.00, 974.00, 10772
03/28/25, 903.25, 940.00, 903.25, 920.75, 179
03/27/25, 932.00, 932.00, 902.00, 921.25, 73
03/26/25, 930.00, 932.00, 920.00, 921.25, 108
03/25/25, 948.50, 948.50, 933.50, 934.00, 228
03/24/25, 949.50, 949.50, 945.50, 948.50, 101
03/21/25, 950.00, 950.00, 949.50, 953.75, 19
03/20/25, 953.75, 953.75, 953.00, 953.75, 102
03/19/25, 960.00, 970.00, 960.00, 953.75, 7
03/18/25, 950.00, 960.00, 900.25, 953.75, 298
03/17/25, 977.50, 977.50, 930.00, 948.50, 842
03/14/25, 975.00, 975.00, 930.25, 969.50, 280
03/12/25, 960.00, 969.75, 915.00, 917.50, 679
03/11/25, 987.75, 987.75, 970.00, 970.00, 55
03/10/25, 987.50, 988.00, 944.00, 970.00, 71
03/07/25, 970.00, 970.00, 941.75, 970.00, 13
03/06/25, 941.25, 970.00, 941.25, 970.00, 5373
03/05/25, 980.50, 980.50, 980.50, 941.00, 8
03/04/25, 990.00, 990.00, 940.00, 941.00, 379
03/03/25, 996.00, 999.00, 975.00, 997.75, 32
02/28/25, 997.75, 998.75, 996.00, 997.75, 1087
02/27/25, 1000.00, 1000.00, 940.00, 957.00, 374
02/25/25, 1000.00, 1000.00, 950.00, 952.75, 996
02/24/25, 992.50, 1000.00, 960.00, 984.25, 2887
02/21/25, 993.00, 1015.00, 993.00, 995.00, 727
02/20/25, 1005.00, 1005.00, 992.50, 994.75, 285
02/19/25, 999.00, 1019.50, 999.00, 1000.25, 2373
02/18/25, 1028.75, 1028.75, 999.00, 1000.00, 7048
02/17/25, 1001.25, 1034.00, 998.00, 1028.75, 11705
02/14/25, 1035.75, 1035.75, 1007.00, 1012.50, 1439
02/13/25, 1038.75, 1038.75, 1020.00, 1025.75, 255
02/11/25, 1015.00, 1045.75, 1006.00, 1015.25, 192
02/10/25, 1048.00, 1048.00, 1045.75, 1048.75, 50
02/07/25, 1020.25, 1053.75, 1006.00, 1048.75, 492
02/06/25, 1069.00, 1069.00, 1005.00, 1049.25, 391
02/05/25, 1051.75, 1148.25, 1000.00, 1066.75, 12993
02/03/25, 1175.50, 1175.50, 1050.00, 1051.75, 36548
01/31/25, 1174.75, 1175.00, 1102.75, 1119.75, 9763
01/30/25, 1140.25, 1175.00, 1130.00, 1151.50, 63248
01/29/25, 1188.50, 1188.75, 1140.00, 1143.75, 8663
01/28/25, 1195.50, 1195.50, 1130.00, 1134.00, 4974
01/27/25, 1155.50, 1197.75, 1140.50, 1195.50, 354
01/24/25, 1181.00, 1200.00, 1155.00, 1158.75, 5730
01/23/25, 1162.00, 1205.00, 1162.00, 1180.00, 12662
01/22/25, 1200.00, 1205.00, 1170.00, 1176.75, 18346
01/21/25, 1179.00, 1200.00, 1152.00, 1198.25, 8457
01/20/25, 1195.75, 1200.00, 1150.00, 1151.25, 52941
01/17/25, 1190.00, 1205.00, 1143.00, 1156.00, 12841
01/16/25, 1250.00, 1250.00, 1180.00, 1180.25, 12314
01/15/25, 1250.00, 1288.00, 1202.00, 1210.50, 31640
01/10/25, 1200.25, 1250.00, 1200.00, 1226.00, 5658
01/09/25, 1199.50, 1220.00, 1180.00, 1204.25, 36322
01/08/25, 1175.00, 1220.00, 1166.00, 1201.75, 62923
01/07/25, 1000.00, 1200.00, 1000.00, 1175.50, 58427
01/06/25, 1010.00, 1014.00, 1000.00, 1005.25, 12690
01/03/25, 979.50, 1025.00, 950.00, 1001.00, 52605
01/02/25, 940.00, 983.00, 930.00, 958.50, 3579
12/31/24, 950.00, 950.00, 920.25, 926.75, 7743
12/30/24, 940.00, 955.00, 926.00, 941.00, 3795
12/27/24, 949.75, 952.75, 920.00, 928.75, 5840
12/26/24, 940.00, 950.50, 936.00, 936.50, 1719
12/24/24, 975.00, 975.00, 940.00, 945.00, 7157
12/23/24, 1000.00, 1000.00, 938.00, 956.00, 20104
12/20/24, 990.00, 1070.00, 985.00, 993.50, 20722
12/19/24, 920.50, 1074.00, 907.25, 984.50, 104602
12/18/24, 724.25, 920.25, 721.25, 915.00, 41290
12/17/24, 747.25, 747.25, 724.50, 736.25, 465
12/16/24, 725.50, 750.00, 721.25, 747.50, 938
12/13/24, 735.00, 760.00, 720.00, 755.50, 5646
12/12/24, 744.50, 744.75, 740.00, 741.00, 312
12/11/24, 741.25, 750.00, 741.25, 745.25, 1264
12/10/24, 760.00, 760.00, 742.25, 746.75, 1704
12/09/24, 764.00, 779.00, 757.50, 761.00, 11564
12/06/24, 749.50, 762.00, 749.50, 754.75, 13620
12/05/24, 735.25, 767.00, 735.25, 750.00, 5085
12/04/24, 751.00, 769.00, 735.00, 738.00, 1171
12/03/24, 679.75, 790.00, 660.75, 751.00, 12563
12/02/24, 680.00, 680.00, 679.00, 680.00, 440
11/29/24, 680.00, 680.00, 651.50, 678.75, 73
11/28/24, 665.00, 680.00, 665.00, 678.75, 444
11/27/24, 661.00, 680.00, 661.00, 676.75, 7701
11/26/24, 680.00, 680.00, 645.00, 659.50, 832
11/25/24, 679.75, 679.75, 640.00, 657.25, 541
11/22/24, 648.00, 680.00, 635.00, 667.25, 6103
11/21/24, 650.00, 651.00, 630.25, 633.75, 451
11/20/24, 651.25, 651.25, 646.25, 651.00, 137
11/19/24, 651.25, 662.75, 651.25, 652.50, 126
11/18/24, 640.00, 655.00, 639.00, 654.75, 17693
11/14/24, 624.00, 644.75, 624.00, 638.75, 636
11/13/24, 619.00, 630.00, 611.25, 627.00, 28671
11/12/24, 615.00, 625.00, 611.00, 624.00, 528
11/11/24, 598.00, 619.75, 598.00, 619.75, 1896
11/08/24, 609.75, 609.75, 600.00, 600.00, 1200
11/07/24, 600.25, 600.25, 600.00, 600.00, 3001
11/06/24, 600.75, 606.00, 600.00, 600.50, 5620
11/05/24, 605.00, 609.75, 600.00, 600.25, 5086
11/04/24, 601.00, 606.75, 592.00, 606.00, 6587
11/01/24, 606.00, 606.00, 602.00, 603.00, 106
10/30/24, 606.75, 606.75, 597.75, 604.75, 238
10/29/24, 606.00, 606.00, 598.00, 599.00, 307
10/28/24, 608.75, 608.75, 593.25, 606.00, 88
10/25/24, 607.75, 607.75, 603.00, 606.00, 51
10/24/24, 581.50, 609.50, 581.25, 606.00, 119
10/23/24, 600.00, 600.00, 585.00, 588.50, 1911
10/22/24, 600.00, 600.00, 600.00, 609.25, 6
10/21/24, 610.00, 610.00, 595.00, 609.25, 365
10/18/24, 609.75, 610.00, 590.00, 610.00, 3804
10/16/24, 599.75, 604.75, 580.00, 600.00, 5673
10/15/24, 579.25, 600.00, 554.00, 585.00, 5025
10/14/24, 550.00, 579.00, 550.00, 550.75, 225
10/11/24, 565.00, 580.00, 560.00, 560.50, 3869
10/10/24, 578.00, 578.00, 570.00, 579.75, 46
10/09/24, 579.75, 584.00, 562.00, 579.75, 736
10/08/24, 559.00, 575.00, 558.00, 575.00, 128
10/07/24, 574.00, 582.25, 560.00, 560.75, 1748
10/04/24, 580.00, 580.00, 562.00, 562.25, 245
10/03/24, 580.00, 580.00, 580.00, 594.25, 1
10/02/24, 580.00, 580.00, 557.00, 594.25, 7
10/01/24, 590.00, 590.00, 553.00, 594.25, 93
09/30/24, 547.25, 600.00, 547.25, 594.25, 335
09/27/24, 544.00, 600.00, 544.00, 547.25, 65013
09/26/24, 531.25, 540.00, 530.00, 530.25, 3814
09/25/24, 525.00, 555.00, 525.00, 531.00, 7480
09/24/24, 535.00, 535.00, 515.00, 515.25, 3161
09/23/24, 522.00, 535.00, 515.00, 523.50, 638
09/20/24, 535.00, 535.00, 519.00, 520.25, 1263
09/19/24, 530.00, 545.00, 530.00, 539.00, 207
09/18/24, 526.00, 550.00, 526.00, 545.00, 1571
09/13/24, 525.00, 525.00, 524.50, 525.00, 540
09/12/24, 525.00, 526.00, 525.00, 525.75, 574
09/10/24, 530.00, 530.00, 520.00, 516.25, 4
09/09/24, 531.00, 531.00, 515.00, 516.25, 131
09/06/24, 520.00, 520.00, 520.00, 520.00, 6
09/05/24, 547.00, 547.00, 520.00, 520.00, 1058
09/04/24, 526.00, 549.00, 526.00, 529.00, 21
09/03/24, 529.50, 529.50, 529.50, 529.00, 2
09/02/24, 529.00, 529.00, 528.75, 529.00, 1018
08/30/24, 522.75, 549.50, 514.00, 524.25, 5206
08/29/24, 522.75, 522.75, 522.00, 522.75, 206
08/28/24, 520.00, 525.00, 520.00, 524.75, 646
