Date, Open, High, Low, Close, Volume
04/24/25, 71.00, 71.00, 70.50, 70.60, 8066
04/23/25, 70.20, 72.00, 70.10, 71.00, 40273
04/22/25, 72.60, 72.60, 70.00, 70.80, 54051
04/21/25, 72.60, 73.00, 72.30, 72.40, 3085
04/17/25, 73.50, 73.60, 71.00, 72.60, 8899
04/16/25, 74.00, 74.00, 72.30, 73.00, 13153
04/11/25, 74.00, 74.00, 71.00, 72.10, 29077
04/10/25, 71.50, 74.00, 71.50, 73.00, 167728
04/09/25, 72.00, 72.00, 70.20, 70.50, 5365962
04/08/25, 69.50, 72.90, 69.10, 72.00, 353486
04/07/25, 72.00, 72.00, 69.50, 70.50, 3252887
04/04/25, 72.10, 73.90, 71.40, 71.60, 1145936
04/03/25, 73.50, 74.30, 71.90, 72.80, 40182
04/02/25, 74.30, 74.30, 73.80, 73.90, 17105
04/01/25, 73.50, 74.50, 73.00, 74.30, 85391
03/28/25, 73.90, 73.90, 73.00, 73.10, 9686
03/27/25, 73.90, 73.90, 72.80, 73.00, 5138
03/26/25, 73.30, 74.00, 72.60, 73.10, 8036
03/25/25, 74.90, 74.90, 72.50, 73.30, 18024
03/24/25, 73.00, 74.90, 72.50, 74.00, 35440
03/21/25, 71.20, 72.50, 71.20, 72.00, 28203
03/20/25, 71.40, 72.50, 71.20, 72.00, 94851
03/19/25, 71.00, 71.50, 71.00, 71.20, 45520
03/18/25, 72.00, 72.00, 71.00, 71.30, 438359
03/17/25, 72.90, 72.90, 71.50, 72.00, 61292
03/14/25, 72.00, 73.40, 72.00, 73.00, 7847
03/12/25, 71.10, 72.90, 70.50, 72.00, 143313
03/11/25, 71.20, 72.10, 70.50, 71.00, 287861
03/10/25, 74.80, 74.80, 72.00, 72.10, 9846
03/07/25, 74.90, 74.90, 72.70, 73.40, 48002
03/06/25, 75.80, 75.80, 73.00, 73.50, 31347
03/05/25, 71.20, 76.20, 71.20, 75.00, 245472
03/04/25, 73.00, 73.00, 71.00, 71.60, 104762
03/03/25, 72.50, 75.00, 71.50, 71.50, 198933
02/28/25, 72.50, 74.50, 72.50, 72.80, 27978
02/27/25, 72.10, 74.00, 71.80, 72.40, 34625
02/25/25, 74.00, 74.00, 71.00, 71.70, 72916
02/24/25, 74.50, 74.80, 73.40, 74.00, 147381
02/21/25, 74.90, 74.90, 73.80, 74.50, 36691
02/20/25, 75.80, 75.80, 73.90, 74.00, 94656
02/19/25, 77.30, 77.30, 74.00, 75.00, 123124
02/18/25, 78.30, 78.30, 75.60, 77.30, 31229
