Date, Open, High, Low, Close, Volume
04/23/25, 1126.00, 1126.00, 1090.00, 1118.25, 141
04/22/25, 1080.25, 1080.25, 1080.25, 1088.25, 1
04/21/25, 1091.75, 1091.75, 1075.00, 1088.25, 22
04/17/25, 1091.00, 1099.00, 1075.00, 1088.25, 64
04/16/25, 1088.50, 1100.00, 1070.00, 1088.25, 25
04/10/25, 1100.00, 1100.00, 1087.00, 1088.25, 245
04/09/25, 1088.00, 1099.00, 1088.00, 1099.25, 54
04/08/25, 1100.00, 1100.00, 1085.00, 1099.25, 131
04/07/25, 1020.00, 1100.00, 1020.00, 1098.50, 54
04/04/25, 1075.00, 1075.00, 1075.00, 1098.50, 3
04/03/25, 1110.00, 1110.00, 1085.00, 1098.50, 237
04/02/25, 1100.00, 1149.00, 1100.00, 1110.00, 168
04/01/25, 1090.00, 1100.00, 1090.00, 1097.75, 101
03/25/25, 1100.00, 1100.00, 1070.00, 1090.00, 94
03/24/25, 1064.50, 1115.00, 1064.50, 1090.00, 17
03/21/25, 1065.25, 1065.25, 1052.00, 1090.00, 25
03/20/25, 1060.00, 1090.00, 1060.00, 1090.00, 107
03/19/25, 1060.00, 1060.00, 1060.00, 1100.00, 77
03/18/25, 1052.00, 1099.00, 1052.00, 1100.00, 67
03/17/25, 1099.00, 1099.00, 1099.00, 1100.00, 50
03/12/25, 1010.00, 1010.00, 1010.00, 1100.00, 9
03/11/25, 1002.50, 1095.00, 1002.50, 1100.00, 5
03/10/25, 1094.75, 1095.00, 1090.50, 1100.00, 16
03/07/25, 1120.00, 1120.00, 1100.00, 1100.00, 238
03/06/25, 1000.50, 1120.00, 1000.50, 1062.00, 103
03/03/25, 1080.50, 1080.50, 1060.00, 1060.00, 26
02/28/25, 1060.00, 1090.00, 1060.00, 1060.00, 15
02/27/25, 1060.00, 1060.00, 1060.00, 1060.00, 100
02/25/25, 1110.00, 1120.00, 960.00, 1061.25, 1099
02/24/25, 1101.00, 1120.00, 1100.00, 1101.00, 82
02/20/25, 1075.00, 1075.00, 1075.00, 1101.00, 1
02/18/25, 1100.25, 1149.00, 1100.00, 1101.00, 533
02/17/25, 1111.00, 1111.00, 1111.00, 1111.00, 260
02/14/25, 1100.00, 1100.00, 1100.00, 1111.00, 2
02/11/25, 1127.00, 1167.25, 1100.25, 1111.00, 93
02/10/25, 1168.00, 1168.00, 1125.00, 1111.00, 44
02/07/25, 1115.00, 1115.00, 1115.00, 1111.00, 8
02/06/25, 1113.00, 1113.00, 1111.00, 1111.00, 541
02/05/25, 1199.75, 1199.75, 1112.00, 1121.00, 107
02/03/25, 1200.00, 1200.00, 1120.00, 1170.75, 255
01/31/25, 1155.00, 1160.00, 1125.00, 1155.75, 212
01/30/25, 1119.00, 1123.00, 1115.00, 1119.00, 423
01/29/25, 1091.00, 1117.75, 1091.00, 1100.00, 42
01/28/25, 1100.00, 1100.00, 1100.00, 1100.00, 66
01/27/25, 1100.00, 1100.00, 1100.00, 1100.00, 100
01/24/25, 1100.25, 1119.75, 1100.00, 1100.00, 211
01/23/25, 1118.00, 1118.00, 1099.00, 1100.00, 352
01/22/25, 1118.00, 1118.00, 1105.00, 1100.00, 10
01/21/25, 1100.00, 1100.25, 1100.00, 1100.00, 149
01/20/25, 1120.00, 1120.00, 1100.00, 1102.00, 326
01/17/25, 1120.00, 1120.00, 1100.00, 1116.00, 122
01/16/25, 1118.00, 1118.00, 1109.00, 1110.25, 226
01/15/25, 1109.50, 1120.00, 1109.50, 1115.00, 516
01/10/25, 1066.00, 1150.00, 1066.00, 1066.25, 92
01/09/25, 1070.00, 1070.00, 1070.00, 1066.25, 8
01/08/25, 1066.00, 1098.00, 1065.00, 1066.25, 72
01/07/25, 1070.00, 1070.00, 1066.00, 1066.25, 100
01/06/25, 1065.00, 1074.00, 1065.00, 1065.00, 17
01/03/25, 1064.75, 1120.00, 1064.75, 1065.00, 73
01/02/25, 1065.00, 1065.00, 1050.00, 1065.00, 648
12/31/24, 1065.00, 1065.00, 1062.00, 1064.75, 399
12/30/24, 1065.00, 1065.00, 1056.00, 1064.50, 361
12/27/24, 1065.00, 1065.00, 1060.00, 1065.00, 848
12/26/24, 1065.00, 1065.00, 1065.00, 1065.00, 1004
12/24/24, 1066.00, 1066.00, 1065.00, 1066.00, 714
12/23/24, 1070.00, 1070.00, 1065.00, 1065.50, 320
12/20/24, 1080.00, 1085.00, 1080.00, 1060.25, 11
12/19/24, 1070.00, 1095.00, 1065.25, 1060.25, 13
12/18/24, 1070.00, 1091.00, 1070.00, 1060.25, 9
12/17/24, 1066.00, 1078.75, 1050.00, 1060.25, 672
12/16/24, 1078.00, 1090.00, 1078.00, 1079.75, 70
12/13/24, 1050.00, 1078.00, 1050.00, 1079.75, 23
12/12/24, 1078.00, 1078.00, 1078.00, 1079.75, 37
12/11/24, 1080.00, 1080.00, 1076.00, 1079.75, 318
12/10/24, 1100.00, 1100.00, 1090.00, 1080.00, 19
12/09/24, 1097.00, 1097.00, 1097.00, 1080.00, 5
12/06/24, 1100.00, 1100.00, 1095.00, 1080.00, 17
12/05/24, 1061.25, 1100.00, 1061.25, 1080.00, 63
12/02/24, 1098.00, 1098.00, 1050.00, 1080.00, 7
11/29/24, 1080.00, 1098.00, 1055.00, 1080.00, 94
11/28/24, 1055.00, 1080.00, 1055.00, 1080.00, 261
11/21/24, 1048.00, 1048.00, 1048.00, 1050.75, 80
11/20/24, 1055.00, 1060.00, 1050.00, 1050.75, 239
11/19/24, 1060.00, 1060.00, 1051.00, 1057.00, 172
11/14/24, 1060.00, 1060.00, 1053.00, 1053.75, 412
11/13/24, 1065.00, 1065.00, 1055.00, 1056.25, 164
11/12/24, 1074.00, 1074.00, 1055.00, 1053.50, 3
11/11/24, 1074.00, 1074.00, 1053.25, 1053.50, 520
11/08/24, 1070.00, 1074.00, 1070.00, 1072.25, 242
11/07/24, 1069.75, 1069.75, 1069.75, 1069.75, 4
11/06/24, 1069.75, 1070.00, 1069.75, 1069.75, 212
11/04/24, 1095.00, 1095.00, 1079.00, 1012.00, 30
10/30/24, 1057.00, 1060.00, 1057.00, 1012.00, 20
10/29/24, 1028.00, 1028.00, 1028.00, 1012.00, 5
10/28/24, 1057.00, 1057.00, 1057.00, 1012.00, 6
10/25/24, 1125.00, 1125.00, 1010.00, 1012.00, 112
10/23/24, 1060.00, 1071.00, 1060.00, 1060.25, 250
10/22/24, 1070.00, 1071.00, 1060.00, 1070.25, 15
10/21/24, 1075.00, 1075.00, 1070.00, 1070.25, 201
10/18/24, 1083.00, 1085.00, 1075.00, 1083.00, 9
10/16/24, 1080.00, 1086.00, 1080.00, 1083.00, 53
10/15/24, 1020.00, 1020.00, 1020.00, 1083.00, 36
10/14/24, 1075.00, 1080.00, 1070.00, 1083.00, 11
10/11/24, 1089.00, 1089.00, 1070.00, 1083.00, 113
10/07/24, 1010.00, 1010.00, 1002.00, 1003.00, 100
10/03/24, 1045.00, 1249.00, 1045.00, 1002.00, 90
10/02/24, 1002.00, 1005.00, 1002.00, 1002.00, 105
10/01/24, 1010.00, 1010.50, 1002.00, 1004.00, 129
09/27/24, 1023.00, 1023.00, 1023.00, 1044.75, 5
09/26/24, 1066.50, 1079.00, 1000.00, 1044.75, 120
09/25/24, 1050.00, 1050.00, 1040.00, 1066.75, 9
09/24/24, 1033.00, 1065.00, 1033.00, 1066.75, 74
09/20/24, 1040.00, 1040.00, 1040.00, 1066.75, 5
09/19/24, 1068.00, 1080.00, 1033.00, 1066.75, 127
09/18/24, 1079.00, 1079.00, 1025.00, 1025.00, 51
09/13/24, 1024.75, 1030.00, 1024.75, 1025.00, 205
09/12/24, 1005.00, 1024.00, 1005.00, 1025.00, 24
09/10/24, 1005.00, 1005.00, 1005.00, 1025.00, 1
09/09/24, 1000.50, 1020.00, 1000.50, 1025.00, 54
09/04/24, 984.75, 984.75, 984.75, 1025.00, 1
09/03/24, 1025.75, 1025.75, 985.00, 1025.00, 17
09/02/24, 1026.00, 1026.00, 1026.00, 1025.00, 5
08/30/24, 982.00, 982.00, 982.00, 1025.00, 3
08/26/24, 1023.75, 1023.75, 1000.00, 1025.00, 11
08/23/24, 1024.75, 1024.75, 1024.00, 1025.00, 2
08/22/24, 1025.00, 1025.00, 1025.00, 1025.00, 1
08/21/24, 1029.75, 1029.75, 1015.00, 1025.00, 8
08/20/24, 1015.00, 1015.00, 1015.00, 1025.00, 20
08/16/24, 1028.50, 1028.50, 1010.00, 1025.00, 5
08/15/24, 1030.00, 1030.00, 1030.00, 1025.00, 5
08/14/24, 1010.00, 1010.00, 1010.00, 1025.00, 10
08/13/24, 1005.00, 1005.00, 1005.00, 1025.00, 2
08/12/24, 1000.00, 1000.00, 1000.00, 1025.00, 7
08/09/24, 1000.00, 1000.00, 1000.00, 1025.00, 1
08/08/24, 1005.00, 1034.75, 1000.00, 1025.00, 15
08/07/24, 1035.00, 1035.00, 1035.00, 1025.00, 1
08/06/24, 1005.00, 1030.00, 1005.00, 1025.00, 65
08/05/24, 1021.00, 1021.00, 1005.00, 1025.00, 3
08/02/24, 1025.00, 1025.00, 1021.25, 1025.00, 6
08/01/24, 1025.00, 1025.00, 1021.50, 1025.00, 6
07/31/24, 1021.75, 1021.75, 1021.75, 1025.00, 1
07/30/24, 1022.00, 1025.00, 1022.00, 1025.00, 6
07/29/24, 1020.00, 1020.00, 1020.00, 1025.00, 5
07/26/24, 1025.00, 1025.00, 1020.00, 1025.00, 31
07/25/24, 1021.25, 1025.00, 1021.25, 1025.00, 141
07/24/24, 1021.50, 1021.50, 1021.50, 1000.00, 1
07/23/24, 1021.75, 1021.75, 1021.75, 1000.00, 1
07/22/24, 1022.00, 1022.00, 1022.00, 1000.00, 1
07/19/24, 999.00, 999.00, 999.00, 1000.00, 20
07/18/24, 1005.00, 1005.00, 1000.00, 1000.00, 680
07/16/24, 1000.00, 1000.00, 1000.00, 1000.75, 10
07/15/24, 999.00, 1022.00, 999.00, 1000.75, 22
07/12/24, 1006.00, 1006.00, 999.00, 1000.75, 9
07/10/24, 1000.00, 1007.00, 1000.00, 1000.75, 287
07/09/24, 1024.00, 1024.00, 1017.75, 1010.00, 8
07/08/24, 1018.50, 1018.50, 1018.00, 1010.00, 17
07/05/24, 1024.75, 1025.00, 1018.75, 1010.00, 25
07/04/24, 1019.00, 1019.00, 1014.75, 1010.00, 26
