Date, Open, High, Low, Close, Volume
04/24/25, 49.20, 50.70, 49.20, 50.40, 854835
04/23/25, 49.00, 49.50, 48.50, 48.60, 459317
04/22/25, 49.00, 49.00, 48.20, 48.60, 120252
04/21/25, 49.50, 49.50, 48.00, 48.10, 363514
04/17/25, 50.00, 50.00, 49.00, 49.50, 120824
04/16/25, 49.70, 49.90, 49.00, 49.30, 173420
04/11/25, 51.00, 51.00, 49.50, 49.70, 201399
04/10/25, 51.00, 53.00, 49.90, 50.70, 2706469
04/09/25, 48.90, 48.90, 46.00, 46.70, 750050
04/08/25, 47.00, 49.00, 47.00, 49.00, 646781
04/07/25, 51.20, 51.20, 45.90, 47.40, 2652384
04/04/25, 52.30, 52.90, 51.50, 51.80, 1357742
04/03/25, 53.00, 54.00, 50.70, 53.00, 3550810
04/02/25, 57.00, 58.00, 57.00, 57.10, 1084509
04/01/25, 55.00, 58.00, 55.00, 57.00, 428258
03/28/25, 55.00, 55.60, 54.90, 55.00, 122735
03/27/25, 55.00, 55.20, 54.60, 55.00, 344576
03/26/25, 55.90, 55.90, 54.50, 54.90, 315646
03/25/25, 57.00, 57.00, 55.00, 55.20, 953631
03/24/25, 57.10, 57.20, 56.50, 56.90, 499655
03/21/25, 54.00, 57.30, 54.00, 56.90, 493003
03/20/25, 53.00, 55.80, 53.00, 55.00, 216412
03/19/25, 53.50, 54.20, 53.00, 53.10, 166821
03/18/25, 53.70, 54.50, 53.30, 53.50, 407472
03/17/25, 55.40, 55.40, 53.60, 54.20, 223319
03/14/25, 55.80, 56.00, 55.00, 55.40, 162802
03/12/25, 53.60, 55.90, 53.40, 55.70, 586454
03/11/25, 55.10, 55.50, 53.80, 54.00, 536401
03/10/25, 56.10, 56.10, 55.20, 55.60, 98907
03/07/25, 56.10, 56.50, 55.90, 56.30, 101722
03/06/25, 57.50, 58.30, 55.90, 56.40, 205579
03/05/25, 54.60, 57.50, 54.60, 57.00, 777855
03/04/25, 55.70, 56.50, 54.10, 54.50, 969942
03/03/25, 57.20, 58.00, 55.50, 55.70, 189788
02/28/25, 58.50, 59.00, 57.50, 58.00, 117891
02/27/25, 57.00, 58.90, 55.60, 58.00, 252106
02/25/25, 58.00, 58.00, 55.80, 57.10, 527357
02/24/25, 59.70, 59.70, 57.00, 58.00, 351376
02/21/25, 59.60, 60.50, 59.60, 59.90, 436374
02/20/25, 60.10, 60.50, 59.40, 59.80, 2104486
02/19/25, 61.20, 61.70, 59.50, 60.50, 1468470
02/18/25, 62.00, 62.10, 60.00, 60.90, 889474
02/17/25, 58.90, 62.50, 58.90, 62.10, 2198552
02/14/25, 56.50, 59.00, 56.50, 58.60, 696807
02/13/25, 55.90, 56.70, 55.50, 56.50, 666631
02/11/25, 57.60, 58.00, 55.70, 56.10, 565206
02/10/25, 59.00, 59.20, 57.50, 57.60, 673240
02/07/25, 58.40, 59.00, 58.00, 58.80, 1154063
02/06/25, 54.60, 58.30, 54.00, 57.80, 1390794
02/05/25, 58.90, 58.90, 55.00, 55.60, 1804476
