Date, Open, High, Low, Close, Volume
04/24/25, 36.50, 36.50, 35.50, 35.60, 198459
04/23/25, 36.50, 36.50, 35.90, 36.00, 61512
04/22/25, 36.50, 36.50, 35.50, 36.00, 624468
04/21/25, 36.00, 36.80, 36.00, 36.10, 58435
04/17/25, 36.50, 36.50, 35.80, 36.00, 129101
04/16/25, 36.60, 36.60, 36.20, 36.40, 30062
04/11/25, 36.30, 36.30, 36.00, 36.10, 48250
04/10/25, 35.50, 36.80, 35.50, 36.40, 549538
04/09/25, 35.90, 35.90, 34.50, 34.60, 521100
04/08/25, 34.10, 35.90, 34.10, 35.80, 178739
04/07/25, 35.90, 35.90, 34.00, 34.40, 365807
04/04/25, 36.90, 37.00, 35.50, 36.00, 175295
04/03/25, 37.90, 37.90, 36.60, 36.90, 176184
04/02/25, 37.00, 38.00, 37.00, 38.00, 114353
04/01/25, 36.40, 37.00, 36.20, 37.00, 142369
03/28/25, 35.90, 36.50, 35.90, 36.40, 30089
03/27/25, 35.30, 35.90, 35.30, 35.70, 174428
03/26/25, 35.60, 35.60, 35.20, 35.30, 25191
03/25/25, 35.80, 35.80, 35.00, 35.60, 951082
03/24/25, 35.00, 35.80, 34.90, 35.00, 181170
03/21/25, 35.00, 35.10, 34.90, 35.00, 72116
03/20/25, 34.90, 35.10, 34.00, 34.80, 656806
03/19/25, 34.50, 35.00, 34.20, 34.60, 304225
03/18/25, 34.70, 34.70, 34.30, 34.30, 97093
03/17/25, 35.00, 35.00, 34.40, 34.50, 804962
03/14/25, 34.90, 35.90, 34.50, 34.60, 948521
03/12/25, 33.90, 34.80, 33.70, 34.20, 100629
03/11/25, 34.90, 34.90, 33.90, 33.90, 144769
03/10/25, 35.30, 35.30, 34.80, 34.90, 78227
03/07/25, 35.10, 35.10, 34.90, 35.00, 64914
03/06/25, 35.80, 35.80, 35.00, 35.10, 124354
03/05/25, 34.90, 35.50, 34.80, 35.10, 152080
03/04/25, 35.00, 35.10, 34.80, 34.90, 240959
03/03/25, 35.90, 36.00, 34.90, 35.00, 340173
02/28/25, 35.50, 36.10, 35.40, 35.90, 84121
02/27/25, 35.60, 37.00, 35.50, 36.50, 61831
02/25/25, 37.00, 37.00, 35.10, 35.70, 422839
02/24/25, 37.20, 37.20, 36.60, 36.60, 1084324
02/21/25, 37.60, 37.70, 36.80, 36.90, 865866
02/20/25, 38.00, 38.00, 37.00, 37.10, 1060198
02/19/25, 37.50, 38.00, 37.40, 37.70, 53307
