Date, Open, High, Low, Close, Volume
04/24/25, 45.20, 46.00, 44.50, 45.30, 69193
04/23/25, 45.00, 46.00, 45.00, 45.70, 14130
04/22/25, 45.60, 46.40, 45.00, 45.10, 22516
04/21/25, 46.60, 46.70, 46.00, 46.10, 31355
04/17/25, 47.40, 47.40, 45.20, 46.60, 10671
04/16/25, 45.90, 47.90, 45.90, 47.70, 8610
04/11/25, 46.00, 46.00, 44.40, 45.60, 2890
04/10/25, 44.80, 46.00, 44.10, 45.50, 40986
04/09/25, 44.80, 44.80, 42.80, 43.00, 9443
04/08/25, 42.70, 44.90, 42.70, 44.90, 71015
04/07/25, 45.00, 45.00, 42.80, 43.60, 193220
04/04/25, 45.70, 46.60, 44.10, 46.40, 12671
04/03/25, 46.90, 47.90, 45.60, 46.20, 41206
04/02/25, 49.20, 49.50, 46.40, 46.60, 57434
04/01/25, 45.80, 49.00, 45.60, 47.50, 57136
03/28/25, 44.70, 45.80, 44.00, 45.70, 30469
03/27/25, 45.50, 45.90, 44.50, 44.60, 38502
03/26/25, 46.70, 46.70, 44.80, 45.30, 64514
03/25/25, 47.00, 47.50, 46.90, 46.90, 2155
03/24/25, 47.80, 48.00, 47.50, 47.60, 16923
03/21/25, 47.00, 48.00, 47.00, 47.90, 27150
03/20/25, 44.90, 47.00, 44.20, 46.40, 138333
03/19/25, 45.80, 45.80, 44.00, 44.10, 22101
03/18/25, 44.90, 44.90, 44.00, 44.90, 9039
03/17/25, 46.60, 46.60, 44.00, 45.00, 162986
03/14/25, 45.60, 47.50, 45.00, 45.20, 123056
03/12/25, 44.80, 48.00, 44.00, 45.40, 237393
03/11/25, 47.50, 48.50, 45.00, 45.60, 74608
03/10/25, 47.60, 50.00, 47.50, 47.60, 24399
03/07/25, 48.00, 49.10, 47.50, 49.00, 13530
03/06/25, 49.00, 49.10, 48.00, 48.00, 8407
03/05/25, 45.20, 48.90, 45.20, 48.60, 45501
