Date, Open, High, Low, Close, Volume
04/24/25, 12.10, 12.30, 12.00, 12.10, 605
04/23/25, 12.10, 12.10, 12.10, 12.10, 3000
04/22/25, 12.00, 12.30, 12.00, 12.10, 121
04/21/25, 12.50, 12.50, 12.40, 12.40, 402
04/17/25, 12.30, 12.50, 12.00, 12.00, 20821
04/11/25, 12.50, 12.50, 12.50, 12.50, 200
04/10/25, 12.20, 12.60, 12.20, 12.20, 15060
04/09/25, 12.20, 12.20, 12.10, 12.20, 511
04/07/25, 12.20, 12.80, 12.20, 12.60, 9966
04/04/25, 12.20, 12.60, 12.20, 12.30, 150
04/03/25, 12.80, 12.80, 12.70, 12.70, 110
04/02/25, 12.30, 12.40, 12.30, 12.30, 5101
04/01/25, 12.90, 12.90, 12.10, 12.20, 1270
03/28/25, 12.90, 12.90, 12.90, 12.80, 30
03/27/25, 12.80, 12.90, 12.80, 12.80, 7961
03/26/25, 12.40, 12.40, 12.40, 12.40, 1026
03/25/25, 12.40, 12.70, 12.40, 12.70, 109
03/24/25, 12.60, 12.60, 12.60, 12.60, 3000
03/21/25, 12.20, 12.90, 12.20, 12.90, 1500
03/20/25, 12.20, 12.90, 12.20, 12.50, 14652
03/19/25, 12.30, 12.30, 12.30, 12.30, 1000
03/18/25, 12.50, 12.50, 12.00, 12.00, 7649
03/17/25, 12.20, 12.50, 11.90, 12.00, 22304
03/12/25, 12.50, 12.50, 12.30, 12.30, 6001
03/11/25, 12.30, 12.70, 12.20, 12.70, 331
03/10/25, 12.80, 12.80, 12.40, 12.40, 1295
03/07/25, 12.30, 12.70, 12.30, 12.70, 3013
03/06/25, 12.70, 12.70, 12.10, 12.20, 10690
03/05/25, 12.50, 13.10, 11.50, 12.60, 21750
03/04/25, 13.00, 13.00, 12.00, 12.30, 40199
02/28/25, 13.50, 13.50, 13.00, 13.00, 11305
02/27/25, 13.10, 13.10, 13.10, 13.00, 10
02/25/25, 13.00, 13.00, 13.00, 13.00, 31000
02/24/25, 13.40, 13.50, 13.00, 13.00, 19394
02/21/25, 13.50, 13.60, 13.20, 13.30, 102388
02/19/25, 13.40, 13.40, 13.20, 13.20, 25261
02/18/25, 13.90, 13.90, 13.50, 13.60, 3901
02/17/25, 13.10, 14.00, 13.00, 13.90, 86475
02/14/25, 13.20, 13.50, 13.10, 13.10, 6509
02/13/25, 13.50, 13.70, 13.20, 13.20, 3222
02/11/25, 13.30, 13.30, 13.30, 13.30, 20
02/10/25, 13.50, 13.50, 13.20, 13.30, 3149
02/07/25, 13.40, 13.40, 13.30, 13.30, 610
02/06/25, 13.50, 13.50, 13.30, 13.40, 6005
02/05/25, 13.30, 13.30, 13.30, 13.30, 710
02/03/25, 13.30, 13.80, 13.30, 13.50, 99
01/31/25, 13.40, 13.50, 13.20, 13.50, 21295
01/30/25, 13.40, 13.40, 13.20, 13.30, 25659
01/29/25, 13.40, 13.40, 13.30, 13.40, 13942
01/28/25, 13.40, 13.40, 13.40, 13.40, 4050
01/27/25, 13.20, 13.20, 13.10, 13.20, 25527
01/24/25, 13.50, 13.50, 13.10, 13.20, 41654
01/23/25, 13.30, 13.80, 13.20, 13.20, 58370
01/22/25, 13.70, 13.80, 13.00, 13.20, 115782
01/21/25, 13.70, 13.70, 13.60, 13.70, 15311
01/20/25, 13.60, 13.80, 13.60, 13.80, 9060
01/17/25, 13.70, 13.70, 13.60, 13.60, 5066
01/16/25, 13.60, 13.90, 12.20, 13.70, 27441
01/15/25, 13.90, 13.90, 13.50, 13.60, 43851
01/10/25, 13.80, 13.80, 13.70, 13.80, 13755
01/09/25, 14.00, 14.00, 13.90, 13.90, 6319
01/08/25, 14.30, 14.30, 13.90, 14.00, 13981
01/07/25, 13.90, 14.30, 13.90, 14.20, 19032
01/06/25, 14.00, 14.00, 13.80, 13.90, 8864
01/03/25, 14.00, 14.50, 13.90, 13.90, 64418
01/02/25, 14.00, 14.50, 13.90, 14.10, 122750
12/31/24, 13.80, 14.40, 13.80, 13.80, 7928
12/30/24, 14.00, 14.50, 13.80, 13.90, 51129
12/27/24, 14.60, 14.80, 14.00, 14.10, 106934
12/26/24, 13.90, 15.00, 13.90, 14.50, 275980
12/24/24, 14.00, 14.00, 13.80, 13.90, 7771
12/23/24, 13.80, 14.30, 13.80, 14.00, 71069
12/20/24, 13.30, 13.70, 13.20, 13.50, 37237
12/19/24, 13.30, 13.70, 13.30, 13.70, 2587
12/18/24, 13.00, 13.50, 12.80, 13.50, 186934
12/17/24, 13.30, 13.50, 13.00, 13.00, 180874
12/16/24, 13.50, 13.80, 13.30, 13.40, 145358
12/13/24, 13.80, 13.90, 13.40, 13.50, 80391
12/12/24, 14.00, 14.10, 13.80, 13.90, 19618
12/11/24, 14.20, 14.20, 13.80, 13.80, 7307
12/10/24, 14.30, 14.30, 13.80, 14.20, 1402
12/09/24, 14.40, 14.40, 13.90, 14.10, 8994
12/06/24, 14.20, 14.40, 13.70, 14.00, 12018
12/05/24, 14.40, 14.40, 13.70, 14.00, 21981
12/04/24, 13.50, 14.00, 13.50, 14.00, 20471
12/03/24, 13.60, 13.90, 13.60, 13.90, 2300
12/02/24, 13.70, 13.70, 13.50, 13.50, 84215
11/29/24, 13.60, 14.00, 13.60, 13.60, 8450
11/28/24, 14.10, 14.10, 13.50, 13.60, 9981
11/27/24, 14.00, 14.00, 13.50, 13.60, 2910
11/26/24, 13.90, 14.40, 13.60, 13.60, 2617
11/25/24, 13.60, 14.50, 13.60, 13.80, 5176
11/22/24, 14.40, 14.40, 13.90, 14.30, 2150
11/21/24, 14.50, 14.50, 13.00, 13.50, 35744
11/20/24, 14.10, 14.10, 14.00, 14.10, 500
11/19/24, 14.30, 14.80, 14.00, 14.10, 16103
11/18/24, 14.80, 14.90, 14.30, 14.40, 26899
11/14/24, 14.70, 14.80, 14.70, 14.80, 5435
11/13/24, 14.20, 15.00, 14.20, 14.60, 7900
11/12/24, 14.00, 14.00, 14.00, 14.00, 12000
11/11/24, 14.20, 14.20, 14.00, 14.10, 150
11/08/24, 14.20, 14.20, 13.80, 13.90, 2400
11/07/24, 13.80, 13.80, 13.80, 13.90, 1
11/06/24, 13.90, 13.90, 13.90, 13.90, 2049
11/05/24, 14.20, 14.20, 13.90, 14.00, 750
11/04/24, 14.20, 14.20, 14.20, 14.20, 1000
11/01/24, 14.20, 14.20, 14.20, 14.20, 1000
10/30/24, 14.20, 14.80, 14.20, 14.20, 5229
10/29/24, 14.30, 14.30, 14.00, 14.20, 3780
10/28/24, 14.20, 14.80, 14.20, 14.70, 312
10/25/24, 14.30, 14.30, 14.00, 14.10, 1000
10/24/24, 14.50, 14.50, 14.40, 14.60, 82
10/23/24, 14.60, 14.60, 14.60, 14.60, 10
10/22/24, 15.00, 15.00, 15.00, 14.60, 24
10/21/24, 15.00, 15.00, 15.00, 14.60, 11
10/18/24, 14.60, 15.00, 14.60, 14.60, 12277
10/16/24, 15.00, 15.20, 14.60, 14.60, 106289
10/15/24, 13.80, 15.50, 13.80, 15.00, 204239
10/14/24, 13.30, 13.80, 13.30, 13.70, 80142
10/11/24, 13.00, 13.20, 13.00, 13.20, 339
10/10/24, 12.70, 13.30, 12.60, 13.30, 7400
10/09/24, 13.00, 13.40, 13.00, 13.10, 1900
10/08/24, 13.40, 13.40, 12.70, 12.80, 1332
10/07/24, 13.40, 13.40, 13.40, 12.60, 16
10/04/24, 12.80, 13.40, 12.50, 12.60, 14536
10/03/24, 13.40, 13.40, 13.40, 13.50, 62
10/02/24, 12.80, 13.50, 12.80, 13.50, 7003
10/01/24, 13.50, 13.50, 12.50, 12.70, 45632
09/30/24, 13.70, 13.70, 13.70, 13.20, 1
09/27/24, 13.20, 13.80, 13.20, 13.20, 501
09/26/24, 13.90, 14.00, 13.90, 14.00, 5901
09/25/24, 13.50, 13.90, 13.40, 13.50, 10126
09/24/24, 13.40, 13.50, 13.40, 13.40, 850
09/20/24, 12.70, 13.00, 12.30, 13.00, 22254
09/19/24, 12.70, 12.70, 12.70, 12.70, 70
09/18/24, 12.90, 12.90, 12.70, 12.70, 900
09/13/24, 12.90, 12.90, 12.80, 12.90, 139
09/11/24, 12.20, 12.20, 12.00, 12.10, 2640
