Date, Open, High, Low, Close, Volume
04/24/25, 121.00, 124.50, 121.00, 122.75, 12411
04/23/25, 120.00, 121.75, 120.00, 120.75, 8467
04/22/25, 118.50, 122.00, 118.00, 120.00, 22795
04/21/25, 117.00, 118.25, 117.00, 118.25, 3292
04/17/25, 118.00, 118.25, 118.00, 118.00, 2355
04/16/25, 116.00, 119.00, 115.75, 117.00, 9037
04/11/25, 118.75, 118.75, 117.00, 117.00, 6089
04/10/25, 115.25, 118.25, 115.25, 117.75, 8609
04/09/25, 113.25, 113.25, 111.00, 112.00, 7353
04/08/25, 110.00, 119.00, 110.00, 115.50, 8141
04/07/25, 115.00, 115.50, 108.25, 112.00, 26251
04/04/25, 119.00, 119.75, 113.25, 114.25, 34271
04/03/25, 120.00, 120.00, 118.50, 118.75, 1838
04/02/25, 123.00, 123.00, 119.75, 120.00, 332
04/01/25, 118.00, 123.75, 117.75, 120.00, 2714
03/28/25, 118.00, 118.00, 117.75, 117.75, 4412
03/27/25, 119.00, 119.50, 117.00, 119.50, 2933
03/26/25, 120.75, 120.75, 120.00, 120.00, 1002
03/25/25, 117.00, 117.00, 117.00, 117.50, 89
03/24/25, 120.50, 120.75, 116.50, 117.50, 3663
03/21/25, 121.50, 121.50, 115.75, 116.75, 185
03/20/25, 118.00, 122.00, 118.00, 118.00, 2460
03/19/25, 118.00, 118.00, 115.25, 115.50, 3238
03/18/25, 119.00, 120.00, 115.00, 116.75, 3533
03/17/25, 117.25, 124.00, 117.00, 121.00, 1138
03/14/25, 116.75, 130.00, 116.75, 123.50, 8322
03/12/25, 114.25, 117.00, 113.25, 115.50, 23738
03/11/25, 117.00, 117.00, 114.00, 114.00, 16909
03/10/25, 117.50, 117.50, 117.00, 117.50, 807
03/07/25, 117.25, 117.50, 115.50, 117.50, 2336
03/06/25, 118.00, 118.00, 114.25, 116.50, 1566
03/05/25, 113.50, 118.50, 113.50, 118.00, 9092
03/04/25, 118.00, 118.00, 112.00, 113.50, 7706
03/03/25, 120.00, 120.00, 118.00, 119.50, 389
02/28/25, 120.00, 120.00, 118.00, 119.00, 2614
02/27/25, 117.00, 120.00, 116.75, 119.00, 1979
02/25/25, 119.75, 119.75, 116.00, 117.00, 16207
02/24/25, 122.75, 122.75, 119.00, 119.00, 10171
02/21/25, 122.50, 123.25, 122.50, 122.75, 8593
02/20/25, 122.50, 125.00, 122.50, 123.00, 4101
02/19/25, 125.50, 128.75, 122.50, 123.25, 22493
02/18/25, 128.75, 128.75, 125.50, 126.00, 18458
02/17/25, 124.50, 129.25, 124.50, 128.00, 7979
02/14/25, 124.00, 125.00, 123.00, 124.25, 25905
02/13/25, 122.25, 125.00, 120.00, 123.50, 50055
02/11/25, 129.00, 129.25, 124.00, 125.00, 27809
02/10/25, 129.50, 132.25, 128.00, 129.50, 27162
02/07/25, 128.00, 128.50, 126.50, 128.50, 5563
02/06/25, 126.00, 129.00, 125.00, 127.00, 15960
02/05/25, 134.00, 134.00, 127.00, 129.25, 55135
02/03/25, 136.00, 136.50, 130.25, 133.75, 32803
01/31/25, 137.75, 137.75, 134.25, 135.00, 4479
01/30/25, 140.00, 140.00, 135.00, 135.00, 12504
01/29/25, 132.50, 140.00, 132.25, 139.00, 96741
01/28/25, 130.00, 133.00, 130.00, 132.75, 1828
01/27/25, 131.00, 133.50, 130.00, 131.00, 43006
01/24/25, 135.00, 136.75, 130.50, 131.75, 26680
01/23/25, 134.50, 136.00, 130.00, 134.50, 173549
01/22/25, 133.75, 136.75, 132.00, 132.25, 34221
01/21/25, 127.25, 135.00, 127.00, 131.25, 101224
01/20/25, 124.75, 129.50, 124.75, 128.50, 23891
01/17/25, 127.00, 128.75, 124.75, 125.00, 16463
01/16/25, 124.25, 127.00, 124.25, 127.00, 2939
01/15/25, 126.75, 129.00, 122.00, 124.25, 18020
01/10/25, 129.25, 129.50, 115.00, 126.00, 36581
01/09/25, 126.00, 130.00, 126.00, 129.25, 111423
01/08/25, 118.00, 128.75, 117.75, 125.75, 174447
01/07/25, 115.00, 118.50, 112.00, 118.25, 11851
01/06/25, 120.00, 120.00, 110.00, 116.00, 40450
01/03/25, 120.25, 121.00, 117.00, 118.00, 45364
01/02/25, 120.00, 121.00, 119.00, 120.50, 40050
12/31/24, 120.00, 120.00, 119.00, 119.25, 21567
12/30/24, 119.50, 120.25, 117.75, 119.00, 20734
12/27/24, 118.00, 120.00, 117.75, 120.00, 16107
12/26/24, 118.50, 120.75, 116.00, 118.00, 58379
12/24/24, 116.75, 119.00, 116.00, 118.00, 40012
12/23/24, 117.50, 119.25, 116.75, 117.00, 24960
12/20/24, 120.00, 120.00, 117.00, 118.25, 6199
12/19/24, 119.00, 121.00, 115.50, 120.00, 57020
12/18/24, 115.50, 119.00, 115.50, 117.50, 11982
12/17/24, 115.25, 117.75, 115.25, 116.50, 15918
12/16/24, 116.00, 116.75, 114.50, 116.25, 29892
12/13/24, 117.25, 117.25, 115.75, 116.00, 25328
12/12/24, 116.00, 117.75, 116.00, 116.50, 5141
12/11/24, 116.00, 119.00, 116.00, 116.25, 17445
12/10/24, 119.50, 120.00, 116.00, 116.00, 30492
12/09/24, 117.00, 120.50, 117.00, 119.25, 61775
12/06/24, 113.00, 117.50, 113.00, 116.50, 131896
12/05/24, 113.75, 113.75, 112.00, 112.75, 21477
12/04/24, 110.25, 113.75, 110.25, 113.25, 9883
12/03/24, 113.00, 114.00, 109.00, 111.25, 80064
12/02/24, 111.00, 113.00, 108.00, 112.00, 3387
11/29/24, 108.00, 110.00, 108.00, 109.50, 7471
11/28/24, 110.00, 110.00, 108.00, 108.00, 405
11/27/24, 109.50, 109.75, 108.00, 108.50, 729
11/26/24, 107.25, 109.25, 107.25, 108.25, 19119
11/25/24, 109.00, 109.00, 107.00, 107.25, 1117
11/22/24, 109.00, 109.00, 108.00, 109.00, 17679
11/21/24, 109.00, 109.25, 108.00, 109.00, 33879
11/20/24, 110.75, 111.25, 108.75, 110.00, 6741
11/19/24, 109.50, 110.75, 108.50, 110.00, 16688
11/18/24, 111.00, 114.00, 110.00, 111.00, 54176
11/14/24, 112.00, 112.00, 108.50, 109.75, 12306
11/13/24, 112.00, 113.00, 110.25, 110.25, 29043
11/12/24, 113.75, 113.75, 110.75, 111.50, 19032
11/11/24, 113.25, 114.00, 112.25, 112.75, 34342
11/08/24, 113.75, 113.75, 112.25, 112.25, 3076
11/07/24, 112.00, 115.00, 110.25, 110.25, 4402
11/06/24, 110.25, 110.50, 108.00, 108.75, 8925
11/05/24, 113.00, 113.00, 108.50, 110.25, 9324
11/04/24, 109.75, 112.75, 109.00, 112.50, 4837
11/01/24, 110.50, 111.25, 109.00, 109.75, 5978
10/30/24, 107.50, 115.00, 107.00, 110.75, 184023
10/29/24, 106.50, 107.50, 105.00, 107.00, 18677
10/28/24, 106.00, 106.50, 105.00, 105.00, 12058
10/25/24, 104.50, 106.00, 104.50, 104.50, 6265
10/24/24, 105.75, 105.75, 104.00, 104.75, 9847
10/23/24, 103.25, 108.00, 103.25, 105.75, 10212
10/22/24, 105.00, 108.25, 104.00, 104.25, 4900
10/21/24, 105.00, 107.00, 105.00, 107.00, 8707
10/18/24, 106.00, 108.00, 105.00, 106.25, 6467
10/16/24, 107.00, 107.00, 106.00, 106.50, 1183
10/15/24, 105.00, 108.00, 105.00, 106.75, 640
10/14/24, 106.75, 108.50, 106.00, 106.25, 9031
10/11/24, 103.00, 106.00, 102.00, 105.50, 17619
10/10/24, 105.75, 105.75, 102.00, 103.00, 7476
10/09/24, 103.50, 105.75, 103.00, 104.00, 39022
10/08/24, 102.00, 106.00, 102.00, 103.25, 8594
10/07/24, 103.00, 106.00, 100.50, 105.25, 14287
10/04/24, 101.50, 103.00, 100.00, 103.00, 4720
10/03/24, 100.00, 103.00, 98.60, 100.50, 4020
10/02/24, 101.75, 101.75, 99.00, 99.30, 3362
10/01/24, 101.00, 102.00, 100.00, 101.75, 15161
09/30/24, 100.00, 103.00, 99.10, 100.00, 51353
09/27/24, 99.90, 100.00, 98.00, 100.00, 6643
09/26/24, 101.50, 101.50, 98.00, 99.90, 11779
09/25/24, 100.00, 104.00, 97.60, 101.50, 8944
09/24/24, 94.60, 100.00, 94.60, 99.20, 7960
09/23/24, 98.40, 98.50, 94.00, 95.20, 3208
09/20/24, 96.50, 97.50, 96.30, 96.60, 6627
09/19/24, 93.50, 97.40, 93.50, 96.40, 3206
09/18/24, 93.00, 95.00, 93.00, 93.50, 3050
09/13/24, 92.40, 93.00, 92.00, 92.20, 18246
09/12/24, 92.90, 92.90, 90.80, 91.00, 25714
09/11/24, 90.60, 92.90, 90.60, 92.50, 130
09/10/24, 91.80, 91.80, 90.50, 90.90, 13816
09/09/24, 95.90, 95.90, 92.00, 92.10, 1026
09/06/24, 94.90, 95.90, 93.00, 93.00, 1187
09/05/24, 92.00, 94.00, 90.00, 93.80, 7046
09/04/24, 95.00, 95.00, 90.00, 90.70, 2633
09/03/24, 90.60, 96.40, 90.10, 95.00, 1486
09/02/24, 92.00, 92.00, 90.90, 91.00, 23809
08/30/24, 94.50, 94.50, 91.00, 91.90, 1656
08/29/24, 92.70, 97.00, 92.70, 93.10, 1895
08/28/24, 95.00, 95.00, 92.50, 92.90, 5034
08/27/24, 99.00, 99.00, 94.00, 94.50, 4441
08/26/24, 99.00, 99.00, 95.00, 95.00, 10323
08/23/24, 98.00, 98.00, 95.10, 96.00, 3346
08/22/24, 99.40, 99.40, 95.50, 96.00, 1852
08/21/24, 99.50, 99.50, 96.00, 96.00, 2317
08/20/24, 96.00, 98.50, 95.10, 98.50, 9287
08/16/24, 98.00, 98.00, 95.00, 95.00, 1251
08/15/24, 98.00, 99.00, 95.00, 96.10, 3291
08/14/24, 93.10, 98.60, 93.10, 97.30, 336
08/13/24, 98.70, 98.70, 93.00, 93.90, 67652
08/12/24, 99.30, 99.30, 93.10, 93.70, 12004
08/09/24, 95.20, 96.50, 94.00, 94.10, 65655
08/08/24, 98.00, 98.00, 95.20, 95.30, 1245
08/07/24, 100.00, 100.00, 96.00, 96.10, 236
08/06/24, 95.50, 95.50, 95.20, 95.40, 859
