Date, Open, High, Low, Close, Volume
04/24/25, 4.60, 4.80, 4.40, 4.50, 37456
04/23/25, 5.00, 5.00, 4.40, 4.50, 256525
04/22/25, 4.90, 5.00, 4.70, 4.70, 23403
04/21/25, 5.00, 5.00, 4.90, 4.90, 23201
04/17/25, 4.80, 5.00, 4.70, 4.90, 22675
04/16/25, 5.10, 5.10, 5.10, 5.10, 1120
04/11/25, 4.80, 5.10, 4.80, 4.80, 25658
04/10/25, 4.80, 5.10, 4.80, 4.80, 28434
04/09/25, 5.10, 5.10, 4.80, 4.80, 9997
04/08/25, 5.00, 5.10, 4.80, 5.00, 24931
04/07/25, 5.30, 5.30, 4.70, 4.90, 11214
04/04/25, 5.00, 5.00, 4.90, 4.90, 22930
04/03/25, 5.00, 5.30, 5.00, 5.00, 122672
04/02/25, 5.10, 5.10, 5.00, 5.00, 113409
04/01/25, 5.10, 5.30, 5.10, 5.10, 83908
03/28/25, 5.40, 5.40, 5.20, 5.20, 106
03/27/25, 5.40, 5.40, 5.40, 5.40, 5000
03/26/25, 5.50, 5.50, 5.10, 5.10, 4669
03/25/25, 5.20, 5.60, 5.20, 5.40, 25245
03/24/25, 5.40, 5.40, 5.10, 5.10, 1785
03/21/25, 5.20, 5.30, 5.10, 5.20, 1552
03/20/25, 5.30, 5.30, 5.30, 5.30, 1003
03/19/25, 5.30, 5.30, 5.30, 5.30, 81
03/18/25, 5.30, 5.30, 5.30, 5.30, 1555
03/17/25, 5.20, 5.30, 5.20, 5.20, 2163
03/14/25, 5.30, 5.40, 5.30, 5.30, 5029
03/12/25, 5.40, 5.40, 5.20, 5.20, 1846
03/11/25, 5.40, 5.40, 5.40, 5.20, 75
03/10/25, 5.20, 5.20, 5.20, 5.20, 2041
03/07/25, 5.40, 5.40, 5.10, 5.40, 56511
03/06/25, 5.40, 5.40, 5.40, 5.40, 1000
03/05/25, 5.40, 5.60, 5.40, 5.60, 35887
03/03/25, 5.50, 5.50, 5.10, 5.40, 41208
02/28/25, 5.50, 5.70, 5.50, 5.50, 80754
02/27/25, 5.50, 5.50, 5.50, 5.50, 35945
02/25/25, 5.50, 5.50, 5.50, 5.50, 1604
02/24/25, 5.60, 5.80, 5.50, 5.50, 214507
02/21/25, 5.80, 5.80, 5.80, 5.80, 210
02/20/25, 5.90, 5.90, 5.60, 5.60, 38266
02/19/25, 5.90, 5.90, 5.90, 5.90, 100
02/18/25, 5.70, 5.80, 5.50, 5.70, 99352
02/17/25, 5.90, 5.90, 5.80, 5.80, 10004
02/14/25, 5.80, 5.90, 5.80, 5.80, 2499
02/13/25, 5.70, 5.90, 5.70, 5.80, 3617
02/11/25, 6.00, 6.00, 5.70, 5.70, 15657
02/10/25, 5.90, 5.90, 5.80, 5.90, 531
02/07/25, 5.90, 6.00, 5.80, 5.80, 33352
