Date, Open, High, Low, Close, Volume
04/24/25, 34.80, 34.80, 34.30, 34.40, 16897
04/23/25, 34.50, 34.80, 33.90, 34.20, 94116
04/22/25, 34.60, 34.60, 34.10, 34.20, 136727
04/21/25, 34.50, 34.70, 33.80, 34.00, 214201
04/17/25, 34.50, 34.70, 34.10, 34.40, 49952
04/16/25, 34.20, 34.70, 33.90, 34.10, 97475
04/11/25, 34.60, 34.60, 33.80, 34.00, 87476
04/10/25, 34.00, 34.50, 33.80, 33.90, 432680
04/09/25, 34.00, 34.00, 33.00, 33.50, 95521
04/08/25, 32.90, 33.90, 32.70, 33.80, 279081
04/07/25, 34.70, 34.70, 31.00, 32.90, 568055
04/04/25, 35.00, 35.50, 34.50, 34.70, 113099
04/03/25, 35.20, 35.50, 34.80, 35.10, 65233
04/02/25, 35.10, 36.20, 34.90, 35.70, 86794
04/01/25, 35.00, 35.30, 34.90, 35.00, 82275
03/28/25, 34.90, 35.70, 34.70, 34.90, 126527
03/27/25, 35.70, 35.70, 34.80, 35.40, 65154
03/26/25, 35.80, 35.90, 35.40, 35.50, 119989
03/25/25, 36.00, 36.10, 35.60, 35.80, 114593
03/24/25, 35.60, 36.20, 35.60, 35.70, 110617
03/21/25, 34.60, 36.20, 34.50, 35.60, 215086
03/20/25, 34.50, 34.70, 34.10, 34.50, 197140
03/19/25, 34.10, 34.60, 34.10, 34.30, 43514
03/18/25, 34.40, 34.50, 33.80, 34.10, 237586
03/17/25, 35.00, 35.00, 34.40, 34.50, 116923
03/14/25, 35.00, 35.10, 34.50, 34.90, 57985
03/12/25, 34.50, 35.10, 34.00, 35.00, 181348
03/11/25, 35.30, 36.00, 34.20, 34.40, 270538
03/10/25, 35.80, 36.40, 35.00, 35.30, 184112
03/07/25, 36.00, 36.00, 34.30, 35.30, 153723
03/06/25, 34.20, 36.40, 34.20, 35.60, 468754
03/05/25, 34.10, 34.90, 34.00, 34.60, 198668
03/04/25, 35.00, 35.90, 33.80, 34.00, 277436
03/03/25, 37.20, 37.20, 34.90, 35.00, 423214
02/28/25, 37.00, 37.40, 36.60, 36.80, 376439
02/27/25, 39.30, 39.30, 35.50, 37.00, 1242359
02/25/25, 45.90, 45.90, 44.00, 44.80, 3367995
02/24/25, 45.60, 46.40, 45.50, 45.80, 2392046
02/21/25, 44.60, 45.70, 44.60, 45.50, 1362299
02/20/25, 44.00, 44.80, 43.90, 44.60, 862536
02/19/25, 44.00, 44.50, 43.70, 43.90, 1789019
02/18/25, 45.00, 45.40, 43.40, 43.90, 2232143
02/17/25, 44.50, 46.00, 44.00, 44.60, 8025912
02/14/25, 40.00, 41.60, 39.00, 41.50, 1668098
02/13/25, 38.10, 39.20, 38.10, 38.90, 62655
02/11/25, 39.70, 39.70, 38.40, 38.70, 28998
02/10/25, 40.10, 40.10, 39.10, 39.60, 21571
02/07/25, 38.00, 40.00, 38.00, 40.00, 788665
02/06/25, 38.20, 38.90, 37.40, 38.40, 81215
02/05/25, 39.50, 39.50, 38.50, 38.50, 140730
02/03/25, 39.00, 40.00, 38.50, 39.10, 86381
01/31/25, 40.00, 40.20, 39.60, 39.90, 339382
01/30/25, 39.50, 40.70, 39.40, 40.00, 631434
01/29/25, 39.50, 40.00, 39.00, 39.50, 345665
01/28/25, 40.00, 40.00, 39.00, 39.10, 236197
01/27/25, 39.50, 40.30, 39.00, 39.20, 79798
01/24/25, 40.00, 40.50, 38.80, 39.10, 310313
01/23/25, 40.00, 40.40, 39.00, 40.10, 511340
01/22/25, 40.60, 40.70, 39.30, 40.00, 268849
01/21/25, 39.20, 41.00, 39.20, 40.50, 2259893
01/20/25, 39.00, 39.20, 38.70, 39.00, 234094
01/17/25, 38.90, 39.00, 38.10, 38.60, 96973
01/16/25, 38.90, 39.10, 38.60, 39.00, 261933
01/15/25, 38.80, 39.00, 38.30, 38.80, 209811
01/10/25, 39.50, 39.50, 37.90, 38.80, 213085
01/09/25, 39.40, 39.40, 38.30, 38.50, 211277
01/08/25, 39.00, 39.70, 38.50, 38.90, 309432
01/07/25, 38.50, 39.50, 37.90, 38.90, 523619
01/06/25, 37.00, 39.10, 36.70, 37.60, 965104
01/03/25, 38.50, 39.80, 36.80, 37.50, 502806
01/02/25, 39.50, 40.00, 38.20, 38.50, 330344
12/31/24, 37.90, 40.00, 37.50, 39.80, 3214152
12/30/24, 38.50, 38.80, 37.90, 38.00, 543886
12/27/24, 36.00, 38.90, 36.00, 38.10, 2618425
12/26/24, 36.10, 36.70, 35.20, 36.50, 1459279
12/24/24, 35.50, 36.20, 34.90, 35.80, 214946
12/23/24, 36.70, 36.70, 35.50, 35.60, 421479
12/20/24, 36.40, 37.00, 36.30, 36.90, 547677
12/19/24, 36.60, 36.60, 35.80, 36.00, 228097
12/18/24, 36.70, 36.70, 36.10, 36.50, 466178
12/17/24, 36.40, 37.20, 35.70, 36.60, 1319904
12/16/24, 36.50, 37.30, 36.20, 37.00, 618065
12/13/24, 36.00, 36.50, 35.50, 36.30, 1313084
12/12/24, 33.60, 36.00, 33.30, 35.70, 2167797
12/11/24, 33.50, 34.00, 33.50, 33.70, 258263
12/10/24, 34.10, 34.10, 33.00, 33.50, 95526
12/09/24, 33.60, 34.10, 32.80, 34.00, 578548
12/06/24, 33.20, 33.70, 33.20, 33.60, 359426
12/05/24, 33.40, 33.70, 33.00, 33.10, 445600
12/04/24, 33.90, 33.90, 33.00, 33.30, 255142
12/03/24, 33.00, 34.20, 33.00, 33.70, 1028180
12/02/24, 33.00, 33.10, 32.70, 33.00, 937744
11/29/24, 31.40, 33.30, 31.20, 32.90, 2026128
11/28/24, 31.40, 31.60, 30.60, 31.30, 358772
11/27/24, 31.20, 31.40, 31.10, 31.30, 150897
11/26/24, 30.10, 31.20, 30.00, 31.00, 252540
11/25/24, 31.00, 31.00, 30.00, 30.60, 69025
11/22/24, 30.90, 31.20, 30.50, 31.00, 281823
11/21/24, 30.50, 31.10, 30.00, 30.40, 187345
11/20/24, 30.60, 31.20, 30.50, 30.60, 152504
11/19/24, 31.50, 31.50, 30.60, 31.10, 407871
11/18/24, 31.50, 31.60, 30.50, 30.70, 284062
11/14/24, 29.00, 31.70, 28.70, 30.20, 430124
11/13/24, 29.50, 29.80, 28.90, 29.30, 332587
11/12/24, 30.00, 30.50, 29.80, 30.00, 122645
11/11/24, 30.30, 30.50, 29.90, 30.00, 105072
11/08/24, 30.80, 30.80, 30.30, 30.40, 28739
11/07/24, 29.40, 31.30, 29.40, 30.00, 543211
11/06/24, 29.50, 29.50, 28.50, 29.10, 191617
11/05/24, 29.50, 29.80, 28.90, 29.00, 106483
11/04/24, 29.90, 30.00, 29.40, 29.60, 87206
11/01/24, 30.00, 30.00, 29.60, 29.90, 41243
10/30/24, 29.00, 30.00, 28.60, 29.30, 191139
10/29/24, 30.00, 30.30, 28.20, 29.10, 710136
10/28/24, 30.70, 31.00, 30.00, 30.10, 1105063
10/25/24, 31.20, 31.20, 30.60, 30.90, 111166
10/24/24, 31.00, 31.50, 30.40, 30.50, 220033
10/23/24, 31.20, 31.50, 30.80, 31.10, 124414
10/22/24, 31.90, 31.90, 31.00, 31.00, 243688
10/21/24, 31.70, 32.20, 31.70, 31.80, 224275
10/18/24, 31.60, 32.10, 31.50, 31.50, 314916
10/16/24, 31.80, 32.00, 31.60, 31.70, 117077
10/15/24, 32.50, 32.50, 31.90, 32.00, 117870
10/14/24, 32.50, 32.50, 32.00, 32.50, 149154
10/11/24, 31.80, 32.60, 31.40, 32.40, 239496
10/10/24, 32.00, 32.50, 31.30, 31.60, 226302
10/09/24, 32.50, 32.70, 32.00, 32.10, 128549
10/08/24, 32.00, 32.70, 31.80, 32.40, 299815
10/07/24, 31.40, 32.00, 31.10, 32.00, 327355
10/04/24, 30.50, 31.80, 30.50, 31.40, 220499
10/03/24, 30.50, 30.80, 30.50, 30.50, 109753
10/02/24, 31.00, 31.00, 30.20, 30.40, 136210
10/01/24, 30.70, 30.90, 30.20, 30.80, 165587
09/30/24, 30.80, 30.90, 30.40, 30.50, 113502
09/27/24, 29.80, 30.90, 29.80, 30.10, 126973
09/26/24, 31.50, 31.70, 29.00, 29.80, 363115
09/25/24, 31.20, 31.70, 30.60, 31.10, 354082
09/24/24, 29.90, 31.00, 29.80, 30.90, 249799
09/23/24, 29.30, 29.90, 28.30, 29.60, 101138
09/20/24, 29.10, 29.60, 28.80, 29.40, 79565
09/19/24, 29.50, 29.50, 28.50, 29.20, 37891
09/18/24, 27.50, 29.70, 27.50, 29.30, 189901
09/13/24, 27.50, 27.50, 27.10, 27.40, 53840
09/12/24, 27.30, 27.80, 27.10, 27.10, 20142
09/11/24, 27.10, 27.30, 26.90, 27.10, 151950
09/10/24, 27.30, 27.30, 27.00, 27.20, 175669
09/09/24, 27.50, 27.50, 27.00, 27.40, 34075
